Marin County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.00,-0.11
191709,0.23,-0.07
191710,0.01,-1.73
191711,1.11,-3.28
191712,2.84,-3.54
191801,1.76,-6.03
191802,7.39,0.84
191803,4.17,-0.66
191804,0.96,-1.27
191805,0.02,-0.88
191806,0.07,-0.18
191807,0.01,0.00
191808,0.00,-0.11
191809,1.40,1.10
191810,0.75,-0.99
191811,5.85,1.46
191812,3.24,-3.14
191901,4.90,-2.89
191902,14.00,7.45
191903,4.15,-0.68
191904,0.36,-1.87
191905,0.02,-0.88
191906,0.00,-0.25
191907,0.00,-0.01
191908,0.00,-0.11
191909,0.68,0.38
191910,0.45,-1.29
191911,0.58,-3.81
191912,6.89,0.51
192001,0.63,-7.16
192002,1.42,-5.13
192003,4.55,-0.28
192004,3.73,1.50
192005,0.00,-0.90
192006,0.54,0.29
192007,0.05,0.04
192008,0.12,0.01
192009,0.15,-0.15
192010,3.00,1.26
192011,7.34,2.95
192012,10.34,3.96
192101,10.59,2.80
192102,1.89,-4.66
192103,2.64,-2.19
192104,0.79,-1.44
192105,1.01,0.11
192106,0.01,-0.24
192107,0.00,-0.01
192108,0.01,-0.10
192109,0.25,-0.05
192110,0.94,-0.80
192111,2.61,-1.78
192112,10.10,3.72
192201,3.26,-4.53
192202,7.80,1.25
192203,3.71,-1.12
192204,0.70,-1.53
192205,0.67,-0.23
192206,0.25,0.00
192207,0.00,-0.01
192208,0.00,-0.11
192209,0.00,-0.30
192210,3.71,1.97
192211,5.73,1.34
192212,13.06,6.68
192301,4.38,-3.41
192302,1.26,-5.29
192303,0.17,-4.66
192304,5.75,3.52
192305,0.10,-0.80
192306,0.25,0.00
192307,0.00,-0.01
192308,0.25,0.14
192309,1.03,0.73
192310,0.55,-1.19
192311,0.76,-3.63
192312,2.31,-4.07
192401,4.61,-3.18
192402,4.57,-1.98
192403,1.86,-2.97
192404,0.40,-1.83
192405,0.12,-0.78
192406,0.00,-0.25
192407,0.00,-0.01
192408,0.07,-0.04
192409,0.00,-0.30
192410,4.71,2.97
192411,3.19,-1.20
192412,8.62,2.24
192501,2.23,-5.56
192502,13.92,7.37
192503,3.65,-1.18
192504,2.82,0.59
192505,4.69,3.79
192506,0.03,-0.22
192507,0.07,0.06
192508,0.14,0.03
192509,0.80,0.50
192510,0.43,-1.31
192511,3.76,-0.63
192512,1.73,-4.65
192601,8.59,0.80
192602,9.04,2.49
192603,0.30,-4.53
192604,7.72,5.49
192605,0.39,-0.51
192606,0.00,-0.25
192607,0.00,-0.01
192608,0.14,0.03
192609,0.00,-0.30
192610,2.58,0.84
192611,14.05,9.66
192612,2.64,-3.74
192701,6.13,-1.66
192702,11.73,5.18
192703,3.08,-1.75
192704,3.73,1.50
192705,0.37,-0.53
192706,0.55,0.30
192707,0.02,0.01
192708,0.02,-0.09
192709,0.00,-0.30
192710,2.31,0.57
192711,5.86,1.47
192712,5.07,-1.31
192801,4.00,-3.79
192802,3.53,-3.02
192803,7.61,2.78
192804,2.35,0.12
192805,0.29,-0.61
192806,0.00,-0.25
192807,0.00,-0.01
192808,0.00,-0.11
192809,0.01,-0.29
192810,0.23,-1.51
192811,5.46,1.07
192812,6.72,0.34
192901,1.53,-6.26
192902,3.07,-3.48
192903,2.44,-2.39
192904,1.93,-0.30
192905,0.04,-0.86
192906,1.24,0.99
192907,0.00,-0.01
192908,0.00,-0.11
192909,0.00,-0.30
192910,0.04,-1.70
192911,0.00,-4.39
192912,9.91,3.53
193001,6.71,-1.08
193002,4.56,-1.99
193003,4.25,-0.58
193004,1.87,-0.36
193005,0.41,-0.49
193006,0.00,-0.25
193007,0.00,-0.01
193008,0.00,-0.11
193009,0.49,0.19
193010,1.09,-0.65
193011,2.46,-1.93
193012,1.02,-5.36
193101,8.27,0.48
193102,1.74,-4.81
193103,2.75,-2.08
193104,0.59,-1.64
193105,1.18,0.28
193106,0.85,0.60
193107,0.00,-0.01
193108,0.00,-0.11
193109,0.00,-0.30
193110,1.79,0.05
193111,2.97,-1.42
193112,14.30,7.92
193201,3.89,-3.90
193202,2.82,-3.73
193203,1.37,-3.46
193204,1.47,-0.76
193205,1.83,0.93
193206,0.02,-0.23
193207,0.00,-0.01
193208,0.00,-0.11
193209,0.00,-0.30
193210,0.02,-1.72
193211,1.42,-2.97
193212,4.82,-1.56
193301,8.65,0.86
193302,1.51,-5.04
193303,4.70,-0.13
193304,0.11,-2.12
193305,1.93,1.03
193306,0.00,-0.25
193307,0.01,0.00
193308,0.00,-0.11
193309,0.08,-0.22
193310,3.46,1.72
193311,0.00,-4.39
193312,8.65,2.27
193401,1.52,-6.27
193402,6.52,-0.03
193403,0.52,-4.31
193404,0.78,-1.45
193405,1.17,0.27
193406,0.87,0.62
193407,0.00,-0.01
193408,0.01,-0.10
193409,0.19,-0.11
193410,2.00,0.26
193411,6.15,1.76
193412,4.35,-2.03
193501,9.56,1.77
193502,3.15,-3.40
193503,5.94,1.11
193504,5.80,3.57
193505,0.02,-0.88
193506,0.00,-0.25
193507,0.00,-0.01
193508,0.56,0.45
193509,0.17,-0.13
193510,1.23,-0.51
193511,1.99,-2.40
193512,4.14,-2.24
193601,9.56,1.77
193602,13.29,6.74
193603,1.70,-3.13
193604,2.11,-0.12
193605,0.66,-0.24
193606,0.96,0.71
193607,0.03,0.02
193608,0.03,-0.08
193609,0.00,-0.30
193610,0.42,-1.32
193611,0.02,-4.37
193612,4.35,-2.03
193701,6.95,-0.84
193702,9.75,3.20
193703,8.55,3.72
193704,1.45,-0.78
193705,0.16,-0.74
193706,1.15,0.90
193707,0.02,0.01
193708,0.00,-0.11
193709,0.01,-0.29
193710,1.44,-0.30
193711,6.65,2.26
193712,8.25,1.87
193801,6.37,-1.42
193802,13.67,7.12
193803,10.73,5.90
193804,3.00,0.77
193805,0.02,-0.88
193806,0.00,-0.25
193807,0.01,0.00
193808,0.01,-0.10
193809,0.49,0.19
193810,1.87,0.13
193811,2.17,-2.22
193812,2.41,-3.97
193901,4.41,-3.38
193902,2.47,-4.08
193903,3.01,-1.82
193904,0.24,-1.99
193905,0.90,0.00
193906,0.00,-0.25
193907,0.00,-0.01
193908,0.00,-0.11
193909,0.59,0.29
193910,0.39,-1.35
193911,0.37,-4.02
193912,2.68,-3.70
194001,16.44,8.65
194002,14.14,7.59
194003,7.66,2.83
194004,2.09,-0.14
194005,2.07,1.17
194006,0.07,-0.18
194007,0.01,0.00
194008,0.00,-0.11
194009,0.32,0.02
194010,2.10,0.36
194011,3.27,-1.12
194012,14.62,8.24
194101,13.18,5.39
194102,11.88,5.33
194103,6.64,1.81
194104,6.98,4.75
194105,1.80,0.90
194106,0.30,0.05
194107,0.00,-0.01
194108,0.10,-0.01
194109,0.06,-0.24
194110,1.58,-0.16
194111,4.43,0.04
194112,10.82,4.44
194201,8.27,0.48
194202,8.60,2.05
194203,3.92,-0.91
194204,6.19,3.96
194205,2.05,1.15
194206,0.00,-0.25
194207,0.00,-0.01
194208,0.02,-0.09
194209,0.12,-0.18
194210,1.28,-0.46
194211,6.22,1.83
194212,6.68,0.30
194301,11.79,4.00
194302,2.78,-3.77
194303,5.19,0.36
194304,2.39,0.16
194305,0.13,-0.77
194306,0.11,-0.14
194307,0.01,0.00
194308,0.00,-0.11
194309,0.00,-0.30
194310,1.13,-0.61
194311,1.54,-2.85
194312,3.53,-2.85
