Marin County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199312,4.37,-2.01
199401,3.65,-4.14
199402,6.50,-0.05
199403,0.41,-4.42
199404,1.92,-0.31
199405,1.57,0.67
199406,0.06,-0.19
199407,0.00,-0.01
199408,0.00,-0.11
199409,0.03,-0.27
199410,0.83,-0.91
199411,11.26,6.87
199412,5.03,-1.35
199501,21.17,13.38
199502,0.80,-5.75
199503,14.58,9.75
199504,2.89,0.66
199505,1.98,1.08
199506,0.86,0.61
199507,0.00,-0.01
199508,0.01,-0.10
199509,0.00,-0.30
199510,0.03,-1.71
199511,0.32,-4.07
199512,13.06,6.68
199601,10.67,2.88
199602,11.36,4.81
199603,3.04,-1.79
199604,3.97,1.74
199605,3.34,2.44
199606,0.01,-0.24
199607,0.00,-0.01
199608,0.00,-0.11
199609,0.08,-0.22
199610,1.33,-0.41
199611,4.64,0.25
199612,14.69,8.31
199701,11.97,4.18
199702,0.50,-6.05
199703,1.09,-3.74
199704,0.77,-1.46
199705,0.44,-0.46
199706,0.38,0.13
199707,0.01,0.00
199708,0.83,0.72
199709,0.25,-0.05
199710,1.65,-0.09
199711,10.70,6.31
199712,4.19,-2.19
199801,14.53,6.74
199802,21.93,15.38
199803,3.50,-1.33
199804,2.97,0.74
199805,4.35,3.45
199806,0.04,-0.21
199807,0.01,0.00
199808,0.02,-0.09
199809,0.09,-0.21
199810,1.11,-0.63
199811,7.35,2.96
199812,1.94,-4.44
199901,5.00,-2.79
199902,11.47,4.92
199903,4.46,-0.37
199904,2.90,0.67
199905,0.13,-0.77
199906,0.14,-0.11
199907,0.00,-0.01
199908,0.08,-0.03
199909,0.11,-0.19
199910,0.84,-0.90
199911,3.95,-0.44
199912,0.85,-5.53
200001,8.33,0.54
200002,13.28,6.73
200003,2.90,-1.93
200004,2.40,0.17
200005,1.70,0.80
200006,0.22,-0.03
200007,0.00,-0.01
200008,0.02,-0.09
200009,0.24,-0.06
200010,3.30,1.56
200011,1.49,-2.90
200012,1.26,-5.12
200101,5.82,-1.97
200102,8.18,1.63
200103,2.03,-2.80
200104,1.39,-0.84
200105,0.00,-0.90
200106,0.32,0.07
200107,0.00,-0.01
200108,0.01,-0.10
200109,0.16,-0.14
200110,0.94,-0.80
200111,8.73,4.34
200112,14.29,7.91
200201,4.09,-3.70
200202,2.56,-3.99
200203,3.35,-1.48
200204,0.55,-1.68
200205,1.00,0.10
200206,0.01,-0.24
200207,0.00,-0.01
200208,0.01,-0.10
200209,0.00,-0.30
200210,0.03,-1.71
200211,3.69,-0.70
200212,20.07,13.69
200301,4.20,-3.59
200302,2.63,-3.92
200303,2.43,-2.40
200304,5.00,2.77
200305,1.41,0.51
200306,0.00,-0.25
200307,0.02,0.01
200308,0.14,0.03
200309,0.03,-0.27
200310,0.06,-1.68
200311,2.81,-1.58
200312,12.53,6.15
200401,4.62,-3.17
200402,9.22,2.67
200403,1.28,-3.55
200404,0.70,-1.53
200405,0.09,-0.81
200406,0.00,-0.25
200407,0.01,0.00
200408,0.02,-0.09
200409,0.23,-0.07
200410,4.24,2.50
200411,2.77,-1.62
200412,12.15,5.77
200501,5.98,-1.81
200502,5.77,-0.78
200503,6.80,1.97
200504,2.49,0.26
200505,3.51,2.61
200506,0.87,0.62
200507,0.00,-0.01
200508,0.01,-0.10
200509,0.02,-0.28
200510,0.80,-0.94
200511,2.68,-1.71
200512,18.87,12.49
200601,5.97,-1.82
200602,4.38,-2.17
200603,11.29,6.46
200604,7.43,5.20
200605,0.52,-0.38
200606,0.01,-0.24
200607,0.01,0.00
200608,0.00,-0.11
200609,0.00,-0.30
200610,0.65,-1.09
200611,4.21,-0.18
200612,6.54,0.16
200701,0.83,-6.96
200702,8.01,1.46
200703,0.37,-4.46
200704,2.14,-0.09
200705,0.55,-0.35
200706,0.00,-0.25
200707,0.04,0.03
200708,0.01,-0.10
200709,0.10,-0.20
200710,3.05,1.31
200711,1.04,-3.35
200712,5.53,-0.85
200801,13.66,5.87
200802,4.14,-2.41
200803,0.39,-4.44
200804,0.21,-2.02
200805,0.06,-0.84
200806,0.00,-0.25
200807,0.00,-0.01
200808,0.04,-0.07
200809,0.02,-0.28
200810,1.02,-0.72
200811,3.77,-0.62
200812,3.73,-2.65
200901,1.02,-6.77
200902,10.68,4.13
200903,3.07,-1.76
200904,0.79,-1.44
200905,2.02,1.12
200906,0.04,-0.21
200907,0.01,0.00
200908,0.00,-0.11
200909,0.29,-0.01
200910,5.91,4.17
200911,0.90,-3.49
200912,3.95,-2.43
201001,11.66,3.87
201002,5.86,-0.69
201003,4.24,-0.59
201004,5.45,3.22
201005,1.65,0.75
201006,0.05,-0.20
201007,0.01,0.00
201008,0.02,-0.09
201009,0.08,-0.22
201010,4.00,2.26
201011,4.10,-0.29
201012,10.63,4.25
201101,2.18,-5.61
201102,5.90,-0.65
201103,11.83,7.00
201104,0.83,-1.40
201105,1.73,0.83
201106,1.24,0.99
201107,0.01,0.00
201108,0.02,-0.09
201109,0.01,-0.29
201110,2.25,0.51
201111,2.34,-2.05
201112,0.15,-6.23
201201,6.35,-1.44
201202,1.77,-4.78
201203,10.84,6.01
201204,2.65,0.42
201205,0.13,-0.77
201206,0.07,-0.18
201207,0.03,0.02
201208,0.00,-0.11
201209,0.00,-0.30
201210,1.89,0.15
201211,8.52,4.13
201212,12.01,5.63
201301,0.90,-6.89
201302,0.53,-6.02
201303,1.30,-3.53
201304,1.52,-0.71
201305,0.16,-0.74
201306,0.95,0.70
201307,0.01,0.00
201308,0.05,-0.06
201309,0.66,0.36
201310,0.00,-1.74
201311,1.74,-2.65
201312,0.58,-5.80
201401,0.10,-7.69
201402,11.33,4.78
201403,4.09,-0.74
201404,2.05,-0.18
201405,0.09,-0.81
201406,0.01,-0.24
201407,0.05,0.04
201408,0.09,-0.02
201409,0.52,0.22
201410,0.90,-0.84
201411,3.81,-0.58
201412,17.20,10.82
201501,0.05,-7.74
201502,3.53,-3.02
201503,0.26,-4.57
201504,1.88,-0.35
201505,0.12,-0.78
201506,0.27,0.02
201507,0.07,0.06
201508,0.03,-0.08
201509,0.27,-0.03
201510,0.06,-1.68
201511,1.84,-2.55
201512,7.55,1.17
201601,10.73,2.94
201602,1.17,-5.38
201603,9.70,4.87
201604,1.51,-0.72
201605,0.22,-0.68
201606,0.03,-0.22
201607,0.00,-0.01
201608,0.01,-0.10
201609,0.00,-0.30
201610,6.33,4.59
201611,4.04,-0.35
201612,7.07,0.69
201701,17.01,9.22
201702,13.84,7.29
201703,4.45,-0.38
201704,4.65,2.42
201705,0.07,-0.83
201706,0.30,0.05
201707,0.00,-0.01
201708,0.00,-0.11
201709,0.10,-0.20
201710,0.24,-1.50
201711,5.10,0.71
201712,0.09,-6.29
201801,6.77,-1.02
201802,0.37,-6.18
201803,8.32,3.49
201804,5.04,2.81
201805,0.13,-0.77
201806,0.00,-0.25
201807,0.00,-0.01
201808,0.02,-0.09
201809,0.02,-0.28
201810,1.29,-0.45
201811,5.19,0.80
201812,3.34,-3.04
201901,7.95,0.16
201902,15.07,8.52
201903,7.21,2.38
201904,1.13,-1.10
201905,3.56,2.66
201906,0.01,-0.24
201907,0.00,-0.01
201908,0.00,-0.11
201909,0.10,-0.20
201910,0.02,-1.72
201911,1.53,-2.86
201912,10.12,3.74
202001,3.56,-4.23
202002,0.00,-6.55
202003,2.16,-2.67
202004,1.47,-0.76
202005,1.24,0.34
202006,0.00,-0.25
202007,0.01,0.00
202008,0.25,0.14
202009,0.00,-0.30
202010,0.01,-1.73
202011,1.54,-2.85
202012,2.83,-3.55
202101,4.10,-3.69
202102,1.44,-5.11
202103,2.18,-2.65
202104,0.09,-2.14
202105,0.00,-0.90
202106,0.01,-0.24
202107,0.00,-0.01
202108,0.01,-0.10
202109,0.17,-0.13
202110,8.78,7.04
202111,3.04,-1.35
202112,10.42,4.04
202201,1.08,-6.71
202202,0.07,-6.48
202203,1.04,-3.79
202204,2.43,0.20
202205,0.02,-0.88
202206,0.56,0.31
202207,0.01,0.00
202208,0.04,-0.07
202209,1.02,0.72
202210,0.01,-1.73
202211,1.87,-2.52
202212,12.71,6.33
202301,13.71,5.92
202302,4.59,-1.96
202303,11.33,6.50
