Butte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.04,-0.06
191709,0.60,-0.05
191710,0.01,-2.38
191711,2.25,-3.10
191712,3.26,-4.32
191801,1.33,-7.40
191802,8.24,0.63
191803,8.95,2.61
191804,2.16,-1.08
191805,0.61,-1.15
191806,0.01,-0.62
191807,0.00,-0.03
191808,0.02,-0.08
191809,3.19,2.54
191810,1.68,-0.71
191811,3.67,-1.68
191812,2.87,-4.71
191901,5.27,-3.46
191902,13.82,6.21
191903,5.14,-1.20
191904,1.58,-1.66
191905,0.13,-1.63
191906,0.00,-0.63
191907,0.00,-0.03
191908,0.00,-0.10
191909,1.11,0.46
191910,1.10,-1.29
191911,1.17,-4.18
191912,6.08,-1.50
192001,0.87,-7.86
192002,3.65,-3.96
192003,8.84,2.50
192004,4.25,1.01
192005,0.06,-1.70
192006,0.54,-0.09
192007,0.04,0.01
192008,0.20,0.10
192009,0.20,-0.45
192010,3.66,1.27
192011,14.95,9.60
192012,12.57,4.99
192101,13.12,4.39
192102,3.31,-4.30
192103,4.37,-1.97
192104,0.92,-2.32
192105,2.26,0.50
192106,0.29,-0.34
192107,0.00,-0.03
192108,0.00,-0.10
192109,0.04,-0.61
192110,1.31,-1.08
192111,3.41,-1.94
192112,11.98,4.40
192201,3.82,-4.91
192202,11.58,3.97
192203,5.77,-0.57
192204,0.93,-2.31
192205,2.36,0.60
192206,0.09,-0.54
192207,0.01,-0.02
192208,0.03,-0.07
192209,0.01,-0.64
192210,3.49,1.10
192211,5.59,0.24
192212,14.20,6.62
192301,5.19,-3.54
192302,1.67,-5.94
192303,0.33,-6.01
192304,6.00,2.76
192305,0.82,-0.94
192306,1.56,0.93
192307,0.03,0.00
192308,0.09,-0.01
192309,2.29,1.64
192310,1.24,-1.15
192311,1.04,-4.31
192312,2.28,-5.30
192401,4.05,-4.68
192402,6.43,-1.18
192403,2.53,-3.81
192404,0.94,-2.30
192405,0.05,-1.71
192406,0.02,-0.61
192407,0.00,-0.03
192408,0.08,-0.02
192409,0.04,-0.61
192410,6.07,3.68
192411,3.64,-1.71
192412,9.14,1.56
192501,2.19,-6.54
192502,12.60,4.99
192503,4.25,-2.09
192504,3.88,0.64
192505,2.18,0.42
192506,1.04,0.41
192507,0.00,-0.03
192508,0.17,0.07
192509,1.09,0.44
192510,1.24,-1.15
192511,3.22,-2.13
192512,3.45,-4.13
192601,7.00,-1.73
192602,12.29,4.68
192603,0.26,-6.08
192604,10.06,6.82
192605,1.54,-0.22
192606,0.01,-0.62
192607,0.03,0.00
192608,0.08,-0.02
192609,0.03,-0.62
192610,2.71,0.32
192611,13.90,8.55
192612,2.55,-5.03
192701,7.44,-1.29
192702,13.16,5.55
