Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199207,0.48,0.26
199208,0.36,0.09
199209,0.06,-0.78
199210,4.09,1.73
199211,0.73,-4.13
199212,12.54,5.91
199301,14.49,6.73
199302,8.87,2.14
199303,4.84,-0.83
199304,3.03,0.10
199305,2.72,0.70
199306,1.94,1.01
199307,0.05,-0.17
199308,0.50,0.23
199309,0.06,-0.78
199310,3.23,0.87
199311,2.58,-2.28
199312,4.65,-1.98
199401,2.07,-5.69
199402,6.52,-0.21
199403,1.75,-3.92
199404,1.57,-1.36
199405,2.42,0.40
199406,0.14,-0.79
199407,0.03,-0.19
199408,0.00,-0.27
199409,0.57,-0.27
199410,0.87,-1.49
199411,7.24,2.38
199412,5.76,-0.87
199501,21.97,14.21
199502,1.78,-4.95
199503,20.19,14.52
199504,7.55,4.62
199505,4.87,2.85
199506,2.81,1.88
199507,0.54,0.32
199508,0.00,-0.27
199509,0.00,-0.84
199510,0.01,-2.35
199511,0.59,-4.27
199512,10.63,4.00
199601,10.46,2.70
199602,11.07,4.34
199603,5.22,-0.45
199604,5.30,2.37
199605,6.13,4.11
199606,0.34,-0.59
199607,0.46,0.24
199608,0.12,-0.15
199609,0.74,-0.10
199610,2.01,-0.35
199611,4.33,-0.53
199612,20.85,14.22
199701,15.16,7.40
199702,0.56,-6.17
199703,2.05,-3.62
199704,2.06,-0.87
199705,0.81,-1.21
199706,1.68,0.75
199707,0.33,0.11
199708,0.36,0.09
199709,0.96,0.12
199710,2.66,0.30
199711,6.04,1.18
199712,4.00,-2.63
199801,12.52,4.76
199802,14.01,7.28
199803,5.80,0.13
199804,3.34,0.41
199805,5.35,3.33
199806,2.25,1.32
199807,0.27,0.05
199808,0.07,-0.20
199809,2.00,1.16
199810,1.22,-1.14
199811,9.02,4.16
199812,3.78,-2.85
199901,7.13,-0.63
199902,11.45,4.72
199903,3.65,-2.02
199904,2.20,-0.73
199905,0.48,-1.54
199906,0.62,-0.31
199907,0.06,-0.16
199908,0.49,0.22
199909,0.05,-0.79
199910,2.41,0.05
199911,4.32,-0.54
199912,1.29,-5.34
200001,11.80,4.04
200002,13.26,6.53
200003,2.66,-3.01
200004,2.91,-0.02
200005,1.84,-0.18
200006,0.36,-0.57
200007,0.01,-0.21
200008,0.02,-0.25
200009,0.62,-0.22
200010,3.55,1.19
200011,1.75,-3.11
200012,1.53,-5.10
200101,3.00,-4.76
200102,5.82,-0.91
200103,3.34,-2.33
200104,2.57,-0.36
200105,0.07,-1.95
200106,0.30,-0.63
200107,0.09,-0.13
200108,0.00,-0.27
200109,0.59,-0.25
200110,1.38,-0.98
200111,6.48,1.62
200112,10.13,3.50
200201,4.12,-3.64
200202,2.22,-4.51
200203,4.23,-1.44
200204,1.97,-0.96
200205,1.16,-0.86
200206,0.14,-0.79
200207,0.09,-0.13
200208,0.01,-0.26
200209,0.01,-0.83
200210,0.06,-2.30
200211,6.58,1.72
200212,16.89,10.26
200301,4.54,-3.22
200302,2.12,-4.61
200303,5.19,-0.48
200304,7.66,4.73
200305,1.78,-0.24
200306,0.10,-0.83
200307,0.11,-0.11
200308,1.27,1.00
200309,0.10,-0.74
200310,0.12,-2.24
200311,2.88,-1.98
200312,11.53,4.90
200401,4.01,-3.75
200402,10.93,4.20
200403,1.39,-4.28
200404,0.79,-2.14
200405,1.30,-0.72
200406,0.38,-0.55
200407,0.13,-0.09
200408,0.06,-0.21
200409,0.35,-0.49
200410,6.03,3.67
200411,2.45,-2.41
200412,8.83,2.20
200501,6.46,-1.30
200502,3.14,-3.59
200503,7.24,1.57
200504,2.85,-0.08
200505,5.72,3.70
200506,2.21,1.28
200507,0.01,-0.21
200508,0.01,-0.26
200509,0.67,-0.17
200510,1.09,-1.27
200511,4.39,-0.47
200512,20.84,14.21
200601,7.32,-0.44
200602,6.38,-0.35
200603,9.94,4.27
200604,10.29,7.36
200605,1.07,-0.95
200606,0.30,-0.63
200607,0.04,-0.18
200608,0.01,-0.26
200609,0.01,-0.83
200610,0.53,-1.83
200611,4.00,-0.86
200612,5.24,-1.39
200701,0.75,-7.01
200702,10.41,3.68
200703,1.48,-4.19
200704,2.39,-0.54
200705,1.04,-0.98
200706,0.46,-0.47
200707,0.34,0.12
200708,0.01,-0.26
200709,0.78,-0.06
200710,2.84,0.48
200711,0.97,-3.89
200712,4.44,-2.19
200801,10.48,2.72
200802,5.33,-1.40
200803,1.29,-4.38
200804,0.54,-2.39
200805,1.16,-0.86
200806,0.02,-0.91
200807,0.02,-0.20
200808,0.00,-0.27
200809,0.02,-0.82
200810,1.97,-0.39
200811,4.75,-0.11
200812,4.49,-2.14
200901,2.39,-5.37
200902,8.08,1.35
200903,6.92,1.25
200904,0.77,-2.16
200905,3.81,1.79
200906,1.32,0.39
200907,0.11,-0.11
200908,0.17,-0.10
200909,0.06,-0.78
200910,3.74,1.38
200911,2.20,-2.66
200912,4.95,-1.68
201001,9.85,2.09
201002,4.76,-1.97
201003,4.88,-0.79
201004,5.74,2.81
201005,2.78,0.76
201006,0.18,-0.75
201007,0.25,0.03
201008,0.19,-0.08
201009,0.05,-0.79
201010,5.50,3.14
201011,5.94,1.08
201012,13.12,6.49
201101,1.22,-6.54
201102,7.99,1.26
201103,11.87,6.20
201104,2.27,-0.66
201105,4.01,1.99
201106,3.48,2.55
201107,0.06,-0.16
201108,0.00,-0.27
201109,0.32,-0.52
201110,2.86,0.50
201111,1.67,-3.19
201112,0.23,-6.40
201201,6.44,-1.32
201202,2.29,-4.44
201203,10.81,5.14
201204,5.10,2.17
201205,0.31,-1.71
201206,0.80,-0.13
201207,0.18,-0.04
201208,0.05,-0.22
201209,0.02,-0.82
201210,2.27,-0.09
201211,9.96,5.10
201212,14.05,7.42
201301,1.21,-6.55
201302,0.55,-6.18
201303,2.37,-3.30
201304,1.09,-1.84
201305,1.16,-0.86
201306,0.94,0.01
201307,0.22,0.00
201308,0.27,0.00
201309,1.48,0.64
201310,0.78,-1.58
201311,1.40,-3.46
201312,0.59,-6.04
201401,1.27,-6.49
201402,7.51,0.78
201403,8.03,2.36
201404,1.55,-1.38
201405,0.75,-1.27
201406,0.02,-0.91
201407,0.20,-0.02
201408,1.21,0.94
201409,0.94,0.10
201410,1.54,-0.82
201411,3.22,-1.64
201412,12.81,6.18
201501,0.15,-7.61
201502,5.64,-1.09
201503,0.83,-4.84
201504,1.86,-1.07
201505,1.89,-0.13
201506,0.65,-0.28
201507,0.94,0.72
201508,0.12,-0.15
201509,0.27,-0.57
201510,1.73,-0.63
201511,3.96,-0.90
201512,8.19,1.56
201601,11.63,3.87
201602,2.35,-4.38
201603,11.99,6.32
201604,2.68,-0.25
201605,2.34,0.32
201606,0.62,-0.31
201607,0.00,-0.22
201608,0.05,-0.22
201609,0.08,-0.76
201610,8.86,6.50
201611,3.76,-1.10
201612,8.39,1.76
201701,20.55,12.79
201702,19.04,12.31
201703,5.73,0.06
201704,8.73,5.80
201705,0.62,-1.40
201706,0.61,-0.32
201707,0.03,-0.19
201708,0.36,0.09
201709,1.04,0.20
201710,0.76,-1.60
201711,9.98,5.12
201712,0.89,-5.74
201801,5.80,-1.96
201802,0.89,-5.84
201803,11.55,5.88
201804,4.47,1.54
201805,2.36,0.34
201806,0.33,-0.60
201807,0.07,-0.15
201808,0.00,-0.27
201809,0.00,-0.84
201810,0.87,-1.49
201811,4.39,-0.47
201812,4.63,-2.00
201901,11.38,3.62
201902,17.35,10.62
201903,7.02,1.35
201904,2.79,-0.14
201905,4.94,2.92
201906,0.50,-0.43
201907,0.03,-0.19
201908,0.11,-0.16
201909,2.35,1.51
201910,0.16,-2.20
201911,1.45,-3.41
201912,8.06,1.43
202001,3.55,-4.21
202002,0.05,-6.68
202003,4.55,-1.12
202004,2.37,-0.56
202005,3.23,1.21
202006,0.35,-0.58
202007,0.28,0.06
202008,0.09,-0.18
202009,0.00,-0.84
202010,0.01,-2.35
202011,3.26,-1.60
202012,3.92,-2.71
202101,4.82,-2.94
202102,3.11,-3.62
202103,3.30,-2.37
202104,0.76,-2.17
202105,0.27,-1.75
202106,0.16,-0.77
202107,0.20,-0.02
202108,0.01,-0.26
202109,0.61,-0.23
202110,10.52,8.16
202111,1.56,-3.30
202112,12.97,6.34
202201,0.68,-7.08
202202,0.29,-6.44
202203,1.01,-4.66
202204,5.09,2.16
202205,0.55,-1.47
202206,1.27,0.34
202207,0.01,-0.21
202208,0.10,-0.17
202209,1.30,0.46
202210,0.01,-2.35
202211,3.41,-1.45
202212,12.44,5.81
202301,14.00,6.24
202302,3.82,-2.91
202303,14.89,9.22
