Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.11,-0.16
191709,0.24,-0.60
191710,0.01,-2.35
191711,2.88,-1.98
191712,2.51,-4.12
191801,1.09,-6.67
191802,9.44,2.71
191803,7.86,2.19
191804,1.48,-1.45
191805,0.84,-1.18
191806,0.09,-0.84
191807,0.02,-0.20
191808,0.03,-0.24
191809,4.19,3.35
191810,2.41,0.05
191811,2.61,-2.25
191812,1.85,-4.78
191901,3.79,-3.97
191902,13.10,6.37
191903,4.69,-0.98
191904,1.55,-1.38
191905,0.22,-1.80
191906,0.00,-0.93
191907,0.03,-0.19
191908,0.00,-0.27
191909,1.21,0.37
191910,1.08,-1.28
191911,1.01,-3.85
191912,5.84,-0.79
192001,0.67,-7.09
192002,2.73,-4.00
192003,7.65,1.98
192004,4.85,1.92
192005,0.15,-1.87
192006,0.72,-0.21
192007,0.20,-0.02
192008,0.60,0.33
192009,0.58,-0.26
192010,3.40,1.04
192011,11.55,6.69
192012,10.06,3.43
192101,11.05,3.29
192102,2.92,-3.81
192103,4.34,-1.33
192104,0.74,-2.19
192105,2.63,0.61
192106,0.66,-0.27
192107,0.00,-0.22
192108,0.08,-0.19
192109,0.08,-0.76
192110,1.13,-1.23
192111,2.41,-2.45
192112,10.03,3.40
192201,2.93,-4.83
192202,13.74,7.01
192203,5.62,-0.05
192204,0.92,-2.01
192205,2.47,0.45
192206,0.60,-0.33
192207,0.10,-0.12
192208,0.24,-0.03
192209,0.01,-0.83
192210,2.77,0.41
192211,5.20,0.34
192212,11.31,4.68
192301,5.13,-2.63
192302,1.50,-5.23
192303,0.61,-5.06
192304,4.66,1.73
192305,1.07,-0.95
192306,2.15,1.22
192307,0.52,0.30
192308,0.60,0.33
192309,2.76,1.92
192310,1.83,-0.53
192311,0.64,-4.22
192312,2.06,-4.57
192401,2.52,-5.24
192402,3.88,-2.85
192403,2.43,-3.24
192404,0.79,-2.14
192405,0.09,-1.93
192406,0.09,-0.84
192407,0.00,-0.22
192408,0.16,-0.11
192409,0.39,-0.45
192410,5.35,2.99
192411,3.00,-1.86
192412,5.50,-1.13
192501,2.08,-5.68
192502,10.41,3.68
192503,3.33,-2.34
192504,3.07,0.14
192505,2.05,0.03
192506,1.58,0.65
192507,0.22,0.00
192508,1.05,0.78
192509,2.41,1.57
