Tehama County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.04,-0.12
191709,0.65,0.02
191710,0.00,-2.13
191711,2.42,-2.12
191712,2.66,-3.52
191801,1.09,-5.77
191802,6.01,-0.01
191803,6.71,1.70
191804,1.45,-1.23
191805,0.48,-1.05
191806,0.08,-0.63
191807,0.01,-0.06
191808,0.13,-0.03
191809,2.89,2.26
191810,1.46,-0.67
191811,3.74,-0.80
191812,2.72,-3.46
191901,4.60,-2.26
191902,9.53,3.51
191903,4.61,-0.40
191904,1.27,-1.41
191905,0.16,-1.37
191906,0.00,-0.71
191907,0.00,-0.07
191908,0.00,-0.16
191909,1.01,0.38
191910,0.90,-1.23
191911,0.60,-3.94
191912,5.26,-0.92
192001,0.57,-6.29
192002,1.96,-4.06
192003,5.90,0.89
192004,3.57,0.89
192005,0.08,-1.45
192006,0.83,0.12
192007,0.09,0.02
192008,0.35,0.19
192009,0.14,-0.49
192010,2.71,0.58
192011,11.75,7.21
192012,10.09,3.91
192101,10.72,3.86
192102,2.64,-3.38
192103,3.38,-1.63
192104,0.67,-2.01
192105,2.28,0.75
192106,0.24,-0.47
192107,0.00,-0.07
192108,0.00,-0.16
192109,0.04,-0.59
192110,1.22,-0.91
192111,2.62,-1.92
192112,8.82,2.64
192201,2.21,-4.65
192202,8.35,2.33
192203,3.11,-1.90
192204,0.54,-2.14
192205,1.60,0.07
192206,0.24,-0.47
192207,0.00,-0.07
192208,0.25,0.09
192209,0.01,-0.62
192210,4.30,2.17
192211,5.09,0.55
192212,9.65,3.47
192301,3.39,-3.47
192302,1.12,-4.90
192303,0.21,-4.80
192304,5.29,2.61
192305,0.59,-0.94
192306,2.11,1.40
192307,0.03,-0.04
192308,0.11,-0.05
192309,2.47,1.84
192310,1.27,-0.86
192311,0.85,-3.69
192312,1.64,-4.54
192401,3.85,-3.01
192402,3.67,-2.35
192403,1.89,-3.12
192404,0.56,-2.12
192405,0.03,-1.50
192406,0.06,-0.65
192407,0.00,-0.07
192408,0.22,0.06
192409,0.07,-0.56
192410,5.86,3.73
192411,3.10,-1.44
192412,6.86,0.68
192501,1.66,-5.20
192502,11.81,5.79
192503,4.00,-1.01
192504,3.68,1.00
192505,2.37,0.84
192506,1.45,0.74
192507,0.01,-0.06
192508,0.29,0.13
192509,1.36,0.73
192510,0.96,-1.17
192511,2.68,-1.86
192512,2.99,-3.19
192601,6.68,-0.18
192602,8.77,2.75
192603,0.32,-4.69
192604,7.51,4.83
192605,1.45,-0.08
192606,0.00,-0.71
192607,0.03,-0.04
192608,0.44,0.28
192609,0.03,-0.60
192610,1.95,-0.18
192611,11.69,7.15
192612,4.35,-1.83
192701,5.76,-1.10
192702,10.55,4.53
192703,2.63,-2.38
192704,2.94,0.26
192705,1.24,-0.29
192706,0.73,0.02
192707,0.00,-0.07
192708,0.01,-0.15
192709,0.10,-0.53
192710,2.31,0.18
192711,7.41,2.87
192712,5.87,-0.31
192801,3.47,-3.39
192802,3.79,-2.23
192803,7.84,2.83
192804,2.22,-0.46
192805,0.13,-1.40
192806,0.12,-0.59
192807,0.01,-0.06
192808,0.01,-0.15
192809,0.12,-0.51
192810,0.72,-1.41
192811,6.63,2.09
192812,4.73,-1.45
192901,1.83,-5.03
192902,3.58,-2.44
192903,2.23,-2.78
192904,2.38,-0.30
192905,0.10,-1.43
192906,2.21,1.50
192907,0.00,-0.07
192908,0.00,-0.16
192909,0.00,-0.63
192910,0.29,-1.84
192911,0.00,-4.54
192912,10.09,3.91
193001,6.45,-0.41
193002,5.06,-0.96
193003,4.68,-0.33
193004,2.35,-0.33
193005,2.17,0.64
193006,0.02,-0.69
193007,0.01,-0.06
193008,0.00,-0.16
193009,1.11,0.48
193010,0.73,-1.40
193011,2.05,-2.49
193012,1.17,-5.01
193101,6.48,-0.38
193102,2.73,-3.29
193103,2.08,-2.93
193104,0.81,-1.87
193105,1.65,0.12
193106,1.31,0.60
193107,0.00,-0.07
193108,0.00,-0.16
193109,0.27,-0.36
193110,1.92,-0.21
193111,3.06,-1.48
193112,11.82,5.64
193201,3.18,-3.68
193202,1.03,-4.99
193203,1.91,-3.10
193204,3.24,0.56
193205,2.60,1.07
193206,0.26,-0.45
193207,0.04,-0.03
193208,0.01,-0.15
193209,0.00,-0.63
193210,0.18,-1.95
193211,1.57,-2.97
193212,4.23,-1.95
193301,6.39,-0.47
193302,1.25,-4.77
193303,4.29,-0.72
193304,0.91,-1.77
193305,1.98,0.45
193306,0.05,-0.66
193307,0.03,-0.04
193308,0.01,-0.15
193309,0.26,-0.37
193310,2.60,0.47
193311,0.01,-4.53
193312,11.62,5.44
193401,2.48,-4.38
193402,5.23,-0.79
193403,2.14,-2.87
193404,1.90,-0.78
193405,1.32,-0.21
193406,1.02,0.31
193407,0.00,-0.07
193408,0.01,-0.15
193409,0.38,-0.25
193410,2.91,0.78
193411,7.15,2.61
193412,3.66,-2.52
193501,8.20,1.34
193502,5.00,-1.02
193503,5.31,0.30
193504,7.49,4.81
