Kern County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.04,-0.01
191708,0.07,-0.01
191709,0.01,-0.17
191710,0.01,-0.36
191711,0.38,-0.40
191712,0.06,-1.27
191801,0.52,-1.24
191802,3.27,1.46
191803,3.01,1.43
191804,0.04,-0.72
191805,0.11,-0.19
191806,0.04,-0.02
191807,0.26,0.21
191808,0.04,-0.04
191809,0.74,0.56
191810,0.25,-0.12
191811,1.06,0.28
191812,1.43,0.10
191901,0.27,-1.49
191902,1.53,-0.28
191903,1.74,0.16
191904,0.17,-0.59
191905,0.59,0.29
191906,0.00,-0.06
191907,0.03,-0.02
191908,0.00,-0.08
191909,0.41,0.23
191910,0.18,-0.19
191911,0.53,-0.25
191912,0.81,-0.52
192001,0.79,-0.97
192002,2.08,0.27
192003,2.75,1.17
192004,0.26,-0.50
192005,0.03,-0.27
192006,0.04,-0.02
192007,0.00,-0.05
192008,0.05,-0.03
192009,0.00,-0.18
192010,0.31,-0.06
192011,0.44,-0.34
192012,0.99,-0.34
192101,1.94,0.18
192102,0.85,-0.96
192103,0.63,-0.95
192104,0.26,-0.50
192105,1.28,0.98
192106,0.02,-0.04
192107,0.01,-0.04
192108,0.01,-0.07
192109,0.12,-0.06
192110,0.24,-0.13
192111,0.17,-0.61
192112,3.77,2.44
192201,2.75,0.99
192202,1.99,0.18
192203,1.77,0.19
192204,0.40,-0.36
192205,0.63,0.33
192206,0.09,0.03
192207,0.06,0.01
192208,0.02,-0.06
192209,0.00,-0.18
192210,0.25,-0.12
192211,0.94,0.16
192212,1.93,0.60
192301,1.19,-0.57
192302,0.35,-1.46
192303,0.22,-1.36
192304,1.47,0.71
192305,0.02,-0.28
192306,0.02,-0.04
192307,0.00,-0.05
192308,0.04,-0.04
192309,0.25,0.07
192310,0.69,0.32
192311,0.76,-0.02
192312,0.38,-0.95
192401,0.18,-1.58
192402,0.35,-1.46
192403,2.00,0.42
192404,0.80,0.04
192405,0.02,-0.28
192406,0.00,-0.06
192407,0.00,-0.05
192408,0.00,-0.08
192409,0.07,-0.11
192410,0.35,-0.02
192411,0.39,-0.39
192412,0.93,-0.40
192501,0.35,-1.41
192502,0.90,-0.91
192503,2.07,0.49
192504,1.26,0.50
192505,0.39,0.09
192506,0.22,0.16
192507,0.03,-0.02
192508,0.16,0.08
192509,0.00,-0.18
192510,0.38,0.01
192511,0.44,-0.34
192512,0.97,-0.36
192601,0.70,-1.06
192602,1.26,-0.55
192603,0.46,-1.12
192604,2.45,1.69
192605,0.15,-0.15
192606,0.02,-0.04
192607,0.00,-0.05
192608,0.01,-0.07
192609,0.00,-0.18
192610,0.19,-0.18
192611,2.14,1.36
192612,1.13,-0.20
192701,0.60,-1.16
192702,3.01,1.20
192703,1.27,-0.31
192704,0.29,-0.47
192705,0.23,-0.07
192706,0.02,-0.04
192707,0.08,0.03
192708,0.01,-0.07
192709,0.01,-0.17
192710,1.48,1.11
192711,0.48,-0.30
192712,1.28,-0.05
192801,0.42,-1.34
192802,1.16,-0.65
192803,0.85,-0.73
192804,0.22,-0.54
192805,0.90,0.60
192806,0.00,-0.06
192807,0.00,-0.05
192808,0.00,-0.08
192809,0.00,-0.18
192810,0.04,-0.33
192811,1.11,0.33
192812,1.48,0.15
192901,0.72,-1.04
192902,0.58,-1.23
192903,1.25,-0.33
192904,0.82,0.06
192905,0.02,-0.28
192906,0.20,0.14
192907,0.00,-0.05
192908,0.03,-0.05
192909,0.14,-0.04
192910,0.02,-0.35
192911,0.00,-0.78
192912,0.09,-1.24
193001,2.24,0.48
193002,1.23,-0.58
193003,1.62,0.04
193004,0.38,-0.38
193005,1.20,0.90
193006,0.00,-0.06
193007,0.00,-0.05
193008,0.02,-0.06
193009,0.10,-0.08
193010,0.08,-0.29
193011,1.11,0.33
193012,0.01,-1.32
193101,1.85,0.09
193102,2.42,0.61
193103,0.13,-1.45
193104,0.72,-0.04
193105,0.23,-0.07
193106,0.26,0.20
193107,0.06,0.01
193108,0.44,0.36
193109,0.04,-0.14
193110,0.09,-0.28
193111,1.29,0.51
193112,3.76,2.43
193201,1.52,-0.24
193202,2.84,1.03
193203,0.48,-1.10
193204,0.56,-0.20
193205,0.63,0.33
193206,0.08,0.02
193207,0.00,-0.05
193208,0.00,-0.08
193209,0.52,0.34
193210,0.12,-0.25
193211,0.07,-0.71
193212,1.57,0.24
193301,4.38,2.62
193302,0.29,-1.52
193303,0.20,-1.38
193304,0.19,-0.57
193305,0.57,0.27
193306,0.31,0.25
193307,0.00,-0.05
193308,0.17,0.09
193309,0.00,-0.18
193310,0.33,-0.04
193311,0.05,-0.73
193312,1.32,-0.01
193401,0.67,-1.09
193402,1.25,-0.56
193403,0.08,-1.50
193404,0.00,-0.76
193405,0.32,0.02
193406,0.31,0.25
193407,0.03,-0.02
193408,0.01,-0.07
193409,0.02,-0.16
193410,1.06,0.69
193411,1.89,1.11
193412,1.90,0.57
193501,2.64,0.88
193502,1.83,0.02
193503,1.91,0.33
193504,1.29,0.53
193505,0.09,-0.21
193506,0.00,-0.06
193507,0.01,-0.04
193508,0.21,0.13
193509,0.31,0.13
193510,0.38,0.01
193511,0.25,-0.53
193512,0.88,-0.45
193601,0.41,-1.35
193602,4.36,2.55
193603,1.12,-0.46
193604,0.59,-0.17
193605,0.17,-0.13
193606,0.10,0.04
193607,0.05,0.00
193608,0.14,0.06
193609,0.00,-0.18
193610,1.44,1.07
193611,0.05,-0.73
193612,3.50,2.17
193701,1.74,-0.02
193702,2.90,1.09
193703,3.23,1.65
193704,0.40,-0.36
193705,0.12,-0.18
193706,0.02,-0.04
193707,0.09,0.04
193708,0.00,-0.08
193709,0.00,-0.18
193710,0.07,-0.30
193711,0.09,-0.69
193712,1.68,0.35
193801,1.39,-0.37
193802,3.41,1.60
193803,4.76,3.18
193804,1.75,0.99
193805,0.22,-0.08
193806,0.03,-0.03
193807,0.14,0.09
193808,0.08,0.00
193809,0.11,-0.07
193810,0.21,-0.16
193811,0.08,-0.70
193812,2.52,1.19
193901,2.16,0.40
193902,1.01,-0.80
193903,2.06,0.48
193904,0.52,-0.24
193905,0.35,0.05
193906,0.01,-0.05
193907,0.00,-0.05
193908,0.07,-0.01
193909,0.82,0.64
193910,0.48,0.11
193911,0.06,-0.72
193912,0.42,-0.91
194001,2.55,0.79
194002,2.85,1.04
194003,0.84,-0.74
194004,1.56,0.80
194005,0.08,-0.22
194006,0.00,-0.06
194007,0.00,-0.05
194008,0.00,-0.08
194009,0.04,-0.14
194010,1.36,0.99
194011,0.14,-0.64
194012,2.69,1.36
194101,2.23,0.47
194102,4.11,2.30
194103,3.36,1.78
194104,2.74,1.98
194105,0.14,-0.16
194106,0.01,-0.05
194107,0.01,-0.04
194108,0.08,0.00
194109,0.00,-0.18
194110,1.11,0.74
194111,0.48,-0.30
194112,4.06,2.73
194201,0.39,-1.37
194202,0.50,-1.31
194203,0.73,-0.85
194204,1.38,0.62
194205,0.23,-0.07
194206,0.00,-0.06
194207,0.00,-0.05
194208,0.16,0.08
194209,0.00,-0.18
194210,0.40,0.03
194211,0.31,-0.47
194212,1.23,-0.10
194301,5.13,3.37
194302,1.77,-0.04
194303,2.23,0.65
194304,2.07,1.31
194305,0.15,-0.15
194306,0.00,-0.06
194307,0.01,-0.04
194308,0.00,-0.08
194309,0.08,-0.10
194310,0.27,-0.10
194311,0.25,-0.53
194312,3.56,2.23
194401,1.01,-0.75
194402,4.48,2.67
194403,0.84,-0.74
194404,0.49,-0.27
194405,0.28,-0.02
