San Francisco County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199305,1.01,0.33
199306,0.42,0.22
199307,0.00,-0.01
199308,0.00,-0.07
199309,0.01,-0.24
199310,0.53,-0.67
199311,2.52,-0.37
199312,2.84,-1.45
199401,2.80,-2.47
199402,5.12,0.68
199403,0.33,-3.15
199404,1.47,-0.07
199405,1.67,0.99
199406,0.06,-0.14
199407,0.00,-0.01
199408,0.00,-0.07
199409,0.14,-0.11
199410,0.47,-0.73
199411,8.96,6.07
199412,3.42,-0.87
199501,11.08,5.81
199502,0.47,-3.97
199503,9.38,5.90
199504,1.87,0.33
199505,1.21,0.53
199506,0.86,0.66
199507,0.01,0.00
199508,0.00,-0.07
199509,0.00,-0.25
199510,0.05,-1.15
199511,0.11,-2.78
199512,8.60,4.31
199601,7.36,2.09
199602,6.67,2.23
199603,2.16,-1.32
199604,2.23,0.69
199605,2.42,1.74
199606,0.00,-0.20
199607,0.00,-0.01
199608,0.00,-0.07
199609,0.05,-0.20
199610,1.30,0.10
199611,4.05,1.16
199612,9.10,4.81
199701,8.99,3.72
199702,0.33,-4.11
199703,0.54,-2.94
199704,0.48,-1.06
199705,0.25,-0.43
199706,0.42,0.22
199707,0.00,-0.01
199708,0.54,0.47
199709,0.07,-0.18
199710,1.13,-0.07
199711,8.02,5.13
199712,3.40,-0.89
199801,11.76,6.49
199802,16.45,12.01
199803,2.82,-0.66
199804,2.17,0.63
199805,3.75,3.07
199806,0.10,-0.10
199807,0.02,0.01
199808,0.01,-0.06
199809,0.11,-0.14
199810,0.93,-0.27
199811,4.45,1.56
199812,1.40,-2.89
199901,4.56,-0.71
199902,7.33,2.89
199903,2.95,-0.53
199904,2.52,0.98
199905,0.15,-0.53
199906,0.14,-0.06
199907,0.00,-0.01
199908,0.11,0.04
199909,0.28,0.03
199910,0.71,-0.49
199911,2.47,-0.42
199912,0.62,-3.67
200001,7.22,1.95
200002,10.14,5.70
200003,2.45,-1.03
200004,1.89,0.35
200005,1.43,0.75
200006,0.21,0.01
200007,0.02,0.01
200008,0.02,-0.05
200009,0.28,0.03
200010,2.96,1.76
200011,0.97,-1.92
200012,0.86,-3.43
200101,4.16,-1.11
200102,7.56,3.12
200103,1.63,-1.85
200104,1.82,0.28
200105,0.00,-0.68
200106,0.16,-0.04
200107,0.01,0.00
200108,0.03,-0.04
200109,0.18,-0.07
200110,0.49,-0.71
200111,5.89,3.00
200112,11.24,6.95
200201,2.11,-3.16
200202,2.37,-2.07
200203,2.61,-0.87
200204,0.43,-1.11
200205,0.89,0.21
200206,0.02,-0.18
200207,0.00,-0.01
200208,0.02,-0.05
200209,0.01,-0.24
200210,0.03,-1.17
200211,2.93,0.04
200212,13.49,9.20
200301,1.85,-3.42
200302,2.38,-2.06
200303,1.71,-1.77
200304,3.82,2.28
200305,1.02,0.34
200306,0.00,-0.20
200307,0.00,-0.01
200308,0.05,-0.02
200309,0.01,-0.24
200310,0.04,-1.16
200311,2.05,-0.84
200312,8.34,4.05
200401,3.55,-1.72
200402,6.35,1.91
200403,1.00,-2.48
200404,0.26,-1.28
200405,0.10,-0.58
200406,0.00,-0.20
200407,0.00,-0.01
200408,0.04,-0.03
200409,0.11,-0.14
200410,3.40,2.20
200411,1.84,-1.05
200412,7.77,3.48
200501,4.30,-0.97
200502,4.97,0.53
200503,5.03,1.55
200504,2.22,0.68
200505,1.77,1.09
200506,0.81,0.61
200507,0.03,0.02
200508,0.02,-0.05
200509,0.04,-0.21
200510,0.45,-0.75
200511,2.09,-0.80
200512,12.08,7.79
200601,3.81,-1.46
200602,3.06,-1.38
200603,9.30,5.82
200604,5.00,3.46
200605,0.51,-0.17
200606,0.00,-0.20
200607,0.00,-0.01
200608,0.00,-0.07
200609,0.00,-0.25
200610,0.63,-0.57
200611,2.95,0.06
200612,5.04,0.75
200701,0.84,-4.43
200702,5.16,0.72
200703,0.46,-3.02
200704,1.46,-0.08
200705,0.42,-0.26
200706,0.00,-0.20
200707,0.06,0.05
200708,0.00,-0.07
200709,0.16,-0.09
200710,2.58,1.38
200711,1.07,-1.82
200712,3.89,-0.40
200801,9.89,4.62
200802,2.73,-1.71
200803,0.29,-3.19
200804,0.17,-1.37
200805,0.03,-0.65
200806,0.00,-0.20
200807,0.01,0.00
200808,0.04,-0.03
200809,0.00,-0.25
200810,0.52,-0.68
200811,2.83,-0.06
200812,3.10,-1.19
200901,1.01,-4.26
200902,8.57,4.13
200903,3.05,-0.43
200904,0.40,-1.14
200905,1.07,0.39
200906,0.03,-0.17
200907,0.02,0.01
200908,0.01,-0.06
200909,0.41,0.16
200910,4.26,3.06
200911,0.55,-2.34
200912,3.15,-1.14
201001,7.94,2.67
201002,3.86,-0.58
201003,3.24,-0.24
201004,3.81,2.27
201005,1.03,0.35
201006,0.05,-0.15
201007,0.00,-0.01
201008,0.02,-0.05
201009,0.03,-0.22
201010,1.93,0.73
201011,3.49,0.60
201012,8.24,3.95
201101,1.45,-3.82
201102,5.09,0.65
201103,8.11,4.63
201104,0.59,-0.95
201105,1.19,0.51
201106,1.02,0.82
201107,0.03,0.02
201108,0.02,-0.05
201109,0.00,-0.25
201110,1.72,0.52
201111,1.80,-1.09
201112,0.14,-4.15
201201,3.14,-2.13
201202,1.11,-3.33
201203,7.00,3.52
201204,2.99,1.45
201205,0.03,-0.65
201206,0.16,-0.04
201207,0.02,0.01
201208,0.01,-0.06
201209,0.00,-0.25
201210,1.64,0.44
201211,5.92,3.03
201212,8.85,4.56
201301,0.59,-4.68
201302,0.81,-3.63
201303,0.80,-2.68
201304,1.14,-0.40
201305,0.06,-0.62
201306,0.28,0.08
201307,0.00,-0.01
201308,0.06,-0.01
201309,0.61,0.36
201310,0.01,-1.19
201311,1.39,-1.50
201312,0.46,-3.83
201401,0.08,-5.19
201402,6.25,1.81
201403,3.30,-0.18
201404,1.74,0.20
201405,0.10,-0.58
201406,0.01,-0.19
201407,0.03,0.02
201408,0.01,-0.06
201409,0.58,0.33
201410,0.61,-0.59
201411,2.57,-0.32
201412,13.46,9.17
201501,0.00,-5.27
201502,2.11,-2.33
201503,0.13,-3.35
201504,1.54,0.00
201505,0.11,-0.57
201506,0.23,0.03
201507,0.06,0.05
201508,0.02,-0.05
201509,0.08,-0.17
201510,0.02,-1.18
201511,1.66,-1.23
201512,5.19,0.90
201601,7.46,2.19
201602,1.03,-3.41
201603,7.20,3.72
201604,1.48,-0.06
201605,0.16,-0.52
201606,0.01,-0.19
201607,0.02,0.01
201608,0.01,-0.06
201609,0.00,-0.25
201610,3.63,2.43
201611,2.31,-0.58
201612,5.54,1.25
201701,10.63,5.36
201702,9.26,4.82
201703,4.12,0.64
201704,2.90,1.36
201705,0.01,-0.67
201706,0.19,-0.01
201707,0.00,-0.01
201708,0.01,-0.06
201709,0.27,0.02
201710,0.28,-0.92
201711,3.77,0.88
201712,0.15,-4.14
201801,5.61,0.34
201802,0.40,-4.04
201803,5.38,1.90
201804,4.12,2.58
201805,0.05,-0.63
201806,0.00,-0.20
201807,0.00,-0.01
201808,0.01,-0.06
201809,0.03,-0.22
201810,0.31,-0.89
201811,4.22,1.33
201812,2.38,-1.91
201901,5.57,0.30
201902,9.46,5.02
201903,5.21,1.73
201904,0.47,-1.07
201905,2.51,1.83
201906,0.00,-0.20
201907,0.00,-0.01
201908,0.00,-0.07
201909,0.12,-0.13
201910,0.00,-1.20
201911,1.44,-1.45
201912,4.78,0.49
202001,2.45,-2.82
202002,0.00,-4.44
202003,2.28,-1.20
202004,1.18,-0.36
202005,0.62,-0.06
202006,0.00,-0.20
202007,0.03,0.02
202008,0.06,-0.01
202009,0.00,-0.25
202010,0.01,-1.19
202011,0.64,-2.25
202012,2.17,-2.12
202101,3.20,-2.07
202102,1.73,-2.71
202103,1.85,-1.63
202104,0.11,-1.43
202105,0.01,-0.67
202106,0.01,-0.19
202107,0.01,0.00
202108,0.02,-0.05
202109,0.05,-0.20
202110,6.44,5.24
202111,1.64,-1.25
202112,9.59,5.30
202201,0.63,-4.64
202202,0.03,-4.41
202203,0.61,-2.87
202204,1.58,0.04
202205,0.01,-0.67
202206,0.36,0.16
202207,0.04,0.03
202208,0.01,-0.06
202209,0.40,0.15
202210,0.00,-1.20
202211,1.78,-1.11
202212,12.43,8.14
202301,10.35,5.08
202302,3.69,-0.75
202303,7.95,4.47
