San Francisco County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.00,-0.07
191709,0.12,-0.13
191710,0.01,-1.19
191711,0.67,-2.22
191712,1.60,-2.69
191801,1.04,-4.23
191802,4.88,0.44
191803,3.15,-0.33
191804,0.64,-0.90
191805,0.01,-0.67
191806,0.02,-0.18
191807,0.00,-0.01
191808,0.00,-0.07
191809,1.21,0.96
191810,0.35,-0.85
191811,4.18,1.29
191812,2.41,-1.88
191901,2.57,-2.70
191902,10.37,5.93
191903,3.10,-0.38
191904,0.15,-1.39
191905,0.01,-0.67
191906,0.00,-0.20
191907,0.00,-0.01
191908,0.00,-0.07
191909,0.72,0.47
191910,0.30,-0.90
191911,0.33,-2.56
191912,4.64,0.35
192001,0.65,-4.62
192002,1.05,-3.39
192003,3.82,0.34
192004,2.47,0.93
192005,0.00,-0.68
192006,0.36,0.16
192007,0.01,0.00
192008,0.04,-0.03
192009,0.14,-0.11
192010,2.12,0.92
192011,3.80,0.91
192012,6.86,2.57
192101,7.03,1.76
192102,1.44,-3.00
192103,2.16,-1.32
192104,0.62,-0.92
192105,0.74,0.06
192106,0.01,-0.19
192107,0.00,-0.01
192108,0.00,-0.07
192109,0.27,0.02
192110,0.60,-0.60
192111,1.73,-1.16
192112,7.80,3.51
192201,2.76,-2.51
192202,6.09,1.65
192203,3.24,-0.24
192204,0.52,-1.02
192205,0.66,-0.02
192206,0.25,0.05
192207,0.00,-0.01
192208,0.00,-0.07
192209,0.00,-0.25
192210,3.08,1.88
192211,4.25,1.36
192212,8.92,4.63
192301,3.21,-2.06
192302,0.91,-3.53
192303,0.13,-3.35
192304,3.91,2.37
192305,0.05,-0.63
192306,0.17,-0.03
192307,0.00,-0.01
192308,0.06,-0.01
192309,0.64,0.39
192310,0.52,-0.68
192311,0.50,-2.39
192312,1.95,-2.34
192401,3.00,-2.27
192402,3.22,-1.22
192403,1.88,-1.60
192404,0.29,-1.25
192405,0.02,-0.66
192406,0.00,-0.20
192407,0.00,-0.01
192408,0.02,-0.05
192409,0.00,-0.25
192410,3.26,2.06
192411,1.92,-0.97
192412,6.70,2.41
192501,1.59,-3.68
192502,8.95,4.51
192503,2.67,-0.81
192504,2.57,1.03
192505,3.59,2.91
192506,0.05,-0.15
192507,0.08,0.07
192508,0.01,-0.06
192509,0.51,0.26
192510,0.31,-0.89
192511,2.30,-0.59
192512,1.28,-3.01
192601,5.57,0.30
192602,6.07,1.63
192603,0.32,-3.16
192604,5.23,3.69
192605,0.20,-0.48
192606,0.00,-0.20
192607,0.00,-0.01
192608,0.07,0.00
192609,0.00,-0.25
192610,2.30,1.10
192611,8.29,5.40
192612,1.17,-3.12
192701,3.76,-1.51
192702,7.61,3.17
192703,2.30,-1.18
192704,2.28,0.74
192705,0.13,-0.55
192706,0.45,0.25
192707,0.00,-0.01
192708,0.00,-0.07
192709,0.00,-0.25
192710,2.08,0.88
192711,3.29,0.40
192712,3.76,-0.53
192801,2.14,-3.13
192802,2.08,-2.36
192803,5.18,1.70
192804,1.53,-0.01
192805,0.34,-0.34
192806,0.00,-0.20
192807,0.00,-0.01
192808,0.00,-0.07
192809,0.03,-0.22
192810,0.13,-1.07
192811,3.49,0.60
192812,4.99,0.70
192901,1.21,-4.06
192902,2.17,-2.27
192903,1.72,-1.76
192904,1.33,-0.21
192905,0.03,-0.65
192906,1.02,0.82
192907,0.00,-0.01
192908,0.00,-0.07
192909,0.00,-0.25
192910,0.03,-1.17
192911,0.00,-2.89
192912,3.73,-0.56
193001,5.39,0.12
193002,3.15,-1.29
193003,3.55,0.07
193004,1.50,-0.04
193005,0.26,-0.42
193006,0.00,-0.20
193007,0.00,-0.01
193008,0.05,-0.02
193009,0.18,-0.07
193010,0.91,-0.29
193011,1.71,-1.18
193012,0.75,-3.54
193101,5.72,0.45
193102,1.25,-3.19
193103,1.77,-1.71
193104,0.39,-1.15
193105,1.26,0.58
193106,0.63,0.43
193107,0.01,0.00
193108,0.00,-0.07
193109,0.00,-0.25
193110,1.00,-0.20
193111,2.88,-0.01
193112,10.06,5.77
193201,3.11,-2.16
193202,3.24,-1.20
193203,0.93,-2.55
193204,0.69,-0.85
193205,0.79,0.11
193206,0.03,-0.17
193207,0.00,-0.01
193208,0.00,-0.07
193209,0.00,-0.25
193210,0.01,-1.19
193211,0.84,-2.05
193212,3.13,-1.16
193301,6.49,1.22
193302,1.08,-3.36
193303,3.26,-0.22
193304,0.07,-1.47
193305,1.57,0.89
193306,0.02,-0.18
193307,0.00,-0.01
193308,0.00,-0.07
193309,0.10,-0.15
193310,2.23,1.03
193311,0.00,-2.89
193312,5.14,0.85
193401,1.25,-4.02
193402,5.03,0.59
193403,0.09,-3.39
193404,0.52,-1.02
193405,0.39,-0.29
193406,0.83,0.63
193407,0.02,0.01
193408,0.00,-0.07
193409,0.19,-0.06
193410,1.07,-0.13
193411,4.07,1.18
193412,4.14,-0.15
193501,6.75,1.48
193502,2.28,-2.16
193503,3.55,0.07
193504,4.22,2.68
193505,0.01,-0.67
193506,0.00,-0.20
193507,0.00,-0.01
193508,0.45,0.38
193509,0.06,-0.19
193510,1.42,0.22
193511,1.18,-1.71
193512,3.13,-1.16
193601,6.10,0.83
193602,10.60,6.16
193603,1.18,-2.30
193604,1.49,-0.05
193605,0.55,-0.13
193606,0.51,0.31
193607,0.05,0.04
193608,0.02,-0.05
193609,0.00,-0.25
193610,0.61,-0.59
193611,0.01,-2.88
193612,3.99,-0.30
193701,5.77,0.50
193702,6.25,1.81
193703,7.71,4.23
193704,1.06,-0.48
193705,0.08,-0.60
193706,0.79,0.59
193707,0.00,-0.01
193708,0.00,-0.07
193709,0.00,-0.25
193710,1.12,-0.08
193711,3.55,0.66
193712,5.16,0.87
193801,3.40,-1.87
193802,10.23,5.79
193803,7.09,3.61
193804,1.95,0.41
193805,0.00,-0.68
193806,0.00,-0.20
193807,0.03,0.02
193808,0.00,-0.07
193809,0.19,-0.06
193810,1.52,0.32
193811,1.30,-1.59
193812,1.62,-2.67
193901,3.34,-1.93
193902,2.08,-2.36
193903,2.66,-0.82
193904,0.40,-1.14
193905,0.82,0.14
193906,0.00,-0.20
193907,0.00,-0.01
193908,0.00,-0.07
193909,0.93,0.68
193910,0.40,-0.80
193911,0.32,-2.57
193912,1.21,-3.08
194001,11.82,6.55
194002,9.26,4.82
194003,6.03,2.55
194004,0.89,-0.65
194005,0.83,0.15
194006,0.03,-0.17
194007,0.00,-0.01
194008,0.03,-0.04
194009,0.45,0.20
194010,1.28,0.08
194011,1.98,-0.91
194012,7.58,3.29
194101,8.76,3.49
194102,7.80,3.36
194103,4.90,1.42
194104,4.60,3.06
194105,1.21,0.53
194106,0.09,-0.11
194107,0.03,0.02
194108,0.05,-0.02
194109,0.03,-0.22
194110,1.08,-0.12
194111,2.53,-0.36
194112,7.99,3.70
194201,5.48,0.21
194202,5.14,0.70
194203,2.86,-0.62
194204,4.14,2.60
194205,1.42,0.74
194206,0.00,-0.20
194207,0.03,0.02
194208,0.00,-0.07
194209,0.19,-0.06
194210,1.11,-0.09
194211,4.83,1.94
194212,3.72,-0.57
194301,7.35,2.08
194302,2.25,-2.19
194303,3.77,0.29
194304,1.88,0.34
194305,0.11,-0.57
194306,0.10,-0.10
