Sutter County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199307,0.00,0.00
199308,0.01,-0.02
199309,0.00,-0.27
199310,0.72,-0.30
199311,2.29,0.05
199312,2.27,-0.92
199401,2.75,-1.18
199402,3.61,0.12
199403,0.36,-2.31
199404,0.79,-0.48
199405,0.96,0.31
199406,0.00,-0.21
199407,0.00,0.00
199408,0.00,-0.03
199409,0.05,-0.22
199410,0.82,-0.20
199411,4.17,1.93
199412,3.57,0.38
199501,11.67,7.74
199502,0.25,-3.24
199503,8.61,5.94
199504,1.28,0.01
199505,1.62,0.97
199506,0.99,0.78
199507,0.00,0.00
199508,0.00,-0.03
199509,0.00,-0.27
199510,0.00,-1.02
199511,0.03,-2.21
199512,4.99,1.80
199601,3.86,-0.07
199602,6.54,3.05
199603,2.09,-0.58
199604,2.93,1.66
199605,2.33,1.68
199606,0.04,-0.17
199607,0.00,0.00
199608,0.00,-0.03
199609,0.02,-0.25
199610,1.88,0.86
199611,1.73,-0.51
199612,6.27,3.08
199701,8.64,4.71
199702,0.27,-3.22
199703,0.93,-1.74
199704,0.46,-0.81
199705,0.38,-0.27
199706,0.56,0.35
199707,0.00,0.00
199708,0.26,0.23
199709,0.25,-0.02
199710,1.09,0.07
199711,4.52,2.28
199712,2.20,-0.99
199801,6.85,2.92
199802,10.78,7.29
199803,2.28,-0.39
199804,2.10,0.83
199805,3.27,2.62
199806,0.15,-0.06
199807,0.00,0.00
199808,0.00,-0.03
199809,0.37,0.10
199810,1.09,0.07
199811,3.11,0.87
199812,1.17,-2.02
199901,2.56,-1.37
199902,4.57,1.08
199903,1.52,-1.15
199904,1.21,-0.06
199905,0.12,-0.53
199906,0.19,-0.02
199907,0.00,0.00
199908,0.04,0.01
199909,0.01,-0.26
199910,0.35,-0.67
199911,1.85,-0.39
199912,0.28,-2.91
200001,5.03,1.10
200002,7.88,4.39
200003,2.04,-0.63
200004,1.52,0.25
200005,1.20,0.55
200006,0.19,-0.02
200007,0.00,0.00
200008,0.00,-0.03
200009,0.24,-0.03
200010,2.18,1.16
200011,0.75,-1.49
200012,0.43,-2.76
200101,3.76,-0.17
200102,4.50,1.01
200103,1.86,-0.81
200104,1.31,0.04
200105,0.00,-0.65
200106,0.12,-0.09
200107,0.00,0.00
200108,0.00,-0.03
200109,0.32,0.05
200110,0.98,-0.04
200111,3.71,1.47
200112,5.73,2.54
200201,2.82,-1.11
200202,0.85,-2.64
200203,2.72,0.05
200204,0.20,-1.07
200205,1.27,0.62
200206,0.00,-0.21
200207,0.00,0.00
200208,0.00,-0.03
200209,0.00,-0.27
200210,0.00,-1.02
200211,2.19,-0.05
200212,6.93,3.74
200301,2.32,-1.61
200302,1.72,-1.77
200303,2.28,-0.39
200304,3.28,2.01
200305,1.00,0.35
200306,0.00,-0.21
200307,0.00,0.00
200308,0.28,0.25
200309,0.00,-0.27
200310,0.04,-0.98
200311,2.13,-0.11
200312,5.24,2.05
200401,2.63,-1.30
200402,5.68,2.19
200403,1.06,-1.61
200404,0.21,-1.06
200405,0.07,-0.58
200406,0.00,-0.21
200407,0.00,0.00
200408,0.00,-0.03
200409,0.05,-0.22
200410,2.90,1.88
200411,2.49,0.25
200412,3.65,0.46
200501,4.18,0.25
200502,2.65,-0.84
200503,2.50,-0.17
200504,0.90,-0.37
200505,1.96,1.31
200506,0.82,0.61
200507,0.00,0.00
200508,0.00,-0.03
200509,0.05,-0.22
200510,0.52,-0.50
200511,2.15,-0.09
200512,8.33,5.14
200601,2.39,-1.54
200602,2.57,-0.92
200603,5.38,2.71
200604,3.88,2.61
200605,0.50,-0.15
200606,0.00,-0.21
200607,0.00,0.00
200608,0.00,-0.03
200609,0.01,-0.26
200610,0.10,-0.92
200611,1.75,-0.49
200612,2.90,-0.29
200701,0.13,-3.80
200702,3.99,0.50
200703,0.26,-2.41
200704,1.41,0.14
200705,0.35,-0.30
200706,0.05,-0.16
200707,0.02,0.02
200708,0.00,-0.03
200709,0.31,0.04
200710,1.53,0.51
200711,0.67,-1.57
200712,3.00,-0.19
200801,7.58,3.65
200802,2.49,-1.00
200803,0.16,-2.51
200804,0.11,-1.16
200805,0.05,-0.60
200806,0.00,-0.21
200807,0.00,0.00
200808,0.01,-0.02
200809,0.00,-0.27
200810,0.80,-0.22
200811,2.14,-0.10
200812,1.87,-1.32
200901,1.13,-2.80
200902,4.61,1.12
200903,1.80,-0.87
200904,0.44,-0.83
200905,1.22,0.57
200906,0.33,0.12
200907,0.00,0.00
200908,0.00,-0.03
200909,0.19,-0.08
200910,2.22,1.20
200911,0.76,-1.48
200912,2.20,-0.99
201001,6.23,2.30
201002,2.54,-0.95
201003,1.63,-1.04
201004,3.03,1.76
201005,0.98,0.33
201006,0.01,-0.20
201007,0.00,0.00
201008,0.00,-0.03
201009,0.07,-0.20
201010,1.56,0.54
201011,2.58,0.34
201012,5.80,2.61
201101,1.49,-2.44
201102,4.11,0.62
201103,6.59,3.92
201104,0.45,-0.82
201105,1.97,1.32
201106,1.10,0.89
201107,0.00,0.00
201108,0.00,-0.03
201109,0.02,-0.25
201110,1.28,0.26
201111,1.02,-1.22
201112,0.14,-3.05
201201,3.61,-0.32
201202,1.05,-2.44
201203,4.31,1.64
201204,2.44,1.17
201205,0.01,-0.64
201206,0.06,-0.15
201207,0.01,0.01
201208,0.00,-0.03
201209,0.00,-0.27
201210,1.38,0.36
201211,4.32,2.08
201212,5.59,2.40
201301,0.87,-3.06
201302,0.47,-3.02
201303,1.67,-1.00
201304,0.70,-0.57
201305,0.31,-0.34
201306,0.56,0.35
201307,0.00,0.00
201308,0.00,-0.03
201309,0.77,0.50
201310,0.03,-0.99
201311,0.99,-1.25
201312,0.20,-2.99
201401,0.31,-3.62
201402,4.55,1.06
201403,2.21,-0.46
201404,1.21,-0.06
201405,0.14,-0.51
201406,0.00,-0.21
201407,0.00,0.00
201408,0.04,0.01
201409,0.45,0.18
201410,0.45,-0.57
201411,1.86,-0.38
201412,8.81,5.62
201501,0.10,-3.83
201502,2.49,-1.00
201503,0.17,-2.50
201504,1.52,0.25
201505,0.03,-0.62
201506,0.03,-0.18
201507,0.01,0.01
201508,0.01,-0.02
201509,0.04,-0.23
201510,0.08,-0.94
201511,2.36,0.12
201512,2.03,-1.16
201601,5.42,1.49
201602,0.72,-2.77
201603,6.80,4.13
201604,0.59,-0.68
201605,0.47,-0.18
201606,0.01,-0.20
201607,0.00,0.00
201608,0.00,-0.03
201609,0.00,-0.27
201610,2.65,1.63
201611,1.59,-0.65
201612,3.14,-0.05
201701,9.03,5.10
201702,7.47,3.98
201703,2.63,-0.04
201704,2.62,1.35
201705,0.14,-0.51
201706,0.47,0.26
201707,0.00,0.00
201708,0.00,-0.03
201709,0.01,-0.26
201710,0.29,-0.73
201711,2.65,0.41
201712,0.10,-3.09
201801,4.38,0.45
201802,0.43,-3.06
201803,4.96,2.29
201804,2.37,1.10
201805,0.13,-0.52
201806,0.00,-0.21
201807,0.00,0.00
201808,0.00,-0.03
201809,0.00,-0.27
201810,0.24,-0.78
201811,2.57,0.33
201812,2.53,-0.66
201901,5.22,1.29
201902,9.07,5.58
201903,3.94,1.27
201904,0.57,-0.70
201905,3.07,2.42
201906,0.02,-0.19
201907,0.00,0.00
201908,0.00,-0.03
201909,0.34,0.07
201910,0.00,-1.02
201911,0.53,-1.71
201912,5.47,2.28
202001,1.45,-2.48
202002,0.01,-3.48
202003,1.27,-1.40
202004,0.85,-0.42
202005,0.78,0.13
202006,0.02,-0.19
202007,0.00,0.00
202008,0.05,0.02
202009,0.00,-0.27
202010,0.00,-1.02
202011,0.76,-1.48
202012,1.38,-1.81
202101,2.19,-1.74
202102,1.13,-2.36
202103,1.49,-1.18
202104,0.07,-1.20
202105,0.00,-0.65
202106,0.00,-0.21
202107,0.00,0.00
202108,0.00,-0.03
202109,0.06,-0.21
202110,4.85,3.83
202111,0.77,-1.47
202112,5.52,2.33
202201,0.09,-3.84
202202,0.00,-3.49
202203,0.84,-1.83
202204,0.74,-0.53
202205,0.06,-0.59
202206,0.30,0.09
202207,0.00,0.00
202208,0.00,-0.03
202209,1.27,1.00
202210,0.00,-1.02
202211,1.45,-0.79
202212,5.49,2.30
202301,8.69,4.76
202302,2.23,-1.26
202303,5.56,2.89
