Sutter County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191709,0.54,0.27
191710,0.00,-1.02
191711,0.46,-1.78
191712,0.62,-2.57
191801,0.94,-2.99
191802,3.96,0.47
191803,3.56,0.89
191804,1.03,-0.24
191805,0.06,-0.59
191806,0.00,-0.21
191807,0.00,0.00
191808,0.00,-0.03
191809,1.55,1.28
191810,0.36,-0.66
191811,2.21,-0.03
191812,1.94,-1.25
191901,2.39,-1.54
191902,6.38,2.89
191903,1.69,-0.98
191904,0.27,-1.00
191905,0.02,-0.63
191906,0.00,-0.21
191907,0.00,0.00
191908,0.00,-0.03
191909,0.86,0.59
191910,0.19,-0.83
191911,0.37,-1.87
191912,2.92,-0.27
192001,0.57,-3.36
192002,1.31,-2.18
192003,4.10,1.43
192004,1.34,0.07
192005,0.02,-0.63
192006,0.13,-0.08
192007,0.02,0.02
192008,0.03,0.00
192009,0.04,-0.23
192010,1.44,0.42
192011,5.17,2.93
192012,5.54,2.35
192101,4.97,1.04
192102,0.91,-2.58
192103,2.11,-0.56
192104,0.37,-0.90
192105,1.00,0.35
192106,0.04,-0.17
192107,0.00,0.00
192108,0.00,-0.03
192109,0.01,-0.26
192110,0.50,-0.52
192111,1.34,-0.90
192112,5.68,2.49
192201,2.12,-1.81
192202,5.21,1.72
192203,2.12,-0.55
192204,0.67,-0.60
192205,0.89,0.24
192206,0.01,-0.20
192207,0.00,0.00
192208,0.00,-0.03
192209,0.00,-0.27
192210,1.43,0.41
192211,3.47,1.23
192212,8.90,5.71
192301,2.40,-1.53
192302,0.59,-2.90
192303,0.17,-2.50
192304,3.23,1.96
192305,0.21,-0.44
192306,0.32,0.11
192307,0.01,0.01
192308,0.01,-0.02
192309,0.76,0.49
192310,0.68,-0.34
192311,0.64,-1.60
192312,1.11,-2.08
192401,2.53,-1.40
192402,3.02,-0.47
192403,1.35,-1.32
192404,0.29,-0.98
192405,0.06,-0.59
192406,0.00,-0.21
192407,0.00,0.00
192408,0.00,-0.03
192409,0.00,-0.27
192410,3.44,2.42
192411,1.45,-0.79
192412,5.79,2.60
192501,1.22,-2.71
192502,6.00,2.51
192503,1.83,-0.84
192504,1.67,0.40
192505,1.77,1.12
192506,0.43,0.22
192507,0.00,0.00
192508,0.13,0.10
192509,0.20,-0.07
192510,0.17,-0.85
192511,1.42,-0.82
192512,1.60,-1.59
192601,4.26,0.33
192602,6.75,3.26
192603,0.13,-2.54
192604,4.74,3.47
192605,0.90,0.25
192606,0.00,-0.21
192607,0.00,0.00
192608,0.01,-0.02
192609,0.00,-0.27
192610,2.44,1.42
192611,7.08,4.84
192612,0.90,-2.29
192701,3.19,-0.74
192702,5.83,2.34
192703,2.02,-0.65
192704,1.67,0.40
192705,0.39,-0.26
192706,0.56,0.35
192707,0.00,0.00
192708,0.00,-0.03
192709,0.00,-0.27
192710,1.60,0.58
192711,3.07,0.83
192712,2.38,-0.81
192801,1.77,-2.16
192802,2.53,-0.96
192803,4.38,1.71
192804,0.93,-0.34
192805,0.03,-0.62
192806,0.02,-0.19
192807,0.00,0.00
192808,0.00,-0.03
192809,0.00,-0.27
192810,0.13,-0.89
192811,2.90,0.66
192812,3.71,0.52
192901,0.99,-2.94
192902,2.00,-1.49
192903,1.56,-1.11
192904,0.93,-0.34
192905,0.00,-0.65
192906,1.04,0.83
192907,0.00,0.00
192908,0.00,-0.03
192909,0.00,-0.27
192910,0.19,-0.83
192911,0.00,-2.24
192912,6.92,3.73
193001,4.90,0.97
193002,2.23,-1.26
193003,3.31,0.64
193004,1.12,-0.15
193005,0.30,-0.35
193006,0.00,-0.21
193007,0.00,0.00
193008,0.01,-0.02
193009,0.13,-0.14
193010,0.32,-0.70
193011,1.52,-0.72
193012,0.62,-2.57
193101,3.10,-0.83
193102,1.80,-1.69
193103,1.12,-1.55
193104,0.45,-0.82
193105,1.52,0.87
193106,0.85,0.64
193107,0.00,0.00
193108,0.00,-0.03
193109,0.02,-0.25
193110,0.60,-0.42
193111,2.13,-0.11
193112,7.69,4.50
193201,1.54,-2.39
193202,1.81,-1.68
193203,0.58,-2.09
193204,1.06,-0.21
193205,1.26,0.61
193206,0.01,-0.20
193207,0.00,0.00
193208,0.00,-0.03
193209,0.00,-0.27
193210,0.00,-1.02
193211,0.43,-1.81
193212,2.64,-0.55
193301,3.72,-0.21
193302,0.76,-2.73
193303,2.47,-0.20
193304,0.04,-1.23
193305,0.98,0.33
193306,0.00,-0.21
193307,0.00,0.00
193308,0.00,-0.03
193309,0.03,-0.24
193310,0.98,-0.04
193311,0.00,-2.24
193312,5.69,2.50
193401,1.08,-2.85
193402,3.32,-0.17
193403,0.54,-2.13
193404,0.39,-0.88
193405,0.50,-0.15
193406,0.41,0.20
193407,0.00,0.00
193408,0.00,-0.03
193409,0.02,-0.25
193410,0.83,-0.19
193411,3.63,1.39
