Sierra County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.44,0.21
191708,0.05,-0.23
191709,0.21,-0.66
191710,0.03,-2.57
191711,2.23,-3.13
191712,3.05,-4.16
191801,1.23,-7.34
191802,11.30,3.53
191803,9.96,3.49
191804,2.17,-1.15
191805,0.37,-1.80
191806,0.16,-0.73
191807,0.02,-0.21
191808,0.03,-0.25
191809,4.58,3.71
191810,3.03,0.43
191811,3.75,-1.61
191812,1.85,-5.36
191901,2.99,-5.58
191902,16.01,8.24
191903,5.05,-1.42
191904,1.52,-1.80
191905,0.25,-1.92
191906,0.00,-0.89
191907,0.08,-0.15
191908,0.00,-0.28
191909,1.09,0.22
191910,1.19,-1.41
191911,1.38,-3.98
191912,6.12,-1.09
192001,1.18,-7.39
192002,2.95,-4.82
192003,9.10,2.63
192004,5.30,1.98
192005,0.12,-2.05
192006,0.85,-0.04
192007,0.33,0.10
192008,0.82,0.54
192009,0.82,-0.05
192010,4.75,2.15
192011,10.81,5.45
192012,9.81,2.60
192101,10.72,2.15
192102,3.21,-4.56
192103,4.89,-1.58
192104,0.88,-2.44
192105,3.40,1.23
192106,0.54,-0.35
192107,0.01,-0.22
192108,0.04,-0.24
192109,0.13,-0.74
192110,1.35,-1.25
192111,2.09,-3.27
192112,10.83,3.62
192201,3.83,-4.74
192202,15.83,8.06
192203,7.30,0.83
192204,1.64,-1.68
192205,2.72,0.55
192206,0.76,-0.13
192207,0.27,0.04
192208,0.21,-0.07
192209,0.01,-0.86
192210,2.37,-0.23
192211,6.08,0.72
192212,14.22,7.01
192301,6.53,-2.04
192302,2.09,-5.68
192303,0.67,-5.80
192304,5.79,2.47
192305,1.61,-0.56
192306,2.48,1.59
192307,0.31,0.08
192308,0.55,0.27
192309,2.54,1.67
192310,1.79,-0.81
192311,0.79,-4.57
192312,3.19,-4.02
192401,2.44,-6.13
192402,3.46,-4.31
192403,3.04,-3.43
192404,1.12,-2.20
192405,0.06,-2.11
192406,0.01,-0.88
192407,0.00,-0.23
192408,0.02,-0.26
192409,0.48,-0.39
192410,6.34,3.74
192411,3.08,-2.28
192412,6.66,-0.55
