Sierra County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199111,3.23,-2.13
199112,3.20,-4.01
199201,1.74,-6.83
199202,8.43,0.66
199203,3.46,-3.01
199204,1.77,-1.55
199205,0.33,-1.84
199206,1.94,1.05
199207,0.30,0.07
199208,0.42,0.14
199209,0.08,-0.79
199210,4.84,2.24
199211,0.72,-4.64
199212,13.46,6.25
199301,14.87,6.30
199302,9.94,2.17
199303,5.84,-0.63
199304,3.10,-0.22
199305,2.77,0.60
199306,2.19,1.30
199307,0.04,-0.19
199308,0.49,0.21
199309,0.09,-0.78
199310,2.64,0.04
199311,2.88,-2.48
199312,5.05,-2.16
199401,2.08,-6.49
199402,7.15,-0.62
199403,1.70,-4.77
199404,1.87,-1.45
199405,2.17,0.00
199406,0.08,-0.81
199407,0.04,-0.19
199408,0.00,-0.28
199409,0.78,-0.09
199410,0.86,-1.74
199411,8.96,3.60
199412,7.47,0.26
199501,21.66,13.09
199502,1.70,-6.07
199503,20.75,14.28
199504,6.86,3.54
199505,5.32,3.15
199506,2.42,1.53
199507,0.42,0.19
199508,0.01,-0.27
199509,0.01,-0.86
199510,0.01,-2.59
199511,0.87,-4.49
199512,11.23,4.02
199601,12.66,4.09
199602,13.36,5.59
199603,5.90,-0.57
199604,5.91,2.59
199605,7.03,4.86
199606,0.38,-0.51
199607,0.32,0.09
199608,0.17,-0.11
199609,1.00,0.13
199610,2.16,-0.44
199611,6.33,0.97
199612,24.87,17.66
199701,19.54,10.97
199702,0.95,-6.82
199703,1.88,-4.59
199704,1.70,-1.62
199705,0.75,-1.42
199706,1.91,1.02
199707,0.22,-0.01
199708,0.45,0.17
199709,0.57,-0.30
199710,2.65,0.05
199711,6.07,0.71
199712,3.66,-3.55
199801,12.97,4.40
199802,15.00,7.23
199803,6.53,0.06
199804,4.26,0.94
199805,5.61,3.44
199806,1.40,0.51
199807,0.15,-0.08
199808,0.15,-0.13
199809,2.73,1.86
199810,1.40,-1.20
199811,10.09,4.73
199812,3.55,-3.66
199901,9.80,1.23
199902,12.88,5.11
199903,3.87,-2.60
199904,3.02,-0.30
199905,0.88,-1.29
199906,0.49,-0.40
199907,0.11,-0.12
199908,0.69,0.41
199909,0.18,-0.69
199910,2.50,-0.10
199911,4.04,-1.32
199912,1.36,-5.85
200001,12.84,4.27
200002,14.43,6.66
200003,2.52,-3.95
200004,2.58,-0.74
200005,2.48,0.31
200006,0.50,-0.39
200007,0.01,-0.22
200008,0.04,-0.24
200009,0.94,0.07
200010,3.92,1.32
200011,2.08,-3.28
200012,2.17,-5.04
200101,3.48,-5.09
200102,5.91,-1.86
200103,3.10,-3.37
200104,3.71,0.39
200105,0.15,-2.02
200106,0.18,-0.71
200107,0.10,-0.13
200108,0.00,-0.28
200109,0.62,-0.25
200110,1.40,-1.20
200111,7.60,2.24
200112,11.76,4.55
200201,4.51,-4.06
200202,2.83,-4.94
200203,5.63,-0.84
200204,2.24,-1.08
200205,1.40,-0.77
200206,0.07,-0.82
200207,0.11,-0.12
200208,0.03,-0.25
200209,0.04,-0.83
200210,0.05,-2.55
200211,7.51,2.15
200212,16.35,9.14
200301,3.93,-4.64
200302,2.53,-5.24
200303,4.69,-1.78
200304,8.72,5.40
200305,1.96,-0.21
200306,0.16,-0.73
200307,0.27,0.04
200308,1.43,1.15
200309,0.11,-0.76
200310,0.45,-2.15
200311,2.93,-2.43
200312,13.02,5.81
200401,4.50,-4.07
200402,10.05,2.28
200403,1.76,-4.71
200404,1.13,-2.19
200405,1.18,-0.99
200406,0.31,-0.58
200407,0.06,-0.17
200408,0.09,-0.19
200409,0.34,-0.53
200410,6.44,3.84
200411,3.01,-2.35
200412,8.63,1.42
200501,7.67,-0.90
200502,3.21,-4.56
200503,8.12,1.65
200504,3.00,-0.32
200505,5.99,3.82
200506,1.81,0.92
200507,0.04,-0.19
200508,0.12,-0.16
200509,0.47,-0.40
200510,1.52,-1.08
200511,4.15,-1.21
200512,24.65,17.44
200601,8.09,-0.48
200602,6.07,-1.70
200603,11.20,4.73
200604,10.63,7.31
200605,1.28,-0.89
200606,0.31,-0.58
200607,0.09,-0.14
200608,0.01,-0.27
200609,0.04,-0.83
200610,0.69,-1.91
200611,4.95,-0.41
200612,5.69,-1.52
200701,1.38,-7.19
200702,10.80,3.03
200703,1.41,-5.06
200704,2.82,-0.50
200705,1.16,-1.01
200706,0.69,-0.20
200707,0.09,-0.14
200708,0.06,-0.22
200709,0.99,0.12
200710,3.25,0.65
200711,1.18,-4.18
200712,5.77,-1.44
200801,11.67,3.10
200802,5.40,-2.37
200803,1.31,-5.16
200804,0.45,-2.87
200805,1.24,-0.93
200806,0.00,-0.89
200807,0.03,-0.20
200808,0.01,-0.27
200809,0.01,-0.86
200810,2.35,-0.25
200811,4.72,-0.64
200812,5.60,-1.61
200901,2.60,-5.97
200902,8.81,1.04
200903,7.50,1.03
200904,1.21,-2.11
200905,4.18,2.01
200906,1.19,0.30
200907,0.06,-0.17
200908,0.24,-0.04
200909,0.06,-0.81
200910,4.37,1.77
200911,2.11,-3.25
200912,6.03,-1.18
201001,9.11,0.54
201002,4.97,-2.80
201003,5.61,-0.86
201004,6.78,3.46
201005,3.10,0.93
201006,0.35,-0.54
201007,0.08,-0.15
201008,0.13,-0.15
201009,0.02,-0.85
201010,7.92,5.32
201011,7.11,1.75
201012,15.55,8.34
201101,1.52,-7.05
201102,7.61,-0.16
201103,15.44,8.97
201104,2.58,-0.74
201105,3.20,1.03
201106,3.37,2.48
201107,0.18,-0.05
201108,0.02,-0.26
201109,0.54,-0.33
201110,3.33,0.73
201111,2.14,-3.22
201112,0.14,-7.07
201201,6.83,-1.74
201202,2.52,-5.25
201203,10.79,4.32
201204,4.89,1.57
201205,0.68,-1.49
201206,0.95,0.06
201207,0.37,0.14
201208,0.30,0.02
201209,0.11,-0.76
201210,2.60,0.00
201211,10.77,5.41
201212,14.16,6.95
201301,1.00,-7.57
201302,0.50,-7.27
201303,2.62,-3.85
201304,1.14,-2.18
201305,1.36,-0.81
201306,1.15,0.26
201307,0.22,-0.01
201308,0.17,-0.11
201309,2.13,1.26
201310,0.84,-1.76
201311,1.28,-4.08
201312,1.16,-6.05
201401,1.86,-6.71
201402,10.29,2.52
201403,6.95,0.48
201404,2.00,-1.32
201405,1.22,-0.95
201406,0.00,-0.89
201407,0.58,0.35
201408,1.37,1.09
201409,1.16,0.29
201410,2.03,-0.57
201411,3.59,-1.77
201412,10.83,3.62
201501,0.11,-8.46
201502,6.91,-0.86
201503,0.88,-5.59
201504,2.60,-0.72
201505,2.09,-0.08
201506,0.76,-0.13
201507,0.99,0.76
201508,0.18,-0.10
201509,0.24,-0.63
201510,1.81,-0.79
201511,4.64,-0.72
201512,9.88,2.67
201601,12.28,3.71
201602,2.38,-5.39
201603,13.34,6.87
201604,3.17,-0.15
201605,2.49,0.32
201606,0.25,-0.64
201607,0.00,-0.23
201608,0.08,-0.20
201609,0.05,-0.82
201610,11.85,9.25
201611,4.13,-1.23
201612,10.55,3.34
201701,25.17,16.60
201702,22.80,15.03
201703,6.05,-0.42
201704,9.47,6.15
201705,1.02,-1.15
201706,0.64,-0.25
201707,0.04,-0.19
201708,0.34,0.06
201709,1.27,0.40
201710,0.87,-1.73
201711,11.69,6.33
201712,0.84,-6.37
201801,6.15,-2.42
201802,1.77,-6.00
201803,13.82,7.35
201804,4.53,1.21
201805,2.84,0.67
201806,0.31,-0.58
201807,0.28,0.05
201808,0.00,-0.28
201809,0.02,-0.85
201810,0.74,-1.86
201811,5.56,0.20
201812,3.25,-3.96
201901,12.00,3.43
201902,19.94,12.17
201903,7.11,0.64
201904,3.19,-0.13
201905,5.11,2.94
201906,0.54,-0.35
201907,0.11,-0.12
201908,0.04,-0.24
201909,2.29,1.42
201910,0.16,-2.44
201911,2.52,-2.84
201912,7.81,0.60
202001,3.66,-4.91
202002,0.23,-7.54
202003,5.82,-0.65
202004,3.00,-0.32
202005,3.07,0.90
202006,0.33,-0.56
202007,0.20,-0.03
202008,0.12,-0.16
202009,0.02,-0.85
202010,0.02,-2.58
202011,3.98,-1.38
202012,3.88,-3.33
202101,5.47,-3.10
202102,3.02,-4.75
202103,3.18,-3.29
202104,0.70,-2.62
202105,0.55,-1.62
202106,0.12,-0.77
202107,0.21,-0.02
202108,0.06,-0.22
202109,0.82,-0.05
202110,12.40,9.80
202111,2.25,-3.11
202112,15.89,8.68
202201,0.64,-7.93
202202,0.71,-7.06
202203,1.06,-5.41
202204,5.64,2.32
202205,0.62,-1.55
202206,1.61,0.72
202207,0.01,-0.22
202208,0.26,-0.02
202209,1.58,0.71
202210,0.13,-2.47
202211,4.00,-1.36
202212,16.39,9.18
202301,14.82,6.25
202302,6.25,-1.52
202303,14.59,8.12
