Merced County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191709,0.06,-0.10
191710,0.00,-0.52
191711,0.36,-0.82
191712,0.29,-1.49
191801,0.49,-1.77
191802,3.80,1.70
191803,4.14,2.25
191804,0.18,-0.74
191805,0.19,-0.20
191806,0.00,-0.07
191807,0.00,0.00
191808,0.00,-0.01
191809,0.93,0.77
191810,0.21,-0.31
191811,1.80,0.62
191812,1.50,-0.28
191901,0.67,-1.59
191902,2.76,0.66
191903,1.77,-0.12
191904,0.15,-0.77
191905,0.06,-0.33
191906,0.00,-0.07
191907,0.00,0.00
191908,0.00,-0.01
191909,0.67,0.51
191910,0.12,-0.40
191911,0.06,-1.12
191912,1.75,-0.03
192001,0.61,-1.65
192002,1.27,-0.83
192003,3.62,1.73
192004,0.78,-0.14
192005,0.01,-0.38
192006,0.18,0.11
192007,0.01,0.01
192008,0.05,0.04
192009,0.02,-0.14
192010,1.71,1.19
192011,1.70,0.52
192012,2.64,0.86
192101,3.55,1.29
192102,1.08,-1.02
192103,1.21,-0.68
192104,0.39,-0.53
192105,1.14,0.75
192106,0.01,-0.06
192107,0.00,0.00
192108,0.00,-0.01
192109,0.18,0.02
192110,0.11,-0.41
192111,0.68,-0.50
192112,4.91,3.13
192201,2.50,0.24
192202,3.81,1.71
192203,2.25,0.36
192204,0.30,-0.62
192205,0.71,0.32
192206,0.12,0.05
192207,0.00,0.00
192208,0.00,-0.01
192209,0.00,-0.16
192210,0.58,0.06
192211,2.16,0.98
192212,3.48,1.70
192301,1.98,-0.28
192302,0.63,-1.47
192303,0.19,-1.70
192304,2.32,1.40
192305,0.26,-0.13
192306,0.07,0.00
192307,0.00,0.00
192308,0.00,-0.01
192309,0.69,0.53
192310,0.28,-0.24
192311,0.33,-0.85
192312,0.53,-1.25
192401,1.37,-0.89
192402,0.30,-1.80
192403,1.66,-0.23
192404,0.24,-0.68
192405,0.02,-0.37
192406,0.00,-0.07
192407,0.00,0.00
192408,0.00,-0.01
192409,0.00,-0.16
192410,1.09,0.57
192411,1.10,-0.08
192412,2.12,0.34
192501,0.95,-1.31
192502,2.18,0.08
192503,1.25,-0.64
192504,1.86,0.94
192505,1.17,0.78
192506,0.03,-0.04
192507,0.01,0.01
192508,0.00,-0.01
192509,0.05,-0.11
192510,0.24,-0.28
192511,0.57,-0.61
192512,1.21,-0.57
192601,1.42,-0.84
192602,2.57,0.47
192603,0.48,-1.41
192604,2.28,1.36
192605,0.05,-0.34
192606,0.01,-0.06
192607,0.00,0.00
192608,0.00,-0.01
192609,0.00,-0.16
192610,0.15,-0.37
192611,2.84,1.66
192612,0.89,-0.89
192701,1.30,-0.96
192702,3.78,1.68
192703,1.26,-0.63
192704,0.70,-0.22
192705,0.06,-0.33
192706,0.17,0.10
192707,0.00,0.00
192708,0.00,-0.01
192709,0.01,-0.15
192710,1.36,0.84
192711,1.28,0.10
192712,1.33,-0.45
192801,0.39,-1.87
192802,1.53,-0.57
192803,2.29,0.40
192804,0.61,-0.31
192805,0.04,-0.35
192806,0.00,-0.07
192807,0.00,0.00
192808,0.00,-0.01
192809,0.00,-0.16
192810,0.00,-0.52
192811,2.46,1.28
192812,1.76,-0.02
192901,1.05,-1.21
192902,0.98,-1.12
192903,0.90,-0.99
192904,0.89,-0.03
192905,0.02,-0.37
192906,0.44,0.37
192907,0.00,0.00
192908,0.00,-0.01
192909,0.01,-0.15
192910,0.05,-0.47
192911,0.00,-1.18
192912,0.66,-1.12
193001,2.49,0.23
193002,1.75,-0.35
193003,1.62,-0.27
193004,0.85,-0.07
193005,0.31,-0.08
193006,0.00,-0.07
193007,0.00,0.00
193008,0.00,-0.01
193009,0.09,-0.07
193010,0.13,-0.39
193011,1.17,-0.01
193012,0.03,-1.75
193101,2.67,0.41
193102,1.29,-0.81
193103,0.60,-1.29
193104,0.29,-0.63
193105,0.66,0.27
193106,0.12,0.05
193107,0.00,0.00
193108,0.04,0.03
193109,0.01,-0.15
193110,0.04,-0.48
193111,1.69,0.51
193112,4.62,2.84
193201,1.77,-0.49
193202,2.13,0.03
193203,0.40,-1.49
193204,0.29,-0.63
193205,0.47,0.08
193206,0.00,-0.07
193207,0.00,0.00
193208,0.00,-0.01
193209,0.00,-0.16
193210,0.00,-0.52
193211,0.13,-1.05
193212,1.23,-0.55
193301,3.48,1.22
193302,0.39,-1.71
193303,1.03,-0.86
193304,0.03,-0.89
193305,0.61,0.22
193306,0.04,-0.03
193307,0.00,0.00
193308,0.00,-0.01
193309,0.00,-0.16
