Inyo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191709,0.02,-0.26
191710,0.01,-0.31
191711,0.45,-0.03
191712,0.04,-0.74
191801,0.10,-0.93
191802,1.56,0.49
191803,1.90,1.06
191804,0.20,-0.24
191805,0.34,0.06
191806,0.22,0.11
191807,0.37,0.08
191808,0.38,0.05
191809,0.79,0.51
191810,0.34,0.02
191811,0.43,-0.05
191812,1.29,0.51
191901,0.14,-0.89
191902,0.95,-0.12
191903,1.05,0.21
191904,0.18,-0.26
191905,0.20,-0.08
191906,0.00,-0.11
191907,0.50,0.21
191908,0.02,-0.31
191909,0.44,0.16
191910,0.14,-0.18
191911,0.21,-0.27
191912,0.76,-0.02
192001,0.72,-0.31
192002,1.58,0.51
192003,1.45,0.61
192004,0.26,-0.18
192005,0.47,0.19
192006,0.33,0.22
192007,0.15,-0.14
192008,0.77,0.44
192009,0.01,-0.27
192010,0.72,0.40
192011,0.24,-0.24
192012,0.53,-0.25
192101,1.54,0.51
192102,0.28,-0.79
192103,0.58,-0.26
192104,0.05,-0.39
192105,0.90,0.62
192106,0.01,-0.10
192107,0.01,-0.28
192108,0.22,-0.11
192109,0.19,-0.09
192110,0.35,0.03
192111,0.05,-0.43
192112,3.13,2.35
192201,1.68,0.65
192202,1.23,0.16
192203,0.65,-0.19
192204,0.17,-0.27
192205,0.44,0.16
192206,0.17,0.06
192207,0.38,0.09
192208,0.49,0.16
192209,0.02,-0.26
192210,0.14,-0.18
192211,0.52,0.04
192212,1.23,0.45
192301,0.77,-0.26
192302,0.20,-0.87
192303,0.07,-0.77
192304,0.81,0.37
192305,0.09,-0.19
192306,0.05,-0.06
192307,0.15,-0.14
192308,0.44,0.11
192309,0.83,0.55
192310,0.58,0.26
192311,0.84,0.36
192312,0.25,-0.53
192401,0.12,-0.91
192402,0.11,-0.96
192403,1.03,0.19
192404,0.21,-0.23
192405,0.01,-0.27
192406,0.00,-0.11
192407,0.02,-0.27
192408,0.01,-0.32
192409,0.06,-0.22
192410,0.39,0.07
192411,0.30,-0.18
192412,0.78,0.00
192501,0.18,-0.85
192502,0.28,-0.79
192503,0.62,-0.22
192504,0.97,0.53
192505,0.07,-0.21
192506,0.37,0.26
192507,0.92,0.63
192508,0.61,0.28
192509,0.02,-0.26
192510,0.38,0.06
192511,0.14,-0.34
192512,0.21,-0.57
192601,0.56,-0.47
192602,0.80,-0.27
192603,0.20,-0.64
192604,1.19,0.75
192605,0.22,-0.06
192606,0.33,0.22
192607,0.08,-0.21
192608,0.11,-0.22
192609,0.00,-0.28
192610,0.84,0.52
192611,2.32,1.84
192612,0.38,-0.40
192701,0.34,-0.69
192702,2.27,1.20
192703,0.60,-0.24
192704,0.38,-0.06
192705,0.06,-0.22
192706,0.07,-0.04
192707,0.32,0.03
192708,0.10,-0.23
192709,0.26,-0.02
192710,0.58,0.26
192711,0.48,0.00
192712,0.60,-0.18
192801,0.11,-0.92
192802,0.47,-0.60
192803,0.52,-0.32
192804,0.08,-0.36
192805,0.88,0.60
192806,0.00,-0.11
192807,0.00,-0.29
192808,0.01,-0.32
192809,0.00,-0.28
192810,0.14,-0.18
192811,0.43,-0.05
192812,0.90,0.12
192901,0.51,-0.52
192902,0.52,-0.55
192903,0.41,-0.43
192904,0.62,0.18
192905,0.09,-0.19
192906,0.14,0.03
192907,0.04,-0.25
192908,0.37,0.04
192909,0.27,-0.01
192910,0.01,-0.31
192911,0.00,-0.48
192912,0.06,-0.72
193001,1.08,0.05
193002,0.88,-0.19
193003,0.84,0.00
193004,0.31,-0.13
193005,0.86,0.58
193006,0.02,-0.09
193007,0.02,-0.27
193008,0.15,-0.18
193009,0.05,-0.23
193010,0.11,-0.21
193011,0.35,-0.13
193012,0.00,-0.78
193101,0.84,-0.19
193102,0.84,-0.23
193103,0.07,-0.77
193104,0.95,0.51
193105,0.12,-0.16
193106,0.49,0.38
193107,0.03,-0.26
193108,1.50,1.17
193109,0.13,-0.15
193110,0.29,-0.03
193111,0.88,0.40
193112,1.79,1.01
193201,0.51,-0.52
193202,1.64,0.57
193203,0.05,-0.79
193204,0.06,-0.38
193205,0.26,-0.02
193206,0.36,0.25
193207,0.02,-0.27
193208,0.04,-0.29
193209,0.55,0.27
193210,0.26,-0.06
193211,0.01,-0.47
193212,0.42,-0.36
193301,2.10,1.07
193302,0.04,-1.03
193303,0.28,-0.56
193304,0.09,-0.35
193305,0.21,-0.07
193306,0.08,-0.03
193307,0.05,-0.24
193308,0.34,0.01
193309,0.00,-0.28
193310,0.29,-0.03
193311,0.12,-0.36
193312,0.92,0.14
193401,0.49,-0.54
193402,0.50,-0.57
193403,0.18,-0.66
193404,0.02,-0.42
193405,0.06,-0.22
193406,0.19,0.08
193407,0.52,0.23
193408,0.27,-0.06
193409,0.03,-0.25
193410,0.88,0.56
193411,0.30,-0.18
193412,0.79,0.01
193501,1.16,0.13
193502,1.04,-0.03
193503,0.56,-0.28
193504,0.76,0.32
193505,0.13,-0.15
193506,0.00,-0.11
193507,0.11,-0.18
193508,0.25,-0.08
193509,0.16,-0.12
193510,0.18,-0.14
193511,0.13,-0.35
193512,1.04,0.26
193601,0.13,-0.90
193602,2.43,1.36
193603,0.25,-0.59
193604,0.28,-0.16
