Inyo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199307,0.00,-0.29
199308,0.04,-0.29
199309,0.00,-0.28
199310,0.15,-0.17
199311,0.24,-0.24
199312,0.22,-0.56
199401,0.12,-0.91
199402,0.90,-0.17
199403,0.52,-0.32
199404,0.28,-0.16
199405,0.40,0.12
199406,0.00,-0.11
199407,0.02,-0.27
199408,0.01,-0.32
199409,0.46,0.18
199410,0.15,-0.17
199411,0.26,-0.22
199412,0.68,-0.10
199501,4.51,3.48
199502,0.47,-0.60
199503,2.58,1.74
199504,0.19,-0.25
199505,0.68,0.40
199506,0.16,0.05
199507,0.13,-0.16
199508,0.14,-0.19
199509,0.05,-0.23
199510,0.02,-0.30
199511,0.00,-0.48
199512,0.85,0.07
199601,0.46,-0.57
199602,1.34,0.27
199603,0.56,-0.28
199604,0.34,-0.10
199605,0.34,0.06
199606,0.03,-0.08
199607,0.41,0.12
199608,0.07,-0.26
199609,0.00,-0.28
199610,0.86,0.54
199611,0.99,0.51
199612,1.04,0.26
199701,1.35,0.32
199702,0.05,-1.02
199703,0.01,-0.83
199704,0.02,-0.42
199705,0.03,-0.25
199706,0.52,0.41
199707,0.77,0.48
199708,0.02,-0.31
199709,1.23,0.95
199710,0.03,-0.29
199711,0.54,0.06
199712,0.83,0.05
199801,0.47,-0.56
199802,4.93,3.86
199803,1.26,0.42
199804,0.65,0.21
199805,0.69,0.41
199806,0.52,0.41
199807,0.39,0.10
199808,0.16,-0.17
199809,0.63,0.35
199810,0.14,-0.18
199811,0.10,-0.38
199812,0.07,-0.71
199901,0.86,-0.17
199902,0.20,-0.87
199903,0.21,-0.63
199904,1.07,0.63
199905,0.24,-0.04
199906,0.02,-0.09
199907,0.79,0.50
199908,0.16,-0.17
199909,0.21,-0.07
199910,0.01,-0.31
199911,0.04,-0.44
199912,0.00,-0.78
200001,0.52,-0.51
200002,1.77,0.70
200003,0.86,0.02
200004,0.22,-0.22
200005,0.07,-0.21
200006,0.04,-0.07
200007,0.00,-0.29
200008,0.49,0.16
200009,0.01,-0.27
200010,0.27,-0.05
200011,0.02,-0.46
200012,0.00,-0.78
200101,1.61,0.58
200102,2.13,1.06
200103,0.64,-0.20
200104,0.35,-0.09
200105,0.25,-0.03
200106,0.00,-0.11
200107,0.88,0.59
200108,0.04,-0.29
200109,0.10,-0.18
200110,0.17,-0.15
200111,0.66,0.18
200112,0.31,-0.47
200201,0.08,-0.95
200202,0.04,-1.03
200203,0.24,-0.60
200204,0.12,-0.32
200205,0.04,-0.24
200206,0.01,-0.10
200207,0.10,-0.19
200208,0.01,-0.32
200209,0.03,-0.25
200210,0.06,-0.26
200211,1.28,0.80
200212,0.96,0.18
200301,0.04,-0.99
200302,1.76,0.69
200303,0.43,-0.41
200304,0.72,0.28
200305,0.38,0.10
200306,0.01,-0.10
200307,0.62,0.33
200308,0.64,0.31
200309,0.15,-0.13
200310,0.02,-0.30
200311,1.06,0.58
200312,0.74,-0.04
200401,0.17,-0.86
200402,2.10,1.03
200403,0.33,-0.51
200404,0.25,-0.19
200405,0.03,-0.25
200406,0.09,-0.02
200407,0.07,-0.22
200408,0.47,0.14
200409,0.05,-0.23
200410,1.33,1.01
200411,1.20,0.72
200412,2.04,1.26
200501,3.52,2.49
200502,2.54,1.47
200503,0.63,-0.21
200504,0.25,-0.19
200505,0.13,-0.15
200506,0.01,-0.10
200507,0.11,-0.18
200508,0.81,0.48
200509,0.83,0.55
200510,0.92,0.60
200511,0.06,-0.42
200512,0.82,0.04
200601,1.21,0.18
200602,0.51,-0.56
200603,0.75,-0.09
200604,0.65,0.21
200605,0.09,-0.19
200606,0.16,0.05
200607,0.56,0.27
200608,0.00,-0.33
200609,0.05,-0.23
200610,0.59,0.27
200611,0.02,-0.46
200612,0.21,-0.57
200701,0.17,-0.86
200702,0.39,-0.68
200703,0.14,-0.70
200704,0.21,-0.23
200705,0.00,-0.28
200706,0.00,-0.11
200707,0.11,-0.18
200708,0.32,-0.01
200709,0.54,0.26
200710,0.05,-0.27
200711,0.13,-0.35
200712,0.81,0.03
200801,2.33,1.30
200802,0.64,-0.43
200803,0.01,-0.83
200804,0.00,-0.44
200805,0.11,-0.17
200806,0.01,-0.10
200807,0.37,0.08
200808,0.03,-0.30
200809,0.03,-0.25
200810,0.13,-0.19
200811,1.08,0.60
200812,0.64,-0.14
200901,0.22,-0.81
200902,1.38,0.31
200903,0.08,-0.76
200904,0.04,-0.40
200905,0.03,-0.25
200906,0.38,0.27
200907,0.16,-0.13
200908,0.09,-0.24
200909,0.01,-0.27
200910,0.70,0.38
200911,0.08,-0.40
200912,1.11,0.33
201001,2.48,1.45
201002,1.59,0.52
201003,0.10,-0.74
201004,0.46,0.02
201005,0.07,-0.21
201006,0.00,-0.11
201007,0.06,-0.23
201008,0.04,-0.29
201009,0.00,-0.28
201010,1.01,0.69
201011,0.22,-0.26
201012,3.75,2.97
201101,0.21,-0.82
201102,0.62,-0.45
201103,0.95,0.11
201104,0.08,-0.36
201105,0.25,-0.03
201106,0.03,-0.08
201107,0.39,0.10
201108,0.48,0.15
201109,0.18,-0.10
201110,0.38,0.06
201111,0.26,-0.22
201112,0.09,-0.69
201201,0.95,-0.08
201202,0.09,-0.98
201203,0.31,-0.53
201204,0.44,0.00
201205,0.01,-0.27
201206,0.00,-0.11
201207,0.17,-0.12
201208,0.71,0.38
201209,0.10,-0.18
201210,0.71,0.39
201211,0.06,-0.42
201212,0.51,-0.27
201301,0.38,-0.65
201302,0.03,-1.04
201303,0.30,-0.54
201304,0.02,-0.42
201305,0.14,-0.14
201306,0.00,-0.11
201307,1.17,0.88
201308,0.50,0.17
201309,0.19,-0.09
201310,0.18,-0.14
201311,0.53,0.05
201312,0.08,-0.70
201401,0.09,-0.94
201402,0.39,-0.68
201403,0.84,0.00
201404,0.17,-0.27
201405,0.20,-0.08
201406,0.00,-0.11
201407,0.50,0.21
201408,0.73,0.40
201409,0.37,0.09
201410,0.00,-0.32
201411,0.05,-0.43
201412,1.34,0.56
201501,0.64,-0.39
201502,0.48,-0.59
201503,0.23,-0.61
201504,0.06,-0.38
201505,0.73,0.45
201506,0.10,-0.01
201507,1.12,0.83
201508,0.07,-0.26
201509,0.04,-0.24
201510,1.44,1.12
201511,0.16,-0.32
201512,0.10,-0.68
201601,1.02,-0.01
201602,0.56,-0.51
201603,0.29,-0.55
201604,0.98,0.54
201605,0.26,-0.02
201606,0.27,0.16
201607,0.11,-0.18
201608,0.04,-0.29
201609,0.02,-0.26
201610,0.31,-0.01
201611,0.18,-0.30
201612,0.87,0.09
201701,3.87,2.84
201702,1.89,0.82
201703,0.06,-0.78
201704,0.56,0.12
201705,0.39,0.11
201706,0.01,-0.10
201707,0.12,-0.17
201708,0.31,-0.02
201709,0.31,0.03
201710,0.00,-0.32
201711,0.15,-0.33
201712,0.01,-0.77
201801,0.91,-0.12
201802,0.13,-0.94
201803,1.16,0.32
201804,0.25,-0.19
201805,0.24,-0.04
201806,0.00,-0.11
201807,0.67,0.38
201808,0.02,-0.31
201809,0.03,-0.25
201810,0.33,0.01
201811,0.41,-0.07
201812,0.37,-0.41
201901,1.64,0.61
201902,2.20,1.13
201903,2.37,1.53
201904,0.17,-0.27
201905,1.12,0.84
201906,0.04,-0.07
201907,0.07,-0.22
201908,0.15,-0.18
201909,0.03,-0.25
201910,0.00,-0.32
201911,0.99,0.51
201912,1.22,0.44
202001,0.05,-0.98
202002,0.25,-0.82
202003,1.24,0.40
202004,0.96,0.52
202005,0.05,-0.23
202006,0.07,-0.04
202007,0.00,-0.29
202008,0.01,-0.32
202009,0.00,-0.28
202010,0.00,-0.32
202011,0.10,-0.38
202012,0.26,-0.52
202101,0.66,-0.37
202102,0.13,-0.94
202103,0.28,-0.56
202104,0.04,-0.40
202105,0.01,-0.27
202106,0.01,-0.10
202107,1.02,0.73
202108,0.02,-0.31
202109,0.08,-0.20
202110,0.42,0.10
202111,0.05,-0.43
202112,1.89,1.11
202201,0.01,-1.02
202202,0.05,-1.02
202203,0.19,-0.65
202204,0.04,-0.40
202205,0.00,-0.28
202206,0.09,-0.02
202207,0.17,-0.12
202208,1.24,0.91
202209,0.53,0.25
202210,0.00,-0.32
202211,0.45,-0.03
202212,1.06,0.28
202301,2.94,1.91
202302,1.47,0.40
202303,2.17,1.33
