Calaveras County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.01,-0.04
191709,0.19,-0.28
191710,0.01,-1.75
191711,1.12,-2.70
191712,1.93,-3.38
191801,1.13,-5.53
191802,10.37,4.40
191803,12.03,6.45
191804,0.96,-1.84
191805,0.59,-0.81
191806,0.05,-0.36
191807,0.02,-0.02
191808,0.04,-0.01
191809,2.46,1.99
191810,1.58,-0.18
191811,3.29,-0.53
191812,2.59,-2.72
191901,1.97,-4.69
191902,11.06,5.09
191903,4.33,-1.25
191904,0.32,-2.48
191905,0.21,-1.19
191906,0.00,-0.41
191907,0.00,-0.04
191908,0.00,-0.05
191909,1.16,0.69
191910,0.35,-1.41
191911,0.41,-3.41
191912,5.74,0.43
192001,0.99,-5.67
192002,2.52,-3.45
192003,10.11,4.53
192004,4.22,1.42
192005,0.04,-1.36
192006,1.05,0.64
192007,0.05,0.01
192008,0.29,0.24
192009,0.13,-0.34
192010,5.26,3.50
192011,6.02,2.20
192012,8.15,2.84
192101,9.04,2.38
192102,3.23,-2.74
192103,3.69,-1.89
192104,0.62,-2.18
192105,1.87,0.47
192106,0.28,-0.13
192107,0.00,-0.04
192108,0.00,-0.05
192109,0.23,-0.24
192110,0.71,-1.05
192111,1.31,-2.51
192112,9.49,4.18
192201,4.26,-2.40
192202,10.97,5.00
192203,6.42,0.84
192204,0.74,-2.06
192205,1.51,0.11
192206,0.39,-0.02
192207,0.10,0.06
192208,0.01,-0.04
192209,0.00,-0.47
192210,1.46,-0.30
192211,6.01,2.19
192212,11.42,6.11
192301,6.00,-0.66
192302,1.29,-4.68
192303,0.36,-5.22
192304,7.28,4.48
192305,0.84,-0.56
192306,0.32,-0.09
192307,0.02,-0.02
192308,0.02,-0.03
192309,2.04,1.57
192310,1.14,-0.62
192311,0.62,-3.20
192312,2.94,-2.37
192401,3.15,-3.51
192402,1.92,-4.05
192403,3.46,-2.12
192404,0.97,-1.83
192405,0.09,-1.31
192406,0.00,-0.41
192407,0.00,-0.04
192408,0.00,-0.05
192409,0.08,-0.39
192410,4.46,2.70
192411,2.76,-1.06
192412,6.59,1.28
192501,2.00,-4.66
192502,10.96,4.99
192503,4.74,-0.84
192504,5.26,2.46
192505,2.31,0.91
192506,0.48,0.07
192507,0.13,0.09
192508,0.03,-0.02
192509,0.41,-0.06
192510,1.28,-0.48
192511,2.31,-1.51
192512,2.69,-2.62
192601,3.75,-2.91
192602,8.40,2.43
192603,0.38,-5.20
192604,4.92,2.12
192605,0.62,-0.78
192606,0.08,-0.33
192607,0.00,-0.04
192608,0.00,-0.05
192609,0.00,-0.47
192610,1.55,-0.21
192611,11.21,7.39
192612,2.25,-3.06
192701,5.36,-1.30
192702,9.44,3.47
192703,3.39,-2.19
192704,3.98,1.18
192705,0.82,-0.58
192706,0.62,0.21
192707,0.00,-0.04
192708,0.00,-0.05
192709,0.08,-0.39
192710,3.40,1.64
192711,4.91,1.09
192712,4.43,-0.88
192801,2.27,-4.39
192802,3.69,-2.28
192803,10.80,5.22
192804,2.66,-0.14
192805,0.19,-1.21
192806,0.22,-0.19
192807,0.00,-0.04
192808,0.00,-0.05
192809,0.00,-0.47
192810,0.11,-1.65
192811,4.83,1.01
192812,4.06,-1.25
192901,3.33,-3.33
192902,3.16,-2.81
192903,3.80,-1.78
192904,3.37,0.57
192905,0.26,-1.14
192906,2.07,1.66
192907,0.00,-0.04
192908,0.00,-0.05
192909,0.04,-0.43
192910,0.14,-1.62
192911,0.00,-3.82
192912,4.68,-0.63
193001,8.16,1.50
193002,5.05,-0.92
193003,4.98,-0.60
193004,2.32,-0.48
193005,1.39,-0.01
193006,0.00,-0.41
193007,0.00,-0.04
193008,0.14,0.09
193009,0.45,-0.02
193010,0.65,-1.11
193011,4.40,0.58
193012,0.27,-5.04
193101,5.68,-0.98
193102,3.48,-2.49
193103,2.32,-3.26
193104,1.02,-1.78
193105,1.24,-0.16
193106,0.95,0.54
193107,0.00,-0.04
193108,0.08,0.03
193109,0.01,-0.46
193110,1.12,-0.64
193111,5.00,1.18
193112,11.72,6.41
193201,5.61,-1.05
193202,5.79,-0.18
193203,1.27,-4.31
193204,2.23,-0.57
193205,2.09,0.69
193206,0.16,-0.25
193207,0.09,0.05
193208,0.00,-0.05
193209,0.02,-0.45
193210,0.01,-1.75
193211,0.95,-2.87
193212,3.40,-1.91
193301,7.98,1.32
193302,1.69,-4.28
193303,4.19,-1.39
193304,0.66,-2.14
193305,3.30,1.90
193306,0.14,-0.27
193307,0.00,-0.04
193308,0.01,-0.04
193309,0.23,-0.24
193310,3.24,1.48
193311,0.03,-3.79
193312,9.36,4.05
193401,2.47,-4.19
193402,6.45,0.48
193403,0.46,-5.12
193404,0.24,-2.56
193405,1.80,0.40
193406,0.57,0.16
193407,0.00,-0.04
193408,0.02,-0.03
193409,0.79,0.32
193410,2.50,0.74
193411,4.76,0.94
193412,3.70,-1.61
193501,7.02,0.36
193502,2.26,-3.71
193503,6.45,0.87
193504,10.01,7.21
193505,0.20,-1.20
193506,0.00,-0.41
193507,0.07,0.03
193508,0.02,-0.03
193509,0.00,-0.47
193510,2.15,0.39
193511,1.72,-2.10
193512,2.91,-2.40
193601,9.90,3.24
193602,18.81,12.84
193603,2.88,-2.70
193604,2.18,-0.62
193605,1.04,-0.36
193606,1.92,1.51
193607,0.10,0.06
193608,0.00,-0.05
193609,0.23,-0.24
193610,1.14,-0.62
193611,0.10,-3.72
193612,6.99,1.68
193701,6.18,-0.48
193702,10.71,4.74
193703,9.76,4.18
193704,2.29,-0.51
193705,0.10,-1.30
193706,0.70,0.29
193707,0.02,-0.02
193708,0.00,-0.05
193709,0.01,-0.46
193710,1.09,-0.67
193711,3.29,-0.53
193712,7.62,2.31
193801,5.70,-0.96
193802,13.73,7.76
193803,12.31,6.73
193804,3.21,0.41
193805,0.68,-0.72
193806,0.13,-0.28
193807,0.15,0.11
193808,0.00,-0.05
193809,0.31,-0.16
193810,2.82,1.06
193811,1.73,-2.09
193812,1.93,-3.38
193901,4.45,-2.21
193902,3.78,-2.19
193903,4.29,-1.29
193904,0.49,-2.31
193905,2.57,1.17
193906,0.08,-0.33
193907,0.00,-0.04
193908,0.00,-0.05
193909,1.40,0.93
193910,2.35,0.59
193911,0.88,-2.94
193912,1.61,-3.70
194001,14.08,7.42
194002,10.56,4.59
194003,8.06,2.48
194004,1.05,-1.75
194005,0.52,-0.88
194006,0.04,-0.37
194007,0.00,-0.04
194008,0.00,-0.05
194009,0.10,-0.37
194010,1.47,-0.29
194011,1.16,-2.66
194012,10.44,5.13
194101,6.07,-0.59
194102,7.54,1.57
194103,5.88,0.30
194104,4.78,1.98
194105,0.85,-0.55
194106,0.06,-0.35
194107,0.00,-0.04
194108,0.00,-0.05
194109,0.27,-0.20
194110,0.95,-0.81
194111,2.47,-1.35
194112,10.95,5.64
194201,8.40,1.74
194202,4.98,-0.99
194203,2.84,-2.74
194204,6.60,3.80
194205,4.40,3.00
194206,0.00,-0.41
194207,0.00,-0.04
194208,0.00,-0.05
194209,0.01,-0.46
194210,0.36,-1.40
194211,8.66,4.84
194212,5.03,-0.28
194301,10.66,4.00
194302,4.65,-1.32
194303,9.86,4.28
194304,2.64,-0.16
194305,0.38,-1.02
194306,0.54,0.13
194307,0.02,-0.02
194308,0.00,-0.05
194309,0.00,-0.47
194310,1.37,-0.39
194311,1.27,-2.55
194312,2.73,-2.58
194401,5.21,-1.45
194402,7.70,1.73
194403,2.60,-2.98
194404,3.83,1.03
194405,1.04,-0.36
194406,0.30,-0.11
194407,0.00,-0.04
194408,0.00,-0.05
194409,0.23,-0.24
194410,2.69,0.93
194411,8.60,4.78
194412,4.10,-1.21
194501,1.05,-5.61
194502,9.19,3.22
194503,7.51,1.93
194504,0.93,-1.87
194505,1.41,0.01
194506,1.02,0.61
194507,0.12,0.08
194508,0.03,-0.02
194509,0.09,-0.38
194510,4.62,2.86
194511,5.84,2.02
194512,9.74,4.43
194601,2.14,-4.52
194602,3.36,-2.61
194603,5.69,0.11
194604,0.32,-2.48
194605,1.85,0.45
194606,0.00,-0.41
194607,0.06,0.02
194608,0.00,-0.05
194609,0.22,-0.25
194610,1.68,-0.08
194611,7.00,3.18
194612,3.89,-1.42
194701,1.69,-4.97
194702,2.51,-3.46
194703,5.82,0.24
194704,1.09,-1.71
194705,0.52,-0.88
194706,0.60,0.19
194707,0.00,-0.04
194708,0.00,-0.05
194709,0.01,-0.46
194710,5.02,3.26
194711,1.94,-1.88
194712,1.25,-4.06
194801,2.10,-4.56
194802,4.18,-1.79
194803,7.85,2.27
194804,7.93,5.13
194805,2.95,1.55
194806,0.30,-0.11
194807,0.00,-0.04
194808,0.00,-0.05
194809,0.04,-0.43
194810,0.80,-0.96
194811,1.03,-2.79
194812,6.01,0.70
194901,3.38,-3.28
194902,4.59,-1.38
194903,8.38,2.80
194904,0.09,-2.71
194905,1.22,-0.18
194906,0.01,-0.40
194907,0.05,0.01
194908,0.20,0.15
194909,0.11,-0.36
194910,0.15,-1.61
194911,3.33,-0.49
194912,2.53,-2.78
195001,10.72,4.06
195002,4.37,-1.60
195003,5.17,-0.41
195004,3.30,0.50
195005,1.24,-0.16
195006,0.18,-0.23
195007,0.07,0.03
195008,0.00,-0.05
195009,0.45,-0.02
195010,5.02,3.26
195011,11.97,8.15
195012,9.66,4.35
195101,7.29,0.63
195102,3.84,-2.13
195103,3.49,-2.09
195104,2.07,-0.73
195105,1.91,0.51
195106,0.01,-0.40
195107,0.00,-0.04
195108,0.00,-0.05
195109,0.00,-0.47
195110,2.80,1.04
195111,5.49,1.67
195112,10.86,5.55
195201,11.25,4.59
195202,4.83,-1.14
195203,7.46,1.88
195204,2.34,-0.46
195205,0.45,-0.95
195206,0.37,-0.04
195207,0.11,0.07
195208,0.00,-0.05
195209,0.49,0.02
195210,0.03,-1.73
195211,2.72,-1.10
195212,8.74,3.43
195301,5.65,-1.01
195302,0.10,-5.87
195303,4.32,-1.26
195304,4.26,1.46
195305,1.52,0.12
195306,1.10,0.69
195307,0.05,0.01
195308,0.04,-0.01
195309,0.01,-0.46
195310,1.51,-0.25
195311,3.03,-0.79
195312,2.48,-2.83
195401,5.10,-1.56
195402,4.02,-1.95
195403,7.26,1.68
195404,2.68,-0.12
195405,0.63,-0.77
195406,1.11,0.70
195407,0.00,-0.04
195408,0.01,-0.04
195409,0.00,-0.47
195410,0.01,-1.75
195411,3.39,-0.43
195412,7.39,2.08
195501,6.54,-0.12
195502,3.32,-2.65
195503,0.89,-4.69
195504,4.23,1.43
195505,1.09,-0.31
195506,0.02,-0.39
195507,0.00,-0.04
195508,0.00,-0.05
195509,0.12,-0.35
195510,0.17,-1.59
195511,3.30,-0.52
195512,20.70,15.39
195601,10.70,4.04
195602,3.19,-2.78
195603,0.53,-5.05
195604,3.20,0.40
195605,3.63,2.23
195606,0.09,-0.32
195607,0.01,-0.03
195608,0.00,-0.05
195609,0.60,0.13
195610,3.28,1.52
195611,0.02,-3.80
195612,1.95,-3.36
195701,4.74,-1.92
195702,5.37,-0.60
195703,6.15,0.57
195704,2.33,-0.47
195705,4.98,3.58
195706,0.14,-0.27
195707,0.01,-0.03
195708,0.00,-0.05
195709,0.43,-0.04
195710,2.01,0.25
195711,1.79,-2.03
195712,5.04,-0.27
195801,7.39,0.73
195802,10.31,4.34
195803,10.67,5.09
195804,7.98,5.18
195805,1.44,0.04
195806,0.83,0.42
195807,0.03,-0.01
195808,0.01,-0.04
195809,0.27,-0.20
195810,0.11,-1.65
195811,0.90,-2.92
195812,1.41,-3.90
195901,7.67,1.01
195902,7.59,1.62
195903,1.56,-4.02
195904,1.26,-1.54
195905,0.67,-0.73
195906,0.00,-0.41
195907,0.01,-0.03
195908,0.16,0.11
195909,2.48,2.01
195910,0.00,-1.76
195911,0.00,-3.82
195912,1.49,-3.82
196001,5.52,-1.14
196002,8.31,2.34
196003,3.79,-1.79
196004,2.98,0.18
196005,0.33,-1.07
196006,0.00,-0.41
196007,0.01,-0.03
196008,0.00,-0.05
196009,0.14,-0.33
196010,0.38,-1.38
196011,5.73,1.91
196012,1.94,-3.37
196101,2.16,-4.50
196102,2.28,-3.69
196103,4.78,-0.80
196104,2.06,-0.74
196105,1.52,0.12
196106,0.09,-0.32
196107,0.11,0.07
196108,0.15,0.10
196109,0.62,0.15
196110,0.55,-1.21
196111,3.29,-0.53
196112,2.65,-2.66
196201,2.54,-4.12
196202,14.05,8.08
196203,5.22,-0.36
196204,1.18,-1.62
196205,0.45,-0.95
196206,0.02,-0.39
196207,0.14,0.10
196208,0.04,-0.01
196209,0.12,-0.35
196210,5.49,3.73
196211,1.10,-2.72
196212,3.26,-2.05
196301,5.57,-1.09
196302,6.72,0.75
196303,6.37,0.79
196304,8.18,5.38
196305,2.18,0.78
196306,0.65,0.24
196307,0.00,-0.04
196308,0.03,-0.02
196309,0.49,0.02
196310,2.78,1.02
196311,7.38,3.56
196312,0.66,-4.65
196401,5.67,-0.99
196402,0.36,-5.61
196403,3.66,-1.92
196404,1.42,-1.38
196405,2.48,1.08
196406,1.01,0.60
196407,0.00,-0.04
196408,0.17,0.12
196409,0.12,-0.35
196410,2.41,0.65
196411,6.55,2.73
196412,17.43,12.12
196501,5.78,-0.88
196502,1.43,-4.54
196503,3.27,-2.31
196504,5.68,2.88
196505,0.15,-1.25
196506,0.31,-0.10
196507,0.02,-0.02
196508,0.44,0.39
196509,0.24,-0.23
196510,0.55,-1.21
196511,8.60,4.78
196512,5.66,0.35
196601,2.81,-3.85
196602,2.70,-3.27
196603,0.89,-4.69
196604,1.54,-1.26
196605,0.36,-1.04
196606,0.04,-0.37
196607,0.09,0.05
196608,0.00,-0.05
196609,0.11,-0.36
196610,0.00,-1.76
196611,6.77,2.95
196612,7.83,2.52
196701,10.22,3.56
196702,0.76,-5.21
196703,8.37,2.79
196704,10.08,7.28
196705,1.24,-0.16
196706,1.17,0.76
196707,0.00,-0.04
196708,0.08,0.03
196709,0.41,-0.06
196710,1.34,-0.42
196711,3.05,-0.77
196712,4.05,-1.26
196801,5.50,-1.16
196802,4.39,-1.58
196803,3.90,-1.68
196804,0.79,-2.01
196805,0.90,-0.50
196806,0.10,-0.31
196807,0.04,0.00
196808,0.37,0.32
196809,0.02,-0.45
196810,1.90,0.14
196811,5.98,2.16
196812,7.24,1.93
196901,17.56,10.90
196902,10.44,4.47
196903,2.98,-2.60
196904,3.64,0.84
196905,0.09,-1.31
196906,0.25,-0.16
196907,0.01,-0.03
196908,0.00,-0.05
196909,0.34,-0.13
196910,3.40,1.64
196911,2.90,-0.92
196912,7.35,2.04
197001,13.70,7.04
197002,3.00,-2.97
197003,3.70,-1.88
197004,2.34,-0.46
197005,0.01,-1.39
197006,1.31,0.90
197007,0.00,-0.04
197008,0.00,-0.05
197009,0.07,-0.40
197010,1.10,-0.66
197011,9.50,5.68
197012,9.58,4.27
197101,2.88,-3.78
197102,1.00,-4.97
197103,4.65,-0.93
197104,1.10,-1.70
197105,1.51,0.11
197106,0.48,0.07
197107,0.00,-0.04
197108,0.00,-0.05
197109,0.63,0.16
197110,0.46,-1.30
197111,4.39,0.57
197112,8.65,3.34
197201,2.11,-4.55
197202,2.63,-3.34
197203,0.63,-4.95
197204,2.76,-0.04
197205,0.17,-1.23
197206,0.17,-0.24
197207,0.00,-0.04
197208,0.06,0.01
197209,1.10,0.63
197210,0.96,-0.80
197211,6.08,2.26
197212,4.71,-0.60
197301,10.97,4.31
197302,8.91,2.94
197303,5.55,-0.03
197304,1.06,-1.74
197305,0.29,-1.11
197306,0.13,-0.28
197307,0.03,-0.01
197308,0.06,0.01
197309,0.15,-0.32
197310,3.47,1.71
197311,8.31,4.49
197312,8.25,2.94
197401,4.75,-1.91
197402,2.03,-3.94
197403,8.57,2.99
197404,4.07,1.27
197405,0.05,-1.35
197406,0.38,-0.03
197407,0.23,0.19
197408,0.06,0.01
197409,0.00,-0.47
197410,2.76,1.00
197411,2.18,-1.64
197412,3.35,-1.96
197501,2.95,-3.71
197502,8.66,2.69
197503,9.39,3.81
197504,3.82,1.02
197505,0.40,-1.00
197506,0.17,-0.24
197507,0.08,0.04
197508,0.44,0.39
197509,0.08,-0.39
197510,5.10,3.34
197511,1.71,-2.11
197512,0.78,-4.53
197601,0.43,-6.23
197602,2.99,-2.98
197603,1.99,-3.59
197604,1.86,-0.94
197605,0.37,-1.03
197606,0.03,-0.38
197607,0.04,0.00
197608,0.45,0.40
197609,1.06,0.59
197610,0.43,-1.33
197611,1.73,-2.09
197612,0.36,-4.95
197701,2.23,-4.43
197702,2.11,-3.86
197703,1.89,-3.69
197704,0.35,-2.45
197705,2.84,1.44
197706,0.08,-0.33
197707,0.08,0.04
197708,0.00,-0.05
197709,0.42,-0.05
197710,0.10,-1.66
197711,3.74,-0.08
197712,7.91,2.60
197801,11.13,4.47
197802,5.95,-0.02
197803,7.96,2.38
197804,7.23,4.43
197805,0.14,-1.26
197806,0.19,-0.22
197807,0.00,-0.04
197808,0.01,-0.04
197809,2.32,1.85
197810,0.02,-1.74
197811,3.34,-0.48
197812,3.11,-2.20
197901,8.50,1.84
197902,8.45,2.48
197903,6.36,0.78
197904,1.64,-1.16
197905,1.15,-0.25
197906,0.00,-0.41
197907,0.14,0.10
197908,0.05,0.00
197909,0.02,-0.45
197910,3.34,1.58
197911,4.43,0.61
197912,5.13,-0.18
198001,12.56,5.90
198002,9.16,3.19
198003,3.08,-2.50
198004,2.53,-0.27
198005,1.48,0.08
198006,0.19,-0.22
198007,0.18,0.14
198008,0.04,-0.01
198009,0.09,-0.38
198010,0.48,-1.28
198011,0.55,-3.27
198012,2.67,-2.64
198101,9.15,2.49
198102,2.02,-3.95
198103,6.63,1.05
198104,1.91,-0.89
198105,0.90,-0.50
198106,0.00,-0.41
198107,0.04,0.00
198108,0.00,-0.05
198109,0.29,-0.18
198110,3.94,2.18
198111,9.20,5.38
198112,7.59,2.28
198201,9.55,2.89
198202,6.24,0.27
198203,11.13,5.55
198204,6.11,3.31
198205,0.20,-1.20
198206,0.51,0.10
198207,0.04,0.00
198208,0.04,-0.01
198209,2.63,2.16
198210,6.09,4.33
198211,8.87,5.05
198212,6.79,1.48
198301,9.75,3.09
198302,9.49,3.52
198303,13.33,7.75
198304,5.47,2.67
198305,1.04,-0.36
198306,0.17,-0.24
198307,0.01,-0.03
198308,0.35,0.30
198309,1.48,1.01
198310,1.42,-0.34
198311,14.45,10.63
198312,10.79,5.48
198401,0.44,-6.22
198402,4.36,-1.61
198403,3.09,-2.49
198404,1.81,-0.99
198405,0.48,-0.92
198406,0.74,0.33
198407,0.06,0.02
198408,0.02,-0.03
198409,0.11,-0.36
198410,3.22,1.46
198411,8.65,4.83
198412,2.29,-3.02
198501,1.50,-5.16
198502,3.21,-2.76
198503,6.34,0.76
198504,0.40,-2.40
198505,0.02,-1.38
198506,0.33,-0.08
198507,0.05,0.01
198508,0.15,0.10
198509,1.34,0.87
198510,1.70,-0.06
198511,7.03,3.21
198512,3.79,-1.52
198601,5.06,-1.60
198602,17.51,11.54
198603,8.27,2.69
198604,1.82,-0.98
198605,0.85,-0.55
198606,0.01,-0.40
198607,0.09,0.05
198608,0.01,-0.04
198609,1.99,1.52
198610,0.09,-1.67
198611,0.49,-3.33
198612,1.33,-3.98
198701,3.81,-2.85
198702,5.03,-0.94
198703,5.79,0.21
198704,0.50,-2.30
198705,0.65,-0.75
198706,0.06,-0.35
198707,0.01,-0.03
198708,0.02,-0.03
198709,0.01,-0.46
198710,1.35,-0.41
198711,2.30,-1.52
198712,4.86,-0.45
198801,4.14,-2.52
198802,0.70,-5.27
198803,1.13,-4.45
198804,3.91,1.11
198805,1.00,-0.40
198806,0.30,-0.11
198807,0.01,-0.03
198808,0.01,-0.04
198809,0.05,-0.42
198810,0.02,-1.74
198811,5.37,1.55
198812,4.78,-0.53
198901,1.75,-4.91
198902,2.55,-3.42
198903,8.73,3.15
198904,1.18,-1.62
198905,0.54,-0.86
198906,0.15,-0.26
198907,0.00,-0.04
198908,0.17,0.12
198909,2.51,2.04
198910,4.59,2.83
198911,2.66,-1.16
198912,0.02,-5.29
199001,4.89,-1.77
199002,3.80,-2.17
199003,2.75,-2.83
199004,2.22,-0.58
199005,3.66,2.26
199006,0.03,-0.38
199007,0.10,0.06
199008,0.08,0.03
199009,0.15,-0.32
199010,0.46,-1.30
199011,1.23,-2.59
199012,1.43,-3.88
199101,0.43,-6.23
199102,2.10,-3.87
199103,14.10,8.52
199104,1.18,-1.62
199105,1.66,0.26
199106,0.99,0.58
199107,0.02,-0.02
199108,0.15,0.10
199109,0.13,-0.34
199110,4.27,2.51
199111,1.47,-2.35
199112,2.55,-2.76
199201,1.93,-4.73
199202,7.80,1.83
199203,4.50,-1.08
199204,0.67,-2.13
199205,0.10,-1.30
199206,0.88,0.47
199207,0.21,0.17
199208,0.05,0.00
199209,0.06,-0.41
199210,2.89,1.13
199211,0.44,-3.38
199212,10.37,5.06
199301,13.01,6.35
199302,8.02,2.05
199303,5.67,0.09
199304,1.78,-1.02
199305,2.22,0.82
199306,1.26,0.85
199307,0.00,-0.04
199308,0.00,-0.05
199309,0.00,-0.47
199310,1.13,-0.63
199311,2.31,-1.51
199312,3.08,-2.23
199401,2.82,-3.84
199402,5.90,-0.07
199403,0.81,-4.77
199404,3.24,0.44
199405,1.79,0.39
199406,0.01,-0.40
