Solano County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199404,0.98,-0.26
199405,1.25,0.70
199406,0.01,-0.13
199407,0.00,0.00
199408,0.00,-0.03
199409,0.03,-0.17
199410,0.60,-0.33
199411,4.93,2.71
199412,2.92,-0.58
199501,12.35,7.98
199502,0.26,-3.50
199503,9.22,6.38
199504,1.00,-0.24
199505,1.30,0.75
199506,0.69,0.55
199507,0.00,0.00
199508,0.00,-0.03
199509,0.00,-0.20
199510,0.01,-0.92
199511,0.05,-2.17
199512,7.59,4.09
199601,6.10,1.73
199602,6.92,3.16
199603,2.36,-0.48
199604,1.98,0.74
199605,2.23,1.68
199606,0.01,-0.13
199607,0.00,0.00
199608,0.00,-0.03
199609,0.01,-0.19
199610,1.34,0.41
199611,2.62,0.40
199612,8.47,4.97
199701,9.30,4.93
199702,0.28,-3.48
199703,0.47,-2.37
199704,0.21,-1.03
199705,0.40,-0.15
199706,0.27,0.13
199707,0.00,0.00
199708,0.28,0.25
199709,0.04,-0.16
199710,0.71,-0.22
199711,5.82,3.60
199712,2.33,-1.17
199801,7.21,2.84
199802,12.45,8.69
199803,2.23,-0.61
199804,1.68,0.44
199805,2.86,2.31
199806,0.06,-0.08
199807,0.00,0.00
199808,0.00,-0.03
199809,0.28,0.08
199810,0.67,-0.26
199811,3.63,1.41
199812,1.09,-2.41
199901,2.49,-1.88
199902,5.76,2.00
199903,2.46,-0.38
199904,1.64,0.40
199905,0.06,-0.49
199906,0.04,-0.10
199907,0.00,0.00
199908,0.01,-0.02
199909,0.06,-0.14
199910,0.38,-0.55
199911,1.98,-0.24
199912,0.36,-3.14
200001,5.57,1.20
200002,8.29,4.53
200003,2.12,-0.72
200004,1.34,0.10
200005,1.00,0.45
200006,0.20,0.06
200007,0.00,0.00
200008,0.00,-0.03
200009,0.12,-0.08
200010,2.43,1.50
200011,0.82,-1.40
200012,0.66,-2.84
200101,3.30,-1.07
200102,5.55,1.79
200103,1.70,-1.14
200104,0.98,-0.26
200105,0.00,-0.55
200106,0.11,-0.03
200107,0.00,0.00
200108,0.00,-0.03
200109,0.23,0.03
200110,0.44,-0.49
200111,4.10,1.88
200112,8.11,4.61
200201,2.31,-2.06
200202,1.11,-2.65
200203,2.05,-0.79
200204,0.16,-1.08
200205,0.90,0.35
200206,0.00,-0.14
200207,0.00,0.00
200208,0.00,-0.03
200209,0.00,-0.20
200210,0.00,-0.93
200211,3.05,0.83
200212,10.66,7.16
200301,1.87,-2.50
200302,1.50,-2.26
200303,2.16,-0.68
200304,2.90,1.66
200305,0.85,0.30
200306,0.00,-0.14
200307,0.00,0.00
200308,0.25,0.22
200309,0.01,-0.19
200310,0.02,-0.91
200311,1.71,-0.51
200312,6.33,2.83
200401,2.74,-1.63
200402,6.09,2.33
200403,0.82,-2.02
200404,0.18,-1.06
200405,0.06,-0.49
200406,0.00,-0.14
200407,0.00,0.00
200408,0.00,-0.03
200409,0.16,-0.04
200410,2.68,1.75
200411,2.46,0.24
200412,5.73,2.23
200501,4.41,0.04
200502,3.70,-0.06
200503,3.62,0.78
200504,1.20,-0.04
200505,1.49,0.94
200506,0.43,0.29
200507,0.00,0.00
200508,0.00,-0.03
200509,0.03,-0.17
200510,0.20,-0.73
200511,1.48,-0.74
200512,11.66,8.16
200601,3.20,-1.17
200602,2.71,-1.05
200603,6.32,3.48
200604,4.18,2.94
200605,0.75,0.20
200606,0.00,-0.14
200607,0.00,0.00
200608,0.00,-0.03
200609,0.00,-0.20
200610,0.18,-0.75
200611,1.84,-0.38
200612,2.84,-0.66
200701,0.26,-4.11
200702,3.96,0.20
200703,0.20,-2.64
200704,1.45,0.21
200705,0.31,-0.24
200706,0.00,-0.14
200707,0.03,0.03
200708,0.00,-0.03
200709,0.20,0.00
200710,1.54,0.61
200711,0.73,-1.49
200712,3.08,-0.42
200801,8.60,4.23
200802,2.57,-1.19
200803,0.13,-2.71
200804,0.07,-1.17
200805,0.03,-0.52
200806,0.00,-0.14
200807,0.00,0.00
200808,0.00,-0.03
200809,0.00,-0.20
200810,0.46,-0.47
200811,2.15,-0.07
200812,2.12,-1.38
200901,1.19,-3.18
200902,6.45,2.69
200903,2.09,-0.75
200904,0.77,-0.47
200905,0.93,0.38
200906,0.09,-0.05
200907,0.00,0.00
200908,0.00,-0.03
200909,0.13,-0.07
200910,3.99,3.06
200911,0.46,-1.76
200912,2.06,-1.44
201001,7.24,2.87
201002,3.18,-0.58
201003,1.92,-0.92
201004,3.25,2.01
201005,0.82,0.27
201006,0.00,-0.14
201007,0.00,0.00
201008,0.00,-0.03
201009,0.03,-0.17
201010,1.64,0.71
201011,2.35,0.13
201012,6.22,2.72
201101,1.52,-2.85
201102,4.00,0.24
201103,6.88,4.04
201104,0.24,-1.00
201105,1.03,0.48
201106,0.77,0.63
201107,0.00,0.00
201108,0.00,-0.03
201109,0.01,-0.19
201110,1.16,0.23
201111,1.33,-0.89
201112,0.22,-3.28
201201,3.41,-0.96
201202,1.05,-2.71
201203,5.70,2.86
201204,2.29,1.05
201205,0.02,-0.53
201206,0.05,-0.09
201207,0.01,0.01
201208,0.00,-0.03
201209,0.01,-0.19
201210,1.08,0.15
201211,4.48,2.26
201212,6.78,3.28
201301,0.72,-3.65
201302,0.28,-3.48
201303,0.73,-2.11
201304,0.84,-0.40
201305,0.24,-0.31
201306,0.24,0.10
201307,0.00,0.00
201308,0.00,-0.03
201309,0.58,0.38
201310,0.00,-0.93
201311,0.99,-1.23
201312,0.48,-3.02
201401,0.13,-4.24
201402,5.70,1.94
201403,1.96,-0.88
201404,1.88,0.64
201405,0.01,-0.54
201406,0.00,-0.14
201407,0.01,0.01
201408,0.04,0.01
201409,0.48,0.28
201410,0.48,-0.45
201411,1.74,-0.48
201412,9.61,6.11
201501,0.02,-4.35
201502,2.54,-1.22
201503,0.17,-2.67
201504,1.18,-0.06
201505,0.09,-0.46
201506,0.15,0.01
201507,0.02,0.02
201508,0.01,-0.02
201509,0.05,-0.15
201510,0.21,-0.72
201511,1.59,-0.63
201512,2.71,-0.79
201601,6.71,2.34
201602,0.62,-3.14
201603,5.91,3.07
201604,1.00,-0.24
201605,0.33,-0.22
201606,0.00,-0.14
201607,0.00,0.00
201608,0.00,-0.03
201609,0.00,-0.20
201610,2.94,2.01
201611,1.55,-0.67
201612,3.80,0.30
201701,12.48,8.11
201702,9.13,5.37
201703,3.05,0.21
201704,2.86,1.62
201705,0.05,-0.50
201706,0.26,0.12
201707,0.00,0.00
201708,0.01,-0.02
201709,0.02,-0.18
201710,0.17,-0.76
201711,2.48,0.26
201712,0.06,-3.44
201801,3.98,-0.39
201802,0.29,-3.47
201803,4.93,2.09
201804,2.30,1.06
201805,0.06,-0.49
201806,0.00,-0.14
201807,0.01,0.01
201808,0.00,-0.03
201809,0.00,-0.20
201810,0.20,-0.73
201811,3.32,1.10
201812,2.25,-1.25
201901,5.94,1.57
201902,8.80,5.04
201903,4.52,1.68
201904,0.34,-0.90
201905,2.39,1.84
201906,0.00,-0.14
201907,0.00,0.00
201908,0.00,-0.03
201909,0.09,-0.11
201910,0.00,-0.93
201911,0.82,-1.40
201912,5.89,2.39
202001,1.41,-2.96
202002,0.00,-3.76
202003,1.42,-1.42
202004,0.93,-0.31
202005,0.57,0.02
202006,0.00,-0.14
202007,0.00,0.00
202008,0.05,0.02
202009,0.00,-0.20
202010,0.00,-0.93
202011,0.65,-1.57
202012,1.48,-2.02
202101,2.96,-1.41
202102,1.08,-2.68
202103,1.24,-1.60
202104,0.06,-1.18
202105,0.00,-0.55
202106,0.00,-0.14
202107,0.00,0.00
202108,0.00,-0.03
202109,0.03,-0.17
202110,5.28,4.35
202111,0.99,-1.23
202112,6.84,3.34
202201,0.36,-4.01
202202,0.02,-3.74
202203,0.65,-2.19
202204,0.87,-0.37
202205,0.05,-0.50
202206,0.17,0.03
202207,0.00,0.00
202208,0.02,-0.01
202209,0.71,0.51
202210,0.00,-0.93
202211,1.39,-0.83
202212,8.01,4.51
202301,9.61,5.24
202302,3.01,-0.75
202303,7.97,5.13
