Solano County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.00,-0.03
191709,0.24,0.04
191710,0.00,-0.93
191711,0.32,-1.90
191712,0.98,-2.52
191801,1.00,-3.37
191802,4.67,0.91
191803,3.23,0.39
191804,0.71,-0.53
191805,0.01,-0.54
191806,0.01,-0.13
191807,0.00,0.00
191808,0.00,-0.03
191809,1.21,1.01
191810,0.26,-0.67
191811,2.63,0.41
191812,1.84,-1.66
191901,2.20,-2.17
191902,8.28,4.52
191903,1.97,-0.87
191904,0.08,-1.16
191905,0.01,-0.54
191906,0.00,-0.14
191907,0.00,0.00
191908,0.00,-0.03
191909,0.56,0.36
191910,0.13,-0.80
191911,0.21,-2.01
191912,3.53,0.03
192001,0.37,-4.00
192002,0.73,-3.03
192003,3.66,0.82
192004,1.60,0.36
192005,0.00,-0.55
192006,0.13,-0.01
192007,0.00,0.00
192008,0.01,-0.02
192009,0.07,-0.13
192010,1.59,0.66
192011,3.46,1.24
192012,5.44,1.94
192101,5.55,1.18
192102,0.84,-2.92
192103,1.39,-1.45
192104,0.50,-0.74
192105,0.71,0.16
192106,0.00,-0.14
192107,0.00,0.00
192108,0.00,-0.03
192109,0.06,-0.14
192110,0.39,-0.54
192111,1.53,-0.69
192112,5.63,2.13
192201,2.30,-2.07
192202,5.84,2.08
192203,1.94,-0.90
192204,0.47,-0.77
192205,0.50,-0.05
192206,0.08,-0.06
192207,0.00,0.00
192208,0.00,-0.03
192209,0.00,-0.20
192210,1.94,1.01
192211,3.52,1.30
192212,7.84,4.34
192301,2.72,-1.65
192302,0.61,-3.15
192303,0.12,-2.72
192304,3.43,2.19
192305,0.04,-0.51
192306,0.08,-0.06
192307,0.00,0.00
192308,0.07,0.04
192309,0.63,0.43
192310,0.32,-0.61
192311,0.36,-1.86
192312,1.17,-2.33
192401,2.37,-2.00
192402,2.66,-1.10
192403,1.55,-1.29
192404,0.17,-1.07
192405,0.08,-0.47
192406,0.00,-0.14
192407,0.00,0.00
192408,0.02,-0.01
192409,0.00,-0.20
192410,2.26,1.33
192411,1.70,-0.52
192412,4.66,1.16
192501,1.31,-3.06
192502,6.55,2.79
192503,1.89,-0.95
192504,2.22,0.98
192505,2.38,1.83
192506,0.02,-0.12
192507,0.02,0.02
192508,0.01,-0.02
192509,0.20,0.00
192510,0.19,-0.74
192511,1.78,-0.44
192512,1.43,-2.07
192601,4.52,0.15
192602,5.98,2.22
192603,0.10,-2.74
192604,4.81,3.57
192605,0.38,-0.17
192606,0.00,-0.14
192607,0.00,0.00
192608,0.03,0.00
192609,0.00,-0.20
192610,1.91,0.98
192611,6.37,4.15
192612,0.79,-2.71
192701,2.68,-1.69
192702,7.19,3.43
192703,1.55,-1.29
192704,2.26,1.02
192705,0.21,-0.34
192706,0.48,0.34
192707,0.00,0.00
192708,0.00,-0.03
192709,0.00,-0.20
192710,1.89,0.96
192711,3.44,1.22
192712,3.28,-0.22
192801,2.08,-2.29
192802,1.82,-1.94
192803,4.57,1.73
192804,1.10,-0.14
192805,0.27,-0.28
192806,0.00,-0.14
192807,0.00,0.00
192808,0.00,-0.03
192809,0.00,-0.20
192810,0.08,-0.85
192811,3.48,1.26
192812,4.09,0.59
192901,0.84,-3.53
192902,1.63,-2.13
192903,1.53,-1.31
192904,0.84,-0.40
192905,0.03,-0.52
192906,0.75,0.61
192907,0.01,0.01
192908,0.00,-0.03
192909,0.00,-0.20
192910,0.05,-0.88
192911,0.00,-2.22
192912,3.72,0.22
193001,4.67,0.30
193002,2.55,-1.21
193003,3.25,0.41
193004,1.25,0.01
193005,0.24,-0.31
193006,0.00,-0.14
193007,0.00,0.00
193008,0.00,-0.03
193009,0.29,0.09
193010,1.03,0.10
193011,1.54,-0.68
193012,0.26,-3.24
193101,4.38,0.01
193102,1.27,-2.49
193103,1.35,-1.49
193104,0.25,-0.99
193105,0.93,0.38
193106,0.50,0.36
193107,0.00,0.00
193108,0.00,-0.03
193109,0.00,-0.20
193110,0.58,-0.35
193111,2.04,-0.18
193112,9.67,6.17
193201,1.94,-2.43
193202,2.58,-1.18
193203,0.79,-2.05
193204,0.64,-0.60
193205,0.47,-0.08
193206,0.02,-0.12
193207,0.00,0.00
193208,0.00,-0.03
193209,0.00,-0.20
193210,0.00,-0.93
193211,0.64,-1.58
193212,2.59,-0.91
193301,4.95,0.58
193302,0.90,-2.86
193303,2.39,-0.45
193304,0.06,-1.18
193305,0.91,0.36
193306,0.00,-0.14
193307,0.00,0.00
193308,0.00,-0.03
193309,0.03,-0.17
193310,1.31,0.38
193311,0.01,-2.21
193312,5.14,1.64
193401,1.29,-3.08
193402,4.19,0.43
193403,0.15,-2.69
193404,0.37,-0.87
193405,0.48,-0.07
193406,0.47,0.33
193407,0.00,0.00
193408,0.02,-0.01
193409,0.10,-0.10
193410,0.84,-0.09
193411,3.67,1.45
193412,2.99,-0.51
193501,5.17,0.80
193502,1.25,-2.51
193503,3.70,0.86
193504,4.22,2.98
193505,0.01,-0.54
193506,0.00,-0.14
193507,0.00,0.00
193508,0.10,0.07
193509,0.01,-0.19
193510,1.14,0.21
193511,1.02,-1.20
193512,2.26,-1.24
193601,4.48,0.11
193602,8.61,4.85
193603,1.42,-1.42
193604,1.45,0.21
193605,0.61,0.06
193606,0.60,0.46
193607,0.01,0.01
193608,0.01,-0.02
193609,0.09,-0.11
193610,0.42,-0.51
193611,0.03,-2.19
193612,3.32,-0.18
193701,3.42,-0.95
193702,6.21,2.45
193703,5.95,3.11
193704,0.47,-0.77
193705,0.02,-0.53
193706,0.40,0.26
193707,0.01,0.01
193708,0.00,-0.03
193709,0.00,-0.20
193710,0.80,-0.13
193711,3.13,0.91
193712,4.87,1.37
193801,3.13,-1.24
193802,9.54,5.78
193803,5.68,2.84
193804,1.61,0.37
193805,0.07,-0.48
193806,0.00,-0.14
193807,0.00,0.00
193808,0.00,-0.03
193809,0.18,-0.02
193810,0.96,0.03
193811,0.83,-1.39
193812,0.96,-2.54
193901,2.02,-2.35
193902,1.54,-2.22
193903,2.34,-0.50
193904,0.22,-1.02
193905,0.55,0.00
193906,0.00,-0.14
193907,0.00,0.00
193908,0.00,-0.03
193909,0.15,-0.05
193910,0.38,-0.55
193911,0.14,-2.08
193912,1.30,-2.20
194001,9.46,5.09
194002,8.95,5.19
194003,4.52,1.68
194004,0.96,-0.28
194005,0.78,0.23
194006,0.01,-0.13
194007,0.00,0.00
194008,0.00,-0.03
194009,0.10,-0.10
194010,0.90,-0.03
194011,1.18,-1.04
194012,9.61,6.11
194101,7.10,2.73
194102,6.42,2.66
194103,3.74,0.90
194104,4.09,2.85
194105,1.26,0.71
194106,0.07,-0.07
194107,0.00,0.00
194108,0.00,-0.03
194109,0.00,-0.20
194110,1.21,0.28
194111,1.78,-0.44
194112,7.28,3.78
194201,5.25,0.88
194202,4.27,0.51
194203,2.54,-0.30
194204,3.97,2.73
194205,1.02,0.47
194206,0.00,-0.14
194207,0.00,0.00
194208,0.00,-0.03
194209,0.06,-0.14
194210,0.76,-0.17
194211,2.99,0.77
194212,3.13,-0.37
194301,7.51,3.14
194302,1.65,-2.11
194303,2.85,0.01
194304,1.39,0.15
194305,0.06,-0.49
194306,0.05,-0.09
194307,0.00,0.00
194308,0.00,-0.03
194309,0.00,-0.20
