Lassen County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199304,1.56,0.05
199305,1.56,0.07
199306,2.07,1.03
199307,0.10,-0.21
199308,0.39,0.09
199309,0.16,-0.47
199310,2.22,0.93
199311,1.06,-1.19
199312,2.16,-0.84
199401,0.56,-2.77
199402,2.66,-0.14
199403,1.52,-0.92
199404,0.86,-0.65
199405,3.03,1.54
199406,0.32,-0.72
199407,0.20,-0.11
199408,0.00,-0.30
199409,0.40,-0.23
199410,0.36,-0.93
199411,4.03,1.78
199412,2.65,-0.35
199501,8.52,5.19
199502,1.32,-1.48
199503,7.69,5.25
199504,4.49,2.98
199505,2.41,0.92
199506,2.31,1.27
199507,0.84,0.53
199508,0.00,-0.30
199509,0.01,-0.62
199510,0.09,-1.20
199511,0.35,-1.90
199512,6.74,3.74
199601,5.43,2.10
199602,4.61,1.81
199603,3.10,0.66
199604,2.11,0.60
199605,3.74,2.25
199606,0.45,-0.59
199607,0.47,0.16
199608,0.20,-0.10
199609,0.45,-0.18
199610,1.15,-0.14
199611,1.99,-0.26
199612,8.30,5.30
199701,6.86,3.53
199702,0.63,-2.17
199703,1.15,-1.29
199704,1.40,-0.11
199705,0.75,-0.74
199706,1.64,0.60
199707,0.72,0.41
199708,0.17,-0.13
199709,0.88,0.25
199710,1.15,-0.14
199711,2.23,-0.02
199712,2.07,-0.93
199801,5.02,1.69
199802,4.92,2.12
199803,2.83,0.39
199804,1.62,0.11
199805,4.53,3.04
199806,3.11,2.07
199807,0.94,0.63
199808,0.09,-0.21
199809,1.49,0.86
199810,0.71,-0.58
199811,5.04,2.79
199812,1.60,-1.40
199901,2.35,-0.98
199902,4.08,1.28
199903,1.05,-1.39
199904,0.74,-0.77
199905,0.37,-1.12
199906,0.91,-0.13
199907,0.08,-0.23
199908,0.53,0.23
199909,0.01,-0.62
199910,1.34,0.05
199911,1.22,-1.03
199912,0.65,-2.35
200001,5.05,1.72
200002,4.04,1.24
200003,1.58,-0.86
200004,1.59,0.08
200005,1.49,0.00
200006,0.40,-0.64
200007,0.18,-0.13
200008,0.06,-0.24
200009,0.61,-0.02
200010,2.01,0.72
200011,1.17,-1.08
200012,0.74,-2.26
200101,1.14,-2.19
200102,1.47,-1.33
200103,1.46,-0.98
200104,1.54,0.03
200105,0.04,-1.45
200106,0.26,-0.78
200107,0.24,-0.07
200108,0.00,-0.30
200109,0.54,-0.09
200110,0.45,-0.84
200111,2.87,0.62
200112,3.85,0.85
200201,1.74,-1.59
200202,1.32,-1.48
200203,1.61,-0.83
200204,1.80,0.29
200205,0.43,-1.06
200206,0.15,-0.89
200207,0.09,-0.22
200208,0.01,-0.29
200209,0.02,-0.61
200210,0.07,-1.22
200211,2.88,0.63
200212,4.94,1.94
200301,2.07,-1.26
200302,1.05,-1.75
200303,3.00,0.56
200304,3.60,2.09
200305,1.46,-0.03
200306,0.16,-0.88
200307,0.26,-0.05
200308,1.12,0.82
200309,0.22,-0.41
200310,0.03,-1.26
200311,1.90,-0.35
200312,4.88,1.88
200401,1.63,-1.70
200402,4.24,1.44
200403,0.64,-1.80
200404,0.60,-0.91
200405,1.59,0.10
200406,0.39,-0.65
200407,0.17,-0.14
200408,0.21,-0.09
200409,0.19,-0.44
200410,3.12,1.83
200411,1.92,-0.33
200412,2.37,-0.63
200501,2.39,-0.94
200502,1.33,-1.47
200503,2.67,0.23
200504,1.87,0.36
200505,3.82,2.33
200506,1.73,0.69
200507,0.02,-0.29
200508,0.00,-0.30
200509,0.39,-0.24
200510,0.81,-0.48
200511,2.87,0.62
200512,7.34,4.34
200601,3.38,0.05
200602,2.87,0.07
200603,3.63,1.19
200604,4.11,2.60
200605,0.89,-0.60
200606,0.29,-0.75
200607,0.05,-0.26
200608,0.04,-0.26
200609,0.02,-0.61
200610,0.55,-0.74
200611,2.14,-0.11
200612,1.43,-1.57
200701,0.49,-2.84
200702,3.60,0.80
200703,0.79,-1.65
200704,1.72,0.21
200705,0.41,-1.08
200706,0.45,-0.59
200707,0.23,-0.08
200708,0.06,-0.24
200709,0.58,-0.05
200710,1.55,0.26
200711,0.59,-1.66
200712,1.89,-1.11
200801,4.33,1.00
200802,2.08,-0.72
200803,0.83,-1.61
200804,0.55,-0.96
200805,1.23,-0.26
200806,0.07,-0.97
200807,0.02,-0.29
200808,0.07,-0.23
200809,0.04,-0.59
200810,0.53,-0.76
200811,1.90,-0.35
200812,1.86,-1.14
200901,1.09,-2.24
200902,1.87,-0.93
200903,2.50,0.06
200904,1.18,-0.33
200905,1.39,-0.10
200906,1.96,0.92
200907,0.05,-0.26
200908,0.18,-0.12
200909,0.01,-0.62
200910,2.04,0.75
200911,1.29,-0.96
200912,2.70,-0.30
201001,3.27,-0.06
201002,1.50,-1.30
201003,2.08,-0.36
201004,2.50,0.99
201005,1.51,0.02
201006,0.50,-0.54
201007,0.22,-0.09
201008,0.45,0.15
201009,0.38,-0.25
201010,3.36,2.07
201011,2.03,-0.22
201012,5.28,2.28
201101,0.55,-2.78
201102,2.76,-0.04
201103,4.41,1.97
201104,2.18,0.67
201105,2.41,0.92
201106,1.84,0.80
201107,0.02,-0.29
201108,0.00,-0.30
201109,0.23,-0.40
201110,1.16,-0.13
201111,0.91,-1.34
201112,0.21,-2.79
201201,2.60,-0.73
201202,1.14,-1.66
201203,3.62,1.18
201204,2.25,0.74
201205,0.54,-0.95
201206,0.79,-0.25
201207,0.16,-0.15
201208,0.05,-0.25
201209,0.03,-0.60
201210,0.95,-0.34
201211,3.77,1.52
201212,5.74,2.74
201301,1.03,-2.30
201302,0.30,-2.50
201303,0.69,-1.75
201304,0.92,-0.59
201305,1.33,-0.16
201306,1.06,0.02
201307,0.58,0.27
201308,0.67,0.37
201309,0.52,-0.11
201310,0.41,-0.88
201311,0.81,-1.44
201312,0.23,-2.77
201401,0.75,-2.58
201402,3.08,0.28
201403,3.64,1.20
201404,1.32,-0.19
201405,1.04,-0.45
201406,0.22,-0.82
201407,0.27,-0.04
201408,0.80,0.50
201409,0.52,-0.11
201410,1.11,-0.18
201411,1.97,-0.28
201412,5.58,2.58
201501,0.13,-3.20
201502,2.57,-0.23
201503,0.57,-1.87
201504,0.91,-0.60
201505,2.72,1.23
201506,0.74,-0.30
201507,1.36,1.05
201508,0.05,-0.25
201509,0.31,-0.32
201510,1.08,-0.21
201511,2.23,-0.02
201512,4.56,1.56
201601,5.09,1.76
201602,1.07,-1.73
201603,3.62,1.18
201604,1.79,0.28
201605,2.05,0.56
201606,0.56,-0.48
201607,0.02,-0.29
201608,0.04,-0.26
201609,0.04,-0.59
201610,3.71,2.42
201611,1.56,-0.69
201612,4.08,1.08
201701,7.83,4.50
201702,7.03,4.23
201703,2.41,-0.03
201704,3.78,2.27
201705,0.53,-0.96
201706,0.66,-0.38
201707,0.16,-0.15
201708,0.79,0.49
201709,0.50,-0.13
201710,0.58,-0.71
201711,3.73,1.48
201712,0.47,-2.53
201801,2.65,-0.68
201802,0.48,-2.32
201803,3.44,1.00
201804,3.69,2.18
201805,2.79,1.30
201806,0.32,-0.72
201807,0.07,-0.24
201808,0.01,-0.29
201809,0.00,-0.63
201810,1.08,-0.21
201811,1.98,-0.27
201812,2.37,-0.63
201901,4.32,0.99
201902,6.40,3.60
201903,2.90,0.46
201904,2.15,0.64
201905,3.10,1.61
201906,0.46,-0.58
201907,0.04,-0.27
201908,0.22,-0.08
201909,1.76,1.13
201910,0.17,-1.12
201911,0.29,-1.96
201912,3.76,0.76
202001,2.27,-1.06
202002,0.07,-2.73
202003,2.06,-0.38
202004,0.91,-0.60
202005,1.48,-0.01
202006,0.39,-0.65
202007,0.10,-0.21
202008,0.10,-0.20
202009,0.00,-0.63
202010,0.04,-1.25
202011,1.13,-1.12
202012,2.26,-0.74
202101,2.64,-0.69
202102,1.74,-1.06
202103,1.50,-0.94
202104,0.53,-0.98
202105,0.33,-1.16
202106,0.34,-0.70
202107,0.16,-0.15
202108,0.02,-0.28
202109,0.77,0.14
202110,4.13,2.84
202111,0.50,-1.75
202112,5.63,2.63
202201,0.26,-3.07
202202,0.22,-2.58
202203,0.75,-1.69
202204,2.72,1.21
202205,0.64,-0.85
202206,1.48,0.44
202207,0.01,-0.30
202208,0.17,-0.13
202209,1.07,0.44
202210,0.15,-1.14
202211,1.30,-0.95
202212,4.53,1.53
202301,4.76,1.43
202302,1.45,-1.35
202303,5.19,2.75
