Lassen County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191709,0.22,-0.41
191710,0.00,-1.29
191711,1.68,-0.57
191712,0.96,-2.04
191801,0.86,-2.47
191802,4.24,1.44
191803,5.18,2.74
191804,0.60,-0.91
191805,0.97,-0.52
191806,0.20,-0.84
191807,0.02,-0.29
191808,0.05,-0.25
191809,2.80,2.17
191810,2.08,0.79
191811,1.22,-1.03
191812,0.92,-2.08
191901,1.46,-1.87
191902,6.08,3.28
191903,2.47,0.03
191904,0.99,-0.52
191905,0.18,-1.31
191906,0.00,-1.04
191907,0.05,-0.26
191908,0.00,-0.30
191909,0.91,0.28
191910,0.77,-0.52
191911,0.58,-1.67
191912,2.43,-0.57
192001,0.20,-3.13
192002,1.05,-1.75
192003,3.13,0.69
192004,2.30,0.79
192005,0.18,-1.31
192006,0.93,-0.11
192007,0.10,-0.21
192008,1.02,0.72
192009,0.81,0.18
192010,1.65,0.36
192011,4.56,2.31
192012,4.13,1.13
192101,5.18,1.85
192102,1.47,-1.33
192103,1.82,-0.62
192104,0.42,-1.09
192105,2.36,0.87
192106,1.25,0.21
192107,0.00,-0.31
192108,0.10,-0.20
192109,0.05,-0.58
192110,0.51,-0.78
192111,1.28,-0.97
192112,3.48,0.48
192201,1.24,-2.09
192202,6.21,3.41
192203,1.62,-0.82
192204,0.44,-1.07
192205,1.54,0.05
192206,1.14,0.10
192207,0.12,-0.19
192208,0.36,0.06
192209,0.11,-0.52
192210,1.22,-0.07
192211,2.02,-0.23
192212,5.72,2.72
192301,2.36,-0.97
192302,0.54,-2.26
192303,0.29,-2.15
192304,1.72,0.21
192305,1.15,-0.34
192306,2.32,1.28
192307,0.37,0.06
192308,0.49,0.19
192309,1.51,0.88
192310,1.80,0.51
192311,0.30,-1.95
192312,1.26,-1.74
192401,1.19,-2.14
192402,1.31,-1.49
192403,1.73,-0.71
192404,0.57,-0.94
192405,0.03,-1.46
192406,0.08,-0.96
192407,0.00,-0.31
192408,0.30,0.00
192409,0.30,-0.33
192410,3.48,2.19
192411,1.55,-0.70
192412,1.83,-1.17
192501,1.07,-2.26
192502,3.27,0.47
192503,1.91,-0.53
192504,1.51,0.00
192505,1.93,0.44
192506,1.38,0.34
192507,0.58,0.27
192508,0.75,0.45
192509,1.89,1.26
192510,1.47,0.18
192511,1.79,-0.46
192512,1.30,-1.70
192601,2.60,-0.73
192602,3.12,0.32
192603,0.47,-1.97
192604,2.80,1.29
192605,1.46,-0.03
192606,0.01,-1.03
192607,0.30,-0.01
192608,0.12,-0.18
192609,0.11,-0.52
192610,1.09,-0.20
192611,5.93,3.68
192612,0.79,-2.21
192701,1.81,-1.52
192702,4.97,2.17
192703,2.15,-0.29
192704,1.72,0.21
192705,1.32,-0.17
192706,0.78,-0.26
192707,0.08,-0.23
192708,0.05,-0.25
192709,0.27,-0.36
192710,1.24,-0.05
192711,4.61,2.36
192712,1.35,-1.65
192801,1.48,-1.85
192802,1.29,-1.51
192803,5.49,3.05
192804,1.26,-0.25
192805,0.46,-1.03
192806,0.55,-0.49
192807,0.06,-0.25
192808,0.13,-0.17
192809,0.30,-0.33
192810,0.36,-0.93
192811,2.01,-0.24
192812,2.49,-0.51
192901,1.31,-2.02
192902,1.61,-1.19
192903,1.60,-0.84
192904,1.93,0.42
192905,0.10,-1.39
192906,2.51,1.47
192907,0.00,-0.31
192908,0.02,-0.28
192909,0.02,-0.61
192910,0.24,-1.05
192911,0.00,-2.25
192912,6.38,3.38
193001,3.64,0.31
193002,2.81,0.01
193003,1.41,-1.03
193004,2.11,0.60
193005,2.01,0.52
193006,0.07,-0.97
193007,0.06,-0.25
193008,0.05,-0.25
193009,1.79,1.16
193010,0.51,-0.78
193011,1.30,-0.95
193012,0.32,-2.68
193101,1.56,-1.77
193102,1.27,-1.53
193103,1.50,-0.94
193104,0.69,-0.82
193105,1.55,0.06
193106,0.92,-0.12
193107,0.02,-0.29
193108,0.03,-0.27
193109,0.14,-0.49
193110,2.12,0.83
193111,1.91,-0.34
193112,6.06,3.06
193201,2.28,-1.05
193202,0.98,-1.82
193203,0.87,-1.57
193204,1.85,0.34
193205,1.25,-0.24
193206,0.55,-0.49
193207,0.07,-0.24
193208,0.30,0.00
193209,0.01,-0.62
193210,0.28,-1.01
193211,0.65,-1.60
193212,1.83,-1.17
193301,2.72,-0.61
193302,0.37,-2.43
193303,2.01,-0.43
193304,1.22,-0.29
193305,1.87,0.38
193306,0.19,-0.85
193307,0.09,-0.22
193308,0.06,-0.24
193309,0.26,-0.37
193310,2.22,0.93
193311,0.00,-2.25
193312,4.29,1.29
193401,1.25,-2.08
193402,2.06,-0.74
193403,1.37,-1.07
193404,0.79,-0.72
193405,2.01,0.52
193406,2.24,1.20
193407,0.03,-0.28
193408,0.11,-0.19
193409,0.76,0.13
193410,1.35,0.06
193411,3.36,1.11
193412,2.37,-0.63
193501,3.71,0.38
193502,1.89,-0.91
193503,2.69,0.25
193504,5.20,3.69
193505,1.14,-0.35
193506,0.08,-0.96
193507,0.12,-0.19
193508,0.05,-0.25
193509,0.06,-0.57
193510,1.29,0.00
193511,1.23,-1.02
193512,2.55,-0.45
193601,5.95,2.62
193602,4.51,1.71
193603,1.18,-1.26
193604,0.93,-0.58
193605,1.21,-0.28
193606,2.41,1.37
193607,0.08,-0.23
193608,0.28,-0.02
193609,0.94,0.31
193610,0.11,-1.18
193611,0.01,-2.24
193612,2.33,-0.67
193701,2.83,-0.50
193702,5.04,2.24
193703,2.57,0.13
193704,1.61,0.10
193705,0.34,-1.15
193706,1.47,0.43
193707,0.42,0.11
193708,0.00,-0.30
193709,0.05,-0.58
193710,1.53,0.24
193711,6.04,3.79
193712,7.05,4.05
193801,2.83,-0.50
193802,6.07,3.27
193803,6.15,3.71
193804,1.45,-0.06
193805,0.64,-0.85
193806,1.20,0.16
193807,0.82,0.51
193808,0.10,-0.20
193809,0.41,-0.22
193810,1.41,0.12
193811,0.88,-1.37
193812,0.43,-2.57
193901,2.13,-1.20
