Napa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199306,1.00,0.77
199307,0.00,-0.01
199308,0.00,-0.07
199309,0.00,-0.29
199310,1.22,-0.28
199311,3.22,-0.32
199312,4.19,-1.45
199401,2.96,-3.91
199402,5.34,-0.54
199403,0.31,-4.01
199404,1.65,-0.26
199405,1.30,0.45
199406,0.02,-0.21
199407,0.00,-0.01
199408,0.00,-0.07
199409,0.01,-0.28
199410,0.98,-0.52
199411,6.47,2.93
199412,4.17,-1.47
199501,22.17,15.30
199502,0.75,-5.13
199503,14.54,10.22
199504,2.02,0.11
199505,2.10,1.25
199506,0.74,0.51
199507,0.00,-0.01
199508,0.00,-0.07
199509,0.00,-0.29
199510,0.01,-1.49
199511,0.14,-3.40
199512,10.66,5.02
199601,9.04,2.17
199602,10.05,4.17
199603,3.24,-1.08
199604,3.63,1.72
199605,3.42,2.57
199606,0.01,-0.22
199607,0.00,-0.01
199608,0.00,-0.07
199609,0.05,-0.24
199610,1.51,0.01
199611,3.82,0.28
199612,13.88,8.24
199701,13.52,6.65
199702,0.46,-5.42
199703,1.16,-3.16
199704,0.67,-1.24
199705,0.53,-0.32
199706,0.30,0.07
199707,0.00,-0.01
199708,0.55,0.48
199709,0.17,-0.12
199710,1.25,-0.25
199711,7.79,4.25
199712,3.36,-2.28
199801,10.47,3.60
199802,17.63,11.75
199803,2.98,-1.34
199804,3.08,1.17
199805,4.00,3.15
199806,0.06,-0.17
199807,0.00,-0.01
199808,0.00,-0.07
199809,0.19,-0.10
199810,0.88,-0.62
199811,6.15,2.61
199812,1.82,-3.82
199901,3.62,-3.25
199902,10.02,4.14
199903,3.96,-0.36
199904,2.45,0.54
199905,0.10,-0.75
199906,0.15,-0.08
199907,0.00,-0.01
199908,0.01,-0.06
199909,0.05,-0.24
199910,0.81,-0.69
199911,3.56,0.02
199912,0.67,-4.97
200001,6.94,0.07
200002,11.30,5.42
200003,3.13,-1.19
200004,2.21,0.30
200005,1.50,0.65
200006,0.26,0.03
200007,0.00,-0.01
200008,0.00,-0.07
200009,0.24,-0.05
200010,3.35,1.85
200011,1.29,-2.25
200012,1.02,-4.62
200101,5.67,-1.20
200102,8.00,2.12
200103,2.74,-1.58
200104,1.04,-0.87
200105,0.00,-0.85
200106,0.18,-0.05
200107,0.00,-0.01
200108,0.00,-0.07
200109,0.35,0.06
200110,0.92,-0.58
200111,7.06,3.52
200112,11.86,6.22
200201,4.27,-2.60
200202,1.72,-4.16
200203,2.79,-1.53
200204,0.35,-1.56
200205,1.20,0.35
200206,0.00,-0.23
200207,0.00,-0.01
200208,0.00,-0.07
200209,0.00,-0.29
200210,0.01,-1.49
200211,3.86,0.32
200212,17.47,11.83
200301,3.44,-3.43
200302,2.20,-3.68
200303,3.07,-1.25
200304,5.17,3.26
200305,1.19,0.34
200306,0.00,-0.23
200307,0.00,-0.01
200308,0.41,0.34
200309,0.02,-0.27
200310,0.04,-1.46
200311,3.19,-0.35
200312,11.72,6.08
200401,3.83,-3.04
200402,9.34,3.46
200403,1.37,-2.95
200404,0.41,-1.50
200405,0.06,-0.79
200406,0.03,-0.20
200407,0.00,-0.01
200408,0.00,-0.07
200409,0.08,-0.21
200410,3.89,2.39
200411,2.77,-0.77
200412,9.45,3.81
200501,6.13,-0.74
200502,4.53,-1.35
200503,5.56,1.24
200504,1.67,-0.24
200505,3.82,2.97
200506,0.73,0.50
200507,0.00,-0.01
200508,0.00,-0.07
200509,0.01,-0.28
200510,0.68,-0.82
200511,2.53,-1.01
200512,17.47,11.83
200601,5.07,-1.80
200602,4.67,-1.21
200603,9.27,4.95
200604,6.24,4.33
200605,0.83,-0.02
200606,0.01,-0.22
200607,0.00,-0.01
200608,0.00,-0.07
200609,0.00,-0.29
200610,0.31,-1.19
200611,2.62,-0.92
200612,5.05,-0.59
200701,0.38,-6.49
200702,6.90,1.02
200703,0.26,-4.06
200704,1.79,-0.12
200705,0.43,-0.42
200706,0.00,-0.23
200707,0.05,0.04
200708,0.00,-0.07
200709,0.17,-0.12
200710,2.20,0.70
200711,0.76,-2.78
200712,4.59,-1.05
200801,12.92,6.05
200802,4.17,-1.71
200803,0.20,-4.12
200804,0.16,-1.75
200805,0.12,-0.73
200806,0.00,-0.23
200807,0.00,-0.01
200808,0.00,-0.07
200809,0.01,-0.28
200810,1.06,-0.44
200811,3.12,-0.42
200812,3.37,-2.27
200901,0.86,-6.01
200902,10.10,4.22
200903,3.19,-1.13
200904,0.73,-1.18
200905,1.95,1.10
200906,0.06,-0.17
200907,0.00,-0.01
200908,0.00,-0.07
200909,0.10,-0.19
200910,4.70,3.20
200911,0.91,-2.63
200912,3.00,-2.64
201001,11.35,4.48
201002,4.98,-0.90
201003,3.08,-1.24
201004,4.98,3.07
201005,1.72,0.87
201006,0.01,-0.22
201007,0.00,-0.01
201008,0.00,-0.07
201009,0.05,-0.24
201010,3.49,1.99
201011,3.37,-0.17
201012,9.56,3.92
201101,2.17,-4.70
201102,6.30,0.42
201103,11.40,7.08
201104,0.43,-1.48
201105,1.96,1.11
201106,1.09,0.86
201107,0.00,-0.01
201108,0.00,-0.07
201109,0.01,-0.28
201110,1.58,0.08
201111,2.30,-1.24
201112,0.29,-5.35
201201,5.42,-1.45
201202,1.78,-4.10
201203,8.84,4.52
201204,2.84,0.93
201205,0.10,-0.75
201206,0.05,-0.18
201207,0.00,-0.01
201208,0.00,-0.07
201209,0.00,-0.29
201210,1.44,-0.06
201211,8.02,4.48
201212,10.94,5.30
201301,0.98,-5.89
201302,0.49,-5.39
201303,1.33,-2.99
201304,1.05,-0.86
201305,0.19,-0.66
201306,0.65,0.42
201307,0.00,-0.01
201308,0.01,-0.06
201309,0.60,0.31
201310,0.00,-1.50
201311,0.91,-2.63
201312,0.51,-5.13
201401,0.13,-6.74
201402,9.65,3.77
201403,3.44,-0.88
201404,2.00,0.09
201405,0.01,-0.84
201406,0.00,-0.23
201407,0.00,-0.01
201408,0.05,-0.02
201409,0.50,0.21
201410,0.84,-0.66
201411,2.57,-0.97
201412,14.09,8.45
201501,0.06,-6.81
201502,4.33,-1.55
201503,0.19,-4.13
201504,1.63,-0.28
201505,0.15,-0.70
201506,0.11,-0.12
201507,0.06,0.05
201508,0.01,-0.06
201509,0.28,-0.01
201510,0.21,-1.29
201511,1.68,-1.86
201512,5.17,-0.47
201601,9.59,2.72
201602,1.15,-4.73
201603,9.62,5.30
201604,1.31,-0.60
201605,0.36,-0.49
201606,0.01,-0.22
201607,0.00,-0.01
201608,0.00,-0.07
201609,0.00,-0.29
201610,5.39,3.89
201611,2.74,-0.80
201612,5.84,0.20
201701,17.81,10.94
201702,13.00,7.12
201703,3.64,-0.68
201704,3.68,1.77
201705,0.03,-0.82
201706,0.38,0.15
201707,0.00,-0.01
201708,0.00,-0.07
201709,0.04,-0.25
201710,0.21,-1.29
201711,4.40,0.86
201712,0.11,-5.53
201801,5.50,-1.37
201802,0.31,-5.57
201803,7.12,2.80
201804,3.10,1.19
201805,0.15,-0.70
201806,0.00,-0.23
201807,0.01,0.00
201808,0.00,-0.07
201809,0.04,-0.25
201810,0.78,-0.72
201811,4.43,0.89
201812,3.12,-2.52
201901,8.69,1.82
201902,14.41,8.53
201903,6.18,1.86
201904,0.96,-0.95
201905,3.48,2.63
201906,0.00,-0.23
201907,0.01,0.00
201908,0.00,-0.07
201909,0.07,-0.22
201910,0.00,-1.50
201911,1.03,-2.51
201912,8.67,3.03
202001,2.71,-4.16
202002,0.01,-5.87
202003,1.50,-2.82
202004,1.16,-0.75
202005,1.39,0.54
202006,0.00,-0.23
202007,0.00,-0.01
202008,0.10,0.03
202009,0.00,-0.29
202010,0.00,-1.50
202011,1.29,-2.25
202012,2.16,-3.48
202101,4.30,-2.57
202102,1.93,-3.95
202103,2.19,-2.13
202104,0.15,-1.76
202105,0.01,-0.84
202106,0.00,-0.23
202107,0.00,-0.01
202108,0.00,-0.07
202109,0.07,-0.22
202110,7.99,6.49
202111,1.71,-1.83
202112,8.82,3.18
202201,0.82,-6.05
202202,0.06,-5.82
202203,1.03,-3.29
202204,1.87,-0.04
202205,0.13,-0.72
202206,0.29,0.06
202207,0.01,0.00
202208,0.08,0.01
202209,1.06,0.77
202210,0.00,-1.50
202211,1.50,-2.04
202212,10.31,4.67
202301,13.14,6.27
202302,4.28,-1.60
202303,12.30,7.98
