Yuba County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199312,4.90,-1.28
199401,3.59,-3.84
199402,6.50,-0.30
199403,0.90,-4.62
199404,2.22,-0.56
199405,1.35,-0.08
199406,0.05,-0.40
199407,0.00,-0.01
199408,0.00,-0.07
199409,0.18,-0.33
199410,1.10,-0.88
199411,7.06,2.49
199412,7.67,1.49
199501,19.13,11.70
199502,0.76,-6.04
199503,16.66,11.14
199504,4.31,1.53
199505,3.50,2.07
199506,1.89,1.44
199507,0.01,0.00
199508,0.00,-0.07
199509,0.00,-0.51
199510,0.00,-1.98
199511,0.27,-4.30
199512,9.44,3.26
199601,8.54,1.11
199602,10.65,3.85
199603,3.67,-1.85
199604,5.58,2.80
199605,4.87,3.44
199606,0.13,-0.32
199607,0.04,0.03
199608,0.01,-0.06
199609,0.32,-0.19
199610,2.61,0.63
199611,4.55,-0.02
199612,16.16,9.98
199701,14.47,7.04
199702,0.48,-6.32
199703,1.69,-3.83
199704,1.25,-1.53
199705,0.56,-0.87
199706,1.01,0.56
199707,0.01,0.00
199708,0.51,0.44
199709,0.39,-0.12
199710,2.71,0.73
199711,7.72,3.15
199712,3.58,-2.60
199801,14.57,7.14
199802,15.53,8.73
199803,4.75,-0.77
199804,4.18,1.40
199805,5.66,4.23
199806,0.57,0.12
199807,0.00,-0.01
199808,0.00,-0.07
199809,0.82,0.31
199810,1.33,-0.65
199811,7.78,3.21
199812,3.12,-3.06
199901,6.53,-0.90
199902,10.09,3.29
199903,3.03,-2.49
199904,2.12,-0.66
199905,0.40,-1.03
199906,0.28,-0.17
199907,0.00,-0.01
199908,0.09,0.02
199909,0.02,-0.49
199910,1.58,-0.40
199911,4.10,-0.47
199912,0.94,-5.24
200001,9.21,1.78
200002,16.13,9.33
200003,3.78,-1.74
200004,2.55,-0.23
200005,1.94,0.51
200006,0.39,-0.06
200007,0.00,-0.01
200008,0.00,-0.07
200009,0.78,0.27
200010,4.06,2.08
200011,1.50,-3.07
200012,1.65,-4.53
200101,5.08,-2.35
200102,7.82,1.02
200103,2.85,-2.67
200104,2.76,-0.02
200105,0.03,-1.40
200106,0.21,-0.24
200107,0.00,-0.01
200108,0.00,-0.07
200109,0.48,-0.03
200110,1.71,-0.27
200111,6.74,2.17
200112,10.90,4.72
200201,4.65,-2.78
200202,2.72,-4.08
200203,5.56,0.04
200204,1.04,-1.74
200205,1.79,0.36
200206,0.00,-0.45
200207,0.00,-0.01
200208,0.00,-0.07
200209,0.00,-0.51
200210,0.00,-1.98
200211,4.26,-0.31
200212,14.55,8.37
200301,4.04,-3.39
200302,2.74,-4.06
200303,4.09,-1.43
200304,7.17,4.39
200305,2.05,0.62
200306,0.00,-0.45
200307,0.00,-0.01
200308,0.61,0.54
200309,0.01,-0.50
200310,0.29,-1.69
200311,3.88,-0.69
200312,10.72,4.54
200401,4.65,-2.78
200402,9.52,2.72
200403,1.81,-3.71
200404,0.74,-2.04
200405,0.41,-1.02
200406,0.02,-0.43
200407,0.00,-0.01
200408,0.00,-0.07
200409,0.23,-0.28
200410,5.43,3.45
200411,3.21,-1.36
200412,7.14,0.96
200501,6.53,-0.90
200502,4.00,-2.80
200503,6.43,0.91
200504,2.12,-0.66
200505,4.93,3.50
200506,1.63,1.18
200507,0.00,-0.01
200508,0.00,-0.07
200509,0.23,-0.28
200510,1.34,-0.64
200511,3.88,-0.69
200512,17.41,11.23
200601,5.76,-1.67
200602,4.79,-2.01
200603,11.21,5.69
200604,8.30,5.52
200605,0.78,-0.65
200606,0.05,-0.40
200607,0.00,-0.01
200608,0.00,-0.07
200609,0.01,-0.50
200610,0.30,-1.68
200611,3.76,-0.81
200612,6.35,0.17
200701,0.62,-6.81
200702,9.65,2.85
200703,0.77,-4.75
200704,2.84,0.06
200705,0.82,-0.61
200706,0.32,-0.13
200707,0.04,0.03
200708,0.00,-0.07
200709,0.75,0.24
200710,2.68,0.70
200711,1.14,-3.43
200712,6.10,-0.08
200801,10.09,2.66
200802,4.85,-1.95
200803,0.80,-4.72
200804,0.37,-2.41
200805,0.25,-1.18
200806,0.00,-0.45
200807,0.00,-0.01
200808,0.00,-0.07
200809,0.00,-0.51
200810,1.82,-0.16
200811,3.53,-1.04
200812,4.42,-1.76
200901,2.66,-4.77
200902,9.01,2.21
200903,4.59,-0.93
200904,0.80,-1.98
200905,3.37,1.94
200906,0.61,0.16
200907,0.00,-0.01
200908,0.02,-0.05
200909,0.23,-0.28
200910,2.97,0.99
200911,1.89,-2.68
200912,4.50,-1.68
201001,9.36,1.93
201002,4.44,-2.36
201003,3.53,-1.99
201004,6.62,3.84
201005,2.33,0.90
201006,0.07,-0.38
201007,0.00,-0.01
201008,0.04,-0.03
201009,0.03,-0.48
201010,5.09,3.11
201011,5.91,1.34
201012,12.32,6.14
201101,2.12,-5.31
201102,6.85,0.05
201103,12.93,7.41
201104,1.44,-1.34
201105,3.17,1.74
201106,1.92,1.47
201107,0.00,-0.01
201108,0.00,-0.07
201109,0.24,-0.27
201110,2.99,1.01
201111,1.75,-2.82
201112,0.21,-5.97
201201,5.98,-1.45
201202,2.39,-4.41
201203,10.52,5.00
201204,5.42,2.64
201205,0.22,-1.21
201206,0.56,0.11
201207,0.02,0.01
201208,0.01,-0.06
201209,0.00,-0.51
201210,2.35,0.37
201211,9.71,5.14
201212,11.53,5.35
201301,0.92,-6.51
201302,0.74,-6.06
201303,2.86,-2.66
201304,1.11,-1.67
201305,0.65,-0.78
201306,1.25,0.80
201307,0.00,-0.01
201308,0.01,-0.06
201309,1.16,0.65
201310,0.29,-1.69
201311,1.73,-2.84
201312,0.43,-5.75
201401,1.06,-6.37
201402,10.35,3.55
201403,6.45,0.93
201404,1.64,-1.14
201405,0.38,-1.05
201406,0.00,-0.45
201407,0.01,0.00
201408,0.17,0.10
201409,0.64,0.13
201410,1.55,-0.43
201411,3.79,-0.78
201412,12.57,6.39
201501,0.08,-7.35
201502,4.42,-2.38
201503,0.48,-5.04
201504,2.75,-0.03
201505,0.17,-1.26
201506,0.07,-0.38
201507,0.03,0.02
201508,0.03,-0.04
201509,0.14,-0.37
201510,0.49,-1.49
201511,3.75,-0.82
201512,7.11,0.93
201601,11.66,4.23
201602,1.67,-5.13
201603,12.28,6.76
201604,1.44,-1.34
201605,0.88,-0.55
201606,0.09,-0.36
201607,0.00,-0.01
201608,0.00,-0.07
201609,0.01,-0.50
201610,7.42,5.44
201611,3.60,-0.97
201612,7.68,1.50
201701,17.58,10.15
201702,16.43,9.63
201703,4.78,-0.74
201704,6.06,3.28
201705,0.30,-1.13
201706,0.56,0.11
201707,0.00,-0.01
201708,0.01,-0.06
201709,0.19,-0.32
201710,0.60,-1.38
201711,8.01,3.44
201712,0.49,-5.69
201801,6.85,-0.58
201802,1.10,-5.70
201803,10.51,4.99
201804,4.58,1.80
201805,0.34,-1.09
201806,0.02,-0.43
201807,0.00,-0.01
201808,0.00,-0.07
201809,0.00,-0.51
201810,0.65,-1.33
201811,5.62,1.05
201812,3.99,-2.19
201901,9.52,2.09
201902,17.61,10.81
201903,7.07,1.55
201904,2.26,-0.52
201905,4.51,3.08
201906,0.21,-0.24
201907,0.00,-0.01
201908,0.00,-0.07
201909,1.22,0.71
201910,0.05,-1.93
201911,1.72,-2.85
201912,7.98,1.80
202001,3.51,-3.92
202002,0.12,-6.68
202003,3.93,-1.59
202004,2.37,-0.41
202005,2.45,1.02
202006,0.10,-0.35
202007,0.00,-0.01
202008,0.05,-0.02
202009,0.00,-0.51
202010,0.00,-1.98
202011,2.64,-1.93
202012,2.85,-3.33
202101,4.48,-2.95
202102,2.87,-3.93
202103,3.31,-2.21
202104,0.31,-2.47
202105,0.08,-1.35
202106,0.02,-0.43
202107,0.01,0.00
202108,0.00,-0.07
202109,0.42,-0.09
202110,8.70,6.72
202111,1.81,-2.76
202112,10.70,4.52
202201,0.70,-6.73
202202,0.09,-6.71
202203,1.25,-4.27
202204,3.69,0.91
202205,0.24,-1.19
202206,0.84,0.39
202207,0.00,-0.01
202208,0.03,-0.04
202209,1.28,0.77
202210,0.01,-1.97
202211,2.88,-1.69
202212,11.92,5.74
202301,12.39,4.96
202302,3.42,-3.38
202303,10.33,4.81
