Yuba County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.01,-0.06
191709,0.59,0.08
191710,0.01,-1.97
191711,1.12,-3.45
191712,2.33,-3.85
191801,1.34,-6.09
191802,8.00,1.20
191803,8.03,2.51
191804,2.11,-0.67
191805,0.25,-1.18
191806,0.00,-0.45
191807,0.00,-0.01
191808,0.00,-0.07
191809,2.83,2.32
191810,1.27,-0.71
191811,3.80,-0.77
191812,2.27,-3.91
191901,3.86,-3.57
191902,13.04,6.24
191903,4.42,-1.10
191904,1.12,-1.66
191905,0.13,-1.30
191906,0.00,-0.45
191907,0.00,-0.01
191908,0.00,-0.07
191909,1.03,0.52
191910,0.80,-1.18
191911,1.13,-3.44
191912,5.02,-1.16
192001,1.12,-6.31
192002,3.01,-3.79
192003,8.55,3.03
192004,4.05,1.27
192005,0.07,-1.36
192006,0.35,-0.10
192007,0.04,0.03
192008,0.21,0.14
192009,0.30,-0.21
192010,3.52,1.54
192011,11.32,6.75
192012,10.41,4.23
192101,9.21,1.78
192102,2.96,-3.84
192103,4.61,-0.91
192104,0.78,-2.00
192105,2.17,0.74
192106,0.28,-0.17
192107,0.00,-0.01
192108,0.00,-0.07
192109,0.04,-0.47
192110,0.98,-1.00
192111,2.41,-2.16
192112,10.20,4.02
192201,3.76,-3.67
192202,11.11,4.31
192203,6.44,0.92
192204,1.30,-1.48
192205,2.16,0.73
192206,0.11,-0.34
192207,0.02,0.01
192208,0.00,-0.07
192209,0.01,-0.50
192210,2.21,0.23
192211,4.87,0.30
192212,13.65,7.47
192301,4.43,-3.00
192302,1.45,-5.35
192303,0.37,-5.15
192304,5.88,3.10
192305,0.48,-0.95
192306,1.33,0.88
192307,0.03,0.02
192308,0.04,-0.03
192309,1.75,1.24
192310,1.08,-0.90
192311,0.96,-3.61
192312,2.54,-3.64
192401,3.23,-4.20
192402,5.04,-1.76
192403,2.57,-2.95
192404,0.95,-1.83
192405,0.10,-1.33
192406,0.00,-0.45
192407,0.00,-0.01
192408,0.01,-0.06
192409,0.02,-0.49
192410,5.49,3.51
192411,2.85,-1.72
192412,8.28,2.10
192501,2.85,-4.58
192502,11.78,4.98
192503,3.39,-2.13
192504,3.27,0.49
192505,2.06,0.63
192506,0.67,0.22
192507,0.00,-0.01
192508,0.23,0.16
192509,0.58,0.07
192510,1.05,-0.93
192511,2.95,-1.62
192512,2.84,-3.34
192601,5.72,-1.71
192602,10.94,4.14
192603,0.14,-5.38
192604,7.42,4.64
192605,1.49,0.06
192606,0.02,-0.43
192607,0.02,0.01
192608,0.01,-0.06
192609,0.03,-0.48
192610,3.28,1.30
192611,12.61,8.04
192612,1.58,-4.60
192701,6.64,-0.79
192702,12.63,5.83
192703,4.05,-1.47
192704,3.61,0.83
192705,1.03,-0.40
192706,0.64,0.19
192707,0.00,-0.01
192708,0.00,-0.07
192709,0.05,-0.46
192710,2.09,0.11
192711,7.09,2.52
192712,4.64,-1.54
192801,3.18,-4.25
192802,3.74,-3.06
192803,11.74,6.22
192804,2.57,-0.21
192805,0.07,-1.36
192806,0.11,-0.34
192807,0.00,-0.01
192808,0.00,-0.07
192809,0.06,-0.45
192810,0.35,-1.63
192811,4.84,0.27
192812,5.47,-0.71
192901,2.24,-5.19
192902,3.81,-2.99
192903,2.99,-2.53
192904,2.79,0.01
192905,0.03,-1.40
192906,2.16,1.71
192907,0.00,-0.01
192908,0.00,-0.07
192909,0.00,-0.51
192910,0.23,-1.75
192911,0.00,-4.57
192912,14.42,8.24
193001,8.28,0.85
193002,3.81,-2.99
193003,5.22,-0.30
193004,2.69,-0.09
193005,1.18,-0.25
193006,0.00,-0.45
193007,0.00,-0.01
193008,0.01,-0.06
193009,0.69,0.18
193010,0.51,-1.47
193011,3.99,-0.58
193012,1.02,-5.16
193101,5.38,-2.05
193102,3.54,-3.26
193103,3.10,-2.42
193104,1.18,-1.60
193105,1.66,0.23
193106,1.31,0.86
193107,0.00,-0.01
193108,0.00,-0.07
193109,0.17,-0.34
193110,2.95,0.97
193111,4.74,0.17
193112,11.94,5.76
193201,4.57,-2.86
193202,3.44,-3.36
193203,1.66,-3.86
193204,3.72,0.94
193205,3.46,2.03
193206,0.07,-0.38
193207,0.01,0.00
193208,0.01,-0.06
193209,0.00,-0.51
193210,0.08,-1.90
193211,1.21,-3.36
193212,3.94,-2.24
193301,7.80,0.37
193302,1.84,-4.96
193303,5.08,-0.44
193304,0.49,-2.29
193305,2.64,1.21
193306,0.01,-0.44
193307,0.02,0.01
193308,0.00,-0.07
193309,0.27,-0.24
193310,3.14,1.16
193311,0.01,-4.56
193312,8.71,2.53
193401,2.73,-4.70
193402,6.09,-0.71
193403,1.58,-3.94
193404,0.98,-1.80
193405,0.88,-0.55
193406,0.95,0.50
193407,0.00,-0.01
193408,0.01,-0.06
193409,0.41,-0.10
193410,1.92,-0.06
193411,6.81,2.24
193412,5.01,-1.17
193501,7.88,0.45
193502,4.61,-2.19
193503,6.08,0.56
193504,8.03,5.25
193505,0.28,-1.15
193506,0.00,-0.45
193507,0.01,0.00
193508,0.00,-0.07
193509,0.12,-0.39
193510,1.97,-0.01
193511,1.88,-2.69
193512,3.83,-2.35
193601,10.51,3.08
193602,15.18,8.38
193603,3.03,-2.49
193604,2.92,0.14
193605,1.30,-0.13
193606,1.15,0.70
193607,0.02,0.01
193608,0.01,-0.06
193609,0.20,-0.31
193610,0.37,-1.61
193611,0.14,-4.43
193612,4.84,-1.34
193701,6.44,-0.99
193702,10.99,4.19
193703,9.89,4.37
193704,2.44,-0.34
193705,0.20,-1.23
193706,1.14,0.69
193707,0.01,0.00
193708,0.00,-0.07
193709,0.00,-0.51
193710,1.92,-0.06
193711,7.80,3.23
193712,8.24,2.06
193801,5.82,-1.61
193802,15.77,8.97
193803,10.33,4.81
193804,3.32,0.54
193805,0.81,-0.62
193806,0.05,-0.40
193807,0.00,-0.01
193808,0.00,-0.07
193809,0.51,0.00
193810,2.40,0.42
193811,1.67,-2.90
193812,2.11,-4.07
193901,4.15,-3.28
193902,2.33,-4.47
193903,4.96,-0.56
193904,0.49,-2.29
193905,2.04,0.61
193906,0.09,-0.36
193907,0.00,-0.01
193908,0.00,-0.07
193909,0.57,0.06
193910,2.20,0.22
193911,0.36,-4.21
193912,2.75,-3.43
194001,13.26,5.83
194002,13.67,6.87
194003,10.79,5.27
194004,1.05,-1.73
194005,1.51,0.08
194006,0.02,-0.43
194007,0.00,-0.01
194008,0.00,-0.07
194009,0.33,-0.18
194010,2.29,0.31
194011,3.60,-0.97
194012,14.09,7.91
194101,10.67,3.24
194102,10.00,3.20
194103,4.16,-1.36
194104,5.68,2.90
194105,3.06,1.63
194106,0.38,-0.07
194107,0.01,0.00
194108,0.00,-0.07
194109,0.27,-0.24
194110,1.58,-0.40
194111,3.93,-0.64
194112,13.87,7.69
