Modoc County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199402,2.16,-0.05
199403,1.21,-0.82
199404,1.11,-0.37
199405,2.40,0.91
199406,0.69,-0.39
199407,0.21,-0.18
199408,0.02,-0.32
199409,0.40,-0.29
199410,0.33,-0.92
199411,3.56,1.46
199412,2.22,-0.11
199501,5.05,2.35
199502,1.05,-1.16
199503,5.37,3.34
199504,3.98,2.50
199505,2.04,0.55
199506,2.34,1.26
199507,0.46,0.07
199508,0.01,-0.33
199509,0.05,-0.64
199510,0.36,-0.89
199511,0.73,-1.37
199512,6.13,3.80
199601,4.66,1.96
199602,4.09,1.88
199603,1.60,-0.43
199604,2.07,0.59
199605,2.96,1.47
199606,0.99,-0.09
199607,0.54,0.15
199608,0.22,-0.12
199609,0.64,-0.05
199610,1.58,0.33
199611,2.10,0.00
199612,6.28,3.95
199701,5.34,2.64
199702,1.06,-1.15
199703,1.10,-0.93
199704,2.06,0.58
199705,0.84,-0.65
199706,1.48,0.40
199707,0.81,0.42
199708,0.28,-0.06
199709,0.91,0.22
199710,0.92,-0.33
199711,2.48,0.38
199712,1.51,-0.82
199801,5.52,2.82
199802,3.30,1.09
199803,2.68,0.65
199804,1.52,0.04
199805,5.13,3.64
199806,2.60,1.52
199807,0.93,0.54
199808,0.03,-0.31
199809,1.49,0.80
199810,0.62,-0.63
199811,5.39,3.29
199812,1.36,-0.97
199901,2.84,0.14
199902,3.59,1.38
199903,1.33,-0.70
199904,0.83,-0.65
199905,0.79,-0.70
199906,0.83,-0.25
199907,0.17,-0.22
199908,1.11,0.77
199909,0.03,-0.66
199910,1.21,-0.04
199911,1.04,-1.06
199912,0.90,-1.43
200001,4.24,1.54
200002,2.57,0.36
200003,1.88,-0.15
200004,1.51,0.03
200005,1.22,-0.27
200006,0.26,-0.82
200007,0.36,-0.03
200008,0.05,-0.29
200009,0.96,0.27
200010,1.90,0.65
200011,1.14,-0.96
200012,0.89,-1.44
200101,0.81,-1.89
200102,1.09,-1.12
200103,1.15,-0.88
200104,1.90,0.42
200105,0.11,-1.38
200106,0.46,-0.62
200107,0.29,-0.10
200108,0.03,-0.31
200109,0.84,0.15
200110,0.46,-0.79
200111,3.28,1.18
200112,3.12,0.79
200201,1.54,-1.16
200202,1.79,-0.42
200203,1.38,-0.65
200204,1.85,0.37
200205,0.44,-1.05
200206,0.26,-0.82
200207,0.09,-0.30
200208,0.01,-0.33
200209,0.07,-0.62
200210,0.14,-1.11
200211,1.96,-0.14
200212,2.78,0.45
200301,1.80,-0.90
200302,1.20,-1.01
200303,2.80,0.77
200304,3.16,1.68
200305,2.19,0.70
200306,0.19,-0.89
200307,0.34,-0.05
200308,0.70,0.36
200309,0.52,-0.17
200310,0.04,-1.21
200311,2.39,0.29
200312,4.25,1.92
200401,1.79,-0.91
200402,3.27,1.06
200403,0.77,-1.26
200404,1.09,-0.39
200405,2.08,0.59
200406,0.37,-0.71
200407,0.14,-0.25
200408,0.53,0.19
200409,0.27,-0.42
200410,2.89,1.64
200411,1.96,-0.14
200412,1.75,-0.58
200501,1.31,-1.39
200502,1.02,-1.19
200503,1.98,-0.05
200504,2.41,0.93
200505,4.73,3.24
200506,0.65,-0.43
200507,0.04,-0.35
200508,0.00,-0.34
200509,0.40,-0.29
200510,0.84,-0.41
200511,3.83,1.73
200512,5.71,3.38
200601,3.27,0.57
200602,1.99,-0.22
200603,2.59,0.56
200604,2.79,1.31
200605,0.73,-0.76
200606,0.35,-0.73
200607,0.09,-0.30
200608,0.22,-0.12
200609,0.07,-0.62
200610,0.70,-0.55
200611,2.49,0.39
200612,1.48,-0.85
200701,0.70,-2.00
200702,2.77,0.56
200703,0.90,-1.13
200704,1.51,0.03
200705,0.46,-1.03
200706,0.70,-0.38
200707,0.17,-0.22
200708,0.14,-0.20
200709,0.83,0.14
200710,2.44,1.19
200711,0.96,-1.14
200712,1.85,-0.48
200801,3.52,0.82
200802,1.38,-0.83
200803,1.24,-0.79
200804,0.77,-0.71
200805,2.61,1.12
200806,0.22,-0.86
200807,0.03,-0.36
200808,0.12,-0.22
200809,0.05,-0.64
200810,0.63,-0.62
200811,1.58,-0.52
200812,2.22,-0.11
200901,1.21,-1.49
200902,1.81,-0.40
200903,1.53,-0.50
200904,1.81,0.33
200905,0.94,-0.55
200906,2.11,1.03
200907,0.02,-0.37
200908,0.42,0.08
200909,0.03,-0.66
200910,1.07,-0.18
200911,1.60,-0.50
200912,1.48,-0.85
201001,2.12,-0.58
201002,0.76,-1.45
201003,1.87,-0.16
201004,2.04,0.56
201005,1.68,0.19
201006,1.01,-0.07
201007,0.09,-0.30
201008,0.44,0.10
201009,0.55,-0.14
201010,2.53,1.28
201011,1.89,-0.21
201012,4.62,2.29
201101,0.78,-1.92
201102,1.82,-0.39
201103,3.56,1.53
201104,3.30,1.82
201105,2.02,0.53
201106,0.93,-0.15
201107,0.04,-0.35
201108,0.02,-0.32
201109,0.19,-0.50
201110,0.63,-0.62
201111,1.00,-1.10
201112,0.32,-2.01
201201,1.67,-1.03
201202,1.41,-0.80
201203,2.66,0.63
201204,2.26,0.78
201205,1.07,-0.42
201206,0.72,-0.36
201207,0.05,-0.34
201208,0.10,-0.24
201209,0.02,-0.67
201210,0.94,-0.31
201211,2.38,0.28
201212,4.33,2.00
201301,1.27,-1.43
201302,0.62,-1.59
201303,0.62,-1.41
201304,1.54,0.06
201305,2.11,0.62
201306,0.92,-0.16
201307,0.32,-0.07
201308,0.60,0.26
201309,1.28,0.59
201310,0.35,-0.90
201311,0.75,-1.35
201312,0.43,-1.90
201401,0.51,-2.19
201402,2.87,0.66
201403,3.49,1.46
201404,1.10,-0.38
201405,0.89,-0.60
201406,0.47,-0.61
201407,0.29,-0.10
201408,0.54,0.20
201409,0.44,-0.25
201410,1.90,0.65
201411,2.08,-0.02
201412,3.63,1.30
201501,0.39,-2.31
201502,1.66,-0.55
201503,1.06,-0.97
201504,0.77,-0.71
201505,2.72,1.23
201506,0.54,-0.54
201507,1.32,0.93
201508,0.12,-0.22
201509,0.62,-0.07
201510,0.91,-0.34
201511,1.64,-0.46
201512,5.10,2.77
201601,3.95,1.25
201602,0.89,-1.32
201603,2.80,0.77
201604,1.30,-0.18
201605,2.12,0.63
201606,0.85,-0.23
201607,0.11,-0.28
201608,0.02,-0.32
201609,0.07,-0.62
201610,2.61,1.36
201611,1.19,-0.91
201612,3.26,0.93
201701,4.59,1.89
201702,4.44,2.23
201703,2.19,0.16
201704,2.51,1.03
201705,0.62,-0.87
201706,0.96,-0.12
201707,0.42,0.03
201708,0.49,0.15
201709,0.52,-0.17
201710,0.73,-0.52
201711,3.13,1.03
201712,0.52,-1.81
201801,2.01,-0.69
201802,0.95,-1.26
201803,2.71,0.68
201804,3.10,1.62
201805,2.65,1.16
201806,0.44,-0.64
201807,0.14,-0.25
201808,0.02,-0.32
201809,0.06,-0.63
201810,1.25,0.00
201811,1.82,-0.28
201812,2.14,-0.19
201901,3.18,0.48
201902,4.27,2.06
201903,2.53,0.50
201904,2.64,1.16
201905,2.79,1.30
201906,0.18,-0.90
201907,0.02,-0.37
201908,0.36,0.02
201909,1.81,1.12
201910,0.46,-0.79
201911,0.38,-1.72
201912,2.60,0.27
202001,3.53,0.83
202002,0.30,-1.91
202003,2.22,0.19
202004,0.67,-0.81
202005,1.70,0.21
202006,0.78,-0.30
202007,0.06,-0.33
202008,0.14,-0.20
202009,0.02,-0.67
202010,0.23,-1.02
202011,1.63,-0.47
202012,1.64,-0.69
202101,1.60,-1.10
202102,1.98,-0.23
202103,1.02,-1.01
202104,0.74,-0.74
202105,0.39,-1.10
202106,0.21,-0.87
202107,0.07,-0.32
202108,0.06,-0.28
202109,1.61,0.92
202110,2.89,1.64
202111,0.47,-1.63
202112,3.41,1.08
202201,0.56,-2.14
202202,0.36,-1.85
202203,0.75,-1.28
202204,2.73,1.25
202205,1.03,-0.46
202206,1.27,0.19
202207,0.03,-0.36
202208,0.33,-0.01
202209,0.99,0.30
202210,0.32,-0.93
202211,2.00,-0.10
202212,4.45,2.12
202301,2.33,-0.37
202302,1.53,-0.68
202303,3.66,1.63
