Glenn County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199306,1.06,0.65
199307,0.00,-0.03
199308,0.02,-0.05
199309,0.00,-0.38
199310,1.25,-0.09
199311,1.97,-1.09
199312,2.52,-2.19
199401,3.05,-2.11
199402,5.53,0.87
199403,0.45,-3.07
199404,2.07,0.39
199405,1.40,0.55
199406,0.01,-0.40
199407,0.00,-0.03
199408,0.00,-0.07
199409,0.02,-0.36
199410,0.84,-0.50
199411,4.10,1.04
199412,3.98,-0.73
199501,22.42,17.26
199502,0.97,-3.69
199503,12.50,8.98
199504,1.46,-0.22
199505,2.40,1.55
199506,0.91,0.50
199507,0.10,0.07
199508,0.00,-0.07
199509,0.00,-0.38
199510,0.00,-1.34
199511,0.04,-3.02
199512,8.11,3.40
199601,6.68,1.52
199602,7.39,2.73
199603,2.95,-0.57
199604,1.95,0.27
199605,2.40,1.55
199606,0.47,0.06
199607,0.00,-0.03
199608,0.00,-0.07
199609,0.20,-0.18
199610,2.05,0.71
199611,3.09,0.03
199612,8.55,3.84
199701,9.04,3.88
199702,0.43,-4.23
199703,2.13,-1.39
199704,0.46,-1.22
199705,0.55,-0.30
199706,0.36,-0.05
199707,0.13,0.10
199708,0.55,0.48
199709,0.32,-0.06
199710,1.07,-0.27
199711,7.52,4.46
199712,3.54,-1.17
199801,9.39,4.23
199802,20.60,15.94
199803,4.26,0.74
199804,3.37,1.69
199805,5.44,4.59
199806,1.39,0.98
199807,0.00,-0.03
199808,0.00,-0.07
199809,0.12,-0.26
199810,1.36,0.02
199811,4.68,1.62
199812,1.59,-3.12
199901,1.50,-3.66
199902,5.43,0.77
199903,4.23,0.71
199904,1.91,0.23
199905,0.06,-0.79
199906,0.88,0.47
199907,0.00,-0.03
199908,0.19,0.12
199909,0.00,-0.38
199910,0.62,-0.72
199911,3.61,0.55
199912,0.43,-4.28
200001,5.77,0.61
200002,8.05,3.39
200003,2.59,-0.93
200004,2.53,0.85
200005,2.09,1.24
200006,0.57,0.16
200007,0.01,-0.02
200008,0.00,-0.07
200009,0.48,0.10
200010,2.91,1.57
200011,1.06,-2.00
200012,0.61,-4.10
200101,6.11,0.95
200102,5.61,0.95
200103,3.61,0.09
200104,1.19,-0.49
200105,0.00,-0.85
200106,0.51,0.10
200107,0.00,-0.03
200108,0.00,-0.07
200109,0.58,0.20
200110,1.24,-0.10
200111,7.57,4.51
200112,8.65,3.94
200201,3.92,-1.24
200202,1.10,-3.56
200203,1.25,-2.27
200204,0.32,-1.36
200205,0.87,0.02
200206,0.00,-0.41
200207,0.01,-0.02
200208,0.00,-0.07
200209,0.01,-0.37
200210,0.00,-1.34
200211,2.70,-0.36
200212,12.82,8.11
200301,4.05,-1.11
200302,2.28,-2.38
200303,2.67,-0.85
200304,4.09,2.41
200305,2.09,1.24
200306,0.00,-0.41
200307,0.04,0.01
200308,0.52,0.45
200309,0.08,-0.30
200310,0.17,-1.17
200311,3.86,0.80
200312,11.39,6.68
200401,3.55,-1.61
200402,8.46,3.80
200403,1.74,-1.78
200404,0.38,-1.30
200405,0.22,-0.63
200406,0.01,-0.40
200407,0.00,-0.03
200408,0.00,-0.07
200409,0.03,-0.35
200410,4.18,2.84
200411,2.69,-0.37
200412,8.85,4.14
200501,6.82,1.66
200502,4.76,0.10
200503,4.26,0.74
200504,1.64,-0.04
200505,3.22,2.37
200506,1.01,0.60
200507,0.00,-0.03
200508,0.00,-0.07
200509,0.11,-0.27
200510,0.52,-0.82
200511,3.38,0.32
200512,12.22,7.51
200601,3.61,-1.55
200602,3.24,-1.42
200603,7.83,4.31
200604,6.75,5.07
200605,1.29,0.44
200606,0.24,-0.17
200607,0.00,-0.03
200608,0.00,-0.07
200609,0.00,-0.38
200610,0.13,-1.21
200611,1.85,-1.21
200612,4.03,-0.68
200701,0.13,-5.03
200702,5.26,0.60
200703,0.36,-3.16
200704,1.49,-0.19
200705,0.43,-0.42
200706,0.10,-0.31
200707,0.19,0.16
200708,0.00,-0.07
200709,0.46,0.08
200710,1.24,-0.10
200711,0.42,-2.64
200712,3.70,-1.01
200801,11.41,6.25
200802,4.12,-0.54
200803,0.12,-3.40
200804,0.26,-1.42
200805,0.47,-0.38
200806,0.01,-0.40
200807,0.00,-0.03
200808,0.01,-0.06
200809,0.05,-0.33
200810,0.87,-0.47
200811,2.75,-0.31
200812,1.90,-2.81
200901,0.78,-4.38
200902,7.99,3.33
200903,2.34,-1.18
200904,0.39,-1.29
200905,1.04,0.19
200906,1.25,0.84
200907,0.00,-0.03
200908,0.04,-0.03
200909,0.12,-0.26
200910,2.80,1.46
200911,0.95,-2.11
200912,3.73,-0.98
201001,10.96,5.80
201002,4.75,0.09
201003,1.71,-1.81
201004,5.09,3.41
201005,1.18,0.33
201006,0.07,-0.34
201007,0.00,-0.03
201008,0.02,-0.05
201009,0.43,0.05
201010,4.23,2.89
201011,2.11,-0.95
201012,6.40,1.69
201101,1.70,-3.46
201102,3.95,-0.71
201103,7.96,4.44
201104,0.41,-1.27
201105,1.84,0.99
201106,1.96,1.55
201107,0.00,-0.03
201108,0.00,-0.07
201109,0.06,-0.32
201110,2.09,0.75
201111,2.44,-0.62
201112,0.14,-4.57
201201,4.64,-0.52
201202,1.60,-3.06
201203,5.27,1.75
201204,2.05,0.37
201205,0.06,-0.79
201206,0.09,-0.32
201207,0.00,-0.03
201208,0.01,-0.06
201209,0.00,-0.38
201210,0.82,-0.52
201211,6.30,3.24
201212,8.09,3.38
201301,1.69,-3.47
201302,0.46,-4.20
201303,1.33,-2.19
201304,1.06,-0.62
201305,0.31,-0.54
201306,0.40,-0.01
201307,0.01,-0.02
201308,0.00,-0.07
201309,1.23,0.85
201310,0.02,-1.32
201311,0.87,-2.19
201312,0.21,-4.50
201401,0.22,-4.94
201402,5.93,1.27
201403,5.30,1.78
201404,1.36,-0.32
201405,0.25,-0.60
201406,0.00,-0.41
201407,0.00,-0.03
201408,0.24,0.17
201409,1.12,0.74
201410,0.49,-0.85
201411,3.04,-0.02
201412,13.73,9.02
201501,0.11,-5.05
201502,3.84,-0.82
201503,0.21,-3.31
201504,1.70,0.02
201505,0.25,-0.60
201506,0.07,-0.34
201507,0.18,0.15
201508,0.02,-0.05
201509,0.23,-0.15
201510,0.11,-1.23
201511,1.54,-1.52
201512,4.10,-0.61
201601,8.90,3.74
201602,0.70,-3.96
201603,7.06,3.54
201604,0.88,-0.80
201605,1.19,0.34
201606,0.45,0.04
201607,0.00,-0.03
201608,0.00,-0.07
201609,0.00,-0.38
201610,2.94,1.60
201611,3.00,-0.06
201612,4.49,-0.22
201701,10.50,5.34
201702,9.55,4.89
201703,2.52,-1.00
201704,2.67,0.99
201705,0.09,-0.76
201706,0.17,-0.24
201707,0.00,-0.03
201708,0.00,-0.07
201709,0.07,-0.31
201710,0.34,-1.00
201711,2.62,-0.44
201712,0.03,-4.68
201801,3.64,-1.52
201802,0.08,-4.58
201803,3.40,-0.12
201804,3.33,1.65
201805,0.27,-0.58
201806,0.01,-0.40
201807,0.00,-0.03
201808,0.00,-0.07
201809,0.03,-0.35
201810,1.06,-0.28
201811,4.45,1.39
201812,2.68,-2.03
201901,7.86,2.70
201902,14.32,9.66
201903,6.48,2.96
201904,0.49,-1.19
201905,2.79,1.94
201906,0.00,-0.41
201907,0.00,-0.03
201908,0.07,0.00
201909,0.38,0.00
201910,0.02,-1.32
201911,1.01,-2.05
201912,5.70,0.99
202001,1.72,-3.44
202002,0.00,-4.66
202003,1.07,-2.45
202004,0.62,-1.06
202005,1.57,0.72
202006,0.12,-0.29
202007,0.00,-0.03
202008,0.14,0.07
202009,0.00,-0.38
202010,0.01,-1.33
202011,0.57,-2.49
202012,1.40,-3.31
202101,3.40,-1.76
202102,0.82,-3.84
202103,1.91,-1.61
202104,0.26,-1.42
202105,0.02,-0.83
202106,0.07,-0.34
202107,0.00,-0.03
202108,0.00,-0.07
202109,0.18,-0.20
202110,6.14,4.80
202111,1.51,-1.55
202112,5.45,0.74
202201,0.28,-4.88
202202,0.01,-4.65
202203,1.04,-2.48
202204,0.79,-0.89
202205,0.20,-0.65
202206,0.50,0.09
202207,0.01,-0.02
202208,0.03,-0.04
202209,1.71,1.33
202210,0.00,-1.34
202211,2.12,-0.94
202212,5.61,0.90
202301,11.82,6.66
202302,2.76,-1.90
202303,8.74,5.22
