Glenn County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.03,-0.04
191709,0.49,0.11
191710,0.00,-1.34
191711,1.51,-1.55
191712,2.19,-2.52
191801,0.88,-4.28
191802,5.03,0.37
191803,4.50,0.98
191804,0.72,-0.96
191805,0.28,-0.57
191806,0.03,-0.38
191807,0.00,-0.03
191808,0.02,-0.05
191809,1.89,1.51
191810,0.62,-0.72
191811,3.16,0.10
191812,2.54,-2.17
191901,3.07,-2.09
191902,5.96,1.30
191903,2.43,-1.09
191904,0.46,-1.22
191905,0.13,-0.72
191906,0.00,-0.41
191907,0.00,-0.03
191908,0.00,-0.07
191909,0.91,0.53
191910,0.48,-0.86
191911,0.42,-2.64
191912,4.03,-0.68
192001,0.29,-4.87
192002,1.47,-3.19
192003,3.50,-0.02
192004,1.78,0.10
192005,0.02,-0.83
192006,0.53,0.12
192007,0.10,0.07
192008,0.13,0.06
192009,0.06,-0.32
192010,1.85,0.51
192011,7.41,4.35
192012,7.30,2.59
192101,8.59,3.43
192102,1.30,-3.36
192103,1.79,-1.73
192104,0.44,-1.24
192105,1.14,0.29
192106,0.08,-0.33
192107,0.00,-0.03
192108,0.00,-0.07
192109,0.04,-0.34
192110,0.82,-0.52
192111,1.69,-1.37
192112,6.89,2.18
192201,1.58,-3.58
192202,6.46,1.80
192203,1.90,-1.62
192204,0.31,-1.37
192205,0.75,-0.10
192206,0.25,-0.16
192207,0.00,-0.03
192208,0.04,-0.03
192209,0.00,-0.38
192210,2.87,1.53
192211,4.69,1.63
192212,7.52,2.81
192301,2.34,-2.82
192302,0.85,-3.81
192303,0.05,-3.47
192304,3.99,2.31
192305,0.33,-0.52
192306,0.80,0.39
192307,0.01,-0.02
192308,0.04,-0.03
192309,1.69,1.31
192310,0.50,-0.84
192311,0.63,-2.43
192312,1.17,-3.54
192401,3.79,-1.37
192402,3.00,-1.66
192403,1.46,-2.06
192404,0.40,-1.28
192405,0.06,-0.79
192406,0.00,-0.41
192407,0.00,-0.03
192408,0.02,-0.05
192409,0.01,-0.37
192410,4.32,2.98
192411,1.46,-1.60
192412,6.97,2.26
192501,1.26,-3.90
192502,8.56,3.90
