Del Norte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.01,-0.51
191709,1.49,-0.29
191710,0.00,-5.53
191711,15.92,4.03
191712,9.21,-4.19
191801,8.14,-5.76
191802,13.89,2.27
191803,11.44,1.40
191804,2.89,-2.83
191805,1.01,-2.70
191806,0.12,-1.39
191807,0.21,-0.16
191808,0.90,0.38
191809,1.96,0.18
191810,3.32,-2.21
191811,9.01,-2.88
191812,7.42,-5.98
191901,16.89,2.99
191902,18.49,6.87
191903,11.15,1.11
191904,8.60,2.88
191905,2.29,-1.42
191906,0.41,-1.10
191907,0.01,-0.36
191908,0.03,-0.49
191909,3.21,1.43
191910,2.20,-3.33
191911,7.85,-4.04
191912,11.03,-2.37
192001,4.14,-9.76
192002,1.69,-9.93
192003,9.32,-0.72
192004,5.65,-0.07
192005,0.78,-2.93
192006,5.05,3.54
192007,0.63,0.26
192008,0.89,0.37
192009,5.26,3.48
192010,8.68,3.15
192011,16.33,4.44
192012,21.74,8.34
192101,15.59,1.69
192102,12.01,0.39
192103,6.96,-3.08
192104,3.37,-2.35
192105,5.00,1.29
192106,1.18,-0.33
192107,0.00,-0.37
192108,0.07,-0.45
192109,1.62,-0.16
192110,5.72,0.19
192111,16.46,4.57
192112,8.59,-4.81
192201,7.26,-6.64
192202,16.09,4.47
192203,15.71,5.67
192204,4.43,-1.29
192205,2.78,-0.93
192206,0.56,-0.95
192207,0.00,-0.37
192208,0.64,0.12
192209,1.65,-0.13
192210,5.85,0.32
192211,5.09,-6.80
192212,15.94,2.54
192301,10.65,-3.25
192302,2.60,-9.02
192303,2.16,-7.88
192304,6.88,1.16
192305,3.74,0.03
192306,1.79,0.28
192307,0.48,0.11
192308,0.19,-0.33
192309,2.60,0.82
192310,5.13,-0.40
192311,4.31,-7.58
192312,8.80,-4.60
192401,4.15,-9.75
192402,6.96,-4.66
192403,3.35,-6.69
192404,1.05,-4.67
192405,0.90,-2.81
192406,0.46,-1.05
192407,0.02,-0.35
192408,1.42,0.90
192409,1.80,0.02
192410,18.21,12.68
192411,13.76,1.87
192412,12.36,-1.04
192501,11.69,-2.21
192502,16.28,4.66
192503,4.85,-5.19
192504,11.40,5.68
192505,3.67,-0.04
192506,1.18,-0.33
192507,0.15,-0.22
192508,0.33,-0.19
192509,3.66,1.88
192510,0.78,-4.75
192511,9.97,-1.92
192512,7.35,-6.05
192601,10.56,-3.34
192602,17.47,5.85
192603,0.15,-9.89
192604,3.06,-2.66
192605,5.49,1.78
192606,0.00,-1.51
192607,0.04,-0.33
192608,1.36,0.84
192609,1.17,-0.61
192610,8.86,3.33
192611,26.67,14.78
192612,13.64,0.24
192701,15.27,1.37
192702,21.36,9.74
192703,9.83,-0.21
192704,6.40,0.68
192705,2.81,-0.90
192706,1.08,-0.43
192707,0.03,-0.34
192708,0.01,-0.51
192709,2.81,1.03
192710,2.29,-3.24
192711,15.39,3.50
192712,7.79,-5.61
192801,11.92,-1.98
192802,5.70,-5.92
192803,16.17,6.13
192804,11.78,6.06
192805,0.49,-3.22
192806,0.65,-0.86
192807,0.23,-0.14
192808,0.01,-0.51
192809,1.62,-0.16
192810,5.57,0.04
192811,10.12,-1.77
192812,12.37,-1.03
192901,8.59,-5.31
192902,3.09,-8.53
192903,3.96,-6.08
192904,8.09,2.37
192905,0.80,-2.91
192906,3.92,2.41
192907,0.00,-0.37
192908,0.02,-0.50
192909,0.00,-1.78
192910,1.33,-4.20
192911,0.12,-11.77
192912,21.27,7.87
193001,11.22,-2.68
193002,11.51,-0.11
193003,2.65,-7.39
193004,5.75,0.03
193005,2.83,-0.88
193006,0.42,-1.09
193007,0.01,-0.36
193008,0.03,-0.49
193009,4.16,2.38
193010,2.22,-3.31
193011,7.33,-4.56
193012,5.77,-7.63
193101,8.35,-5.55
193102,5.75,-5.87
193103,11.87,1.83
193104,3.45,-2.27
193105,0.58,-3.13
193106,3.86,2.35
193107,0.00,-0.37
193108,0.00,-0.52
193109,1.05,-0.73
193110,6.96,1.43
193111,11.84,-0.05
193112,19.01,5.61
193201,11.27,-2.63
193202,3.97,-7.65
193203,13.14,3.10
193204,9.85,4.13
193205,4.97,1.26
193206,0.18,-1.33
193207,0.65,0.28
193208,0.16,-0.36
193209,0.00,-1.78
193210,3.26,-2.27
193211,12.69,0.80
193212,13.26,-0.14
193301,18.27,4.37
193302,8.38,-3.24
193303,13.21,3.17
193304,1.48,-4.24
193305,12.45,8.74
193306,3.31,1.80
193307,0.02,-0.35
193308,0.21,-0.31
193309,1.91,0.13
193310,5.11,-0.42
193311,1.12,-10.77
193312,17.31,3.91
193401,12.51,-1.39
193402,5.53,-6.09
193403,6.45,-3.59
193404,4.17,-1.55
193405,3.25,-0.46
193406,1.31,-0.20
193407,0.01,-0.36
193408,0.06,-0.46
193409,1.67,-0.11
193410,10.66,5.13
193411,17.91,6.02
193412,12.83,-0.57
193501,13.74,-0.16
193502,8.47,-3.15
193503,10.20,0.16
193504,8.07,2.35
193505,0.50,-3.21
193506,0.35,-1.16
193507,0.64,0.27
193508,0.23,-0.29
193509,1.64,-0.14
193510,7.22,1.69
193511,4.58,-7.31
193512,13.35,-0.05
193601,23.60,9.70
193602,13.69,2.07
193603,3.74,-6.30
193604,4.08,-1.64
193605,5.67,1.96
193606,2.39,0.88
193607,0.45,0.08
193608,0.01,-0.51
193609,0.08,-1.70
193610,0.14,-5.39
193611,0.23,-11.66
193612,11.66,-1.74
193701,10.76,-3.14
193702,11.30,-0.32
193703,12.43,2.39
193704,12.49,6.77
193705,5.05,1.34
193706,5.91,4.40
193707,0.13,-0.24
