Santa Cruz County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,0.45,-0.98
199011,0.46,-3.11
199012,2.45,-3.55
199101,0.60,-6.59
199102,3.98,-2.27
199103,14.82,9.79
199104,0.69,-1.51
199105,0.19,-0.63
199106,0.29,0.08
199107,0.04,0.02
199108,0.16,0.11
199109,0.06,-0.22
199110,2.37,0.94
199111,1.22,-2.35
199112,5.00,-1.00
199201,3.22,-3.97
199202,11.90,5.65
199203,5.09,0.06
199204,0.33,-1.87
199205,0.01,-0.81
199206,0.56,0.35
199207,0.02,0.00
199208,0.03,-0.02
199209,0.01,-0.27
199210,1.94,0.51
199211,0.24,-3.33
199212,9.46,3.46
199301,15.06,7.87
199302,8.71,2.46
199303,3.60,-1.43
199304,1.23,-0.97
199305,1.11,0.29
199306,0.64,0.43
199307,0.00,-0.02
199308,0.01,-0.04
199309,0.02,-0.26
199310,0.69,-0.74
199311,2.87,-0.70
199312,4.30,-1.70
199401,3.12,-4.07
199402,7.58,1.33
199403,0.78,-4.25
199404,2.23,0.03
199405,1.83,1.01
199406,0.03,-0.18
199407,0.00,-0.02
199408,0.00,-0.05
199409,0.05,-0.23
199410,0.83,-0.60
199411,6.60,3.03
199412,3.64,-2.36
199501,18.87,11.68
199502,0.71,-5.54
199503,12.72,7.69
199504,3.97,1.77
199505,1.47,0.65
199506,0.98,0.77
199507,0.01,-0.01
199508,0.00,-0.05
199509,0.00,-0.28
199510,0.01,-1.42
199511,0.23,-3.34
199512,9.08,3.08
199601,9.67,2.48
199602,10.63,4.38
199603,3.96,-1.07
199604,2.01,-0.19
199605,3.10,2.28
199606,0.02,-0.19
199607,0.00,-0.02
199608,0.00,-0.05
199609,0.02,-0.26
199610,1.98,0.55
199611,6.41,2.84
199612,14.64,8.64
199701,13.29,6.10
199702,0.31,-5.94
199703,0.89,-4.14
199704,0.65,-1.55
199705,0.25,-0.57
199706,0.25,0.04
199707,0.00,-0.02
199708,0.31,0.26
199709,0.01,-0.27
199710,0.78,-0.65
199711,9.63,6.06
199712,4.36,-1.64
199801,14.30,7.11
199802,20.32,14.07
199803,4.73,-0.30
199804,3.34,1.14
199805,3.93,3.11
199806,0.17,-0.04
199807,0.01,-0.01
199808,0.00,-0.05
199809,0.13,-0.15
199810,0.93,-0.50
199811,5.71,2.14
199812,2.08,-3.92
199901,7.55,0.36
199902,8.96,2.71
199903,4.58,-0.45
199904,2.74,0.54
199905,0.08,-0.74
199906,0.22,0.01
199907,0.00,-0.02
199908,0.05,0.00
199909,0.19,-0.09
199910,0.35,-1.08
199911,3.73,0.16
199912,0.68,-5.32
200001,12.26,5.07
200002,13.77,7.52
200003,2.83,-2.20
200004,2.07,-0.13
200005,1.13,0.31
200006,0.27,0.06
200007,0.01,-0.01
200008,0.15,0.10
200009,0.34,0.06
200010,4.46,3.03
200011,1.21,-2.36
200012,1.03,-4.97
200101,6.55,-0.64
200102,8.20,1.95
200103,3.10,-1.93
200104,2.40,0.20
200105,0.00,-0.82
200106,0.10,-0.11
200107,0.01,-0.01
200108,0.03,-0.02
200109,0.16,-0.12
200110,0.66,-0.77
200111,6.79,3.22
200112,12.19,6.19
200201,2.91,-4.28
200202,2.29,-3.96
200203,3.60,-1.43
200204,0.48,-1.72
200205,0.98,0.16
200206,0.02,-0.19
200207,0.01,-0.01
200208,0.05,0.00
200209,0.01,-0.27
200210,0.01,-1.42
200211,5.25,1.68
200212,16.46,10.46
200301,1.76,-5.43
200302,2.48,-3.77
200303,1.94,-3.09
200304,5.39,3.19
200305,1.25,0.43
200306,0.05,-0.16
200307,0.00,-0.02
200308,0.04,-0.01
200309,0.02,-0.26
200310,0.32,-1.11
200311,3.46,-0.11
200312,11.46,5.46
200401,3.91,-3.28
200402,7.61,1.36
200403,1.15,-3.88
200404,0.48,-1.72
200405,0.08,-0.74
200406,0.01,-0.20
200407,0.04,0.02
200408,0.01,-0.04
200409,0.09,-0.19
200410,5.50,4.07
200411,2.34,-1.23
200412,10.25,4.25
200501,7.27,0.08
200502,6.06,-0.19
200503,7.36,2.33
200504,2.90,0.70
200505,1.55,0.73
200506,0.89,0.68
200507,0.03,0.01
200508,0.01,-0.04
200509,0.06,-0.22
200510,0.23,-1.20
200511,1.92,-1.65
200512,14.76,8.76
200601,5.95,-1.24
200602,3.20,-3.05
200603,11.77,6.74
200604,7.97,5.77
200605,0.76,-0.06
200606,0.01,-0.20
200607,0.00,-0.02
200608,0.00,-0.05
200609,0.00,-0.28
200610,0.45,-0.98
200611,2.47,-1.10
200612,5.10,-0.90
200701,1.18,-6.01
200702,6.96,0.71
200703,0.45,-4.58
200704,1.60,-0.60
200705,0.37,-0.45
200706,0.01,-0.20
200707,0.02,0.00
200708,0.01,-0.04
200709,0.43,0.15
200710,1.67,0.24
200711,0.65,-2.92
200712,3.80,-2.20
200801,13.39,6.20
200802,5.30,-0.95
200803,0.36,-4.67
200804,0.40,-1.80
200805,0.00,-0.82
200806,0.00,-0.21
200807,0.01,-0.01
200808,0.01,-0.04
200809,0.01,-0.27
200810,0.84,-0.59
200811,3.09,-0.48
200812,3.90,-2.10
200901,1.70,-5.49
200902,10.77,4.52
200903,3.46,-1.57
200904,0.51,-1.69
200905,1.05,0.23
200906,0.06,-0.15
200907,0.01,-0.01
200908,0.02,-0.03
200909,0.21,-0.07
200910,5.85,4.42
200911,0.31,-3.26
200912,4.38,-1.62
201001,9.91,2.72
201002,6.14,-0.11
201003,3.44,-1.59
201004,5.40,3.20
201005,0.90,0.08
201006,0.01,-0.20
201007,0.02,0.00
201008,0.04,-0.01
201009,0.01,-0.27
201010,2.14,0.71
201011,4.09,0.52
201012,10.16,4.16
201101,2.37,-4.82
201102,7.10,0.85
201103,10.34,5.31
201104,0.67,-1.53
201105,1.62,0.80
201106,1.01,0.80
201107,0.01,-0.01
201108,0.01,-0.04
201109,0.00,-0.28
201110,2.43,1.00
201111,2.70,-0.87
201112,0.20,-5.80
201201,4.11,-3.08
201202,1.54,-4.71
201203,7.54,2.51
201204,3.86,1.66
201205,0.06,-0.76
201206,0.30,0.09
201207,0.06,0.04
201208,0.01,-0.04
201209,0.01,-0.27
201210,0.83,-0.60
201211,6.55,2.98
201212,11.15,5.15
201301,1.01,-6.18
201302,0.56,-5.69
201303,1.49,-3.54
201304,0.94,-1.26
201305,0.03,-0.79
201306,0.09,-0.12
201307,0.03,0.01
201308,0.01,-0.04
201309,0.30,0.02
201310,0.11,-1.32
201311,0.89,-2.68
201312,0.61,-5.39
201401,0.08,-7.11
201402,7.44,1.19
201403,3.71,-1.32
201404,1.66,-0.54
201405,0.05,-0.77
201406,0.01,-0.20
201407,0.08,0.06
201408,0.01,-0.04
201409,0.75,0.47
201410,0.83,-0.60
201411,3.91,0.34
201412,14.98,8.98
201501,0.00,-7.19
201502,3.65,-2.60
201503,0.52,-4.51
201504,1.85,-0.35
201505,0.29,-0.53
201506,0.06,-0.15
201507,0.06,0.04
201508,0.06,0.01
201509,0.02,-0.26
201510,0.10,-1.33
201511,3.77,0.20
201512,6.64,0.64
201601,11.48,4.29
201602,1.16,-5.09
201603,10.33,5.30
201604,1.68,-0.52
201605,0.25,-0.57
201606,0.00,-0.21
201607,0.02,0.00
201608,0.03,-0.02
201609,0.01,-0.27
201610,5.40,3.97
201611,3.05,-0.52
201612,7.03,1.03
201701,19.27,12.08
201702,14.61,8.36
201703,5.03,0.00
201704,4.06,1.86
201705,0.05,-0.77
201706,0.09,-0.12
201707,0.00,-0.02
201708,0.01,-0.04
201709,0.09,-0.19
201710,0.21,-1.22
201711,4.05,0.48
201712,0.16,-5.84
201801,6.08,-1.11
201802,0.36,-5.89
201803,8.63,3.60
201804,3.17,0.97
201805,0.08,-0.74
201806,0.02,-0.19
201807,0.02,0.00
201808,0.00,-0.05
201809,0.00,-0.28
201810,0.08,-1.35
201811,5.08,1.51
201812,3.81,-2.19
201901,8.87,1.68
201902,12.83,6.58
201903,7.73,2.70
201904,0.87,-1.33
201905,3.52,2.70
201906,0.05,-0.16
201907,0.05,0.03
201908,0.02,-0.03
201909,0.11,-0.17
201910,0.00,-1.43
201911,2.14,-1.43
201912,10.05,4.05
202001,2.78,-4.41
202002,0.02,-6.23
202003,3.49,-1.54
202004,3.02,0.82
202005,0.99,0.17
202006,0.02,-0.19
202007,0.02,0.00
202008,0.05,0.00
202009,0.00,-0.28
202010,0.00,-1.43
202011,1.45,-2.12
202012,2.67,-3.33
202101,7.42,0.23
202102,1.42,-4.83
202103,2.84,-2.19
202104,0.09,-2.11
202105,0.01,-0.81
202106,0.02,-0.19
202107,0.02,0.00
202108,0.01,-0.04
202109,0.02,-0.26
202110,5.99,4.56
202111,1.72,-1.85
202112,14.36,8.36
202201,0.49,-6.70
202202,0.08,-6.17
202203,1.63,-3.40
202204,2.68,0.48
202205,0.01,-0.81
202206,0.06,-0.15
202207,0.02,0.00
202208,0.02,-0.03
202209,1.13,0.85
202210,0.03,-1.40
202211,3.51,-0.06
202212,17.46,11.46
202301,13.38,6.19
202302,6.19,-0.06
202303,11.90,6.87
