Santa Cruz County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.02
191708,0.00,-0.05
191709,0.10,-0.18
191710,0.00,-1.43
191711,1.09,-2.48
191712,1.42,-4.58
191801,1.45,-5.74
191802,5.73,-0.52
191803,7.43,2.40
191804,0.70,-1.50
191805,0.09,-0.73
191806,0.00,-0.21
191807,0.00,-0.02
191808,0.04,-0.01
191809,1.41,1.13
191810,0.41,-1.02
191811,5.48,1.91
191812,3.41,-2.59
191901,2.10,-5.09
191902,11.49,5.24
191903,5.08,0.05
191904,0.13,-2.07
191905,0.05,-0.77
191906,0.00,-0.21
191907,0.00,-0.02
191908,0.00,-0.05
191909,0.78,0.50
191910,0.56,-0.87
191911,0.27,-3.30
191912,7.94,1.94
192001,1.58,-5.61
192002,2.14,-4.11
192003,7.98,2.95
192004,2.74,0.54
192005,0.00,-0.82
192006,0.41,0.20
192007,0.03,0.01
192008,0.14,0.09
192009,0.09,-0.19
192010,3.69,2.26
192011,5.57,2.00
192012,9.47,3.47
192101,8.20,1.01
192102,2.81,-3.44
192103,2.39,-2.64
192104,1.06,-1.14
192105,1.48,0.66
192106,0.04,-0.17
192107,0.00,-0.02
192108,0.00,-0.05
192109,0.25,-0.03
192110,0.48,-0.95
192111,2.00,-1.57
192112,13.93,7.93
192201,4.07,-3.12
192202,8.69,2.44
192203,4.14,-0.89
192204,0.67,-1.53
192205,1.01,0.19
192206,0.17,-0.04
192207,0.00,-0.02
192208,0.00,-0.05
192209,0.00,-0.28
192210,2.52,1.09
192211,5.35,1.78
192212,10.93,4.93
192301,5.04,-2.15
192302,1.83,-4.42
192303,0.20,-4.83
192304,5.07,2.87
192305,0.03,-0.79
192306,0.56,0.35
192307,0.00,-0.02
192308,0.01,-0.04
192309,0.87,0.59
192310,0.58,-0.85
192311,0.60,-2.97
192312,2.11,-3.89
192401,3.98,-3.21
192402,1.56,-4.69
192403,2.76,-2.27
192404,0.54,-1.66
192405,0.03,-0.79
192406,0.00,-0.21
192407,0.00,-0.02
192408,0.00,-0.05
192409,0.06,-0.22
192410,2.87,1.44
192411,3.02,-0.55
192412,4.79,-1.21
192501,2.34,-4.85
192502,8.43,2.18
192503,3.34,-1.69
192504,3.04,0.84
192505,4.04,3.22
192506,0.15,-0.06
192507,0.07,0.05
192508,0.00,-0.05
192509,0.34,0.06
192510,0.38,-1.05
192511,2.05,-1.52
192512,2.49,-3.51
192601,6.35,-0.84
192602,11.39,5.14
192603,0.51,-4.52
192604,6.49,4.29
192605,0.22,-0.60
192606,0.00,-0.21
192607,0.00,-0.02
192608,0.00,-0.05
192609,0.00,-0.28
192610,1.68,0.25
192611,7.66,4.09
192612,1.92,-4.08
192701,5.42,-1.77
192702,11.11,4.86
192703,2.90,-2.13
192704,2.92,0.72
192705,0.16,-0.66
192706,0.42,0.21
192707,0.00,-0.02
192708,0.01,-0.04
192709,0.06,-0.22
192710,1.74,0.31
192711,4.37,0.80
192712,5.29,-0.71
192801,2.19,-5.00
192802,3.84,-2.41
192803,7.11,2.08
192804,2.02,-0.18
192805,0.25,-0.57
192806,0.00,-0.21
192807,0.00,-0.02
192808,0.00,-0.05
192809,0.00,-0.28
192810,0.02,-1.41
192811,4.29,0.72
192812,5.26,-0.74
192901,1.45,-5.74
192902,2.35,-3.90
192903,2.24,-2.79
192904,2.03,-0.17
192905,0.02,-0.80
192906,1.02,0.81
192907,0.00,-0.02
192908,0.00,-0.05
192909,0.02,-0.26
192910,0.01,-1.42
192911,0.00,-3.57
192912,3.85,-2.15
193001,7.20,0.01
193002,5.44,-0.81
193003,4.39,-0.64
193004,1.41,-0.79
193005,0.52,-0.30
193006,0.00,-0.21
193007,0.00,-0.02
193008,0.04,-0.01
193009,0.36,0.08
193010,0.33,-1.10
193011,2.84,-0.73
193012,0.68,-5.32
193101,6.75,-0.44
193102,1.86,-4.39
193103,1.84,-3.19
193104,0.64,-1.56
193105,1.63,0.81
