Mariposa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199307,0.00,-0.09
199308,0.00,-0.09
199309,0.00,-0.52
199310,1.11,-0.45
199311,1.66,-1.77
199312,2.62,-2.57
199401,2.39,-3.98
199402,6.36,0.57
199403,1.01,-4.31
199404,2.90,0.17
199405,2.31,1.00
199406,0.01,-0.39
199407,0.01,-0.08
199408,0.00,-0.09
199409,0.98,0.46
199410,2.25,0.69
199411,6.40,2.97
199412,3.15,-2.04
199501,15.70,9.33
199502,1.29,-4.50
199503,15.02,9.70
199504,4.36,1.63
199505,3.38,2.07
199506,1.37,0.97
199507,0.09,0.00
199508,0.01,-0.08
199509,0.01,-0.51
199510,0.00,-1.56
199511,0.07,-3.36
199512,7.36,2.17
199601,7.91,1.54
199602,8.60,2.81
199603,5.26,-0.06
199604,3.30,0.57
199605,2.93,1.62
199606,0.56,0.16
199607,0.16,0.07
199608,0.05,-0.04
199609,0.04,-0.48
199610,3.26,1.70
199611,8.39,4.96
199612,14.57,9.38
199701,14.71,8.34
199702,0.44,-5.35
199703,0.15,-5.17
199704,0.46,-2.27
199705,0.23,-1.08
199706,0.42,0.02
199707,0.10,0.01
199708,0.13,0.04
199709,0.39,-0.13
199710,0.50,-1.06
199711,4.03,0.60
199712,3.29,-1.90
199801,10.92,4.55
199802,14.52,8.73
199803,6.62,1.30
199804,3.61,0.88
199805,4.05,2.74
199806,1.47,1.07
199807,0.01,-0.08
199808,0.00,-0.09
199809,0.97,0.45
199810,0.44,-1.12
199811,3.39,-0.04
199812,2.39,-2.80
199901,6.96,0.59
199902,7.44,1.65
199903,2.50,-2.82
199904,3.18,0.45
199905,0.43,-0.88
199906,0.41,0.01
199907,0.04,-0.05
199908,0.08,-0.01
199909,0.07,-0.45
199910,0.32,-1.24
199911,2.68,-0.75
199912,0.17,-5.02
200001,10.33,3.96
200002,12.19,6.40
200003,2.42,-2.90
200004,3.04,0.31
200005,1.70,0.39
200006,0.79,0.39
200007,0.01,-0.08
200008,0.06,-0.03
200009,0.56,0.04
200010,3.92,2.36
200011,0.81,-2.62
200012,0.64,-4.55
200101,5.47,-0.90
200102,5.94,0.15
200103,3.31,-2.01
200104,3.93,1.20
200105,0.07,-1.24
200106,0.00,-0.40
200107,0.22,0.13
200108,0.01,-0.08
200109,0.32,-0.20
200110,1.03,-0.53
200111,6.20,2.77
200112,8.53,3.34
200201,2.45,-3.92
200202,1.87,-3.92
200203,3.41,-1.91
200204,1.38,-1.35
200205,1.45,0.14
200206,0.07,-0.33
200207,0.02,-0.07
200208,0.00,-0.09
200209,0.28,-0.24
200210,0.11,-1.45
200211,6.31,2.88
200212,9.10,3.91
200301,1.00,-5.37
200302,2.66,-3.13
200303,2.66,-2.66
200304,6.92,4.19
200305,2.42,1.11
200306,0.01,-0.39
200307,0.26,0.17
200308,0.46,0.37
200309,0.10,-0.42
200310,0.03,-1.53
200311,2.39,-1.04
200312,8.46,3.27
200401,2.54,-3.83
200402,7.03,1.24
200403,1.68,-3.64
200404,0.36,-2.37
200405,0.64,-0.67
200406,0.07,-0.33
200407,0.04,-0.05
200408,0.03,-0.06
200409,0.15,-0.37
200410,7.97,6.41
200411,2.58,-0.85
200412,6.07,0.88
200501,10.62,4.25
200502,5.47,-0.32
200503,8.17,2.85
200504,1.88,-0.85
200505,4.38,3.07
200506,0.11,-0.29
200507,0.01,-0.08
200508,0.27,0.18
200509,0.52,0.00
200510,0.73,-0.83
200511,1.38,-2.05
200512,11.03,5.84
200601,7.18,0.81
200602,3.12,-2.67
200603,8.21,2.89
200604,9.21,6.48
200605,1.11,-0.20
200606,0.03,-0.37
200607,0.04,-0.05
200608,0.00,-0.09
200609,0.01,-0.51
200610,0.95,-0.61
200611,1.99,-1.44
200612,3.92,-1.27
200701,1.16,-5.21
200702,6.44,0.65
200703,1.23,-4.09
200704,1.63,-1.10
200705,0.56,-0.75
200706,0.01,-0.39
200707,0.02,-0.07
200708,0.12,0.03
200709,0.39,-0.13
200710,1.11,-0.45
200711,0.26,-3.17
200712,4.35,-0.84
200801,10.17,3.80
200802,5.69,-0.10
200803,0.44,-4.88
200804,0.06,-2.67
200805,1.12,-0.19
200806,0.00,-0.40
200807,0.02,-0.07
200808,0.00,-0.09
200809,0.01,-0.51
200810,1.08,-0.48
200811,3.66,0.23
200812,4.50,-0.69
200901,4.30,-2.07
200902,6.18,0.39
200903,3.79,-1.53
200904,1.04,-1.69
200905,2.01,0.70
200906,0.56,0.16
200907,0.01,-0.08
200908,0.14,0.05
200909,0.05,-0.47
200910,2.95,1.39
200911,0.63,-2.80
200912,5.46,0.27
201001,5.86,-0.51
201002,5.88,0.09
201003,3.09,-2.23
201004,6.52,3.79
201005,1.44,0.13
201006,0.01,-0.39
201007,0.01,-0.08
201008,0.01,-0.08
201009,0.00,-0.52
201010,4.21,2.65
201011,4.90,1.47
201012,12.21,7.02
201101,2.71,-3.66
201102,5.54,-0.25
201103,10.93,5.61
201104,1.01,-1.72
201105,2.44,1.13
201106,1.81,1.41
201107,0.02,-0.07
201108,0.03,-0.06
201109,0.36,-0.16
201110,2.06,0.50
201111,1.26,-2.17
201112,0.02,-5.17
201201,3.82,-2.55
201202,1.12,-4.67
201203,5.12,-0.20
201204,3.48,0.75
201205,0.11,-1.20
201206,0.52,0.12
201207,0.04,-0.05
201208,0.05,-0.04
201209,0.03,-0.49
201210,0.79,-0.77
201211,4.04,0.61
201212,10.87,5.68
201301,1.09,-5.28
201302,0.76,-5.03
201303,2.03,-3.29
201304,1.14,-1.59
201305,1.04,-0.27
201306,0.12,-0.28
201307,0.12,0.03
201308,0.02,-0.07
201309,0.33,-0.19
201310,0.70,-0.86
201311,1.08,-2.35
201312,0.96,-4.23
201401,1.43,-4.94
201402,3.90,-1.89
201403,3.06,-2.26
201404,2.01,-0.72
201405,0.39,-0.92
201406,0.05,-0.35
201407,0.31,0.22
201408,0.08,-0.01
201409,0.68,0.16
201410,0.12,-1.44
201411,2.16,-1.27
201412,5.25,0.06
201501,0.13,-6.24
201502,2.46,-3.33
201503,0.38,-4.94
201504,2.11,-0.62
201505,1.26,-0.05
201506,0.23,-0.17
201507,0.66,0.57
201508,0.02,-0.07
201509,0.13,-0.39
201510,1.72,0.16
201511,4.23,0.80
201512,6.67,1.48
201601,8.08,1.71
201602,1.39,-4.40
201603,7.28,1.96
201604,3.31,0.58
201605,0.80,-0.51
201606,0.18,-0.22
201607,0.01,-0.08
201608,0.00,-0.09
201609,0.05,-0.47
201610,4.50,2.94
201611,2.28,-1.15
201612,6.82,1.63
201701,14.89,8.52
201702,11.57,5.78
201703,4.14,-1.18
201704,4.76,2.03
201705,0.45,-0.86
201706,0.29,-0.11
201707,0.00,-0.09
201708,0.50,0.41
201709,0.91,0.39
201710,0.40,-1.16
201711,3.79,0.36
201712,0.29,-4.90
201801,3.75,-2.62
201802,0.91,-4.88
201803,11.99,6.67
201804,3.40,0.67
201805,0.55,-0.76
201806,0.00,-0.40
201807,0.06,-0.03
201808,0.01,-0.08
201809,0.08,-0.44
201810,0.87,-0.69
201811,6.12,2.69
201812,2.43,-2.76
201901,6.52,0.15
201902,11.35,5.56
201903,6.03,0.71
201904,1.18,-1.55
201905,4.72,3.41
201906,0.17,-0.23
201907,0.05,-0.04
201908,0.00,-0.09
201909,0.23,-0.29
201910,0.02,-1.54
201911,1.69,-1.74
201912,6.10,0.91
202001,1.36,-5.01
202002,0.10,-5.69
202003,4.52,-0.80
202004,3.45,0.72
202005,1.83,0.52
202006,0.10,-0.30
202007,0.02,-0.07
202008,0.04,-0.05
202009,0.04,-0.48
202010,0.00,-1.56
202011,1.60,-1.83
202012,2.72,-2.47
202101,5.03,-1.34
202102,1.43,-4.36
202103,2.29,-3.03
202104,0.55,-2.18
202105,0.18,-1.13
202106,0.19,-0.21
202107,0.20,0.11
202108,0.24,0.15
202109,0.02,-0.50
202110,4.88,3.32
202111,0.83,-2.60
202112,10.64,5.45
202201,0.03,-6.34
202202,0.27,-5.52
202203,1.60,-3.72
202204,2.86,0.13
202205,0.05,-1.26
202206,0.08,-0.32
202207,0.02,-0.07
202208,0.23,0.14
202209,1.12,0.60
202210,0.08,-1.48
202211,3.02,-0.41
202212,12.14,6.95
202301,14.56,8.19
202302,6.46,0.67
202303,12.61,7.29
