Mariposa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.04,-0.05
191709,0.01,-0.51
191710,0.00,-1.56
191711,1.11,-2.32
191712,1.28,-3.91
191801,0.85,-5.52
191802,10.53,4.74
191803,11.19,5.87
191804,0.34,-2.39
191805,0.93,-0.38
191806,0.06,-0.34
191807,0.09,0.00
191808,0.12,0.03
191809,1.64,1.12
191810,1.05,-0.51
191811,4.63,1.20
191812,2.52,-2.67
191901,1.57,-4.80
191902,8.40,2.61
191903,4.80,-0.52
191904,0.19,-2.54
191905,0.39,-0.92
191906,0.00,-0.40
191907,0.01,-0.08
191908,0.00,-0.09
191909,1.78,1.26
191910,0.56,-1.00
191911,0.32,-3.11
191912,5.24,0.05
192001,1.78,-4.59
192002,3.65,-2.14
192003,9.18,3.86
192004,3.87,1.14
192005,0.07,-1.24
192006,0.68,0.28
192007,0.01,-0.08
192008,0.48,0.39
192009,0.07,-0.45
192010,4.65,3.09
192011,3.77,0.34
192012,6.25,1.06
192101,8.96,2.59
192102,3.21,-2.58
192103,3.38,-1.94
192104,0.58,-2.15
192105,2.71,1.40
192106,0.10,-0.30
192107,0.00,-0.09
192108,0.00,-0.09
192109,0.60,0.08
192110,0.36,-1.20
192111,0.56,-2.87
192112,12.72,7.53
192201,5.85,-0.52
192202,9.71,3.92
192203,6.10,0.78
192204,0.70,-2.03
192205,2.26,0.95
192206,0.46,0.06
192207,0.15,0.06
192208,0.10,0.01
192209,0.00,-0.52
192210,1.22,-0.34
192211,5.49,2.06
192212,9.06,3.87
192301,6.44,0.07
192302,1.18,-4.61
192303,0.43,-4.89
192304,7.25,4.52
192305,1.01,-0.30
192306,0.51,0.11
192307,0.01,-0.08
192308,0.01,-0.08
192309,2.31,1.79
192310,0.86,-0.70
192311,0.51,-2.92
192312,1.60,-3.59
192401,3.06,-3.31
192402,1.11,-4.68
192403,4.31,-1.01
192404,1.00,-1.73
192405,0.24,-1.07
192406,0.00,-0.40
192407,0.00,-0.09
192408,0.00,-0.09
192409,0.00,-0.52
192410,4.11,2.55
192411,3.51,0.08
192412,5.49,0.30
192501,1.99,-4.38
192502,8.72,2.93
192503,4.79,-0.53
192504,4.16,1.43
192505,1.85,0.54
192506,0.64,0.24
192507,0.17,0.08
192508,0.17,0.08
192509,0.20,-0.32
192510,2.00,0.44
192511,1.54,-1.89
192512,2.42,-2.77
192601,3.94,-2.43
192602,8.32,2.53
192603,0.81,-4.51
192604,6.35,3.62
192605,0.60,-0.71
192606,0.24,-0.16
192607,0.10,0.01
192608,0.00,-0.09
192609,0.00,-0.52
192610,0.38,-1.18
192611,10.01,6.58
192612,2.30,-2.89
192701,4.37,-2.00
192702,9.79,4.00
192703,2.99,-2.33
192704,3.98,1.25
192705,0.80,-0.51
192706,0.49,0.09
192707,0.04,-0.05
192708,0.14,0.05
192709,0.18,-0.34
192710,4.85,3.29
192711,3.97,0.54
192712,4.01,-1.18
192801,2.14,-4.23
192802,3.49,-2.30
192803,8.97,3.65
192804,2.37,-0.36
192805,0.63,-0.68
192806,0.16,-0.24
192807,0.01,-0.08
192808,0.00,-0.09
192809,0.00,-0.52
192810,0.18,-1.38
192811,3.62,0.19
192812,3.60,-1.59
192901,2.75,-3.62
192902,3.00,-2.79
192903,4.99,-0.33
192904,3.78,1.05
192905,0.29,-1.02
192906,2.16,1.76
192907,0.03,-0.06
192908,0.01,-0.08
192909,0.21,-0.31
192910,0.04,-1.52
192911,0.00,-3.43
192912,2.77,-2.42
193001,7.38,1.01
193002,4.91,-0.88
193003,4.24,-1.08
193004,2.77,0.04
193005,1.83,0.52
193006,0.11,-0.29
193007,0.00,-0.09
193008,0.04,-0.05
193009,1.06,0.54
193010,0.51,-1.05
193011,4.07,0.64
193012,0.19,-5.00
193101,4.82,-1.55
193102,3.16,-2.63
193103,1.82,-3.50
193104,1.91,-0.82
193105,1.88,0.57
193106,0.57,0.17
193107,0.00,-0.09
193108,0.13,0.04
193109,0.33,-0.19
193110,0.46,-1.10
193111,4.55,1.12
193112,13.88,8.69
193201,5.95,-0.42
193202,7.45,1.66
193203,1.07,-4.25
193204,1.30,-1.43
193205,1.66,0.35
193206,0.20,-0.20
193207,0.08,-0.01
193208,0.03,-0.06
193209,0.15,-0.37
193210,0.06,-1.50
193211,0.81,-2.62
193212,3.13,-2.06
193301,9.65,3.28
193302,1.26,-4.53
193303,4.15,-1.17
193304,0.61,-2.12
193305,2.69,1.38
193306,0.43,0.03
193307,0.01,-0.08
193308,0.01,-0.08
193309,0.02,-0.50
193310,1.55,-0.01
193311,0.07,-3.36
193312,7.52,2.33
193401,2.98,-3.39
193402,6.08,0.29
193403,0.55,-4.77
193404,0.13,-2.60
193405,1.00,-0.31
193406,0.87,0.47
193407,0.00,-0.09
193408,0.07,-0.02
193409,0.81,0.29
193410,2.63,1.07
193411,5.19,1.76
193412,4.40,-0.79
193501,9.17,2.80
193502,2.77,-3.02
193503,5.97,0.65
193504,9.55,6.82
193505,0.38,-0.93
193506,0.00,-0.40
193507,0.08,-0.01
193508,0.18,0.09
193509,0.02,-0.50
193510,2.40,0.84
193511,1.66,-1.77
193512,2.86,-2.33
193601,7.09,0.72
193602,19.01,13.22
193603,2.71,-2.61
193604,2.17,-0.56
193605,0.45,-0.86
193606,0.88,0.48
193607,0.27,0.18
193608,0.04,-0.05
193609,0.17,-0.35
193610,2.10,0.54
193611,0.03,-3.40
193612,9.37,4.18
193701,5.45,-0.92
193702,12.14,6.35
193703,6.15,0.83
193704,1.83,-0.90
193705,0.04,-1.27
193706,0.11,-0.29
193707,0.10,0.01
193708,0.00,-0.09
193709,0.00,-0.52
193710,0.45,-1.11
193711,2.19,-1.24
193712,10.07,4.88
193801,6.35,-0.02
193802,14.46,8.67
193803,13.05,7.73
193804,3.66,0.93
193805,0.80,-0.51
193806,0.37,-0.03
193807,0.25,0.16
193808,0.01,-0.08
193809,0.67,0.15
193810,3.39,1.83
193811,1.40,-2.03
193812,1.82,-3.37
193901,4.48,-1.89
193902,4.39,-1.40
193903,4.33,-0.99
193904,0.66,-2.07
193905,1.14,-0.17
193906,0.16,-0.24
193907,0.03,-0.06
193908,0.04,-0.05
193909,2.16,1.64
193910,2.85,1.29
193911,0.45,-2.98
193912,1.28,-3.91
194001,16.13,9.76
194002,10.42,4.63
194003,5.61,0.29
194004,1.18,-1.55
194005,0.11,-1.20
194006,0.10,-0.30
194007,0.00,-0.09
194008,0.00,-0.09
194009,0.07,-0.45
194010,1.89,0.33
194011,0.59,-2.84
194012,14.11,8.92
194101,6.54,0.17
194102,11.48,5.69
194103,4.70,-0.62
194104,5.40,2.67
194105,0.83,-0.48
194106,0.09,-0.31
194107,0.01,-0.08
194108,0.20,0.11
194109,0.02,-0.50
194110,1.81,0.25
194111,2.21,-1.22
194112,14.24,9.05
194201,5.38,-0.99
194202,4.57,-1.22
194203,3.06,-2.26
194204,5.72,2.99
194205,3.18,1.87
194206,0.00,-0.40
194207,0.00,-0.09
194208,0.02,-0.07
194209,0.10,-0.42
194210,0.40,-1.16
194211,7.51,4.08
194212,4.18,-1.01
194301,10.96,4.59
194302,3.87,-1.92
194303,10.14,4.82
194304,2.11,-0.62
194305,0.43,-0.88
194306,0.45,0.05
194307,0.02,-0.07
194308,0.00,-0.09
194309,0.07,-0.45
194310,1.43,-0.13
194311,1.41,-2.02
194312,3.23,-1.96
194401,5.06,-1.31
194402,8.06,2.27
194403,2.97,-2.35
194404,3.38,0.65
194405,0.91,-0.40
194406,0.51,0.11
194407,0.00,-0.09
194408,0.00,-0.09
194409,0.10,-0.42
194410,1.99,0.43
194411,8.13,4.70
194412,3.92,-1.27
