Colusa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.01,-0.03
191709,0.32,0.05
191710,0.00,-1.11
191711,0.66,-1.88
191712,1.36,-2.80
191801,0.71,-3.75
191802,4.51,0.43
191803,3.39,0.35
191804,0.46,-0.86
191805,0.13,-0.54
191806,0.03,-0.26
191807,0.00,-0.01
191808,0.00,-0.04
191809,1.47,1.20
191810,0.36,-0.75
191811,2.98,0.44
191812,2.39,-1.77
191901,2.47,-1.99
191902,5.28,1.20
191903,1.96,-1.08
191904,0.25,-1.07
191905,0.07,-0.60
191906,0.00,-0.29
191907,0.00,-0.01
191908,0.00,-0.04
191909,0.79,0.52
191910,0.28,-0.83
191911,0.34,-2.20
191912,4.08,-0.08
192001,0.31,-4.15
192002,1.35,-2.73
192003,3.45,0.41
192004,1.44,0.12
192005,0.01,-0.66
192006,0.27,-0.02
192007,0.05,0.04
192008,0.06,0.02
192009,0.05,-0.22
192010,1.72,0.61
192011,6.48,3.94
192012,7.36,3.20
192101,6.98,2.52
192102,1.25,-2.83
192103,1.54,-1.50
192104,0.42,-0.90
192105,0.73,0.06
192106,0.02,-0.27
192107,0.00,-0.01
192108,0.00,-0.04
192109,0.03,-0.24
192110,0.58,-0.53
192111,1.28,-1.26
192112,6.83,2.67
192201,1.40,-3.06
192202,6.64,2.56
192203,2.13,-0.91
192204,0.42,-0.90
192205,0.70,0.03
192206,0.20,-0.09
192207,0.00,-0.01
192208,0.00,-0.04
192209,0.00,-0.27
192210,2.38,1.27
192211,4.62,2.08
192212,8.84,4.68
192301,2.20,-2.26
192302,0.72,-3.36
192303,0.11,-2.93
192304,3.53,2.21
192305,0.25,-0.42
192306,0.33,0.04
192307,0.00,-0.01
192308,0.03,-0.01
192309,1.35,1.08
192310,0.39,-0.72
192311,0.67,-1.87
192312,1.20,-2.96
192401,3.44,-1.02
192402,3.04,-1.04
192403,1.29,-1.75
192404,0.26,-1.06
192405,0.09,-0.58
192406,0.00,-0.29
192407,0.00,-0.01
192408,0.00,-0.04
192409,0.00,-0.27
192410,3.78,2.67
192411,1.30,-1.24
192412,6.61,2.45
192501,1.31,-3.15
192502,7.25,3.17
192503,2.69,-0.35
192504,1.95,0.63
192505,3.20,2.53
192506,0.50,0.21
192507,0.00,-0.01
192508,0.06,0.02
192509,0.87,0.60
192510,0.14,-0.97
192511,1.68,-0.86
192512,1.66,-2.50
192601,5.65,1.19
192602,5.95,1.87
192603,0.10,-2.94
192604,5.76,4.44
192605,0.38,-0.29
192606,0.00,-0.29
192607,0.00,-0.01
192608,0.09,0.05
192609,0.00,-0.27
192610,1.65,0.54
192611,6.87,4.33
192612,3.13,-1.03
192701,3.53,-0.93
192702,7.25,3.17
192703,1.61,-1.43
192704,1.48,0.16
192705,0.49,-0.18
192706,0.53,0.24
192707,0.01,0.00
192708,0.01,-0.03
192709,0.00,-0.27
192710,1.63,0.52
192711,3.81,1.27
192712,4.58,0.42
192801,2.38,-2.08
192802,3.25,-0.83
192803,4.32,1.28
192804,1.15,-0.17
192805,0.12,-0.55
192806,0.05,-0.24
192807,0.00,-0.01
192808,0.00,-0.04
192809,0.00,-0.27
192810,0.26,-0.85
192811,3.78,1.24
192812,4.02,-0.14
192901,0.72,-3.74
192902,2.55,-1.53
192903,1.53,-1.51
192904,0.63,-0.69
192905,0.00,-0.67
192906,1.21,0.92
192907,0.00,-0.01
192908,0.00,-0.04
192909,0.00,-0.27
192910,0.11,-1.00
192911,0.00,-2.54
192912,7.23,3.07
193001,4.57,0.11
193002,3.58,-0.50
193003,4.09,1.05
193004,1.29,-0.03
193005,0.72,0.05
193006,0.00,-0.29
193007,0.00,-0.01
193008,0.00,-0.04
193009,0.39,0.12
193010,0.57,-0.54
193011,1.24,-1.30
193012,0.70,-3.46
193101,4.71,0.25
193102,1.40,-2.68
193103,1.00,-2.04
193104,0.59,-0.73
193105,1.73,1.06
193106,0.76,0.47
193107,0.00,-0.01
193108,0.00,-0.04
193109,0.07,-0.20
193110,0.51,-0.60
193111,1.43,-1.11
193112,10.42,6.26
193201,2.20,-2.26
193202,1.60,-2.48
193203,0.86,-2.18
193204,0.83,-0.49
193205,1.62,0.95
193206,0.13,-0.16
193207,0.00,-0.01
193208,0.00,-0.04
193209,0.00,-0.27
193210,0.01,-1.10
193211,0.69,-1.85
193212,3.38,-0.78
193301,4.48,0.02
193302,0.70,-3.38
193303,2.26,-0.78
193304,0.08,-1.24
193305,0.96,0.29
193306,0.00,-0.29
193307,0.00,-0.01
193308,0.00,-0.04
193309,0.03,-0.24
193310,1.41,0.30
193311,0.00,-2.54
193312,8.02,3.86
193401,1.41,-3.05
193402,4.33,0.25
193403,0.85,-2.19
193404,0.72,-0.60
193405,0.69,0.02
193406,0.70,0.41
193407,0.00,-0.01
193408,0.00,-0.04
193409,0.03,-0.24
193410,1.56,0.45
193411,3.91,1.37
193412,2.54,-1.62
193501,6.45,1.99
193502,2.33,-1.75
193503,4.18,1.14
193504,3.34,2.02
193505,0.06,-0.61
193506,0.00,-0.29
193507,0.01,0.00
193508,0.01,-0.03
193509,0.13,-0.14
193510,1.09,-0.02
193511,1.48,-1.06
193512,2.70,-1.46
193601,4.66,0.20
193602,8.14,4.06
193603,1.43,-1.61
193604,1.52,0.20
193605,0.83,0.16
193606,1.18,0.89
193607,0.03,0.02
193608,0.00,-0.04
193609,0.23,-0.04
193610,0.27,-0.84
193611,0.01,-2.53
193612,2.48,-1.68
193701,3.42,-1.04
193702,7.93,3.85
193703,5.77,2.73
193704,0.58,-0.74
193705,0.01,-0.66
193706,1.10,0.81
193707,0.04,0.03
193708,0.00,-0.04
193709,0.00,-0.27
193710,1.13,0.02
193711,4.89,2.35
193712,5.80,1.64
193801,4.17,-0.29
193802,9.79,5.71
193803,6.19,3.15
193804,1.59,0.27
193805,0.22,-0.45
193806,0.00,-0.29
193807,0.00,-0.01
193808,0.00,-0.04
193809,0.41,0.14
193810,1.52,0.41
193811,1.30,-1.24
193812,1.28,-2.88
193901,1.87,-2.59
193902,0.78,-3.30
193903,1.86,-1.18
193904,0.06,-1.26
193905,0.68,0.01
193906,0.01,-0.28
193907,0.00,-0.01
193908,0.00,-0.04
193909,0.52,0.25
193910,0.89,-0.22
193911,0.22,-2.32
193912,2.79,-1.37
194001,8.74,4.28
194002,9.56,5.48
194003,3.97,0.93
194004,1.14,-0.18
194005,1.30,0.63
194006,0.08,-0.21
194007,0.00,-0.01
194008,0.00,-0.04
194009,0.20,-0.07
194010,1.79,0.68
194011,1.61,-0.93
