Colusa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199303,1.62,-1.42
199304,0.97,-0.35
199305,1.81,1.14
199306,1.05,0.76
199307,0.00,-0.01
199308,0.01,-0.03
199309,0.00,-0.27
199310,0.91,-0.20
199311,2.15,-0.39
199312,2.65,-1.51
199401,2.54,-1.92
199402,4.43,0.35
199403,0.36,-2.68
199404,1.36,0.04
199405,1.30,0.63
199406,0.01,-0.28
199407,0.00,-0.01
199408,0.00,-0.04
199409,0.02,-0.25
199410,0.99,-0.12
199411,4.12,1.58
199412,3.58,-0.58
199501,18.22,13.76
199502,0.53,-3.55
199503,11.60,8.56
199504,1.28,-0.04
199505,1.91,1.24
199506,0.77,0.48
199507,0.06,0.05
199508,0.00,-0.04
199509,0.00,-0.27
199510,0.00,-1.11
199511,0.04,-2.50
199512,7.67,3.51
199601,5.89,1.43
199602,7.44,3.36
199603,2.76,-0.28
199604,2.00,0.68
199605,2.29,1.62
199606,0.26,-0.03
199607,0.00,-0.01
199608,0.00,-0.04
199609,0.04,-0.23
199610,1.60,0.49
199611,2.52,-0.02
199612,8.43,4.27
199701,8.88,4.42
199702,0.29,-3.79
199703,1.54,-1.50
199704,0.43,-0.89
199705,0.45,-0.22
199706,0.40,0.11
199707,0.01,0.00
199708,0.35,0.31
199709,0.17,-0.10
199710,0.83,-0.28
199711,6.42,3.88
199712,3.22,-0.94
199801,8.04,3.58
199802,17.96,13.88
199803,3.41,0.37
199804,2.48,1.16
199805,4.36,3.69
199806,0.52,0.23
199807,0.00,-0.01
199808,0.00,-0.04
199809,0.26,-0.01
199810,1.08,-0.03
199811,3.96,1.42
199812,1.11,-3.05
199901,1.76,-2.70
199902,5.53,1.45
199903,3.21,0.17
199904,1.46,0.14
199905,0.10,-0.57
199906,0.35,0.06
199907,0.00,-0.01
199908,0.10,0.06
199909,0.01,-0.26
199910,0.41,-0.70
199911,2.83,0.29
199912,0.30,-3.86
200001,5.36,0.90
200002,7.31,3.23
200003,2.32,-0.72
200004,1.87,0.55
200005,1.81,1.14
200006,0.68,0.39
200007,0.00,-0.01
200008,0.00,-0.04
200009,0.29,0.02
200010,2.66,1.55
200011,0.95,-1.59
200012,0.60,-3.56
200101,4.89,0.43
200102,5.30,1.22
200103,3.02,-0.02
200104,1.05,-0.27
200105,0.00,-0.67
200106,0.23,-0.06
200107,0.00,-0.01
200108,0.00,-0.04
200109,0.42,0.15
200110,1.12,0.01
200111,6.69,4.15
200112,8.04,3.88
200201,3.62,-0.84
200202,0.85,-3.23
200203,1.58,-1.46
200204,0.21,-1.11
200205,0.95,0.28
200206,0.00,-0.29
200207,0.00,-0.01
200208,0.00,-0.04
200209,0.00,-0.27
200210,0.00,-1.11
200211,2.76,0.22
200212,11.39,7.23
200301,3.29,-1.17
200302,2.21,-1.87
200303,2.50,-0.54
200304,3.79,2.47
200305,1.37,0.70
200306,0.00,-0.29
200307,0.01,0.00
200308,0.31,0.27
200309,0.02,-0.25
200310,0.12,-0.99
200311,2.93,0.39
200312,10.32,6.16
200401,3.30,-1.16
200402,7.79,3.71
200403,1.30,-1.74
200404,0.28,-1.04
200405,0.10,-0.57
200406,0.03,-0.26
200407,0.00,-0.01
200408,0.00,-0.04
200409,0.07,-0.20
200410,3.87,2.76
200411,2.21,-0.33
200412,8.17,4.01
200501,5.51,1.05
200502,4.19,0.11
200503,3.93,0.89
200504,1.27,-0.05
200505,2.54,1.87
200506,1.07,0.78
200507,0.00,-0.01
200508,0.00,-0.04
200509,0.01,-0.26
200510,0.64,-0.47
200511,3.03,0.49
200512,11.14,6.98
200601,3.09,-1.37
200602,3.23,-0.85
200603,7.41,4.37
200604,5.39,4.07
200605,0.81,0.14
200606,0.06,-0.23
200607,0.00,-0.01
200608,0.00,-0.04
200609,0.00,-0.27
200610,0.19,-0.92
200611,1.94,-0.60
200612,3.85,-0.31
200701,0.51,-3.95
200702,5.00,0.92
200703,0.60,-2.44
200704,1.39,0.07
200705,0.37,-0.30
200706,0.05,-0.24
200707,0.11,0.10
200708,0.00,-0.04
200709,0.22,-0.05
200710,1.86,0.75
200711,0.78,-1.76
200712,3.47,-0.69
200801,10.17,5.71
200802,3.55,-0.53
200803,0.34,-2.70
200804,0.25,-1.07
200805,0.12,-0.55
200806,0.01,-0.28
200807,0.00,-0.01
200808,0.01,-0.03
200809,0.01,-0.26
200810,0.92,-0.19
200811,2.84,0.30
200812,2.31,-1.85
200901,0.93,-3.53
200902,6.34,2.26
200903,2.37,-0.67
200904,0.42,-0.90
200905,0.91,0.24
200906,0.41,0.12
200907,0.00,-0.01
200908,0.01,-0.03
200909,0.11,-0.16
200910,2.38,1.27
200911,0.85,-1.69
200912,3.79,-0.37
201001,9.80,5.34
201002,4.73,0.65
201003,2.00,-1.04
201004,4.24,2.92
201005,1.21,0.54
201006,0.04,-0.25
201007,0.00,-0.01
201008,0.00,-0.04
201009,0.25,-0.02
201010,2.77,1.66
201011,3.51,0.97
201012,7.06,2.90
201101,2.14,-2.32
201102,5.62,1.54
201103,6.96,3.92
201104,0.84,-0.48
201105,1.63,0.96
201106,1.52,1.23
201107,0.00,-0.01
201108,0.00,-0.04
201109,0.04,-0.23
201110,1.62,0.51
201111,1.81,-0.73
201112,0.17,-3.99
201201,4.66,0.20
201202,1.56,-2.52
201203,5.04,2.00
201204,2.70,1.38
201205,0.02,-0.65
201206,0.11,-0.18
201207,0.00,-0.01
201208,0.00,-0.04
201209,0.00,-0.27
201210,1.47,0.36
201211,6.01,3.47
201212,8.38,4.22
201301,1.54,-2.92
201302,0.82,-3.26
201303,1.51,-1.53
201304,0.82,-0.50
201305,0.52,-0.15
201306,0.45,0.16
201307,0.01,0.00
201308,0.00,-0.04
201309,1.04,0.77
201310,0.01,-1.10
201311,1.09,-1.45
201312,0.41,-3.75
201401,0.59,-3.87
201402,6.19,2.11
201403,3.51,0.47
201404,1.34,0.02
201405,0.15,-0.52
201406,0.01,-0.28
201407,0.00,-0.01
201408,0.08,0.04
201409,0.82,0.55
201410,0.68,-0.43
201411,3.00,0.46
201412,12.30,8.14
201501,0.18,-4.28
201502,3.66,-0.42
201503,0.54,-2.50
201504,1.78,0.46
201505,0.08,-0.59
201506,0.02,-0.27
201507,0.12,0.11
201508,0.06,0.02
201509,0.10,-0.17
201510,0.07,-1.04
201511,2.16,-0.38
201512,3.15,-1.01
201601,6.50,2.04
201602,0.83,-3.25
201603,6.61,3.57
201604,0.79,-0.53
201605,0.80,0.13
201606,0.13,-0.16
201607,0.00,-0.01
201608,0.00,-0.04
201609,0.00,-0.27
201610,2.73,1.62
201611,3.12,0.58
201612,3.98,-0.18
201701,10.07,5.61
201702,8.79,4.71
201703,2.32,-0.72
201704,2.48,1.16
201705,0.07,-0.60
201706,0.63,0.34
201707,0.00,-0.01
201708,0.00,-0.04
201709,0.03,-0.24
201710,0.24,-0.87
201711,2.77,0.23
201712,0.04,-4.12
201801,3.94,-0.52
201802,0.19,-3.89
201803,3.72,0.68
201804,2.82,1.50
201805,0.16,-0.51
201806,0.00,-0.29
201807,0.00,-0.01
201808,0.00,-0.04
201809,0.02,-0.25
201810,0.68,-0.43
201811,3.61,1.07
201812,2.94,-1.22
201901,6.09,1.63
201902,11.10,7.02
201903,4.62,1.58
201904,0.43,-0.89
201905,2.57,1.90
201906,0.00,-0.29
201907,0.00,-0.01
201908,0.03,-0.01
201909,0.18,-0.09
201910,0.01,-1.10
201911,0.82,-1.72
201912,7.04,2.88
202001,1.60,-2.86
202002,0.00,-4.08
202003,0.88,-2.16
202004,0.77,-0.55
202005,1.16,0.49
202006,0.02,-0.27
202007,0.00,-0.01
202008,0.05,0.01
202009,0.00,-0.27
202010,0.00,-1.11
202011,0.60,-1.94
202012,1.80,-2.36
202101,2.93,-1.53
202102,0.95,-3.13
202103,1.52,-1.52
202104,0.15,-1.17
202105,0.00,-0.67
202106,0.01,-0.28
202107,0.00,-0.01
202108,0.00,-0.04
202109,0.06,-0.21
202110,5.59,4.48
202111,1.46,-1.08
202112,5.88,1.72
202201,0.23,-4.23
202202,0.01,-4.07
202203,0.92,-2.12
202204,0.57,-0.75
202205,0.11,-0.56
202206,0.40,0.11
202207,0.01,0.00
202208,0.01,-0.03
202209,1.18,0.91
202210,0.00,-1.11
202211,1.83,-0.71
202212,6.21,2.05
202301,9.69,5.23
202302,2.70,-1.38
202303,7.97,4.93
