Shasta County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199405,2.83,0.80
199406,0.46,-0.53
199407,0.00,-0.16
199408,0.00,-0.25
199409,0.39,-0.48
199410,0.16,-2.34
199411,6.12,0.76
199412,5.66,-1.01
199501,23.31,15.69
199502,2.12,-4.63
199503,17.37,11.85
199504,6.58,3.37
199505,2.50,0.47
199506,3.01,2.02
199507,0.13,-0.03
199508,0.00,-0.25
199509,0.01,-0.86
199510,0.09,-2.41
199511,0.65,-4.71
199512,12.87,6.20
199601,9.42,1.80
199602,10.90,4.15
199603,3.57,-1.95
199604,4.60,1.39
199605,6.08,4.05
199606,0.33,-0.66
199607,0.30,0.14
199608,0.02,-0.23
199609,0.82,-0.05
199610,2.04,-0.46
199611,6.08,0.72
199612,18.23,11.56
199701,12.04,4.42
199702,1.09,-5.66
199703,2.74,-2.78
199704,2.81,-0.40
199705,0.83,-1.20
199706,2.17,1.18
199707,0.21,0.05
199708,0.97,0.72
199709,1.54,0.67
199710,3.21,0.71
199711,9.24,3.88
199712,4.02,-2.65
199801,16.18,8.56
199802,18.27,11.52
199803,7.34,1.82
199804,4.15,0.94
199805,8.06,6.03
199806,2.24,1.25
199807,0.22,0.06
199808,0.00,-0.25
199809,0.52,-0.35
199810,1.67,-0.83
199811,12.50,7.14
199812,3.66,-3.01
199901,5.34,-2.28
199902,11.60,4.85
199903,4.89,-0.63
199904,2.14,-1.07
199905,0.55,-1.48
199906,0.69,-0.30
199907,0.00,-0.16
199908,0.32,0.07
199909,0.00,-0.87
199910,2.27,-0.23
199911,6.08,0.72
199912,1.46,-5.21
200001,10.91,3.29
200002,13.00,6.25
200003,4.10,-1.42
200004,4.00,0.79
200005,1.45,-0.58
200006,0.80,-0.19
200007,0.35,0.19
200008,0.04,-0.21
200009,2.08,1.21
200010,4.41,1.91
200011,1.67,-3.69
200012,2.55,-4.12
200101,4.88,-2.74
200102,6.97,0.22
200103,3.47,-2.05
200104,2.80,-0.41
200105,0.23,-1.80
200106,1.26,0.27
200107,0.08,-0.08
200108,0.01,-0.24
200109,1.18,0.31
200110,1.80,-0.70
200111,9.89,4.53
200112,11.50,4.83
200201,4.97,-2.65
200202,3.66,-3.09
200203,3.49,-2.03
200204,2.27,-0.94
200205,1.33,-0.70
200206,0.16,-0.83
200207,0.02,-0.14
200208,0.00,-0.25
200209,0.06,-0.81
200210,0.02,-2.48
200211,4.19,-1.17
200212,19.36,12.69
200301,6.32,-1.30
200302,2.70,-4.05
200303,6.15,0.63
200304,8.23,5.02
200305,1.66,-0.37
200306,0.03,-0.96
200307,0.06,-0.10
200308,1.08,0.83
200309,0.18,-0.69
200310,0.01,-2.49
200311,6.12,0.76
200312,12.95,6.28
200401,4.74,-2.88
200402,12.34,5.59
200403,2.24,-3.28
200404,2.03,-1.18
200405,1.81,-0.22
200406,0.21,-0.78
200407,0.04,-0.12
200408,0.02,-0.23
200409,0.29,-0.58
200410,5.44,2.94
200411,2.06,-3.30
200412,9.05,2.38
200501,5.30,-2.32
200502,3.88,-2.87
200503,6.50,0.98
200504,3.68,0.47
200505,7.16,5.13
200506,1.96,0.97
200507,0.00,-0.16
200508,0.01,-0.24
200509,0.18,-0.69
200510,1.19,-1.31
200511,6.95,1.59
200512,17.14,10.47
200601,9.11,1.49
200602,6.13,-0.62
200603,11.08,5.56
200604,8.49,5.28
200605,1.30,-0.73
200606,0.34,-0.65
200607,0.01,-0.15
200608,0.03,-0.22
200609,0.00,-0.87
200610,0.28,-2.22
200611,5.64,0.28
200612,7.83,1.16
200701,1.04,-6.58
200702,8.88,2.13
200703,1.39,-4.13
200704,2.42,-0.79
200705,0.92,-1.11
200706,0.32,-0.67
200707,0.64,0.48
200708,0.01,-0.24
200709,0.82,-0.05
200710,3.93,1.43
200711,0.98,-4.38
200712,6.13,-0.54
200801,10.98,3.36
200802,4.93,-1.82
200803,1.14,-4.38
200804,0.74,-2.47
200805,0.62,-1.41
200806,0.04,-0.95
200807,0.00,-0.16
200808,0.08,-0.17
200809,0.01,-0.86
200810,2.27,-0.23
200811,4.03,-1.33
200812,4.33,-2.34
200901,1.66,-5.96
200902,10.03,3.28
200903,5.63,0.11
200904,1.40,-1.81
200905,3.40,1.37
200906,2.21,1.22
200907,0.01,-0.15
200908,0.19,-0.06
200909,0.13,-0.74
200910,3.97,1.47
200911,2.08,-3.28
200912,4.80,-1.87
201001,11.81,4.19
201002,6.77,0.02
201003,4.38,-1.14
201004,6.14,2.93
201005,2.44,0.41
201006,0.88,-0.11
201007,0.06,-0.10
201008,0.45,0.20
201009,0.62,-0.25
201010,5.40,2.90
201011,4.62,-0.74
201012,11.26,4.59
201101,1.65,-5.97
201102,5.55,-1.20
201103,12.81,7.29
201104,2.72,-0.49
201105,3.84,1.81
201106,2.21,1.22
201107,0.08,-0.08
201108,0.00,-0.25
201109,0.21,-0.66
201110,2.88,0.38
201111,3.04,-2.32
201112,0.58,-6.09
201201,6.06,-1.56
201202,2.23,-4.52
201203,11.91,6.39
201204,4.44,1.23
201205,0.77,-1.26
201206,1.10,0.11
201207,0.03,-0.13
201208,0.02,-0.23
201209,0.00,-0.87
201210,1.80,-0.70
201211,9.09,3.73
201212,13.31,6.64
201301,1.43,-6.19
201302,0.80,-5.95
201303,3.15,-2.37
201304,1.87,-1.34
201305,1.32,-0.71
201306,1.95,0.96
201307,0.22,0.06
201308,0.16,-0.09
201309,1.47,0.60
201310,0.33,-2.17
201311,1.71,-3.65
201312,0.36,-6.31
201401,0.64,-6.98
201402,8.78,2.03
201403,8.91,3.39
201404,1.46,-1.75
201405,0.46,-1.57
201406,0.10,-0.89
201407,0.10,-0.06
201408,0.33,0.08
201409,1.80,0.93
201410,3.51,1.01
201411,4.24,-1.12
201412,14.19,7.52
201501,0.67,-6.95
201502,6.57,-0.18
201503,1.50,-4.02
201504,1.64,-1.57
201505,1.50,-0.53
201506,0.57,-0.42
201507,0.46,0.30
201508,0.03,-0.22
201509,0.71,-0.16
201510,0.88,-1.62
201511,2.54,-2.82
201512,10.58,3.91
201601,13.62,6.00
201602,2.58,-4.17
201603,11.39,5.87
201604,2.01,-1.20
201605,2.20,0.17
201606,1.67,0.68
201607,0.01,-0.15
201608,0.01,-0.24
201609,0.01,-0.86
201610,9.56,7.06
201611,5.82,0.46
201612,8.33,1.66
201701,14.71,7.09
201702,13.88,7.13
201703,6.09,0.57
201704,6.67,3.46
201705,0.48,-1.55
201706,0.77,-0.22
201707,0.00,-0.16
201708,0.11,-0.14
201709,0.44,-0.43
201710,0.81,-1.69
201711,8.48,3.12
201712,0.51,-6.16
201801,5.62,-2.00
201802,0.41,-6.34
201803,7.90,2.38
201804,5.39,2.18
201805,1.57,-0.46
201806,0.12,-0.87
201807,0.05,-0.11
201808,0.00,-0.25
201809,0.05,-0.82
201810,1.19,-1.31
201811,6.00,0.64
201812,5.83,-0.84
201901,9.06,1.44
201902,14.17,7.42
201903,10.09,4.57
201904,4.10,0.89
201905,5.23,3.20
201906,0.16,-0.83
201907,0.00,-0.16
201908,0.72,0.47
201909,1.27,0.40
201910,0.28,-2.22
201911,1.44,-3.92
201912,8.32,1.65
202001,5.45,-2.17
202002,0.03,-6.72
202003,5.73,0.21
202004,1.48,-1.73
202005,4.16,2.13
202006,0.31,-0.68
202007,0.07,-0.09
202008,0.26,0.01
202009,0.00,-0.87
202010,0.04,-2.46
202011,2.46,-2.90
202012,3.31,-3.36
202101,5.55,-2.07
202102,3.39,-3.36
202103,3.40,-2.12
202104,0.79,-2.42
202105,0.16,-1.87
202106,0.05,-0.94
202107,0.03,-0.13
202108,0.00,-0.25
202109,0.90,0.03
202110,7.99,5.49
202111,3.26,-2.10
202112,7.79,1.12
202201,1.52,-6.10
202202,0.07,-6.68
202203,1.29,-4.23
202204,4.16,0.95
202205,0.43,-1.60
202206,1.14,0.15
202207,0.06,-0.10
202208,0.02,-0.23
202209,1.15,0.28
202210,0.03,-2.47
202211,3.26,-2.10
202212,10.56,3.89
202301,12.13,4.51
202302,3.66,-3.09
202303,13.24,7.72
