Shasta County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.09,-0.16
191709,0.66,-0.21
191710,0.00,-2.50
191711,3.48,-1.88
191712,3.18,-3.49
191801,1.57,-6.05
191802,6.26,-0.49
191803,6.32,0.80
191804,1.65,-1.56
191805,0.63,-1.40
191806,0.14,-0.85
191807,0.02,-0.14
191808,0.32,0.07
191809,3.39,2.52
191810,2.85,0.35
191811,4.11,-1.25
191812,2.56,-4.11
191901,5.04,-2.58
191902,12.28,5.53
191903,5.39,-0.13
191904,2.52,-0.69
191905,0.32,-1.71
191906,0.08,-0.91
191907,0.01,-0.15
191908,0.00,-0.25
191909,1.65,0.78
191910,1.13,-1.37
191911,0.76,-4.60
191912,6.84,0.17
192001,0.52,-7.10
192002,1.28,-5.47
192003,5.79,0.27
192004,5.87,2.66
192005,0.28,-1.75
192006,1.17,0.18
192007,0.11,-0.05
192008,0.38,0.13
192009,0.53,-0.34
192010,2.96,0.46
192011,12.82,7.46
192012,10.98,4.31
192101,10.49,2.87
192102,3.80,-2.95
192103,4.61,-0.91
192104,0.85,-2.36
192105,2.53,0.50
192106,0.39,-0.60
192107,0.00,-0.16
192108,0.00,-0.25
192109,0.17,-0.70
192110,2.09,-0.41
192111,3.46,-1.90
192112,7.16,0.49
192201,1.71,-5.91
192202,9.41,2.66
192203,4.42,-1.10
192204,0.82,-2.39
192205,2.60,0.57
192206,1.10,0.11
192207,0.01,-0.15
192208,0.43,0.18
192209,0.16,-0.71
192210,4.07,1.57
192211,4.22,-1.14
192212,10.44,3.77
192301,4.36,-3.26
192302,1.08,-5.67
192303,0.33,-5.19
192304,6.40,3.19
192305,1.29,-0.74
192306,3.10,2.11
192307,0.10,-0.06
192308,0.30,0.05
192309,2.76,1.89
192310,2.12,-0.38
192311,1.03,-4.33
192312,2.56,-4.11
192401,2.77,-4.85
192402,3.89,-2.86
192403,2.04,-3.48
192404,0.83,-2.38
192405,0.08,-1.95
192406,0.22,-0.77
192407,0.00,-0.16
192408,0.51,0.26
192409,0.27,-0.60
192410,6.54,4.04
192411,4.97,-0.39
192412,5.71,-0.96
192501,3.09,-4.53
192502,14.21,7.46
192503,3.46,-2.06
192504,4.86,1.65
192505,3.15,1.12
192506,1.63,0.64
192507,0.07,-0.09
192508,0.49,0.24
192509,2.38,1.51
192510,0.93,-1.57
192511,4.30,-1.06
192512,2.83,-3.84
192601,6.29,-1.33
192602,8.97,2.22
192603,0.80,-4.72
192604,5.61,2.40
192605,1.63,-0.40
192606,0.00,-0.99
192607,0.05,-0.11
192608,0.33,0.08
192609,0.06,-0.81
192610,3.02,0.52
192611,13.67,8.31
192612,4.05,-2.62
192701,7.20,-0.42
192702,12.39,5.64
192703,4.45,-1.07
192704,4.17,0.96
192705,2.10,0.07
192706,0.94,-0.05
192707,0.02,-0.14
192708,0.04,-0.21
192709,0.19,-0.68
192710,2.12,-0.38
192711,10.54,5.18
192712,4.15,-2.52
192801,3.72,-3.90
192802,3.85,-2.90
192803,9.85,4.33
192804,2.77,-0.44
192805,0.87,-1.16
192806,0.23,-0.76
192807,0.03,-0.13
192808,0.06,-0.19
192809,0.25,-0.62
192810,1.12,-1.38
192811,7.07,1.71
192812,5.72,-0.95
192901,2.04,-5.58
192902,4.14,-2.61
192903,2.64,-2.88
192904,3.92,0.71
192905,0.14,-1.89
192906,2.41,1.42
192907,0.00,-0.16
192908,0.00,-0.25
192909,0.03,-0.84
192910,0.79,-1.71
192911,0.00,-5.36
192912,10.34,3.67
193001,7.44,-0.18
193002,6.76,0.01
193003,3.54,-1.98
193004,3.60,0.39
193005,2.12,0.09
193006,0.11,-0.88
193007,0.03,-0.13
193008,0.00,-0.25
193009,2.08,1.21
193010,0.82,-1.68
193011,2.26,-3.10
193012,1.52,-5.15
193101,6.62,-1.00
193102,3.42,-3.33
193103,2.92,-2.60
193104,0.82,-2.39
193105,1.27,-0.76
193106,1.88,0.89
193107,0.00,-0.16
193108,0.00,-0.25
193109,0.26,-0.61
193110,3.59,1.09
193111,4.20,-1.16
193112,12.22,5.55
193201,3.33,-4.29
193202,1.16,-5.59
193203,2.37,-3.15
193204,3.59,0.38
193205,2.83,0.80
193206,0.25,-0.74
193207,0.11,-0.05
193208,0.01,-0.24
193209,0.00,-0.87
193210,0.47,-2.03
193211,2.52,-2.84
193212,4.41,-2.26
193301,6.84,-0.78
193302,1.29,-5.46
193303,6.55,1.03
193304,1.42,-1.79
193305,2.76,0.73
193306,0.15,-0.84
193307,0.04,-0.12
193308,0.03,-0.22
193309,0.43,-0.44
193310,2.95,0.45
193311,0.01,-5.35
193312,10.58,3.91
193401,3.59,-4.03
193402,5.66,-1.09
193403,2.91,-2.61
193404,2.49,-0.72
193405,2.33,0.30
193406,1.35,0.36
193407,0.03,-0.13
193408,0.06,-0.19
193409,0.42,-0.45
193410,3.21,0.71
193411,8.48,3.12
193412,4.31,-2.36
193501,7.78,0.16
193502,5.37,-1.38
193503,4.52,-1.00
193504,9.45,6.24
193505,1.22,-0.81
193506,0.03,-0.96
193507,0.11,-0.05
193508,0.14,-0.11
193509,0.35,-0.52
193510,2.88,0.38
193511,1.31,-4.05
193512,6.49,-0.18
193601,11.97,4.35
193602,9.21,2.46
193603,1.76,-3.76
193604,2.91,-0.30
193605,1.53,-0.50
193606,1.99,1.00
193607,0.32,0.16
193608,0.06,-0.19
193609,0.49,-0.38
193610,0.11,-2.39
193611,0.00,-5.36
193612,4.71,-1.96
193701,4.49,-3.13
193702,10.08,3.33
193703,8.28,2.76
193704,3.48,0.27
193705,0.50,-1.53
193706,2.57,1.58
193707,0.26,0.10
193708,0.00,-0.25
193709,0.07,-0.80
193710,4.45,1.95
193711,13.08,7.72
193712,9.30,2.63
193801,6.19,-1.43
193802,12.58,5.83
193803,11.59,6.07
193804,3.30,0.09
193805,0.75,-1.28
193806,0.16,-0.83
193807,0.18,0.02
193808,0.00,-0.25
193809,1.07,0.20
193810,4.10,1.60
193811,2.79,-2.57
193812,2.38,-4.29
193901,4.29,-3.33
193902,1.71,-5.04
193903,4.18,-1.34
193904,0.42,-2.79
193905,3.19,1.16
193906,0.26,-0.73
193907,0.32,0.16
193908,0.02,-0.23
193909,1.11,0.24
193910,2.01,-0.49
193911,0.51,-4.85
193912,9.17,2.50
194001,12.01,4.39
194002,14.72,7.97
194003,7.61,2.09
194004,2.50,-0.71
194005,1.93,-0.10
194006,0.40,-0.59
194007,0.00,-0.16
194008,0.01,-0.24
194009,1.28,0.41
194010,4.50,2.00
194011,3.08,-2.28
194012,14.96,8.29
194101,12.77,5.15
194102,12.39,5.64
194103,5.91,0.39
194104,6.11,2.90
194105,4.53,2.50
194106,1.25,0.26
194107,0.15,-0.01
194108,0.36,0.11
194109,0.36,-0.51
194110,1.93,-0.57
194111,3.96,-1.40
194112,14.53,7.86
194201,8.28,0.66
194202,9.09,2.34
194203,1.80,-3.72
194204,7.78,4.57
194205,4.49,2.46
194206,0.33,-0.66
194207,0.01,-0.15
194208,0.14,-0.11
194209,0.16,-0.71
194210,1.01,-1.49
194211,6.34,0.98
194212,6.96,0.29
194301,11.48,3.86
194302,3.86,-2.89
194303,5.45,-0.07
194304,4.59,1.38
194305,0.88,-1.15
194306,2.34,1.35
194307,0.07,-0.09
194308,0.00,-0.25
194309,0.00,-0.87
194310,2.01,-0.49
194311,2.51,-2.85
194312,1.94,-4.73
194401,4.92,-2.70
194402,7.25,0.50
194403,2.23,-3.29
194404,3.55,0.34
194405,1.63,-0.40
194406,2.52,1.53
194407,0.22,0.06
194408,0.11,-0.14
194409,0.09,-0.78
194410,2.48,-0.02
194411,8.41,3.05
194412,5.73,-0.94
194501,2.63,-4.99
194502,7.07,0.32
194503,4.87,-0.65
194504,0.76,-2.45
194505,4.57,2.54
194506,1.03,0.04
194507,0.02,-0.14
194508,0.04,-0.21
194509,0.08,-0.79
194510,6.44,3.94
194511,7.31,1.95
194512,13.86,7.19
194601,3.96,-3.66
194602,3.76,-2.99
194603,2.91,-2.61
194604,0.75,-2.46
194605,1.35,-0.68
194606,0.18,-0.81
194607,0.63,0.47
194608,0.00,-0.25
194609,0.18,-0.69
194610,1.17,-1.33
194611,6.14,0.78
194612,4.18,-2.49
194701,1.42,-6.20
194702,4.70,-2.05
194703,7.05,1.53
194704,1.88,-1.33
194705,1.48,-0.55
194706,3.44,2.45
194707,0.23,0.07
194708,0.39,0.14
194709,0.16,-0.71
194710,8.07,5.57
194711,1.46,-3.90
194712,1.92,-4.75
194801,6.81,-0.81
194802,2.00,-4.75
194803,6.73,1.21
194804,11.10,7.89
194805,2.97,0.94
194806,2.56,1.57
194807,0.43,0.27
194808,0.73,0.48
194809,1.37,0.50
194810,1.67,-0.83
194811,2.98,-2.38
194812,5.06,-1.61
194901,1.13,-6.49
194902,5.01,-1.74
194903,9.98,4.46
194904,0.52,-2.69
194905,2.59,0.56
194906,0.19,-0.80
194907,0.01,-0.15
194908,0.08,-0.17
194909,0.20,-0.67
194910,0.17,-2.33
194911,3.00,-2.36
194912,2.17,-4.50
195001,10.57,2.95
195002,4.85,-1.90
195003,5.21,-0.31
195004,2.12,-1.09
195005,1.40,-0.63
195006,0.75,-0.24
195007,0.00,-0.16
195008,0.03,-0.22
195009,0.97,0.10
195010,9.16,6.66
195011,5.81,0.45
195012,7.68,1.01
195101,8.10,0.48
195102,6.05,-0.70
195103,1.88,-3.64
195104,1.92,-1.29
195105,2.39,0.36
195106,0.05,-0.94
195107,0.00,-0.16
195108,0.29,0.04
195109,0.11,-0.76
195110,3.77,1.27
195111,8.90,3.54
195112,13.14,6.47
195201,10.41,2.79
195202,5.52,-1.23
195203,5.28,-0.24
195204,1.23,-1.98
195205,2.14,0.11
195206,2.50,1.51
195207,0.37,0.21
195208,0.04,-0.21
195209,0.53,-0.34
195210,0.52,-1.98
195211,3.26,-2.10
195212,16.04,9.37
195301,10.84,3.22
195302,0.71,-6.04
195303,4.86,-0.66
195304,3.90,0.69
195305,4.42,2.39
195306,1.84,0.85
195307,0.00,-0.16
195308,0.70,0.45
195309,0.05,-0.82
195310,1.47,-1.03
195311,6.91,1.55
195312,2.16,-4.51
195401,12.71,5.09
195402,5.71,-1.04
195403,6.54,1.02
195404,4.38,1.17
195405,0.06,-1.97
195406,1.81,0.82
195407,0.06,-0.10
195408,1.09,0.84
195409,0.44,-0.43
195410,0.87,-1.63
195411,6.89,1.53
195412,7.58,0.91
195501,3.66,-3.96
195502,1.67,-5.08
195503,1.57,-3.95
195504,5.53,2.32
195505,0.20,-1.83
195506,0.19,-0.80
195507,0.18,0.02
195508,0.00,-0.25
195509,1.14,0.27
195510,0.67,-1.83
195511,7.57,2.21
195512,19.21,12.54
195601,14.49,6.87
195602,8.84,2.09
195603,0.67,-4.85
195604,1.54,-1.67
195605,3.74,1.71
195606,0.70,-0.29
195607,0.34,0.18
195608,0.02,-0.23
195609,0.49,-0.38
195610,4.73,2.23
195611,0.25,-5.11
195612,0.76,-5.91
195701,5.92,-1.70
195702,8.75,2.00
195703,6.14,0.62
195704,3.32,0.11
195705,4.90,2.87
195706,0.41,-0.58
195707,0.01,-0.15
195708,0.00,-0.25
195709,3.71,2.84
195710,5.85,3.35
195711,3.73,-1.63
195712,6.85,0.18
195801,8.71,1.09
195802,16.46,9.71
195803,8.65,3.13
195804,5.52,2.31
195805,2.05,0.02
195806,3.78,2.79
195807,0.82,0.66
195808,0.27,0.02
195809,0.68,-0.19
195810,0.76,-1.74
195811,1.48,-3.88
195812,3.01,-3.66
195901,12.83,5.21
195902,8.46,1.71
195903,2.23,-3.29
195904,0.96,-2.25
195905,0.93,-1.10
195906,0.15,-0.84
195907,0.00,-0.16
195908,0.12,-0.13
195909,2.35,1.48
195910,0.19,-2.31
195911,0.02,-5.34
195912,2.24,-4.43
196001,7.83,0.21
196002,9.50,2.75
196003,6.50,0.98
196004,2.53,-0.68
196005,3.35,1.32
196006,0.13,-0.86
196007,0.08,-0.08
196008,0.00,-0.25
196009,0.18,-0.69
196010,1.10,-1.40
196011,8.64,3.28
196012,6.78,0.11
196101,4.72,-2.90
196102,5.88,-0.87
196103,6.57,1.05
196104,1.86,-1.35
196105,2.52,0.49
196106,0.85,-0.14
196107,0.09,-0.07
196108,0.51,0.26
196109,0.48,-0.39
196110,1.47,-1.03
196111,7.23,1.87
196112,6.17,-0.50
196201,2.59,-5.03
196202,11.02,4.27
196203,5.04,-0.48
196204,1.01,-2.20
196205,1.75,-0.28
196206,0.22,-0.77
196207,0.02,-0.14
196208,0.66,0.41
196209,0.74,-0.13
196210,10.60,8.10
196211,3.52,-1.84
196212,5.60,-1.07
196301,3.79,-3.83
196302,5.36,-1.39
196303,6.36,0.84
196304,9.39,6.18
196305,2.62,0.59
196306,0.66,-0.33
196307,0.02,-0.14
196308,0.03,-0.22
196309,0.30,-0.57
196310,3.17,0.67
196311,9.46,4.10
196312,1.28,-5.39
196401,6.91,-0.71
196402,0.38,-6.37
196403,2.46,-3.06
196404,0.47,-2.74
196405,1.95,-0.08
196406,1.76,0.77
196407,0.09,-0.07
196408,0.03,-0.22
196409,0.42,-0.45
196410,1.76,-0.74
196411,8.58,3.22
196412,16.47,9.80
196501,7.57,-0.05
196502,1.32,-5.43
196503,1.48,-4.04
196504,8.20,4.99
196505,0.39,-1.64
196506,0.71,-0.28
196507,0.10,-0.06
196508,1.31,1.06
196509,0.08,-0.79
196510,0.09,-2.41
196511,11.63,6.27
196512,3.94,-2.73
196601,7.15,-0.47
196602,4.74,-2.01
196603,3.31,-2.21
196604,1.67,-1.54
196605,0.11,-1.92
196606,0.23,-0.76
196607,0.05,-0.11
196608,0.10,-0.15
196609,0.39,-0.48
196610,0.01,-2.49
196611,11.60,6.24
196612,7.61,0.94
196701,11.39,3.77
196702,0.67,-6.08
196703,7.94,2.42
196704,7.57,4.36
196705,1.44,-0.59
196706,1.74,0.75
196707,0.20,0.04
196708,0.11,-0.14
196709,0.10,-0.77
196710,1.59,-0.91
196711,3.31,-2.05
196712,5.71,-0.96
196801,9.62,2.00
196802,7.38,0.63
196803,3.64,-1.88
196804,0.40,-2.81
196805,1.76,-0.27
196806,0.65,-0.34
196807,0.01,-0.15
196808,1.35,1.10
196809,0.17,-0.70
196810,3.29,0.79
196811,4.96,-0.40
196812,11.59,4.92
196901,14.25,6.63
196902,10.88,4.13
196903,2.17,-3.35
196904,3.13,-0.08
196905,0.32,-1.71
196906,1.23,0.24
196907,0.10,-0.06
196908,0.00,-0.25
196909,0.13,-0.74
196910,2.50,0.00
196911,2.54,-2.82
196912,15.44,8.77
197001,21.15,13.53
197002,3.11,-3.64
197003,3.60,-1.92
197004,0.63,-2.58
197005,0.51,-1.52
197006,2.04,1.05
197007,0.00,-0.16
197008,0.00,-0.25
197009,0.07,-0.80
197010,3.04,0.54
197011,14.83,9.47
197012,10.61,3.94
197101,6.03,-1.59
197102,0.55,-6.20
197103,7.73,2.21
197104,1.80,-1.41
