San Luis Obispo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.02,0.00
191709,0.00,-0.18
191710,0.02,-0.64
191711,1.03,-0.50
191712,0.35,-2.49
191801,0.83,-2.88
191802,9.00,5.41
191803,6.39,3.49
191804,0.01,-1.26
191805,0.01,-0.39
191806,0.00,-0.04
191807,0.01,0.00
191808,0.00,-0.02
191809,0.72,0.54
191810,0.48,-0.18
191811,3.11,1.58
191812,2.82,-0.02
191901,0.59,-3.12
191902,3.26,-0.33
191903,2.66,-0.24
191904,0.10,-1.17
191905,0.96,0.56
191906,0.00,-0.04
191907,0.00,-0.01
191908,0.00,-0.02
191909,0.39,0.21
191910,0.13,-0.53
191911,0.25,-1.28
191912,2.28,-0.56
192001,0.83,-2.88
192002,3.14,-0.45
192003,4.46,1.56
192004,0.84,-0.43
192005,0.00,-0.40
192006,0.02,-0.02
192007,0.00,-0.01
192008,0.04,0.02
192009,0.01,-0.17
192010,0.72,0.06
192011,1.48,-0.05
192012,1.98,-0.86
192101,4.08,0.37
192102,1.53,-2.06
192103,2.08,-0.82
192104,0.72,-0.55
192105,1.52,1.12
192106,0.01,-0.03
192107,0.00,-0.01
192108,0.00,-0.02
192109,0.47,0.29
192110,0.49,-0.17
192111,0.15,-1.38
192112,7.93,5.09
192201,5.43,1.72
192202,5.09,1.50
192203,3.39,0.49
192204,0.22,-1.05
192205,0.76,0.36
192206,0.04,0.00
192207,0.02,0.01
192208,0.01,-0.01
192209,0.00,-0.18
192210,0.45,-0.21
192211,3.00,1.47
192212,4.54,1.70
192301,2.36,-1.35
192302,1.02,-2.57
192303,0.16,-2.74
192304,3.37,2.10
192305,0.01,-0.39
192306,0.13,0.09
192307,0.00,-0.01
192308,0.03,0.01
192309,0.22,0.04
192310,0.67,0.01
192311,0.29,-1.24
192312,0.57,-2.27
192401,1.27,-2.44
192402,0.72,-2.87
192403,3.36,0.46
192404,0.79,-0.48
192405,0.08,-0.32
192406,0.00,-0.04
192407,0.00,-0.01
192408,0.00,-0.02
192409,0.01,-0.17
192410,0.89,0.23
192411,0.92,-0.61
192412,1.57,-1.27
192501,0.61,-3.10
192502,2.04,-1.55
192503,2.85,-0.05
192504,2.21,0.94
192505,1.60,1.20
192506,0.10,0.06
192507,0.06,0.05
192508,0.08,0.06
192509,0.03,-0.15
192510,0.51,-0.15
192511,0.56,-0.97
192512,2.35,-0.49
192601,2.08,-1.63
192602,4.89,1.30
192603,0.70,-2.20
192604,4.20,2.93
192605,0.08,-0.32
192606,0.02,-0.02
192607,0.00,-0.01
192608,0.00,-0.02
192609,0.00,-0.18
192610,0.56,-0.10
192611,5.80,4.27
192612,2.03,-0.81
192701,1.91,-1.80
192702,6.23,2.64
192703,2.13,-0.77
192704,1.11,-0.16
192705,0.06,-0.34
192706,0.03,-0.01
192707,0.00,-0.01
192708,0.00,-0.02
192709,0.02,-0.16
192710,2.44,1.78
192711,1.85,0.32
192712,2.40,-0.44
192801,0.45,-3.26
192802,2.83,-0.76
192803,2.78,-0.12
192804,0.49,-0.78
192805,0.77,0.37
192806,0.00,-0.04
192807,0.00,-0.01
