Sonoma County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.00,-0.07
191709,0.46,0.07
191710,0.00,-2.14
191711,1.87,-3.34
191712,4.24,-3.32
191801,2.37,-6.75
191802,8.94,1.32
191803,5.88,0.16
191804,1.34,-1.38
191805,0.06,-1.08
191806,0.09,-0.23
191807,0.01,0.00
191808,0.00,-0.07
191809,1.77,1.38
191810,1.09,-1.05
191811,5.79,0.58
191812,3.35,-4.21
191901,7.05,-2.07
191902,15.60,7.98
191903,5.46,-0.26
191904,0.88,-1.84
191905,0.08,-1.06
191906,0.00,-0.32
191907,0.00,-0.01
191908,0.00,-0.07
191909,0.92,0.53
191910,0.70,-1.44
191911,1.03,-4.18
191912,8.00,0.44
192001,0.56,-8.56
192002,1.80,-5.82
192003,5.42,-0.30
192004,4.49,1.77
192005,0.00,-1.14
192006,0.73,0.41
192007,0.07,0.06
192008,0.14,0.07
192009,0.19,-0.20
192010,4.14,2.00
192011,11.74,6.53
192012,13.62,6.06
192101,13.15,4.03
192102,2.58,-5.04
192103,3.20,-2.52
192104,1.04,-1.68
192105,1.44,0.30
192106,0.01,-0.31
192107,0.00,-0.01
192108,0.01,-0.06
192109,0.25,-0.14
192110,1.31,-0.83
192111,3.42,-1.79
192112,9.60,2.04
192201,2.87,-6.25
192202,8.94,1.32
192203,4.46,-1.26
192204,0.73,-1.99
192205,0.62,-0.52
192206,0.27,-0.05
192207,0.00,-0.01
192208,0.00,-0.07
192209,0.00,-0.39
192210,3.97,1.83
192211,6.07,0.86
192212,13.89,6.33
192301,5.00,-4.12
192302,1.35,-6.27
192303,0.10,-5.62
192304,7.39,4.67
192305,0.23,-0.91
192306,0.39,0.07
192307,0.00,-0.01
192308,0.13,0.06
192309,1.65,1.26
192310,0.87,-1.27
192311,0.96,-4.25
192312,2.36,-5.20
192401,5.23,-3.89
192402,5.66,-1.96
192403,1.32,-4.40
192404,0.62,-2.10
192405,0.19,-0.95
192406,0.00,-0.32
192407,0.00,-0.01
192408,0.05,-0.02
192409,0.01,-0.38
192410,6.45,4.31
192411,3.53,-1.68
192412,9.85,2.29
192501,3.03,-6.09
192502,16.01,8.39
192503,4.25,-1.47
192504,3.63,0.91
192505,6.21,5.07
192506,0.02,-0.30
192507,0.05,0.04
192508,0.09,0.02
192509,1.00,0.61
192510,0.31,-1.83
192511,3.73,-1.48
192512,2.21,-5.35
192601,10.07,0.95
192602,9.74,2.12
192603,0.24,-5.48
192604,8.97,6.25
192605,0.52,-0.62
192606,0.00,-0.32
192607,0.00,-0.01
192608,0.07,0.00
192609,0.01,-0.38
192610,2.07,-0.07
192611,15.84,10.63
192612,4.91,-2.65
192701,8.57,-0.55
192702,13.75,6.13
192703,3.66,-2.06
192704,4.41,1.69
192705,0.61,-0.53
192706,0.60,0.28
192707,0.04,0.03
192708,0.03,-0.04
192709,0.01,-0.38
192710,2.18,0.04
192711,8.04,2.83
192712,5.87,-1.69
192801,4.41,-4.71
192802,5.12,-2.50
192803,8.82,3.10
192804,2.90,0.18
192805,0.24,-0.90
192806,0.00,-0.32
192807,0.01,0.00
192808,0.00,-0.07
192809,0.05,-0.34
192810,0.50,-1.64
192811,6.59,1.38
192812,7.08,-0.48
192901,2.04,-7.08
192902,3.44,-4.18
192903,2.50,-3.22
192904,1.88,-0.84
192905,0.06,-1.08
192906,1.41,1.09
192907,0.00,-0.01
192908,0.00,-0.07
192909,0.00,-0.39
192910,0.07,-2.07
192911,0.00,-5.21
192912,16.01,8.45
193001,7.09,-2.03
193002,5.91,-1.71
193003,4.08,-1.64
193004,2.46,-0.26
193005,0.74,-0.40
193006,0.00,-0.32
193007,0.00,-0.01
193008,0.00,-0.07
193009,0.70,0.31
193010,1.05,-1.09
193011,2.69,-2.52
193012,1.53,-6.03
193101,9.30,0.18
193102,2.07,-5.55
193103,3.11,-2.61
193104,0.61,-2.11
193105,1.37,0.23
193106,1.19,0.87
193107,0.00,-0.01
193108,0.00,-0.07
193109,0.01,-0.38
193110,2.07,-0.07
193111,2.89,-2.32
193112,16.16,8.60
193201,4.47,-4.65
193202,1.88,-5.74
193203,1.49,-4.23
193204,2.21,-0.51
193205,1.98,0.84
193206,0.03,-0.29
193207,0.00,-0.01
193208,0.01,-0.06
193209,0.00,-0.39
193210,0.06,-2.08
193211,2.37,-2.84
193212,5.40,-2.16
193301,9.20,0.08
193302,1.79,-5.83
193303,5.39,-0.33
193304,0.18,-2.54
193305,2.44,1.30
193306,0.00,-0.32
193307,0.01,0.00
193308,0.00,-0.07
193309,0.19,-0.20
193310,2.82,0.68
193311,0.00,-5.21
193312,12.11,4.55
193401,1.94,-7.18
193402,7.50,-0.12
193403,1.43,-4.29
193404,1.14,-1.58
193405,1.64,0.50
193406,0.95,0.63
193407,0.00,-0.01
193408,0.02,-0.05
193409,0.13,-0.26
193410,3.20,1.06
193411,7.45,2.24
193412,4.23,-3.33
193501,10.65,1.53
193502,4.37,-3.25
193503,7.24,1.52
193504,6.59,3.87
193505,0.04,-1.10
193506,0.00,-0.32
193507,0.00,-0.01
193508,0.15,0.08
193509,0.33,-0.06
193510,1.58,-0.56
193511,2.24,-2.97
193512,5.18,-2.38
193601,10.69,1.57
193602,14.15,6.53
193603,2.17,-3.55
193604,2.49,-0.23
193605,1.03,-0.11
193606,1.25,0.93
193607,0.07,0.06
193608,0.04,-0.03
193609,0.01,-0.38
193610,0.34,-1.80
193611,0.03,-5.18
193612,4.26,-3.30
193701,6.25,-2.87
193702,11.36,3.74
193703,8.50,2.78
193704,2.03,-0.69
193705,0.23,-0.91
193706,1.38,1.06
193707,0.05,0.04
193708,0.00,-0.07
193709,0.05,-0.34
193710,1.85,-0.29
193711,9.41,4.20
193712,9.83,2.27
193801,7.84,-1.28
193802,12.92,5.30
193803,11.22,5.50
193804,3.23,0.51
193805,0.12,-1.02
193806,0.00,-0.32
193807,0.02,0.01
193808,0.01,-0.06
193809,0.59,0.20
193810,2.64,0.50
193811,2.71,-2.50
193812,3.67,-3.89
193901,5.34,-3.78
193902,2.69,-4.93
193903,3.50,-2.22
193904,0.26,-2.46
193905,1.57,0.43
193906,0.01,-0.31
193907,0.01,0.00
193908,0.00,-0.07
193909,0.20,-0.19
193910,0.45,-1.69
193911,0.59,-4.62
193912,5.50,-2.06
194001,15.38,6.26
194002,17.31,9.69
194003,8.11,2.39
194004,2.17,-0.55
194005,2.02,0.88
194006,0.14,-0.18
194007,0.02,0.01
194008,0.01,-0.06
194009,0.43,0.04
194010,2.21,0.07
194011,3.41,-1.80
194012,18.71,11.15
194101,14.43,5.31
194102,13.02,5.40
194103,7.89,2.17
194104,7.76,5.04
194105,2.39,1.25
194106,0.64,0.32
194107,0.00,-0.01
194108,0.07,0.00
194109,0.13,-0.26
194110,1.97,-0.17
194111,4.91,-0.30
194112,13.59,6.03
194201,9.10,-0.02
194202,10.00,2.38
194203,4.74,-0.98
194204,7.82,5.10
194205,2.54,1.40
194206,0.00,-0.32
194207,0.01,0.00
194208,0.03,-0.04
194209,0.11,-0.28
194210,1.43,-0.71
194211,7.10,1.89
194212,7.61,0.05
194301,12.57,3.45
194302,3.14,-4.48
194303,5.12,-0.60
194304,3.35,0.63
194305,0.36,-0.78
194306,0.31,-0.01
194307,0.01,0.00
194308,0.01,-0.06
194309,0.01,-0.38
194310,1.35,-0.79
194311,1.86,-3.35
194312,3.48,-4.08
194401,7.88,-1.24
194402,8.32,0.70
194403,3.18,-2.54
194404,3.42,0.70
194405,1.87,0.73
194406,0.71,0.39
194407,0.00,-0.01
194408,0.01,-0.06
194409,0.04,-0.35
194410,3.32,1.18
194411,7.92,2.71
194412,5.42,-2.14
194501,3.48,-5.64
194502,6.89,-0.73
194503,6.69,0.97
194504,0.59,-2.13
194505,1.86,0.72
194506,0.00,-0.32
194507,0.00,-0.01
194508,0.00,-0.07
194509,0.08,-0.31
194510,5.29,3.15
194511,6.87,1.66
194512,16.16,8.60
194601,2.74,-6.38
194602,4.11,-3.51
194603,2.65,-3.07
194604,0.30,-2.42
194605,0.70,-0.44
194606,0.01,-0.31
194607,0.08,0.07
194608,0.00,-0.07
194609,0.13,-0.26
194610,0.32,-1.82
194611,5.92,0.71
194612,4.63,-2.93
194701,1.17,-7.95
194702,4.47,-3.15
194703,7.26,1.54
194704,0.79,-1.93
194705,0.76,-0.38
194706,1.38,1.06
194707,0.00,-0.01
194708,0.00,-0.07
194709,0.00,-0.39
194710,6.48,4.34
194711,1.40,-3.81
194712,2.25,-5.31
194801,4.69,-4.43
194802,2.72,-4.90
194803,6.21,0.49
194804,10.54,7.82
194805,1.44,0.30
194806,0.43,0.11
194807,0.03,0.02
194808,0.03,-0.04
