Trinity County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.11,-0.19
191709,0.72,-0.26
191710,0.00,-3.49
191711,6.55,-1.30
191712,4.67,-5.38
191801,2.62,-8.15
191802,8.98,-0.37
191803,7.00,-0.41
191804,2.30,-1.71
191805,0.49,-1.70
191806,0.13,-0.77
191807,0.01,-0.18
191808,0.47,0.17
191809,2.98,2.00
191810,2.65,-0.84
191811,7.03,-0.82
191812,4.68,-5.37
191901,11.69,0.92
191902,15.35,6.00
191903,6.96,-0.45
191904,3.89,-0.12
191905,0.72,-1.47
191906,0.11,-0.79
191907,0.01,-0.18
191908,0.00,-0.30
191909,1.78,0.80
191910,0.82,-2.67
191911,2.14,-5.71
191912,9.42,-0.63
192001,0.91,-9.86
192002,1.52,-7.83
192003,6.58,-0.83
192004,6.71,2.70
192005,0.44,-1.75
192006,1.39,0.49
192007,0.42,0.23
192008,0.70,0.40
192009,1.21,0.23
192010,4.61,1.12
192011,20.61,12.76
192012,18.09,8.04
192101,12.12,1.35
192102,7.20,-2.15
192103,5.74,-1.67
192104,0.90,-3.11
192105,3.37,1.18
192106,0.16,-0.74
192107,0.00,-0.19
192108,0.02,-0.28
192109,0.43,-0.55
192110,2.80,-0.69
192111,4.95,-2.90
192112,7.62,-2.43
192201,2.11,-8.66
192202,11.77,2.42
192203,6.21,-1.20
192204,1.19,-2.82
192205,1.74,-0.45
192206,0.74,-0.16
192207,0.00,-0.19
192208,0.13,-0.17
192209,0.28,-0.70
192210,6.22,2.73
192211,4.65,-3.20
192212,14.84,4.79
192301,4.33,-6.44
192302,1.64,-7.71
192303,0.34,-7.07
192304,7.73,3.72
192305,0.77,-1.42
192306,2.29,1.39
192307,0.05,-0.14
192308,0.33,0.03
192309,2.66,1.68
192310,3.03,-0.46
192311,2.25,-5.60
192312,4.34,-5.71
192401,3.91,-6.86
192402,4.86,-4.49
192403,2.32,-5.09
192404,0.31,-3.70
192405,0.07,-2.12
192406,0.32,-0.58
192407,0.01,-0.18
192408,1.18,0.88
192409,0.46,-0.52
192410,10.42,6.93
192411,7.88,0.03
192412,8.53,-1.52
192501,3.91,-6.86
192502,20.17,10.82
192503,3.69,-3.72
192504,9.22,5.21
192505,3.55,1.36
192506,1.13,0.23
192507,0.07,-0.12
192508,0.57,0.27
192509,2.69,1.71
192510,0.71,-2.78
192511,6.61,-1.24
192512,4.39,-5.66
192601,8.21,-2.56
192602,12.43,3.08
192603,0.21,-7.20
192604,5.20,1.19
192605,1.70,-0.49
192606,0.00,-0.90
192607,0.12,-0.07
192608,0.50,0.20
192609,0.22,-0.76
192610,4.78,1.29
192611,21.92,14.07
192612,7.11,-2.94
192701,10.10,-0.67
192702,18.39,9.04
192703,5.29,-2.12
192704,4.88,0.87
192705,1.39,-0.80
192706,1.23,0.33
192707,0.05,-0.14
192708,0.02,-0.28
192709,0.13,-0.85
192710,2.59,-0.90
192711,13.97,6.12
192712,5.96,-4.09
192801,6.44,-4.33
192802,4.84,-4.51
192803,11.53,4.12
192804,5.20,1.19
192805,0.37,-1.82
192806,0.28,-0.62
192807,0.02,-0.17
192808,0.02,-0.28
192809,0.33,-0.65
192810,1.65,-1.84
192811,9.29,1.44
192812,8.22,-1.83
192901,3.39,-7.38
192902,3.87,-5.48
192903,2.89,-4.52
192904,4.08,0.07
192905,0.21,-1.98
192906,2.41,1.51
192907,0.00,-0.19
192908,0.00,-0.30
192909,0.00,-0.98
192910,0.54,-2.95
192911,0.00,-7.85
192912,16.17,6.12
193001,8.96,-1.81
193002,8.89,-0.46
193003,3.31,-4.10
193004,4.54,0.53
193005,1.09,-1.10
193006,0.09,-0.81
193007,0.10,-0.09
193008,0.01,-0.29
193009,1.42,0.44
193010,1.09,-2.40
193011,5.06,-2.79
193012,3.32,-6.73
193101,10.40,-0.37
193102,3.33,-6.02
193103,5.49,-1.92
193104,1.50,-2.51
193105,1.34,-0.85
193106,2.62,1.72
193107,0.00,-0.19
193108,0.00,-0.30
193109,0.21,-0.77
193110,4.78,1.29
193111,6.07,-1.78
193112,15.97,5.92
193201,5.07,-5.70
193202,1.70,-7.65
193203,3.84,-3.57
193204,5.05,1.04
193205,3.37,1.18
193206,0.19,-0.71
193207,0.26,0.07
193208,0.00,-0.30
193209,0.00,-0.98
193210,0.67,-2.82
193211,5.78,-2.07
193212,7.12,-2.93
193301,10.22,-0.55
193302,2.94,-6.41
193303,10.89,3.48
193304,0.70,-3.31
193305,5.00,2.81
193306,0.26,-0.64
193307,0.01,-0.18
193308,0.02,-0.28
193309,0.64,-0.34
193310,3.15,-0.34
193311,0.12,-7.73
193312,15.78,5.73
193401,5.64,-5.13
193402,6.05,-3.30
193403,4.62,-2.79
193404,3.17,-0.84
193405,2.32,0.13
193406,0.91,0.01
193407,0.00,-0.19
193408,0.05,-0.25
193409,1.15,0.17
193410,6.54,3.05
193411,11.49,3.64
193412,5.49,-4.56
193501,9.67,-1.10
193502,5.61,-3.74
193503,5.28,-2.13
193504,10.05,6.04
193505,0.32,-1.87
193506,0.01,-0.89
193507,0.41,0.22
193508,0.61,0.31
193509,1.11,0.13
193510,3.76,0.27
193511,3.04,-4.81
193512,8.62,-1.43
193601,19.86,9.09
193602,11.99,2.64
193603,2.12,-5.29
193604,3.68,-0.33
193605,2.38,0.19
193606,2.65,1.75
193607,0.62,0.43
193608,0.01,-0.29
193609,0.09,-0.89
193610,0.16,-3.33
193611,0.03,-7.82
193612,5.59,-4.46
193701,6.04,-4.73
193702,12.70,3.35
193703,10.40,2.99
193704,5.47,1.46
193705,0.92,-1.27
193706,3.00,2.10
193707,0.01,-0.18
193708,0.01,-0.29
193709,0.22,-0.76
193710,4.97,1.48
193711,19.19,11.34
193712,10.91,0.86
193801,9.80,-0.97
193802,20.43,11.08
193803,17.19,9.78
193804,4.10,0.09
193805,1.23,-0.96
193806,0.17,-0.73
193807,0.43,0.24
193808,0.00,-0.30
193809,1.41,0.43
193810,5.62,2.13
193811,5.66,-2.19
193812,5.91,-4.14
193901,6.85,-3.92
193902,3.93,-5.42
193903,6.04,-1.37
193904,0.40,-3.61
193905,4.18,1.99
193906,0.37,-0.53
193907,0.34,0.15
193908,0.03,-0.27
193909,0.68,-0.30
193910,1.20,-2.29
193911,0.86,-6.99
193912,16.17,6.12
194001,14.75,3.98
194002,22.38,13.03
194003,10.60,3.19
194004,2.41,-1.60
194005,3.07,0.88
194006,0.53,-0.37
194007,0.01,-0.18
194008,0.12,-0.18
194009,2.17,1.19
194010,5.22,1.73
194011,3.01,-4.84
194012,22.05,12.00
194101,18.08,7.31
194102,12.45,3.10
194103,8.03,0.62
194104,7.24,3.23
194105,5.42,3.23
194106,1.75,0.85
194107,0.25,0.06
194108,0.42,0.12
194109,0.59,-0.39
194110,2.61,-0.88
194111,5.63,-2.22
194112,22.02,11.97
194201,9.52,-1.25
194202,11.55,2.20
194203,1.72,-5.69
194204,8.19,4.18
194205,6.30,4.11
194206,0.26,-0.64
194207,0.13,-0.06
194208,0.02,-0.28
194209,0.50,-0.48
194210,1.10,-2.39
194211,11.09,3.24
194212,11.88,1.83
194301,14.64,3.87
194302,3.61,-5.74
194303,6.17,-1.24
194304,5.23,1.22
194305,1.27,-0.92
194306,1.29,0.39
194307,0.13,-0.06
194308,0.02,-0.28
194309,0.05,-0.93
194310,5.50,2.01
194311,3.27,-4.58
194312,2.79,-7.26
194401,7.57,-3.20
194402,6.78,-2.57
194403,3.80,-3.61
194404,4.23,0.22
194405,2.51,0.32
194406,2.35,1.45
194407,0.52,0.33
194408,0.07,-0.23
194409,0.21,-0.77
194410,3.20,-0.29
194411,12.87,5.02
194412,8.03,-2.02
194501,4.19,-6.58
194502,9.07,-0.28
194503,8.08,0.67
194504,1.55,-2.46
194505,5.41,3.22
194506,0.56,-0.34
194507,0.11,-0.08
194508,0.02,-0.28
194509,0.19,-0.79
194510,8.70,5.21
194511,12.56,4.71
194512,20.22,10.17
194601,6.08,-4.69
194602,6.05,-3.30
194603,4.18,-3.23
194604,0.37,-3.64
194605,1.05,-1.14
194606,0.13,-0.77
194607,0.88,0.69
194608,0.00,-0.30
194609,0.46,-0.52
194610,2.01,-1.48
194611,9.87,2.02
194612,4.73,-5.32
194701,3.80,-6.97
194702,5.51,-3.84
194703,11.44,4.03
194704,1.44,-2.57
194705,0.78,-1.41
194706,3.23,2.33
194707,0.48,0.29
194708,0.50,0.20
194709,0.21,-0.77
194710,10.07,6.58
194711,1.71,-6.14
194712,2.85,-7.20
194801,10.25,-0.52
194802,4.83,-4.52
194803,6.82,-0.59
194804,13.07,9.06
194805,3.20,1.01
194806,2.16,1.26
194807,0.68,0.49
194808,0.19,-0.11
194809,2.86,1.88
194810,1.92,-1.57
194811,4.65,-3.20
194812,9.50,-0.55
194901,1.48,-9.29
194902,8.24,-1.11
194903,12.87,5.46
194904,0.57,-3.44
194905,2.70,0.51
194906,0.32,-0.58
194907,0.14,-0.05
194908,0.03,-0.27
194909,0.50,-0.48
194910,1.01,-2.48
194911,4.40,-3.45
194912,3.08,-6.97
195001,16.56,5.79
195002,6.73,-2.62
195003,9.84,2.43
195004,2.88,-1.13
195005,1.65,-0.54
195006,1.57,0.67
195007,0.00,-0.19
195008,0.03,-0.27
195009,1.43,0.45
195010,15.51,12.02
195011,6.54,-1.31
195012,12.71,2.66
195101,13.57,2.80
195102,9.39,0.04
195103,2.73,-4.68
195104,3.04,-0.97
195105,2.76,0.57
195106,0.02,-0.88
195107,0.03,-0.16
195108,0.35,0.05
195109,0.37,-0.61
195110,5.25,1.76
195111,12.14,4.29
