Trinity County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199405,2.69,0.50
199406,0.22,-0.68
199407,0.03,-0.16
199408,0.00,-0.30
199409,0.29,-0.69
199410,0.25,-3.24
199411,10.34,2.49
199412,7.11,-2.94
199501,31.15,20.38
199502,2.79,-6.56
199503,22.47,15.06
199504,7.53,3.52
199505,2.74,0.55
199506,2.12,1.22
199507,0.53,0.34
199508,0.00,-0.30
199509,0.15,-0.83
199510,0.14,-3.35
199511,1.18,-6.67
199512,21.31,11.26
199601,15.25,4.48
199602,12.18,2.83
199603,5.94,-1.47
199604,5.84,1.83
199605,4.75,2.56
199606,0.27,-0.63
199607,0.32,0.13
199608,0.02,-0.28
199609,0.81,-0.17
199610,4.06,0.57
199611,8.03,0.18
199612,29.51,19.46
199701,14.82,4.05
199702,2.51,-6.84
199703,3.69,-3.72
199704,4.20,0.19
199705,0.95,-1.24
199706,1.83,0.93
199707,0.30,0.11
199708,1.21,0.91
199709,1.18,0.20
199710,4.20,0.71
199711,10.95,3.10
199712,6.16,-3.89
199801,22.75,11.98
199802,23.86,14.51
199803,12.87,5.46
199804,4.32,0.31
199805,6.32,4.13
199806,1.50,0.60
199807,0.08,-0.11
199808,0.01,-0.29
199809,0.60,-0.38
199810,2.76,-0.73
199811,17.10,9.25
199812,4.70,-5.35
199901,7.98,-2.79
199902,18.56,9.21
199903,7.58,0.17
199904,2.64,-1.37
199905,0.51,-1.68
199906,0.18,-0.72
199907,0.00,-0.19
199908,0.32,0.02
199909,0.02,-0.96
199910,3.33,-0.16
199911,9.14,1.29
199912,3.01,-7.04
200001,14.47,3.70
200002,16.34,6.99
200003,4.22,-3.19
200004,4.98,0.97
200005,2.69,0.50
200006,0.46,-0.44
200007,0.18,-0.01
200008,0.04,-0.26
200009,0.60,-0.38
200010,4.34,0.85
200011,2.71,-5.14
200012,3.67,-6.38
200101,6.27,-4.50
200102,7.91,-1.44
200103,5.22,-2.19
200104,2.57,-1.44
200105,0.62,-1.57
200106,1.39,0.49
200107,0.15,-0.04
200108,0.03,-0.27
200109,1.24,0.26
200110,1.77,-1.72
200111,15.40,7.55
200112,15.61,5.56
200201,8.22,-2.55
200202,6.56,-2.79
200203,3.31,-4.10
200204,2.14,-1.87
200205,1.44,-0.75
200206,0.09,-0.81
200207,0.12,-0.07
200208,0.01,-0.29
200209,0.05,-0.93
200210,0.01,-3.48
200211,7.58,-0.27
200212,31.21,21.16
200301,7.74,-3.03
200302,3.79,-5.56
200303,8.06,0.65
200304,13.02,9.01
200305,1.43,-0.76
200306,0.02,-0.88
200307,0.12,-0.07
200308,1.27,0.97
200309,0.44,-0.54
200310,0.06,-3.43
200311,8.36,0.51
200312,16.32,6.27
200401,8.75,-2.02
200402,16.36,7.01
200403,3.15,-4.26
200404,2.38,-1.63
200405,1.05,-1.14
200406,0.29,-0.61
200407,0.03,-0.16
200408,0.08,-0.22
200409,0.10,-0.88
200410,6.62,3.13
200411,2.79,-5.06
200412,12.11,2.06
200501,7.00,-3.77
200502,4.16,-5.19
200503,10.19,2.78
200504,5.43,1.42
200505,7.94,5.75
200506,2.58,1.68
200507,0.03,-0.16
200508,0.00,-0.30
200509,0.03,-0.95
200510,1.34,-2.15
200511,9.37,1.52
200512,27.73,17.68
200601,13.59,2.82
200602,7.42,-1.93
200603,12.66,5.25
200604,7.48,3.47
200605,1.89,-0.30
200606,0.60,-0.30
200607,0.02,-0.17
200608,0.13,-0.17
200609,0.03,-0.95
200610,0.41,-3.08
200611,8.75,0.90
200612,11.47,1.42
200701,1.66,-9.11
200702,11.90,2.55
200703,1.45,-5.96
200704,3.45,-0.56
200705,1.11,-1.08
200706,0.13,-0.77
200707,0.48,0.29
200708,0.04,-0.26
200709,0.20,-0.78
200710,6.27,2.78
200711,1.83,-6.02
200712,9.60,-0.45
200801,16.19,5.42
200802,7.11,-2.24
200803,1.88,-5.53
200804,1.37,-2.64
200805,1.06,-1.13
200806,0.14,-0.76
200807,0.00,-0.19
200808,0.05,-0.25
200809,0.06,-0.92
200810,2.85,-0.64
200811,5.62,-2.23
200812,6.24,-3.81
200901,2.03,-8.74
200902,9.84,0.49
200903,6.15,-1.26
200904,1.15,-2.86
200905,4.89,2.70
200906,2.18,1.28
200907,0.06,-0.13
200908,0.62,0.32
200909,0.21,-0.77
200910,4.77,1.28
200911,3.75,-4.10
200912,6.43,-3.62
201001,15.28,4.51
201002,8.21,-1.14
201003,5.82,-1.59
201004,10.26,6.25
201005,3.64,1.45
201006,0.99,0.09
201007,0.04,-0.15
201008,0.16,-0.14
201009,0.79,-0.19
201010,7.90,4.41
201011,6.41,-1.44
201012,15.42,5.37
201101,2.51,-8.26
201102,5.27,-4.08
201103,17.27,9.86
201104,4.22,0.21
201105,3.31,1.12
201106,2.76,1.86
201107,0.21,0.02
201108,0.01,-0.29
201109,0.19,-0.79
201110,5.19,1.70
201111,4.54,-3.31
201112,1.29,-8.76
201201,10.69,-0.08
201202,3.74,-5.61
201203,16.18,8.77
201204,5.04,1.03
201205,0.44,-1.75
201206,0.89,-0.01
201207,0.30,0.11
201208,0.01,-0.29
201209,0.00,-0.98
201210,2.46,-1.03
201211,10.81,2.96
201212,18.44,8.39
201301,2.16,-8.61
201302,1.16,-8.19
201303,4.38,-3.03
201304,2.53,-1.48
201305,1.55,-0.64
201306,1.08,0.18
201307,0.23,0.04
201308,0.61,0.31
201309,2.53,1.55
201310,0.10,-3.39
201311,1.89,-5.96
201312,0.89,-9.16
201401,1.54,-9.23
201402,10.34,0.99
201403,11.05,3.64
201404,1.58,-2.43
201405,0.56,-1.63
201406,0.13,-0.77
201407,0.23,0.04
201408,0.15,-0.15
201409,2.76,1.78
201410,6.07,2.58
201411,5.61,-2.24
201412,15.28,5.23
201501,1.79,-8.98
201502,11.74,2.39
201503,2.53,-4.88
201504,2.03,-1.98
201505,1.23,-0.96
201506,0.58,-0.32
201507,0.76,0.57
201508,0.15,-0.15
201509,0.76,-0.22
201510,0.92,-2.57
201511,2.69,-5.16
201512,18.03,7.98
201601,19.74,8.97
201602,3.28,-6.07
201603,14.97,7.56
201604,2.92,-1.09
201605,1.59,-0.60
201606,0.89,-0.01
201607,0.05,-0.14
201608,0.01,-0.29
201609,0.02,-0.96
201610,14.03,10.54
201611,7.35,-0.50
201612,10.07,0.02
201701,18.30,7.53
201702,18.77,9.42
201703,7.92,0.51
201704,8.72,4.71
201705,0.57,-1.62
201706,1.04,0.14
201707,0.01,-0.18
201708,0.25,-0.05
201709,0.85,-0.13
201710,1.28,-2.21
201711,9.18,1.33
201712,0.87,-9.18
201801,7.62,-3.15
201802,1.34,-8.01
201803,8.57,1.16
201804,6.18,2.17
201805,2.08,-0.11
201806,0.14,-0.76
201807,0.15,-0.04
201808,0.00,-0.30
201809,0.24,-0.74
201810,0.81,-2.68
201811,6.95,-0.90
201812,5.68,-4.37
201901,11.37,0.60
201902,20.41,11.06
201903,8.91,1.50
201904,5.20,1.19
201905,4.29,2.10
201906,0.13,-0.77
201907,0.01,-0.18
201908,0.61,0.31
201909,1.24,0.26
201910,0.65,-2.84
201911,2.36,-5.49
201912,10.96,0.91
202001,7.66,-3.11
202002,0.28,-9.07
202003,3.92,-3.49
202004,2.71,-1.30
202005,4.42,2.23
202006,0.49,-0.41
202007,0.35,0.16
202008,0.10,-0.20
202009,0.14,-0.84
202010,0.17,-3.32
202011,2.98,-4.87
202012,4.92,-5.13
202101,9.14,-1.63
202102,6.05,-3.30
202103,4.21,-3.20
202104,0.92,-3.09
202105,0.15,-2.04
202106,0.28,-0.62
202107,0.05,-0.14
202108,0.01,-0.29
202109,0.99,0.01
202110,8.26,4.77
202111,4.39,-3.46
202112,10.36,0.31
202201,2.07,-8.70
202202,0.21,-9.14
202203,1.52,-5.89
202204,5.25,1.24
202205,1.01,-1.18
202206,1.16,0.26
202207,0.21,0.02
202208,0.06,-0.24
202209,2.18,1.20
202210,0.08,-3.41
202211,5.23,-2.62
202212,14.42,4.37
202301,17.97,7.20
202302,5.57,-3.78
202303,14.94,7.53
