Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.25,-0.25
191709,0.01,-0.52
191710,0.00,-0.80
191711,0.74,-0.74
191712,0.22,-1.98
191801,0.29,-2.35
191802,4.23,1.81
191803,3.58,1.54
191804,0.14,-0.97
191805,0.43,-0.48
191806,0.56,0.06
191807,0.36,-0.11
191808,0.46,-0.04
191809,1.61,1.08
191810,0.93,0.13
191811,1.20,-0.28
191812,0.86,-1.34
191901,0.47,-2.17
191902,3.76,1.34
191903,1.82,-0.22
191904,0.55,-0.56
191905,0.61,-0.30
191906,0.00,-0.50
191907,0.16,-0.31
191908,0.00,-0.50
191909,1.13,0.60
191910,0.28,-0.52
191911,0.24,-1.24
191912,2.26,0.06
192001,0.35,-2.29
192002,1.48,-0.94
192003,3.16,1.12
192004,1.32,0.21
192005,0.12,-0.79
192006,0.77,0.27
192007,0.11,-0.36
192008,2.22,1.72
192009,0.12,-0.41
192010,1.82,1.02
192011,1.44,-0.04
192012,2.03,-0.17
192101,3.15,0.51
192102,0.85,-1.57
192103,1.24,-0.80
192104,0.16,-0.95
192105,1.59,0.68
192106,0.22,-0.28
192107,0.10,-0.37
192108,0.14,-0.36
192109,0.50,-0.03
192110,0.14,-0.66
192111,0.18,-1.30
192112,4.86,2.66
192201,2.19,-0.45
192202,3.85,1.43
192203,1.93,-0.11
192204,0.51,-0.60
192205,0.78,-0.13
192206,0.43,-0.07
192207,0.70,0.23
192208,0.60,0.10
192209,0.00,-0.53
192210,0.39,-0.41
192211,1.89,0.41
192212,3.34,1.14
192301,2.73,0.09
192302,0.53,-1.89
192303,0.34,-1.70
192304,2.16,1.05
192305,0.99,0.08
192306,0.76,0.26
192307,0.08,-0.39
192308,0.15,-0.35
192309,1.59,1.06
192310,0.62,-0.18
192311,0.45,-1.03
192312,0.74,-1.46
192401,0.79,-1.85
192402,0.51,-1.91
192403,1.50,-0.54
192404,0.50,-0.61
192405,0.13,-0.78
192406,0.00,-0.50
192407,0.00,-0.47
192408,0.01,-0.49
192409,0.05,-0.48
192410,1.64,0.84
192411,1.40,-0.08
192412,2.44,0.24
192501,0.74,-1.90
192502,4.23,1.81
192503,1.33,-0.71
192504,2.31,1.20
192505,0.38,-0.53
192506,0.75,0.25
192507,1.38,0.91
192508,1.42,0.92
192509,0.26,-0.27
192510,1.33,0.53
192511,0.74,-0.74
192512,0.72,-1.48
192601,1.95,-0.69
192602,3.51,1.09
192603,0.50,-1.54
192604,2.57,1.46
192605,0.49,-0.42
192606,0.72,0.22
192607,0.38,-0.09
192608,0.04,-0.46
192609,0.00,-0.53
192610,0.51,-0.29
192611,5.95,4.47
192612,2.19,-0.01
192701,1.73,-0.91
192702,3.74,1.32
192703,1.52,-0.52
192704,1.56,0.45
192705,0.53,-0.38
192706,0.91,0.41
192707,0.44,-0.03
192708,0.26,-0.24
192709,0.40,-0.13
192710,2.06,1.26
192711,2.01,0.53
192712,1.64,-0.56
192801,1.06,-1.58
192802,1.00,-1.42
192803,2.89,0.85
192804,1.57,0.46
192805,1.46,0.55
192806,0.19,-0.31
192807,0.07,-0.40
192808,0.01,-0.49
192809,0.01,-0.52
192810,0.40,-0.40
192811,0.90,-0.58
192812,1.86,-0.34
192901,1.21,-1.43
192902,1.55,-0.87
192903,2.34,0.30
192904,1.44,0.33
192905,0.57,-0.34
192906,1.96,1.46
192907,0.12,-0.35
192908,0.33,-0.17
192909,0.24,-0.29
