Alpine County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199308,0.02,-0.42
199309,0.01,-0.82
199310,1.92,0.08
199311,1.58,-2.22
199312,2.73,-2.97
199401,1.91,-4.69
199402,7.01,1.08
199403,1.66,-3.44
199404,2.15,-0.66
199405,2.42,0.61
199406,0.03,-0.80
199407,0.09,-0.36
199408,0.00,-0.44
199409,0.94,0.11
199410,1.86,0.02
199411,8.78,4.98
199412,3.30,-2.40
199501,13.89,7.29
199502,1.30,-4.63
199503,16.88,11.78
199504,5.75,2.94
199505,5.26,3.45
199506,1.81,0.98
199507,0.14,-0.31
199508,0.05,-0.39
199509,0.07,-0.76
199510,0.01,-1.83
199511,0.41,-3.39
199512,8.14,2.44
199601,9.75,3.15
199602,10.15,4.22
199603,6.22,1.12
199604,3.40,0.59
199605,4.24,2.43
199606,1.20,0.37
199607,0.64,0.19
199608,0.56,0.12
199609,0.16,-0.67
199610,1.91,0.07
199611,6.64,2.84
199612,16.15,10.45
199701,17.63,11.03
199702,0.86,-5.07
199703,0.66,-4.44
199704,1.38,-1.43
199705,0.79,-1.02
199706,2.59,1.76
199707,0.57,0.12
199708,0.08,-0.36
199709,0.60,-0.23
199710,1.21,-0.63
199711,3.23,-0.57
199712,3.31,-2.39
199801,8.46,1.86
199802,12.97,7.04
199803,6.81,1.71
199804,2.14,-0.67
199805,3.86,2.05
199806,1.84,1.01
199807,0.57,0.12
199808,0.23,-0.21
199809,3.19,2.36
199810,1.00,-0.84
199811,5.45,1.65
199812,2.76,-2.94
199901,8.15,1.55
199902,9.92,3.99
199903,2.47,-2.63
199904,4.81,2.00
199905,0.88,-0.93
199906,0.84,0.01
199907,0.12,-0.33
199908,1.05,0.61
199909,0.45,-0.38
199910,1.30,-0.54
199911,2.61,-1.19
199912,0.55,-5.15
200001,10.06,3.46
200002,9.57,3.64
200003,1.67,-3.43
200004,1.78,-1.03
200005,2.35,0.54
200006,0.76,-0.07
200007,0.04,-0.41
200008,0.78,0.34
200009,0.95,0.12
200010,2.74,0.90
200011,1.61,-2.19
200012,1.05,-4.65
200101,3.86,-2.74
200102,5.30,-0.63
200103,2.66,-2.44
200104,4.42,1.61
200105,0.37,-1.44
200106,0.01,-0.82
200107,0.43,-0.02
200108,0.14,-0.30
200109,0.55,-0.28
200110,1.16,-0.68
200111,5.99,2.19
200112,9.19,3.49
200201,2.43,-4.17
200202,1.89,-4.04
200203,4.81,-0.29
200204,1.94,-0.87
200205,0.95,-0.86
200206,0.07,-0.76
200207,0.33,-0.12
200208,0.06,-0.38
200209,0.30,-0.53
200210,0.21,-1.63
200211,5.74,1.94
200212,10.54,4.84
200301,1.46,-5.14
200302,2.17,-3.76
200303,2.73,-2.37
200304,6.67,3.86
200305,1.61,-0.20
200306,0.12,-0.71
200307,0.95,0.50
200308,0.96,0.52
200309,0.35,-0.48
200310,0.37,-1.47
200311,2.94,-0.86
200312,10.10,4.40
200401,3.06,-3.54
200402,7.48,1.55
200403,1.36,-3.74
200404,0.57,-2.24
200405,0.90,-0.91
200406,0.14,-0.69
200407,0.06,-0.39
200408,0.31,-0.13
200409,0.20,-0.63
200410,5.64,3.80
200411,3.50,-0.30
200412,6.64,0.94
200501,8.19,1.59
200502,4.32,-1.61
200503,6.50,1.40
200504,2.50,-0.31
200505,4.33,2.52
200506,0.86,0.03
200507,0.30,-0.15
200508,0.42,-0.02
200509,0.61,-0.22
200510,1.01,-0.83
200511,2.74,-1.06
200512,16.20,10.50
200601,7.36,0.76
200602,4.78,-1.15
200603,7.97,2.87
200604,6.79,3.98
200605,0.89,-0.92
200606,0.06,-0.77
200607,0.38,-0.07
200608,0.22,-0.22
200609,0.17,-0.66
200610,0.96,-0.88
200611,2.89,-0.91
200612,3.70,-2.00
200701,1.53,-5.07
200702,7.50,1.57
200703,1.47,-3.63
200704,1.94,-0.87
200705,0.71,-1.10
200706,0.19,-0.64
200707,0.08,-0.37
200708,0.42,-0.02
200709,0.79,-0.04
200710,1.31,-0.53
200711,0.74,-3.06
200712,4.14,-1.56
200801,10.05,3.45
200802,5.71,-0.22
200803,1.14,-3.96
200804,0.39,-2.42
200805,1.82,0.01
200806,0.00,-0.83
200807,0.24,-0.21
200808,0.08,-0.36
200809,0.00,-0.83
200810,1.82,-0.02
200811,4.07,0.27
200812,5.25,-0.45
200901,3.77,-2.83
200902,5.70,-0.23
200903,6.20,1.10
200904,1.44,-1.37
200905,3.04,1.23
200906,1.03,0.20
200907,0.30,-0.15
200908,0.53,0.09
200909,0.15,-0.68
200910,4.73,2.89
200911,1.90,-1.90
200912,5.10,-0.60
201001,7.14,0.54
201002,4.71,-1.22
201003,3.71,-1.39
201004,4.83,2.02
201005,2.28,0.47
201006,0.19,-0.64
201007,0.22,-0.23
201008,0.26,-0.18
201009,0.03,-0.80
201010,7.55,5.71
201011,6.54,2.74
201012,12.03,6.33
201101,1.69,-4.91
201102,6.50,0.57
201103,11.59,6.49
201104,2.35,-0.46
201105,2.61,0.80
201106,3.42,2.59
201107,0.75,0.30
201108,0.11,-0.33
201109,1.17,0.34
201110,1.97,0.13
201111,1.38,-2.42
201112,0.04,-5.66
201201,4.98,-1.62
201202,1.82,-4.11
201203,4.82,-0.28
201204,2.34,-0.47
201205,0.38,-1.43
201206,0.60,-0.23
201207,0.27,-0.18
201208,0.64,0.20
201209,0.33,-0.50
201210,1.27,-0.57
201211,5.46,1.66
201212,12.74,7.04
201301,1.22,-5.38
201302,0.37,-5.56
201303,2.56,-2.54
201304,1.63,-1.18
201305,2.19,0.38
201306,0.38,-0.45
201307,0.33,-0.12
201308,0.46,0.02
201309,0.89,0.06
201310,1.01,-0.83
201311,0.91,-2.89
201312,1.60,-4.10
201401,2.98,-3.62
201402,8.22,2.29
201403,3.45,-1.65
201404,1.54,-1.27
201405,1.47,-0.34
201406,0.10,-0.73
201407,1.42,0.97
201408,1.15,0.71
201409,1.52,0.69
201410,0.76,-1.08
201411,2.33,-1.47
201412,4.44,-1.26
201501,0.22,-6.38
201502,5.53,-0.40
201503,0.62,-4.48
201504,2.52,-0.29
201505,2.99,1.18
201506,1.00,0.17
201507,1.81,1.36
201508,0.23,-0.21
201509,0.39,-0.44
201510,2.40,0.56
201511,4.68,0.88
201512,7.97,2.27
201601,8.29,1.69
201602,1.82,-4.11
201603,6.74,1.64
201604,3.10,0.29
201605,1.67,-0.14
201606,0.05,-0.78
201607,0.01,-0.44
201608,0.12,-0.32
201609,0.32,-0.51
201610,8.87,7.03
201611,1.93,-1.87
201612,6.71,1.01
201701,22.13,15.53
201702,15.58,9.65
201703,4.79,-0.31
201704,6.95,4.14
201705,1.44,-0.37
201706,0.70,-0.13
201707,0.04,-0.41
201708,1.34,0.90
201709,2.39,1.56
201710,0.57,-1.27
201711,7.70,3.90
201712,0.61,-5.09
201801,3.65,-2.95
201802,1.56,-4.37
201803,12.57,7.47
201804,3.18,0.37
201805,1.68,-0.13
201806,0.02,-0.81
201807,0.70,0.25
201808,0.11,-0.33
201809,0.10,-0.73
201810,0.76,-1.08
201811,5.16,1.36
201812,2.71,-2.99
201901,8.17,1.57
201902,15.25,9.32
201903,6.43,1.33
201904,1.74,-1.07
201905,3.12,1.31
201906,0.55,-0.28
201907,0.55,0.10
201908,0.03,-0.41
201909,0.87,0.04
201910,0.08,-1.76
201911,2.61,-1.19
201912,7.81,2.11
202001,1.86,-4.74
202002,0.25,-5.68
202003,5.28,0.18
202004,3.12,0.31
202005,1.43,-0.38
202006,0.66,-0.17
202007,0.57,0.12
202008,0.60,0.16
202009,0.22,-0.61
202010,0.04,-1.80
202011,3.42,-0.38
202012,2.98,-2.72
202101,6.12,-0.48
202102,2.20,-3.73
202103,2.98,-2.12
202104,0.90,-1.91
202105,0.99,-0.82
202106,0.65,-0.18
202107,1.01,0.56
202108,0.25,-0.19
202109,0.21,-0.62
202110,8.35,6.51
202111,1.27,-2.53
202112,12.72,7.02
202201,0.13,-6.47
202202,0.64,-5.29
202203,1.46,-3.64
202204,3.24,0.43
202205,0.65,-1.16
202206,0.58,-0.25
202207,0.08,-0.37
202208,1.33,0.89
202209,1.49,0.66
202210,0.17,-1.67
202211,4.03,0.23
202212,16.62,10.92
202301,14.89,8.29
202302,8.07,2.14
202303,12.97,7.87
