Alpine County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.74,0.29
191708,0.19,-0.25
191709,0.06,-0.77
191710,0.03,-1.81
191711,1.97,-1.83
191712,1.16,-4.54
191801,0.76,-5.84
191802,11.62,5.69
191803,10.93,5.83
191804,0.41,-2.40
191805,0.56,-1.25
191806,0.26,-0.57
191807,0.40,-0.05
191808,0.07,-0.37
191809,3.61,2.78
191810,2.61,0.77
191811,1.74,-2.06
191812,1.66,-4.04
191901,1.21,-5.39
191902,11.26,5.33
191903,3.36,-1.74
191904,1.73,-1.08
191905,1.31,-0.50
191906,0.00,-0.83
191907,0.15,-0.30
191908,0.00,-0.44
191909,1.03,0.20
191910,0.41,-1.43
191911,0.93,-2.87
191912,7.35,1.65
192001,0.49,-6.11
192002,2.75,-3.18
192003,8.27,3.17
192004,4.39,1.58
192005,0.13,-1.68
192006,2.15,1.32
192007,0.35,-0.10
192008,1.25,0.81
192009,0.39,-0.44
192010,4.49,2.65
192011,4.24,0.44
192012,7.12,1.42
192101,7.96,1.36
192102,2.10,-3.83
192103,3.08,-2.02
192104,0.27,-2.54
192105,2.85,1.04
192106,0.94,0.11
192107,0.09,-0.36
192108,0.03,-0.41
192109,0.31,-0.52
192110,0.53,-1.31
192111,0.99,-2.81
192112,11.59,5.89
192201,3.71,-2.89
192202,12.82,6.89
192203,3.77,-1.33
192204,1.32,-1.49
192205,1.01,-0.80
192206,1.45,0.62
192207,1.07,0.62
192208,0.16,-0.28
192209,0.00,-0.83
192210,0.94,-0.90
192211,3.76,-0.04
192212,8.61,2.91
192301,6.41,-0.19
192302,1.66,-4.27
192303,0.78,-4.32
192304,5.05,2.24
192305,2.87,1.06
192306,1.15,0.32
192307,0.30,-0.15
192308,0.32,-0.12
192309,2.76,1.93
192310,1.93,0.09
192311,0.94,-2.86
192312,2.79,-2.91
192401,2.15,-4.45
192402,1.06,-4.87
192403,3.82,-1.28
192404,1.51,-1.30
192405,0.18,-1.63
192406,0.01,-0.82
192407,0.01,-0.44
192408,0.00,-0.44
192409,0.38,-0.45
192410,3.94,2.10
192411,3.66,-0.14
192412,5.89,0.19
192501,1.39,-5.21
192502,12.75,6.82
192503,3.32,-1.78
192504,5.23,2.42
192505,0.97,-0.84
192506,0.88,0.05
192507,1.16,0.71
192508,1.08,0.64
192509,0.91,0.08
192510,1.82,-0.02
