Tuolumne County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.10,-0.09
191709,0.08,-0.66
191710,0.01,-2.05
191711,1.43,-2.90
191712,2.14,-4.23
191801,1.17,-6.51
191802,12.36,5.33
191803,13.32,6.98
191804,0.64,-2.75
191805,0.97,-0.89
191806,0.09,-0.60
191807,0.16,-0.01
191808,0.12,-0.07
191809,2.69,1.95
191810,1.83,-0.23
191811,4.20,-0.13
191812,2.66,-3.71
191901,1.81,-5.87
191902,11.54,4.51
191903,4.89,-1.45
191904,0.59,-2.80
191905,0.77,-1.09
191906,0.00,-0.69
191907,0.04,-0.13
191908,0.00,-0.19
191909,2.08,1.34
191910,0.57,-1.49
191911,0.52,-3.81
191912,6.92,0.55
192001,1.60,-6.08
192002,3.56,-3.47
192003,10.60,4.26
192004,4.90,1.51
192005,0.16,-1.70
192006,1.21,0.52
192007,0.09,-0.08
192008,0.94,0.75
192009,0.19,-0.55
192010,5.94,3.88
192011,5.37,1.04
192012,8.14,1.77
192101,11.33,3.65
192102,3.81,-3.22
192103,4.33,-2.01
192104,0.65,-2.74
192105,2.95,1.09
192106,0.35,-0.34
192107,0.03,-0.14
192108,0.01,-0.18
192109,0.59,-0.15
192110,0.61,-1.45
192111,0.82,-3.51
192112,13.89,7.52
192201,5.48,-2.20
192202,13.10,6.07
192203,7.14,0.80
192204,1.06,-2.33
192205,2.44,0.58
192206,0.76,0.07
192207,0.35,0.18
192208,0.11,-0.08
192209,0.00,-0.74
192210,1.50,-0.56
192211,6.50,2.17
192212,12.07,5.70
192301,7.29,-0.39
192302,1.41,-5.62
192303,0.54,-5.80
192304,8.22,4.83
192305,1.66,-0.20
192306,0.77,0.08
192307,0.07,-0.10
192308,0.05,-0.14
192309,3.16,2.42
192310,1.38,-0.68
192311,0.75,-3.58
192312,2.72,-3.65
192401,3.50,-4.18
192402,1.99,-5.04
192403,4.46,-1.88
192404,1.39,-2.00
192405,0.28,-1.58
192406,0.00,-0.69
192407,0.00,-0.17
192408,0.00,-0.19
192409,0.09,-0.65
192410,5.55,3.49
192411,3.58,-0.75
192412,7.27,0.90
192501,2.57,-5.11
192502,13.04,6.01
192503,5.63,-0.71
192504,5.59,2.20
192505,2.32,0.46
