Tuolumne County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199302,9.13,2.10
199303,6.28,-0.06
199304,1.96,-1.43
199305,1.52,-0.34
199306,2.09,1.40
199307,0.00,-0.17
199308,0.00,-0.19
199309,0.00,-0.74
199310,1.56,-0.50
199311,1.97,-2.36
199312,2.87,-3.50
199401,2.39,-5.29
199402,7.42,0.39
199403,1.67,-4.67
199404,3.43,0.04
199405,2.73,0.87
199406,0.05,-0.64
199407,0.04,-0.13
199408,0.00,-0.19
199409,0.84,0.10
199410,2.52,0.46
199411,8.78,4.45
199412,4.07,-2.30
199501,18.05,10.37
199502,1.36,-5.67
199503,19.53,13.19
199504,6.46,3.07
199505,5.34,3.48
199506,1.74,1.05
199507,0.08,-0.09
199508,0.04,-0.15
199509,0.03,-0.71
199510,0.00,-2.06
199511,0.22,-4.11
199512,9.12,2.75
199601,10.44,2.76
199602,11.46,4.43
199603,6.28,-0.06
199604,4.08,0.69
199605,4.74,2.88
199606,0.79,0.10
199607,0.38,0.21
199608,0.14,-0.05
199609,0.10,-0.64
199610,2.61,0.55
199611,8.86,4.53
199612,18.37,12.00
199701,19.57,11.89
199702,0.79,-6.24
199703,0.43,-5.91
199704,1.08,-2.31
199705,0.56,-1.30
199706,1.38,0.69
199707,0.30,0.13
199708,0.11,-0.08
199709,0.39,-0.35
199710,1.15,-0.91
199711,5.01,0.68
199712,3.85,-2.52
199801,13.15,5.47
199802,17.05,10.02
199803,7.64,1.30
199804,4.27,0.88
199805,5.53,3.67
199806,1.79,1.10
199807,0.11,-0.06
199808,0.03,-0.16
199809,2.15,1.41
199810,0.69,-1.37
199811,5.39,1.06
199812,3.24,-3.13
199901,9.45,1.77
199902,10.57,3.54
199903,3.10,-3.24
199904,4.18,0.79
199905,0.84,-1.02
199906,0.90,0.21
199907,0.06,-0.11
199908,0.27,0.08
199909,0.34,-0.40
199910,0.97,-1.09
199911,3.39,-0.94
199912,0.48,-5.89
200001,12.63,4.95
200002,13.68,6.65
200003,2.69,-3.65
200004,3.35,-0.04
200005,2.73,0.87
200006,1.12,0.43
200007,0.01,-0.16
200008,0.28,0.09
200009,0.95,0.21
200010,4.13,2.07
200011,1.28,-3.05
200012,1.12,-5.25
200101,5.58,-2.10
200102,6.36,-0.67
200103,3.86,-2.48
200104,5.49,2.10
200105,0.17,-1.69
200106,0.03,-0.66
200107,0.50,0.33
200108,0.04,-0.15
200109,0.54,-0.20
200110,1.32,-0.74
200111,6.99,2.66
200112,10.73,4.36
200201,2.98,-4.70
200202,2.70,-4.33
200203,5.27,-1.07
200204,2.10,-1.29
200205,1.72,-0.14
200206,0.10,-0.59
200207,0.10,-0.07
200208,0.02,-0.17
200209,0.35,-0.39
200210,0.17,-1.89
200211,6.92,2.59
200212,11.73,5.36
200301,1.19,-6.49
200302,2.69,-4.34
200303,3.26,-3.08
200304,8.86,5.47
200305,2.44,0.58
200306,0.04,-0.65
200307,0.47,0.30
200308,0.71,0.52
200309,0.22,-0.52
200310,0.12,-1.94
200311,3.52,-0.81
200312,11.52,5.15
200401,3.38,-4.30
200402,8.64,1.61
200403,1.67,-4.67
200404,0.51,-2.88
200405,0.90,-0.96
200406,0.14,-0.55
200407,0.09,-0.08
200408,0.14,-0.05
200409,0.24,-0.50
200410,8.26,6.20
200411,3.47,-0.86
200412,8.06,1.69
200501,11.98,4.30
200502,6.10,-0.93
200503,9.30,2.96
200504,2.89,-0.50
200505,5.24,3.38
200506,0.67,-0.02
200507,0.04,-0.13
200508,0.34,0.15
200509,0.77,0.03
200510,1.12,-0.94
200511,2.57,-1.76
200512,17.08,10.71
200601,9.03,1.35
200602,4.58,-2.45
200603,10.93,4.59
200604,9.81,6.42
200605,1.68,-0.18
200606,0.08,-0.61
200607,0.24,0.07
200608,0.03,-0.16
200609,0.07,-0.67
200610,1.20,-0.86
200611,2.82,-1.51
200612,4.79,-1.58
200701,1.62,-6.06
200702,9.20,2.17
200703,1.48,-4.86
200704,2.55,-0.84
200705,1.05,-0.81
200706,0.09,-0.60
200707,0.11,-0.06
200708,0.29,0.10
200709,0.60,-0.14
200710,1.35,-0.71
200711,0.69,-3.64
200712,5.57,-0.80
200801,12.14,4.46
200802,7.50,0.47
200803,0.91,-5.43
200804,0.32,-3.07
200805,1.58,-0.28
200806,0.01,-0.68
200807,0.09,-0.08
200808,0.03,-0.16
200809,0.00,-0.74
200810,1.63,-0.43
200811,4.61,0.28
200812,5.86,-0.51
200901,4.90,-2.78
200902,7.52,0.49
200903,6.60,0.26
200904,1.78,-1.61
200905,3.44,1.58
200906,0.89,0.20
200907,0.06,-0.11
200908,0.31,0.12
200909,0.14,-0.60
200910,4.51,2.45
200911,1.26,-3.07
200912,6.73,0.36
201001,7.75,0.07
201002,6.49,-0.54
201003,4.72,-1.62
201004,7.24,3.85
201005,2.66,0.80
201006,0.05,-0.64
201007,0.08,-0.09
201008,0.04,-0.15
201009,0.00,-0.74
201010,7.42,5.36
201011,7.55,3.22
201012,15.29,8.92
201101,3.07,-4.61
201102,7.37,0.34
201103,14.69,8.35
201104,1.94,-1.45
201105,3.22,1.36
201106,3.06,2.37
201107,0.20,0.03
201108,0.06,-0.13
201109,0.65,-0.09
201110,3.05,0.99
201111,1.56,-2.77
201112,0.05,-6.32
201201,6.25,-1.43
201202,1.72,-5.31
201203,6.25,-0.09
201204,4.40,1.01
201205,0.25,-1.61
201206,0.73,0.04
201207,0.16,-0.01
201208,0.26,0.07
201209,0.12,-0.62
201210,1.20,-0.86
201211,5.97,1.64
201212,14.80,8.43
201301,1.28,-6.40
201302,0.76,-6.27
201303,2.68,-3.66
201304,1.69,-1.70
201305,1.19,-0.67
201306,0.39,-0.30
201307,0.23,0.06
201308,0.10,-0.09
201309,0.74,0.00
201310,0.91,-1.15
201311,1.21,-3.12
201312,1.46,-4.91
201401,2.22,-5.46
201402,7.45,0.42
201403,4.75,-1.59
201404,2.90,-0.49
201405,1.05,-0.81
201406,0.10,-0.59
201407,0.82,0.65
201408,0.35,0.16
201409,0.96,0.22
201410,0.35,-1.71
201411,3.43,-0.90
201412,6.04,-0.33
201501,0.14,-7.54
201502,5.12,-1.91
201503,0.68,-5.66
201504,3.29,-0.10
201505,2.70,0.84
201506,0.71,0.02
201507,0.93,0.76
201508,0.09,-0.10
201509,0.18,-0.56
201510,2.34,0.28
201511,5.17,0.84
201512,8.66,2.29
201601,9.76,2.08
201602,1.84,-5.19
201603,8.84,2.50
201604,3.61,0.22
201605,1.43,-0.43
201606,0.20,-0.49
201607,0.04,-0.13
201608,0.02,-0.17
201609,0.17,-0.57
201610,8.02,5.96
201611,2.88,-1.45
201612,8.33,1.96
201701,22.84,15.16
201702,17.66,10.63
201703,5.39,-0.95
201704,7.64,4.25
201705,0.89,-0.97
201706,0.42,-0.27
201707,0.01,-0.16
201708,0.56,0.37
201709,1.26,0.52
201710,0.61,-1.45
201711,6.87,2.54
201712,0.43,-5.94
201801,4.59,-3.09
201802,1.07,-5.96
201803,15.31,8.97
201804,4.33,0.94
201805,0.91,-0.95
201806,0.00,-0.69
201807,0.23,0.06
201808,0.06,-0.13
201809,0.09,-0.65
201810,0.79,-1.27
201811,7.35,3.02
201812,2.67,-3.70
201901,8.22,0.54
201902,16.31,9.28
201903,8.20,1.86
201904,1.64,-1.75
201905,5.66,3.80
201906,0.28,-0.41
201907,0.23,0.06
201908,0.00,-0.19
201909,0.57,-0.17
201910,0.02,-2.04
201911,2.23,-2.10
201912,8.76,2.39
202001,1.91,-5.77
202002,0.12,-6.91
202003,5.88,-0.46
202004,4.14,0.75
202005,2.32,0.46
202006,0.27,-0.42
202007,0.12,-0.05
202008,0.13,-0.06
202009,0.17,-0.57
202010,0.03,-2.03
202011,2.34,-1.99
202012,3.64,-2.73
202101,7.48,-0.20
202102,2.26,-4.77
202103,3.25,-3.09
202104,0.85,-2.54
202105,0.49,-1.37
202106,0.68,-0.01
202107,0.54,0.37
202108,0.18,-0.01
202109,0.09,-0.65
202110,7.66,5.60
202111,1.14,-3.19
202112,12.98,6.61
202201,0.06,-7.62
202202,0.44,-6.59
202203,1.47,-4.87
202204,3.67,0.28
202205,0.29,-1.57
202206,0.30,-0.39
202207,0.03,-0.14
202208,0.70,0.51
202209,1.77,1.03
202210,0.14,-1.92
202211,3.80,-0.53
202212,16.81,10.44
202301,17.64,9.96
202302,7.43,0.40
202303,16.98,10.64
