Mendocino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.04
191708,0.01,-0.12
191709,0.61,-0.05
191710,0.00,-2.88
191711,4.03,-2.65
191712,4.97,-4.43
191801,2.61,-7.86
191802,9.78,0.96
191803,6.46,-0.57
191804,2.01,-1.42
191805,0.10,-1.47
191806,0.06,-0.44
191807,0.01,-0.03
191808,0.05,-0.08
191809,2.70,2.04
191810,1.20,-1.68
191811,5.95,-0.73
191812,4.29,-5.11
191901,11.12,0.65
191902,14.51,5.69
191903,6.61,-0.42
191904,2.36,-1.07
191905,0.42,-1.15
191906,0.01,-0.49
191907,0.00,-0.04
191908,0.00,-0.13
191909,1.40,0.74
191910,0.71,-2.17
191911,1.23,-5.45
191912,8.76,-0.64
192001,0.74,-9.73
192002,1.96,-6.86
192003,7.08,0.05
192004,5.45,2.02
192005,0.06,-1.51
192006,0.78,0.28
192007,0.17,0.13
192008,0.23,0.10
192009,0.63,-0.03
192010,5.36,2.48
192011,15.76,9.08
192012,17.77,8.37
192101,15.11,4.64
192102,4.32,-4.50
192103,3.77,-3.26
192104,0.89,-2.54
192105,1.74,0.17
192106,0.09,-0.41
192107,0.00,-0.04
192108,0.00,-0.13
192109,0.29,-0.37
192110,1.64,-1.24
192111,4.39,-2.29
192112,9.60,0.20
192201,2.26,-8.21
192202,12.46,3.64
192203,5.74,-1.29
192204,0.95,-2.48
192205,0.67,-0.90
192206,0.80,0.30
192207,0.00,-0.04
192208,0.03,-0.10
192209,0.05,-0.61
192210,5.73,2.85
192211,6.60,-0.08
192212,14.32,4.92
192301,5.06,-5.41
192302,1.58,-7.24
192303,0.15,-6.88
192304,8.46,5.03
192305,0.37,-1.20
192306,0.62,0.12
192307,0.00,-0.04
192308,0.11,-0.02
192309,2.77,2.11
192310,1.49,-1.39
192311,1.76,-4.92
192312,3.11,-6.29
192401,5.73,-4.74
192402,5.27,-3.55
192403,1.71,-5.32
192404,0.45,-2.98
192405,0.10,-1.47
192406,0.04,-0.46
192407,0.00,-0.04
192408,0.14,0.01
192409,0.14,-0.52
192410,8.94,6.06
192411,5.00,-1.68
192412,13.05,3.65
192501,3.60,-6.87
192502,17.19,8.37
192503,4.74,-2.29
192504,6.99,3.56
192505,5.99,4.42
192506,0.26,-0.24
192507,0.01,-0.03
192508,0.15,0.02
192509,1.60,0.94
192510,0.25,-2.63
192511,4.55,-2.13
192512,3.76,-5.64
192601,9.52,-0.95
192602,11.02,2.20
192603,0.31,-6.72
192604,8.70,5.27
192605,0.90,-0.67
192606,0.00,-0.50
192607,0.00,-0.04
192608,0.13,0.00
192609,0.05,-0.61
192610,2.86,-0.02
192611,16.33,9.65
192612,7.40,-2.00
192701,11.34,0.87
192702,16.88,8.06
192703,4.52,-2.51
192704,3.82,0.39
192705,1.01,-0.56
192706,0.70,0.20
192707,0.04,0.00
192708,0.00,-0.13
192709,0.18,-0.48
192710,2.34,-0.54
192711,10.38,3.70
192712,8.25,-1.15
192801,5.67,-4.80
192802,6.05,-2.77
192803,10.48,3.45
192804,4.20,0.77
192805,0.17,-1.40
192806,0.02,-0.48
192807,0.03,-0.01
192808,0.00,-0.13
192809,0.21,-0.45
192810,0.99,-1.89
192811,7.79,1.11
192812,7.93,-1.47
192901,3.31,-7.16
