Mendocino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199212,17.82,8.42
199301,16.47,6.00
199302,9.43,0.61
199303,5.81,-1.22
199304,4.62,1.19
199305,5.40,3.83
199306,1.40,0.90
199307,0.00,-0.04
199308,0.04,-0.09
199309,0.01,-0.65
199310,1.16,-1.72
199311,2.55,-4.13
199312,8.01,-1.39
199401,6.76,-3.71
199402,8.78,-0.04
199403,1.24,-5.79
199404,3.75,0.32
199405,1.79,0.22
199406,0.16,-0.34
199407,0.03,-0.01
199408,0.00,-0.13
199409,0.02,-0.64
199410,0.54,-2.34
199411,8.90,2.22
199412,6.83,-2.57
199501,30.60,20.13
199502,1.87,-6.95
199503,21.40,14.37
199504,6.69,3.26
199505,3.04,1.47
199506,1.02,0.52
199507,0.16,0.12
199508,0.00,-0.13
199509,0.02,-0.64
199510,0.04,-2.84
199511,0.87,-5.81
199512,18.39,8.99
199601,16.09,5.62
199602,12.63,3.81
199603,5.60,-1.43
199604,5.44,2.01
199605,3.68,2.11
199606,0.14,-0.36
199607,0.00,-0.04
199608,0.00,-0.13
199609,0.65,-0.01
199610,2.27,-0.61
199611,6.18,-0.50
199612,23.76,14.36
199701,15.47,5.00
199702,2.58,-6.24
199703,3.54,-3.49
199704,2.73,-0.70
199705,1.42,-0.15
199706,1.11,0.61
199707,0.01,-0.03
199708,0.86,0.73
199709,1.07,0.41
199710,3.66,0.78
199711,11.35,4.67
199712,5.87,-3.53
199801,23.65,13.18
199802,23.78,14.96
199803,10.31,3.28
199804,3.85,0.42
199805,5.15,3.58
199806,0.21,-0.29
199807,0.01,-0.03
199808,0.00,-0.13
199809,0.04,-0.62
199810,2.04,-0.84
199811,11.65,4.97
199812,4.16,-5.24
199901,6.91,-3.56
199902,18.46,9.64
199903,8.88,1.85
199904,3.24,-0.19
199905,0.43,-1.14
199906,0.09,-0.41
199907,0.01,-0.03
199908,0.24,0.11
199909,0.07,-0.59
199910,2.09,-0.79
199911,8.14,1.46
199912,2.28,-7.12
200001,11.62,1.15
200002,15.23,6.41
200003,3.10,-3.93
200004,3.25,-0.18
200005,2.25,0.68
200006,0.59,0.09
200007,0.02,-0.02
200008,0.09,-0.04
200009,0.42,-0.24
200010,4.85,1.97
200011,2.64,-4.04
200012,2.62,-6.78
200101,6.92,-3.55
200102,9.91,1.09
200103,4.39,-2.64
200104,1.81,-1.62
200105,0.10,-1.47
200106,1.01,0.51
200107,0.02,-0.02
200108,0.03,-0.10
200109,0.27,-0.39
200110,1.35,-1.53
200111,13.90,7.22
200112,15.91,6.51
200201,7.27,-3.20
200202,5.24,-3.58
200203,3.99,-3.04
200204,1.25,-2.18
200205,1.08,-0.49
200206,0.00,-0.50
200207,0.00,-0.04
200208,0.00,-0.13
200209,0.01,-0.65
200210,0.01,-2.87
200211,6.30,-0.38
200212,27.66,18.26
200301,7.01,-3.46
200302,3.94,-4.88
200303,6.14,-0.89
200304,12.82,9.39
200305,1.11,-0.46
200306,0.00,-0.50
200307,0.02,-0.02
200308,0.33,0.20
200309,0.26,-0.40
200310,0.06,-2.82
200311,6.87,0.19
200312,18.35,8.95
200401,6.94,-3.53
200402,14.34,5.52
200403,2.50,-4.53
200404,1.67,-1.76
200405,0.26,-1.31
200406,0.04,-0.46
200407,0.01,-0.03
200408,0.01,-0.12
200409,0.20,-0.46
200410,5.19,2.31
200411,2.13,-4.55
200412,13.17,3.77
200501,8.36,-2.11
200502,5.04,-3.78
200503,9.31,2.28
200504,4.48,1.05
200505,5.99,4.42
200506,2.34,1.84
200507,0.01,-0.03
200508,0.00,-0.13
200509,0.05,-0.61
200510,1.35,-1.53
200511,7.61,0.93
200512,26.28,16.88
200601,10.95,0.48
200602,7.06,-1.76
200603,15.33,8.30
200604,9.07,5.64
200605,0.87,-0.70
200606,0.11,-0.39
200607,0.00,-0.04
200608,0.00,-0.13
200609,0.01,-0.65
200610,0.36,-2.52
200611,6.46,-0.22
200612,9.68,0.28
200701,1.25,-9.22
200702,11.79,2.97
200703,1.17,-5.86
200704,3.28,-0.15
200705,0.92,-0.65
200706,0.03,-0.47
200707,0.17,0.13
200708,0.01,-0.12
200709,0.22,-0.44
200710,3.96,1.08
200711,1.19,-5.49
200712,9.13,-0.27
200801,16.56,6.09
200802,6.02,-2.80
200803,1.54,-5.49
200804,0.99,-2.44
200805,0.31,-1.26
200806,0.04,-0.46
200807,0.00,-0.04
200808,0.00,-0.13
200809,0.28,-0.38
200810,2.07,-0.81
200811,3.70,-2.98
200812,5.79,-3.61
200901,1.44,-9.03
200902,9.65,0.83
200903,5.45,-1.58
200904,0.75,-2.68
200905,4.00,2.43
200906,0.45,-0.05
200907,0.00,-0.04
200908,0.25,0.12
200909,0.16,-0.50
200910,3.88,1.00
200911,3.14,-3.54
200912,5.90,-3.50
201001,15.65,5.18
201002,6.39,-2.43
201003,6.87,-0.16
201004,9.09,5.66
201005,3.01,1.44
201006,0.59,0.09
201007,0.00,-0.04
201008,0.01,-0.12
201009,0.46,-0.20
201010,9.35,6.47
201011,5.63,-1.05
201012,13.18,3.78
201101,2.77,-7.70
201102,6.28,-2.54
201103,16.51,9.48
201104,1.79,-1.64
201105,2.66,1.09
201106,1.69,1.19
201107,0.06,0.02
201108,0.01,-0.12
201109,0.14,-0.52
201110,5.57,2.69
201111,4.39,-2.29
201112,1.03,-8.37
201201,8.28,-2.19
201202,3.27,-5.55
201203,13.54,6.51
201204,3.34,-0.09
201205,0.37,-1.20
201206,0.26,-0.24
201207,0.02,-0.02
201208,0.01,-0.12
201209,0.01,-0.65
201210,2.88,0.00
201211,10.78,4.10
201212,16.82,7.42
201301,2.06,-8.41
201302,1.10,-7.72
201303,3.63,-3.40
201304,2.18,-1.25
201305,0.64,-0.93
201306,1.33,0.83
201307,0.08,0.04
201308,0.06,-0.07
201309,1.70,1.04
201310,0.01,-2.87
201311,1.90,-4.78
201312,0.81,-8.59
201401,0.88,-9.59
201402,11.76,2.94
201403,10.79,3.76
201404,2.09,-1.34
201405,0.18,-1.39
201406,0.04,-0.46
201407,0.00,-0.04
201408,0.18,0.05
201409,1.41,0.75
201410,3.19,0.31
201411,6.67,-0.01
201412,18.24,8.84
201501,1.04,-9.43
201502,7.23,-1.59
201503,1.28,-5.75
201504,3.08,-0.35
201505,0.27,-1.30
201506,0.07,-0.43
201507,0.24,0.20
201508,0.25,0.12
201509,0.93,0.27
201510,0.30,-2.58
201511,3.54,-3.14
201512,17.19,7.79
201601,16.86,6.39
201602,2.85,-5.97
201603,15.39,8.36
201604,2.04,-1.39
201605,1.12,-0.45
201606,0.46,-0.04
201607,0.01,-0.03
201608,0.01,-0.12
201609,0.02,-0.64
201610,9.32,6.44
201611,7.65,0.97
201612,10.19,0.79
201701,20.27,9.80
201702,17.66,8.84
201703,6.24,-0.79
201704,5.88,2.45
201705,0.27,-1.30
201706,0.26,-0.24
201707,0.01,-0.03
201708,0.01,-0.12
201709,0.21,-0.45
201710,0.86,-2.02
201711,8.68,2.00
201712,0.69,-8.71
201801,9.85,-0.62
201802,0.89,-7.93
201803,8.64,1.61
201804,7.38,3.95
201805,0.42,-1.15
201806,0.10,-0.40
201807,0.01,-0.03
201808,0.01,-0.12
201809,0.22,-0.44
201810,1.59,-1.29
201811,6.32,-0.36
201812,6.29,-3.11
201901,11.31,0.84
201902,20.92,12.10
201903,9.87,2.84
201904,2.22,-1.21
201905,5.34,3.77
201906,0.02,-0.48
201907,0.01,-0.03
201908,0.35,0.22
201909,0.71,0.05
201910,0.37,-2.51
201911,2.11,-4.57
201912,9.17,-0.23
202001,7.39,-3.08
202002,0.08,-8.74
202003,2.81,-4.22
202004,1.57,-1.86
202005,2.64,1.07
202006,0.07,-0.43
202007,0.01,-0.03
202008,0.30,0.17
202009,0.13,-0.53
202010,0.10,-2.78
202011,2.57,-4.11
202012,4.44,-4.96
202101,7.81,-2.66
202102,4.16,-4.66
202103,3.76,-3.27
202104,0.72,-2.71
202105,0.05,-1.52
202106,0.24,-0.26
202107,0.01,-0.03
202108,0.03,-0.10
202109,0.61,-0.05
202110,10.66,7.78
202111,3.19,-3.49
202112,12.18,2.78
202201,1.62,-8.85
202202,0.17,-8.65
202203,1.58,-5.45
202204,5.33,1.90
202205,0.95,-0.62
202206,1.07,0.57
202207,0.13,0.09
202208,0.05,-0.08
202209,2.31,1.65
202210,0.17,-2.71
202211,4.48,-2.20
202212,14.35,4.95
202301,17.34,6.87
202302,6.26,-2.56
202303,13.73,6.70
