Contra Costa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.00,-0.03
191709,0.13,-0.06
191710,0.00,-0.88
191711,0.43,-1.63
191712,1.01,-2.20
191801,0.86,-3.23
191802,4.10,0.73
191803,3.20,0.44
191804,0.60,-0.62
191805,0.00,-0.54
191806,0.00,-0.13
191807,0.00,-0.01
191808,0.00,-0.03
191809,1.08,0.89
191810,0.23,-0.65
191811,2.78,0.72
191812,1.76,-1.45
191901,1.61,-2.48
191902,7.71,4.34
191903,2.28,-0.48
191904,0.09,-1.13
191905,0.00,-0.54
191906,0.00,-0.13
191907,0.00,-0.01
191908,0.00,-0.03
191909,0.59,0.40
191910,0.15,-0.73
191911,0.21,-1.85
191912,3.54,0.33
192001,0.46,-3.63
192002,0.74,-2.63
192003,3.52,0.76
192004,1.65,0.43
192005,0.00,-0.54
192006,0.16,0.03
192007,0.00,-0.01
192008,0.01,-0.02
192009,0.08,-0.11
192010,1.65,0.77
192011,2.44,0.38
192012,5.14,1.93
192101,5.30,1.21
192102,0.89,-2.48
192103,1.37,-1.39
192104,0.45,-0.77
192105,0.84,0.30
192106,0.00,-0.13
192107,0.00,-0.01
192108,0.00,-0.03
192109,0.12,-0.07
192110,0.36,-0.52
192111,1.55,-0.51
192112,5.62,2.41
192201,2.16,-1.93
192202,5.67,2.30
192203,2.08,-0.68
192204,0.45,-0.77
192205,0.55,0.01
192206,0.10,-0.03
192207,0.00,-0.01
192208,0.00,-0.03
192209,0.00,-0.19
192210,1.75,0.87
192211,3.33,1.27
192212,6.95,3.74
192301,2.59,-1.50
192302,0.65,-2.72
192303,0.24,-2.52
192304,3.01,1.79
192305,0.02,-0.52
192306,0.10,-0.03
192307,0.00,-0.01
192308,0.04,0.01
192309,0.72,0.53
192310,0.36,-0.52
192311,0.40,-1.66
192312,1.30,-1.91
192401,2.05,-2.04
192402,1.97,-1.40
192403,1.26,-1.50
192404,0.16,-1.06
192405,0.05,-0.49
192406,0.00,-0.13
192407,0.00,-0.01
192408,0.01,-0.02
192409,0.00,-0.19
192410,1.94,1.06
192411,1.51,-0.55
192412,4.16,0.95
192501,1.16,-2.93
192502,6.21,2.84
192503,1.52,-1.24
192504,2.26,1.04
192505,2.32,1.78
192506,0.02,-0.11
192507,0.03,0.02
192508,0.00,-0.03
192509,0.21,0.02
192510,0.14,-0.74
192511,1.53,-0.53
192512,1.33,-1.88
192601,3.90,-0.19
192602,4.60,1.23
192603,0.15,-2.61
192604,3.79,2.57
192605,0.20,-0.34
192606,0.00,-0.13
192607,0.00,-0.01
192608,0.01,-0.02
192609,0.00,-0.19
192610,1.70,0.82
192611,5.72,3.66
192612,0.80,-2.41
192701,2.44,-1.65
192702,6.17,2.80
192703,1.62,-1.14
192704,1.95,0.73
192705,0.17,-0.37
192706,0.33,0.20
192707,0.00,-0.01
192708,0.00,-0.03
192709,0.01,-0.18
192710,1.90,1.02
192711,2.15,0.09
192712,2.57,-0.64
192801,1.82,-2.27
192802,1.39,-1.98
192803,4.26,1.50
192804,1.37,0.15
192805,0.32,-0.22
192806,0.00,-0.13
192807,0.00,-0.01
192808,0.00,-0.03
192809,0.01,-0.18
192810,0.05,-0.83
192811,2.89,0.83
192812,3.82,0.61
192901,0.92,-3.17
192902,1.32,-2.05
192903,1.32,-1.44
192904,0.97,-0.25
192905,0.03,-0.51
192906,0.66,0.53
192907,0.00,-0.01
192908,0.00,-0.03
192909,0.00,-0.19
192910,0.05,-0.83
192911,0.00,-2.06
192912,2.54,-0.67
193001,4.52,0.43
193002,2.40,-0.97
193003,2.68,-0.08
193004,1.20,-0.02
193005,0.28,-0.26
193006,0.00,-0.13
193007,0.00,-0.01
193008,0.01,-0.02
193009,0.23,0.04
193010,0.72,-0.16
193011,1.09,-0.97
193012,0.25,-2.96
193101,3.92,-0.17
193102,1.38,-1.99
193103,1.25,-1.51
193104,0.30,-0.92
193105,1.13,0.59
193106,0.40,0.27
193107,0.00,-0.01
193108,0.00,-0.03
193109,0.00,-0.19
193110,0.46,-0.42
193111,2.05,-0.01
193112,7.97,4.76
193201,1.82,-2.27
193202,3.26,-0.11
193203,0.79,-1.97
193204,0.58,-0.64
193205,0.56,0.02
193206,0.01,-0.12
193207,0.00,-0.01
193208,0.00,-0.03
193209,0.00,-0.19
193210,0.00,-0.88
193211,0.55,-1.51
193212,2.42,-0.79
193301,4.97,0.88
193302,0.76,-2.61
193303,2.31,-0.45
193304,0.05,-1.17
193305,0.94,0.40
193306,0.01,-0.12
193307,0.00,-0.01
193308,0.00,-0.03
193309,0.04,-0.15
193310,1.32,0.44
193311,0.01,-2.05
193312,4.64,1.43
193401,1.35,-2.74
193402,3.67,0.30
193403,0.04,-2.72
193404,0.34,-0.88
193405,0.56,0.02
193406,0.49,0.36
193407,0.00,-0.01
193408,0.00,-0.03
193409,0.28,0.09
193410,0.81,-0.07
193411,2.99,0.93
193412,3.06,-0.15
193501,4.42,0.33
193502,1.18,-2.19
193503,3.22,0.46
193504,3.58,2.36
193505,0.01,-0.53
193506,0.00,-0.13
193507,0.01,0.00
193508,0.16,0.13
193509,0.01,-0.18
193510,0.82,-0.06
193511,0.88,-1.18
193512,2.08,-1.13
193601,4.22,0.13
193602,8.11,4.74
193603,1.15,-1.61
193604,1.29,0.07
193605,0.64,0.10
193606,0.34,0.21
193607,0.01,0.00
193608,0.00,-0.03
193609,0.03,-0.16
193610,0.53,-0.35
193611,0.02,-2.04
193612,3.48,0.27
193701,3.63,-0.46
193702,5.04,1.67
193703,5.96,3.20
193704,0.59,-0.63
193705,0.06,-0.48
193706,0.32,0.19
193707,0.00,-0.01
193708,0.00,-0.03
193709,0.00,-0.19
193710,0.78,-0.10
193711,2.64,0.58
193712,4.90,1.69
193801,2.60,-1.49
193802,8.38,5.01
193803,5.55,2.79
193804,1.38,0.16
193805,0.02,-0.52
193806,0.00,-0.13
193807,0.00,-0.01
193808,0.00,-0.03
193809,0.09,-0.10
193810,1.02,0.14
193811,0.93,-1.13
193812,1.04,-2.17
193901,2.20,-1.89
193902,1.63,-1.74
193903,2.53,-0.23
193904,0.29,-0.93
193905,0.46,-0.08
193906,0.00,-0.13
193907,0.00,-0.01
193908,0.00,-0.03
193909,0.27,0.08
193910,0.61,-0.27
193911,0.21,-1.85
193912,1.24,-1.97
194001,9.11,5.02
194002,7.46,4.09
194003,4.01,1.25
194004,0.65,-0.57
194005,0.59,0.05
194006,0.01,-0.12
194007,0.00,-0.01
194008,0.00,-0.03
194009,0.21,0.02
194010,0.75,-0.13
194011,1.16,-0.90
194012,7.99,4.78
194101,5.61,1.52
194102,5.30,1.93
194103,3.49,0.73
194104,3.58,2.36
194105,0.81,0.27
194106,0.05,-0.08
194107,0.00,-0.01
194108,0.01,-0.02
194109,0.00,-0.19
194110,0.85,-0.03
194111,1.73,-0.33
194112,6.91,3.70
194201,4.69,0.60
194202,2.68,-0.69
194203,2.29,-0.47
194204,3.59,2.37
194205,1.28,0.74
194206,0.00,-0.13
194207,0.00,-0.01
194208,0.00,-0.03
194209,0.13,-0.06
194210,0.92,0.04
194211,3.32,1.26
194212,2.56,-0.65
194301,6.44,2.35
194302,1.71,-1.66
194303,2.90,0.14
194304,1.34,0.12
194305,0.02,-0.52
194306,0.08,-0.05
194307,0.00,-0.01
194308,0.00,-0.03
194309,0.00,-0.19
194310,0.32,-0.56
194311,0.73,-1.33
194312,1.84,-1.37
194401,2.92,-1.17
194402,5.34,1.97
194403,1.26,-1.50
194404,1.48,0.26
194405,0.77,0.23
194406,0.09,-0.04
194407,0.00,-0.01
194408,0.00,-0.03
194409,0.00,-0.19
194410,1.23,0.35
