Contra Costa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199309,0.01,-0.18
199310,0.47,-0.41
199311,2.27,0.21
199312,2.20,-1.01
199401,1.76,-2.33
199402,3.89,0.52
199403,0.24,-2.52
199404,1.18,-0.04
199405,1.48,0.94
199406,0.02,-0.11
199407,0.00,-0.01
199408,0.00,-0.03
199409,0.03,-0.16
199410,0.57,-0.31
199411,5.34,3.28
199412,2.32,-0.89
199501,9.87,5.78
199502,0.23,-3.14
199503,8.55,5.79
199504,1.19,-0.03
199505,1.28,0.74
199506,0.63,0.50
199507,0.00,-0.01
199508,0.00,-0.03
199509,0.00,-0.19
199510,0.01,-0.87
199511,0.04,-2.02
199512,6.62,3.41
199601,5.63,1.54
199602,5.57,2.20
199603,2.54,-0.22
199604,1.72,0.50
199605,1.89,1.35
199606,0.00,-0.13
199607,0.00,-0.01
199608,0.00,-0.03
199609,0.01,-0.18
199610,1.14,0.26
199611,2.87,0.81
199612,6.76,3.55
199701,8.28,4.19
199702,0.24,-3.13
199703,0.34,-2.42
199704,0.26,-0.96
199705,0.36,-0.18
199706,0.30,0.17
199707,0.00,-0.01
199708,0.22,0.19
199709,0.02,-0.17
199710,0.82,-0.06
199711,5.46,3.40
199712,2.50,-0.71
199801,7.70,3.61
199802,11.50,8.13
199803,2.47,-0.29
199804,1.69,0.47
199805,2.82,2.28
199806,0.07,-0.06
199807,0.00,-0.01
199808,0.00,-0.03
199809,0.21,0.02
199810,0.68,-0.20
199811,3.19,1.13
199812,1.04,-2.17
199901,3.34,-0.75
199902,4.81,1.44
199903,2.46,-0.30
199904,1.64,0.42
199905,0.07,-0.47
199906,0.05,-0.08
199907,0.00,-0.01
199908,0.02,-0.01
199909,0.10,-0.09
199910,0.35,-0.53
199911,1.82,-0.24
199912,0.44,-2.77
200001,6.09,2.00
200002,7.31,3.94
200003,1.99,-0.77
200004,1.25,0.03
200005,0.98,0.44
200006,0.17,0.04
200007,0.00,-0.01
200008,0.01,-0.02
200009,0.16,-0.03
200010,2.37,1.49
200011,0.76,-1.30
200012,0.68,-2.53
200101,3.19,-0.90
200102,4.96,1.59
200103,1.60,-1.16
200104,1.23,0.01
200105,0.00,-0.54
200106,0.12,-0.01
200107,0.00,-0.01
200108,0.00,-0.03
200109,0.13,-0.06
200110,0.38,-0.50
200111,3.72,1.66
200112,7.47,4.26
200201,1.56,-2.53
200202,1.28,-2.09
200203,2.35,-0.41
200204,0.21,-1.01
200205,0.81,0.27
200206,0.00,-0.13
200207,0.00,-0.01
200208,0.00,-0.03
200209,0.00,-0.19
200210,0.01,-0.87
200211,2.60,0.54
200212,9.47,6.26
200301,1.28,-2.81
200302,1.44,-1.93
200303,1.65,-1.11
200304,3.08,1.86
200305,0.86,0.32
200306,0.00,-0.13
200307,0.00,-0.01
200308,0.11,0.08
200309,0.01,-0.18
200310,0.02,-0.86
200311,1.72,-0.34
200312,5.84,2.63
200401,2.69,-1.40
200402,5.04,1.67
200403,0.69,-2.07
200404,0.18,-1.04
200405,0.07,-0.47
200406,0.00,-0.13
200407,0.00,-0.01
200408,0.00,-0.03
200409,0.19,0.00
200410,3.11,2.23
200411,1.79,-0.27
200412,5.21,2.00
200501,4.24,0.15
200502,3.70,0.33
200503,3.65,0.89
200504,1.55,0.33
200505,1.34,0.80
200506,0.33,0.20
200507,0.00,-0.01
200508,0.00,-0.03
200509,0.05,-0.14
200510,0.21,-0.67
200511,1.13,-0.93
200512,9.05,5.84
200601,3.05,-1.04
200602,1.99,-1.38
200603,6.38,3.62
200604,4.02,2.80
200605,0.63,0.09
200606,0.01,-0.12
200607,0.00,-0.01
200608,0.00,-0.03
200609,0.00,-0.19
200610,0.27,-0.61
200611,1.67,-0.39
200612,2.61,-0.60
200701,0.52,-3.57
200702,3.93,0.56
200703,0.27,-2.49
200704,1.18,-0.04
200705,0.24,-0.30
200706,0.00,-0.13
200707,0.02,0.01
200708,0.00,-0.03
200709,0.12,-0.07
200710,1.54,0.66
200711,0.69,-1.37
200712,2.75,-0.46
200801,7.53,3.44
200802,2.14,-1.23
200803,0.17,-2.59
200804,0.07,-1.15
200805,0.01,-0.53
200806,0.00,-0.13
200807,0.00,-0.01
200808,0.00,-0.03
200809,0.00,-0.19
200810,0.32,-0.56
200811,2.00,-0.06
200812,2.05,-1.16
200901,1.16,-2.93
200902,5.79,2.42
200903,2.44,-0.32
200904,0.66,-0.56
200905,0.74,0.20
200906,0.04,-0.09
200907,0.00,-0.01
200908,0.00,-0.03
200909,0.18,-0.01
200910,3.79,2.91
200911,0.47,-1.59
200912,2.56,-0.65
201001,6.20,2.11
201002,2.82,-0.55
201003,2.19,-0.57
201004,3.10,1.88
201005,0.79,0.25
201006,0.01,-0.12
201007,0.00,-0.01
201008,0.00,-0.03
201009,0.01,-0.18
201010,1.24,0.36
201011,2.32,0.26
201012,5.76,2.55
201101,1.28,-2.81
201102,3.75,0.38
201103,6.39,3.63
201104,0.32,-0.90
201105,0.83,0.29
201106,0.67,0.54
201107,0.01,0.00
201108,0.00,-0.03
201109,0.01,-0.18
201110,1.19,0.31
201111,1.10,-0.96
201112,0.14,-3.07
201201,2.75,-1.34
201202,1.04,-2.33
201203,5.11,2.35
201204,2.64,1.42
201205,0.03,-0.51
201206,0.09,-0.04
201207,0.01,0.00
201208,0.00,-0.03
201209,0.00,-0.19
201210,1.01,0.13
201211,4.40,2.34
201212,6.17,2.96
201301,0.79,-3.30
201302,0.40,-2.97
201303,0.60,-2.16
201304,0.78,-0.44
201305,0.07,-0.47
201306,0.20,0.07
201307,0.00,-0.01
201308,0.01,-0.02
201309,0.63,0.44
201310,0.00,-0.88
201311,1.33,-0.73
201312,0.46,-2.75
201401,0.14,-3.95
201402,4.68,1.31
201403,2.12,-0.64
201404,1.72,0.50
201405,0.02,-0.52
201406,0.01,-0.12
201407,0.01,0.00
201408,0.03,0.00
201409,0.37,0.18
201410,0.47,-0.41
201411,1.58,-0.48
201412,9.92,6.71
201501,0.01,-4.08
201502,2.34,-1.03
201503,0.26,-2.50
201504,1.09,-0.13
201505,0.20,-0.34
201506,0.27,0.14
201507,0.02,0.01
201508,0.01,-0.02
201509,0.04,-0.15
201510,0.07,-0.81
201511,1.86,-0.20
201512,3.11,-0.10
201601,6.44,2.35
201602,0.80,-2.57
201603,5.64,2.88
201604,1.65,0.43
201605,0.22,-0.32
201606,0.00,-0.13
201607,0.00,-0.01
201608,0.00,-0.03
201609,0.00,-0.19
201610,3.05,2.17
201611,1.39,-0.67
201612,3.36,0.15
201701,10.68,6.59
201702,7.61,4.24
201703,2.73,-0.03
201704,2.57,1.35
201705,0.03,-0.51
201706,0.08,-0.05
201707,0.00,-0.01
201708,0.01,-0.02
201709,0.03,-0.16
201710,0.25,-0.63
201711,2.73,0.67
201712,0.12,-3.09
201801,4.02,-0.07
201802,0.60,-2.77
201803,4.97,2.21
201804,2.39,1.17
201805,0.03,-0.51
201806,0.00,-0.13
201807,0.00,-0.01
201808,0.00,-0.03
201809,0.00,-0.19
201810,0.22,-0.66
201811,3.09,1.03
201812,2.20,-1.01
201901,4.66,0.57
201902,7.21,3.84
201903,3.98,1.22
201904,0.39,-0.83
201905,1.93,1.39
201906,0.00,-0.13
201907,0.00,-0.01
201908,0.00,-0.03
201909,0.15,-0.04
201910,0.00,-0.88
201911,0.90,-1.16
201912,4.07,0.86
202001,1.54,-2.55
202002,0.00,-3.37
202003,1.91,-0.85
202004,1.18,-0.04
202005,0.53,-0.01
202006,0.00,-0.13
202007,0.00,-0.01
202008,0.09,0.06
202009,0.00,-0.19
202010,0.00,-0.88
202011,0.44,-1.62
202012,1.54,-1.67
202101,2.54,-1.55
202102,0.93,-2.44
202103,1.12,-1.64
202104,0.06,-1.16
202105,0.01,-0.53
202106,0.00,-0.13
202107,0.00,-0.01
202108,0.00,-0.03
202109,0.03,-0.16
202110,5.03,4.15
202111,1.02,-1.04
202112,6.22,3.01
202201,0.20,-3.89
202202,0.03,-3.34
202203,0.67,-2.09
202204,1.18,-0.04
202205,0.01,-0.53
202206,0.09,-0.04
202207,0.00,-0.01
202208,0.00,-0.03
202209,0.56,0.37
202210,0.00,-0.88
202211,1.56,-0.50
202212,9.13,5.92
202301,9.27,5.18
202302,2.97,-0.40
202303,6.53,3.77
