Yolo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.00,-0.02
191709,0.38,0.16
191710,0.00,-0.94
191711,0.29,-1.95
191712,0.72,-2.90
191801,0.94,-3.31
191802,4.30,0.44
191803,3.23,0.39
191804,0.88,-0.36
191805,0.02,-0.57
191806,0.01,-0.17
191807,0.00,-0.01
191808,0.00,-0.02
191809,1.32,1.10
191810,0.31,-0.63
191811,2.38,0.14
191812,2.13,-1.49
191901,2.70,-1.55
191902,7.47,3.61
191903,1.83,-1.01
191904,0.12,-1.12
191905,0.01,-0.58
191906,0.00,-0.18
191907,0.00,-0.01
191908,0.00,-0.02
191909,0.60,0.38
191910,0.08,-0.86
191911,0.30,-1.94
191912,3.26,-0.36
192001,0.41,-3.84
192002,0.88,-2.98
192003,3.96,1.12
192004,1.52,0.28
192005,0.00,-0.59
192006,0.12,-0.06
192007,0.02,0.01
192008,0.02,0.00
192009,0.05,-0.17
192010,1.63,0.69
192011,4.67,2.43
192012,5.65,2.03
192101,5.64,1.39
192102,0.75,-3.11
192103,1.71,-1.13
192104,0.45,-0.79
192105,0.60,0.01
192106,0.01,-0.17
192107,0.00,-0.01
192108,0.00,-0.02
192109,0.01,-0.21
192110,0.41,-0.53
192111,1.33,-0.91
192112,5.75,2.13
192201,2.03,-2.22
192202,6.63,2.77
192203,1.89,-0.95
192204,0.49,-0.75
192205,0.54,-0.05
192206,0.04,-0.14
192207,0.00,-0.01
192208,0.00,-0.02
192209,0.00,-0.22
192210,1.85,0.91
192211,4.21,1.97
192212,9.08,5.46
192301,2.47,-1.78
192302,0.65,-3.21
192303,0.11,-2.73
192304,3.14,1.90
192305,0.10,-0.49
192306,0.12,-0.06
192307,0.00,-0.01
192308,0.03,0.01
192309,0.78,0.56
192310,0.39,-0.55
192311,0.52,-1.72
192312,1.20,-2.42
192401,2.96,-1.29
192402,3.02,-0.84
192403,1.42,-1.42
192404,0.27,-0.97
192405,0.07,-0.52
192406,0.00,-0.18
192407,0.00,-0.01
192408,0.00,-0.02
192409,0.00,-0.22
192410,3.08,2.14
192411,1.49,-0.75
192412,5.21,1.59
192501,1.25,-3.00
192502,6.19,2.33
192503,2.22,-0.62
192504,2.01,0.77
192505,2.46,1.87
192506,0.14,-0.04
192507,0.01,0.00
192508,0.04,0.02
192509,0.21,-0.01
192510,0.10,-0.84
192511,1.84,-0.40
192512,1.33,-2.29
192601,4.78,0.53
192602,6.31,2.45
192603,0.12,-2.72
192604,5.80,4.56
192605,0.39,-0.20
192606,0.00,-0.18
192607,0.00,-0.01
192608,0.07,0.05
192609,0.00,-0.22
192610,1.90,0.96
192611,6.41,4.17
192612,0.84,-2.78
192701,2.67,-1.58
192702,6.16,2.30
192703,1.59,-1.25
192704,2.16,0.92
192705,0.27,-0.32
192706,0.55,0.37
192707,0.00,-0.01
192708,0.01,-0.01
192709,0.00,-0.22
192710,1.62,0.68
192711,3.21,0.97
192712,2.95,-0.67
192801,2.04,-2.21
192802,2.50,-1.36
192803,4.37,1.53
192804,1.20,-0.04
192805,0.13,-0.46
192806,0.03,-0.15
192807,0.00,-0.01
192808,0.00,-0.02
192809,0.00,-0.22
192810,0.15,-0.79
192811,3.40,1.16
192812,3.90,0.28
192901,0.78,-3.47
192902,2.10,-1.76
192903,1.79,-1.05
192904,0.66,-0.58
192905,0.01,-0.58
192906,0.90,0.72
192907,0.00,-0.01
192908,0.00,-0.02
192909,0.00,-0.22
192910,0.15,-0.79
192911,0.00,-2.24
192912,6.32,2.70
193001,4.74,0.49
193002,2.90,-0.96
193003,3.99,1.15
193004,1.19,-0.05
193005,0.35,-0.24
193006,0.00,-0.18
193007,0.00,-0.01
193008,0.00,-0.02
193009,0.20,-0.02
193010,0.71,-0.23
193011,1.29,-0.95
193012,0.39,-3.23
193101,4.29,0.04
193102,1.40,-2.46
193103,1.36,-1.48
193104,0.16,-1.08
193105,1.15,0.56
193106,0.53,0.35
193107,0.00,-0.01
193108,0.00,-0.02
193109,0.00,-0.22
193110,0.43,-0.51
193111,1.90,-0.34
193112,10.22,6.60
193201,1.91,-2.34
193202,2.27,-1.59
193203,0.51,-2.33
193204,0.71,-0.53
193205,0.61,0.02
193206,0.03,-0.15
193207,0.00,-0.01
193208,0.00,-0.02
193209,0.00,-0.22
193210,0.00,-0.94
193211,0.47,-1.77
193212,2.87,-0.75
193301,4.34,0.09
193302,0.85,-3.01
193303,2.54,-0.30
193304,0.03,-1.21
193305,0.92,0.33
193306,0.01,-0.17
193307,0.00,-0.01
193308,0.00,-0.02
193309,0.02,-0.20
193310,1.45,0.51
193311,0.01,-2.23
193312,5.99,2.37
193401,1.29,-2.96
193402,4.18,0.32
193403,0.23,-2.61
193404,0.38,-0.86
193405,0.62,0.03
193406,0.57,0.39
193407,0.00,-0.01
193408,0.00,-0.02
193409,0.02,-0.20
193410,0.91,-0.03
193411,3.29,1.05
193412,2.96,-0.66
193501,6.02,1.77
193502,1.31,-2.55
193503,3.99,1.15
193504,4.02,2.78
193505,0.02,-0.57
193506,0.00,-0.18
193507,0.00,-0.01
193508,0.01,-0.01
