Placer County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199405,2.31,0.30
199406,0.09,-0.62
199407,0.01,-0.08
199408,0.00,-0.15
199409,0.63,-0.08
199410,1.21,-1.28
199411,10.60,5.25
199412,7.30,-0.02
199501,20.81,12.10
199502,1.57,-6.35
199503,21.30,14.52
199504,6.91,3.39
199505,5.20,3.19
199506,1.87,1.16
199507,0.09,0.00
199508,0.01,-0.14
199509,0.01,-0.70
199510,0.01,-2.48
199511,0.69,-4.66
199512,11.18,3.86
199601,12.59,3.88
199602,13.29,5.37
199603,6.65,-0.13
199604,5.44,1.92
199605,6.63,4.62
199606,0.46,-0.25
199607,0.15,0.06
199608,0.16,0.01
199609,0.55,-0.16
199610,2.33,-0.16
199611,7.68,2.33
199612,24.33,17.01
199701,21.13,12.42
199702,1.24,-6.68
199703,1.47,-5.31
199704,1.91,-1.61
199705,0.82,-1.19
199706,1.89,1.18
199707,0.10,0.01
199708,0.38,0.23
199709,0.43,-0.28
199710,2.67,0.18
199711,6.29,0.94
199712,4.40,-2.92
199801,14.37,5.66
199802,17.33,9.41
199803,6.88,0.10
199804,4.96,1.44
199805,6.16,4.15
199806,1.28,0.57
199807,0.10,0.01
199808,0.14,-0.01
199809,2.15,1.44
199810,1.27,-1.22
199811,9.30,3.95
199812,3.77,-3.55
199901,10.32,1.61
199902,14.13,6.21
199903,4.18,-2.60
199904,3.71,0.19
199905,1.22,-0.79
199906,0.44,-0.27
199907,0.05,-0.04
199908,0.41,0.26
199909,0.13,-0.58
199910,2.00,-0.49
199911,4.31,-1.04
199912,1.24,-6.08
200001,13.47,4.76
200002,16.02,8.10
200003,2.67,-4.11
200004,2.55,-0.97
200005,3.40,1.39
200006,0.60,-0.11
200007,0.01,-0.08
200008,0.06,-0.09
200009,1.08,0.37
200010,4.54,2.05
200011,1.94,-3.41
200012,2.02,-5.30
200101,4.38,-4.33
200102,6.82,-1.10
200103,3.12,-3.66
200104,4.41,0.89
200105,0.16,-1.85
200106,0.15,-0.56
200107,0.05,-0.04
200108,0.01,-0.14
200109,0.57,-0.14
200110,1.22,-1.27
200111,7.77,2.42
200112,12.57,5.25
200201,4.95,-3.76
200202,3.65,-4.27
200203,7.06,0.28
200204,2.19,-1.33
200205,1.79,-0.22
200206,0.01,-0.70
200207,0.07,-0.02
200208,0.03,-0.12
200209,0.05,-0.66
200210,0.05,-2.44
200211,6.48,1.13
200212,14.32,7.00
200301,3.27,-5.44
200302,2.84,-5.08
200303,4.65,-2.13
200304,9.27,5.75
200305,2.02,0.01
200306,0.12,-0.59
200307,0.14,0.05
200308,0.89,0.74
200309,0.17,-0.54
200310,0.51,-1.98
200311,3.36,-1.99
200312,12.60,5.28
200401,4.32,-4.39
200402,9.98,2.06
200403,1.71,-5.07
200404,0.99,-2.53
200405,0.94,-1.07
200406,0.14,-0.57
200407,0.02,-0.07
200408,0.05,-0.10
200409,0.29,-0.42
200410,6.74,4.25
200411,4.09,-1.26
200412,8.86,1.54
200501,8.91,0.20
200502,4.53,-3.39
200503,8.72,1.94
200504,3.28,-0.24
200505,6.42,4.41
200506,1.91,1.20
200507,0.02,-0.07
200508,0.12,-0.03
200509,0.57,-0.14
200510,1.40,-1.09
200511,3.85,-1.50
200512,23.47,16.15
200601,8.61,-0.10
200602,6.39,-1.53
200603,11.57,4.79
200604,10.80,7.28
200605,1.25,-0.76
200606,0.21,-0.50
200607,0.05,-0.04
200608,0.02,-0.13
200609,0.05,-0.66
200610,0.68,-1.81
200611,4.39,-0.96
200612,5.89,-1.43
200701,1.69,-7.02
200702,11.40,3.48
200703,1.51,-5.27
200704,3.13,-0.39
200705,1.11,-0.90
200706,0.33,-0.38
200707,0.03,-0.06
200708,0.06,-0.09
200709,1.02,0.31
200710,3.14,0.65
200711,1.38,-3.97
200712,6.44,-0.88
200801,12.52,3.81
200802,5.94,-1.98
200803,1.47,-5.31
200804,0.42,-3.10
200805,1.07,-0.94
200806,0.00,-0.71
200807,0.02,-0.07
200808,0.00,-0.15
200809,0.01,-0.70
200810,1.70,-0.79
200811,4.52,-0.83
200812,6.03,-1.29
200901,3.60,-5.11
200902,8.41,0.49
200903,7.02,0.24
200904,1.65,-1.87
200905,4.51,2.50
200906,0.81,0.10
200907,0.05,-0.04
200908,0.12,-0.03
200909,0.07,-0.64
200910,4.22,1.73
200911,1.75,-3.60
200912,6.83,-0.49
201001,8.66,-0.05
201002,5.79,-2.13
201003,5.38,-1.40
201004,7.23,3.71
201005,3.36,1.35
201006,0.29,-0.42
201007,0.02,-0.07
201008,0.10,-0.05
201009,0.03,-0.68
201010,8.07,5.58
201011,7.32,1.97
201012,15.49,8.17
201101,2.04,-6.67
201102,6.59,-1.33
201103,16.05,9.27
201104,2.89,-0.63
201105,3.52,1.51
201106,2.71,2.00
201107,0.09,0.00
201108,0.03,-0.12
201109,0.40,-0.31
201110,3.48,0.99
201111,2.19,-3.16
201112,0.15,-7.17
201201,6.86,-1.85
201202,2.85,-5.07
201203,12.07,5.29
201204,5.72,2.20
201205,0.47,-1.54
201206,0.78,0.07
201207,0.20,0.11
201208,0.20,0.05
201209,0.11,-0.60
201210,2.48,-0.01
201211,9.74,4.39
201212,13.49,6.17
201301,1.23,-7.48
201302,0.59,-7.33
201303,3.14,-3.64
201304,1.33,-2.19
201305,1.75,-0.26
201306,1.45,0.74
201307,0.05,-0.04
201308,0.06,-0.09
201309,1.50,0.79
201310,0.80,-1.69
201311,1.58,-3.77
201312,1.12,-6.20
201401,2.26,-6.45
201402,11.55,3.63
201403,6.33,-0.45
201404,2.53,-0.99
201405,1.21,-0.80
201406,0.01,-0.70
201407,0.23,0.14
201408,0.47,0.32
201409,1.33,0.62
201410,1.35,-1.14
201411,4.13,-1.22
201412,10.63,3.31
201501,0.12,-8.59
201502,6.73,-1.19
201503,0.75,-6.03
201504,3.23,-0.29
201505,1.93,-0.08
201506,0.77,0.06
201507,0.30,0.21
201508,0.06,-0.09
201509,0.15,-0.56
201510,1.83,-0.66
201511,4.98,-0.37
201512,10.15,2.83
201601,12.37,3.66
201602,2.12,-5.80
201603,12.08,5.30
201604,3.40,-0.12
201605,2.18,0.17
201606,0.08,-0.63
201607,0.00,-0.09
201608,0.04,-0.11
201609,0.06,-0.65
201610,10.95,8.46
201611,4.25,-1.10
201612,9.75,2.43
201701,25.03,16.32
201702,21.21,13.29
201703,6.08,-0.70
201704,7.91,4.39
201705,1.08,-0.93
201706,0.56,-0.15
201707,0.01,-0.08
201708,0.27,0.12
201709,0.91,0.20
201710,0.85,-1.64
201711,11.12,5.77
201712,0.81,-6.51
201801,7.27,-1.44
201802,1.36,-6.56
201803,15.13,8.35
201804,5.05,1.53
201805,2.13,0.12
201806,0.06,-0.65
201807,0.09,0.00
201808,0.01,-0.14
201809,0.02,-0.69
201810,0.90,-1.59
201811,6.30,0.95
201812,4.10,-3.22
201901,11.64,2.93
201902,20.49,12.57
201903,7.68,0.90
201904,2.71,-0.81
201905,5.48,3.47
201906,0.23,-0.48
201907,0.03,-0.06
201908,0.01,-0.14
201909,1.72,1.01
201910,0.13,-2.36
201911,2.09,-3.26
201912,9.61,2.29
202001,3.79,-4.92
202002,0.13,-7.79
202003,6.63,-0.15
202004,3.52,0.00
202005,2.50,0.49
202006,0.27,-0.44
202007,0.06,-0.03
202008,0.07,-0.08
202009,0.01,-0.70
202010,0.02,-2.47
202011,4.11,-1.24
202012,3.84,-3.48
202101,5.65,-3.06
202102,3.60,-4.32
202103,3.45,-3.33
202104,0.59,-2.93
202105,0.51,-1.50
202106,0.05,-0.66
202107,0.09,0.00
202108,0.03,-0.12
202109,0.57,-0.14
202110,12.55,10.06
202111,2.01,-3.34
202112,15.24,7.92
202201,0.68,-8.03
202202,0.69,-7.23
202203,1.41,-5.37
202204,5.80,2.28
202205,0.67,-1.34
202206,1.02,0.31
202207,0.01,-0.08
202208,0.24,0.09
202209,1.54,0.83
202210,0.09,-2.40
202211,4.20,-1.15
202212,19.16,11.84
202301,15.71,7.00
202302,7.72,-0.20
202303,13.82,7.04
