Placer County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.17,0.08
191708,0.01,-0.14
191709,0.23,-0.48
191710,0.03,-2.46
191711,1.67,-3.68
191712,2.92,-4.40
191801,1.56,-7.15
191802,11.81,3.89
191803,10.89,4.11
191804,2.05,-1.47
191805,0.29,-1.72
191806,0.18,-0.53
191807,0.01,-0.08
191808,0.03,-0.12
191809,3.89,3.18
191810,2.41,-0.08
191811,4.68,-0.67
191812,2.23,-5.09
191901,3.45,-5.26
191902,16.94,9.02
191903,5.40,-1.38
191904,1.44,-2.08
191905,0.26,-1.75
191906,0.00,-0.71
191907,0.02,-0.07
191908,0.00,-0.15
191909,1.00,0.29
191910,0.94,-1.55
191911,1.27,-4.08
191912,7.22,-0.10
192001,1.32,-7.39
192002,2.99,-4.93
192003,10.15,3.37
192004,5.03,1.51
192005,0.05,-1.96
192006,1.02,0.31
192007,0.15,0.06
192008,0.58,0.43
192009,0.51,-0.20
192010,5.36,2.87
192011,9.94,4.59
192012,10.73,3.41
192101,11.15,2.44
192102,3.59,-4.33
192103,5.32,-1.46
192104,0.89,-2.63
192105,3.40,1.39
192106,0.41,-0.30
192107,0.00,-0.09
192108,0.00,-0.15
192109,0.08,-0.63
192110,1.03,-1.46
192111,2.07,-3.28
192112,11.53,4.21
192201,4.23,-4.48
192202,16.65,8.73
192203,7.05,0.27
192204,2.01,-1.51
192205,2.79,0.78
192206,0.57,-0.14
192207,0.18,0.09
192208,0.07,-0.08
192209,0.01,-0.70
192210,2.18,-0.31
192211,6.53,1.18
192212,16.00,8.68
192301,6.71,-2.00
192302,2.20,-5.72
192303,0.78,-6.00
192304,7.60,4.08
192305,1.11,-0.90
192306,1.36,0.65
192307,0.10,0.01
192308,0.27,0.12
192309,2.27,1.56
192310,1.83,-0.66
192311,0.96,-4.39
192312,3.44,-3.88
192401,3.10,-5.61
192402,3.51,-4.41
192403,3.72,-3.06
192404,1.08,-2.44
192405,0.12,-1.89
192406,0.00,-0.71
192407,0.00,-0.09
192408,0.00,-0.15
192409,0.23,-0.48
192410,6.37,3.88
192411,3.17,-2.18
192412,7.48,0.16
192501,2.43,-6.28
192502,12.92,5.00
192503,3.86,-2.92
192504,4.55,1.03
192505,2.70,0.69
192506,1.08,0.37
192507,0.25,0.16
192508,0.59,0.44
192509,1.00,0.29
192510,1.84,-0.65
192511,3.36,-1.99
192512,2.94,-4.38
192601,5.62,-3.09
192602,10.96,3.04
192603,0.41,-6.37
192604,7.78,4.26
192605,1.60,-0.41
192606,0.04,-0.67
192607,0.04,-0.05
192608,0.03,-0.12
192609,0.05,-0.66
192610,2.49,0.00
192611,14.54,9.19
192612,2.20,-5.12
192701,6.85,-1.86
192702,14.35,6.43
192703,4.70,-2.08
192704,6.70,3.18
192705,1.42,-0.59
192706,0.77,0.06
192707,0.01,-0.08
192708,0.00,-0.15
192709,0.25,-0.46
192710,3.09,0.60
192711,7.48,2.13
192712,4.59,-2.73
192801,2.95,-5.76
192802,2.97,-4.95
192803,15.17,8.39
192804,4.28,0.76
192805,0.27,-1.74
192806,0.20,-0.51
192807,0.05,-0.04
192808,0.00,-0.15
192809,0.12,-0.59
192810,0.42,-2.07
192811,4.44,-0.91
192812,5.24,-2.08
192901,2.65,-6.06
192902,4.32,-3.60
192903,4.58,-2.20
192904,4.02,0.50
192905,0.12,-1.89
192906,3.24,2.53
192907,0.03,-0.06
192908,0.07,-0.08
192909,0.08,-0.63
192910,0.21,-2.28
192911,0.00,-5.35
192912,12.88,5.56
193001,8.12,-0.59
193002,4.75,-3.17
193003,5.55,-1.23
193004,3.60,0.08
193005,1.53,-0.48
193006,0.00,-0.71
193007,0.01,-0.08
193008,0.15,0.00
193009,0.74,0.03
193010,0.47,-2.02
193011,5.58,0.23
193012,0.61,-6.71
193101,5.63,-3.08
193102,3.94,-3.98
193103,3.67,-3.11
193104,2.10,-1.42
193105,2.01,0.00
193106,1.59,0.88
193107,0.01,-0.08
193108,0.03,-0.12
193109,0.37,-0.34
193110,3.68,1.19
193111,4.71,-0.64
193112,15.27,7.95
193201,7.07,-1.64
193202,5.53,-2.39
193203,1.99,-4.79
193204,3.87,0.35
193205,2.49,0.48
193206,0.70,-0.01
193207,0.05,-0.04
193208,0.00,-0.15
193209,0.08,-0.63
193210,0.21,-2.28
193211,1.33,-4.02
193212,3.90,-3.42
193301,8.71,0.00
193302,1.65,-6.27
193303,6.13,-0.65
193304,0.92,-2.60
193305,3.83,1.82
193306,0.13,-0.58
193307,0.06,-0.03
193308,0.02,-0.13
193309,0.25,-0.46
193310,5.36,2.87
193311,0.05,-5.30
193312,11.26,3.94
193401,3.27,-5.44
193402,6.29,-1.63
193403,1.54,-5.24
193404,1.24,-2.28
193405,1.39,-0.62
193406,1.64,0.93
193407,0.00,-0.09
193408,0.13,-0.02
193409,1.02,0.31
193410,2.93,0.44
193411,7.03,1.68
193412,4.00,-3.32
193501,9.10,0.39
193502,3.38,-4.54
193503,7.40,0.62
193504,12.10,8.58
193505,0.58,-1.43
193506,0.00,-0.71
193507,0.07,-0.02
193508,0.07,-0.08
193509,0.03,-0.68
193510,3.11,0.62
193511,2.25,-3.10
193512,3.94,-3.38
193601,13.63,4.92
193602,19.70,11.78
193603,3.79,-2.99
193604,2.98,-0.54
193605,0.96,-1.05
193606,2.18,1.47
193607,0.06,-0.03
193608,0.09,-0.06
193609,0.55,-0.16
193610,0.54,-1.95
193611,0.13,-5.22
193612,6.58,-0.74
193701,8.32,-0.39
193702,12.90,4.98
193703,8.40,1.62
193704,3.51,-0.01
193705,0.33,-1.68
193706,1.33,0.62
193707,0.10,0.01
193708,0.00,-0.15
193709,0.03,-0.68
193710,2.09,-0.40
193711,7.74,2.39
193712,10.32,3.00
193801,5.70,-3.01
193802,18.37,10.45
193803,14.97,8.19
193804,3.13,-0.39
193805,1.29,-0.72
193806,0.55,-0.16
193807,0.30,0.21
193808,0.00,-0.15
193809,0.29,-0.42
193810,3.32,0.83
193811,2.28,-3.07
193812,1.94,-5.38
193901,5.32,-3.39
193902,4.09,-3.83
193903,5.64,-1.14
193904,0.30,-3.22
193905,3.36,1.35
193906,0.09,-0.62
193907,0.02,-0.07
193908,0.04,-0.11
193909,1.38,0.67
193910,3.02,0.53
193911,0.60,-4.75
193912,2.40,-4.92
194001,17.91,9.20
194002,15.81,7.89
194003,10.99,4.21
194004,1.81,-1.71
194005,1.33,-0.68
194006,0.10,-0.61
194007,0.01,-0.08
194008,0.05,-0.10
194009,0.63,-0.08
194010,2.32,-0.17
194011,4.57,-0.78
194012,14.95,7.63
194101,9.66,0.95
194102,9.29,1.37
194103,4.43,-2.35
194104,5.92,2.40
194105,3.02,1.01
194106,0.67,-0.04
194107,0.13,0.04
194108,0.06,-0.09
194109,0.21,-0.50
194110,1.97,-0.52
194111,3.84,-1.51
194112,15.04,7.72
194201,10.58,1.87
194202,8.82,0.90
194203,3.06,-3.72
194204,8.32,4.80
194205,5.42,3.41
194206,0.08,-0.63
194207,0.00,-0.09
194208,0.02,-0.13
194209,0.10,-0.61
194210,0.45,-2.04
194211,11.20,5.85
194212,7.69,0.37
194301,14.81,6.10
194302,4.05,-3.87
194303,10.22,3.44
194304,3.58,0.06
194305,0.88,-1.13
194306,1.10,0.39
194307,0.14,0.05
194308,0.00,-0.15
194309,0.00,-0.71
194310,1.47,-1.02
194311,1.67,-3.68
194312,3.22,-4.10
194401,6.41,-2.30
194402,9.96,2.04
194403,4.04,-2.74
194404,3.67,0.15
194405,1.59,-0.42
194406,0.79,0.08
194407,0.12,0.03
194408,0.00,-0.15
194409,0.21,-0.50
194410,3.14,0.65
194411,9.65,4.30
194412,5.28,-2.04
194501,1.60,-7.11
194502,11.81,3.89
194503,7.00,0.22
194504,1.51,-2.01
194505,3.25,1.24
194506,1.14,0.43
194507,0.08,-0.01
194508,0.04,-0.11
194509,0.02,-0.69
194510,6.81,4.32
194511,6.80,1.45
194512,14.52,7.20
194601,2.47,-6.24
194602,3.84,-4.08
194603,7.14,0.36
194604,0.33,-3.19
194605,1.20,-0.81
194606,0.00,-0.71
194607,0.35,0.26
194608,0.00,-0.15
194609,0.83,0.12
194610,1.66,-0.83
194611,9.15,3.80
194612,4.06,-3.26
194701,1.99,-6.72
194702,4.44,-3.48
194703,8.33,1.55
194704,1.67,-1.85
194705,0.66,-1.35
194706,1.64,0.93
194707,0.00,-0.09
194708,0.02,-0.13
194709,0.07,-0.64
194710,7.03,4.54
194711,1.78,-3.57
194712,1.03,-6.29
194801,5.00,-3.71
194802,3.95,-3.97
194803,7.36,0.58
194804,10.60,7.08
194805,3.67,1.66
194806,0.33,-0.38
194807,0.00,-0.09
194808,0.03,-0.12
194809,0.12,-0.59
194810,0.64,-1.85
194811,3.85,-1.50
194812,7.95,0.63
194901,3.43,-5.28
194902,5.80,-2.12
194903,10.04,3.26
194904,0.29,-3.23
194905,2.90,0.89
194906,0.04,-0.67
194907,0.02,-0.07
194908,0.41,0.26
194909,0.12,-0.59
194910,0.34,-2.15
194911,3.98,-1.37
194912,3.16,-4.16
195001,15.57,6.86
195002,5.65,-2.27
195003,7.38,0.60
195004,4.15,0.63
195005,2.43,0.42
195006,0.61,-0.10
195007,0.04,-0.05
195008,0.02,-0.13
195009,0.63,-0.08
195010,6.89,4.40
195011,16.98,11.63
195012,13.06,5.74
195101,10.06,1.35
195102,5.09,-2.83
195103,3.89,-2.89
195104,3.18,-0.34
195105,2.97,0.96
195106,0.13,-0.58
195107,0.00,-0.09
195108,0.05,-0.10
195109,0.10,-0.61
195110,5.58,3.09
195111,7.44,2.09
195112,14.86,7.54
195201,16.69,7.98
195202,7.82,-0.10
195203,10.68,3.90
195204,2.31,-1.21
195205,0.85,-1.16
195206,1.03,0.32
195207,0.40,0.31
195208,0.01,-0.14
195209,0.52,-0.19
195210,0.07,-2.42
195211,3.73,-1.62
195212,12.73,5.41
195301,10.48,1.77
195302,0.39,-7.53
195303,5.61,-1.17
195304,6.71,3.19
195305,3.70,1.69
195306,1.44,0.73
195307,0.02,-0.07
195308,0.26,0.11
195309,0.05,-0.66
195310,1.66,-0.83
195311,4.87,-0.48
195312,2.71,-4.61
195401,8.00,-0.71
195402,7.13,-0.79
195403,9.19,2.41
195404,4.03,0.51
195405,0.29,-1.72
195406,1.15,0.44
195407,0.00,-0.09
195408,0.26,0.11
195409,0.11,-0.60
195410,0.24,-2.25
195411,4.80,-0.55
195412,10.11,2.79
195501,6.23,-2.48
195502,3.76,-4.16
195503,1.91,-4.87
195504,5.80,2.28
195505,1.49,-0.52
195506,0.15,-0.56
195507,0.08,-0.01
195508,0.00,-0.15
195509,0.71,0.00
195510,0.73,-1.76
195511,4.75,-0.60
195512,29.96,22.64
195601,15.80,7.09
195602,6.04,-1.88
195603,0.85,-5.93
195604,3.34,-0.18
195605,4.50,2.49
195606,0.06,-0.65
195607,0.19,0.10
