Siskiyou County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199401,3.61,-3.13
199402,3.59,-2.03
199403,1.39,-3.26
199404,1.61,-1.10
199405,2.80,0.83
199406,0.46,-0.63
199407,0.05,-0.31
199408,0.00,-0.37
199409,0.62,-0.32
199410,0.40,-2.21
199411,7.10,1.70
199412,3.58,-2.77
199501,16.04,9.30
199502,2.03,-3.59
199503,14.36,9.71
199504,6.66,3.95
199505,2.37,0.40
199506,2.64,1.55
199507,1.09,0.73
199508,0.02,-0.35
199509,0.15,-0.79
199510,0.27,-2.34
199511,1.73,-3.67
199512,13.89,7.54
199601,10.42,3.68
199602,7.18,1.56
199603,3.46,-1.19
199604,4.76,2.05
199605,4.45,2.48
199606,0.69,-0.40
199607,0.50,0.14
199608,0.09,-0.28
199609,1.06,0.12
199610,3.01,0.40
199611,6.63,1.23
199612,18.53,12.18
199701,9.46,2.72
199702,2.14,-3.48
199703,2.36,-2.29
199704,2.90,0.19
199705,1.02,-0.95
199706,2.11,1.02
199707,0.59,0.23
199708,1.26,0.89
199709,1.59,0.65
199710,3.40,0.79
199711,6.03,0.63
199712,3.25,-3.10
199801,12.51,5.77
199802,12.12,6.50
199803,7.18,2.53
199804,3.02,0.31
199805,5.98,4.01
199806,1.93,0.84
199807,0.36,0.00
199808,0.02,-0.35
199809,0.79,-0.15
199810,2.12,-0.49
199811,13.98,8.58
199812,3.93,-2.42
199901,6.34,-0.40
199902,10.53,4.91
199903,3.75,-0.90
199904,1.52,-1.19
199905,0.52,-1.45
199906,0.14,-0.95
199907,0.02,-0.34
199908,0.92,0.55
199909,0.01,-0.93
199910,2.62,0.01
199911,5.34,-0.06
199912,2.16,-4.19
200001,10.72,3.98
200002,8.20,2.58
200003,2.69,-1.96
200004,4.25,1.54
200005,1.43,-0.54
200006,0.45,-0.64
200007,0.49,0.13
200008,0.11,-0.26
200009,0.83,-0.11
200010,2.97,0.36
200011,1.88,-3.52
200012,2.14,-4.21
200101,2.69,-4.05
200102,3.50,-2.12
200103,3.04,-1.61
200104,2.41,-0.30
200105,0.78,-1.19
200106,0.99,-0.10
200107,0.71,0.35
200108,0.08,-0.29
200109,1.38,0.44
200110,1.07,-1.54
200111,8.00,2.60
200112,8.75,2.40
200201,4.90,-1.84
200202,3.54,-2.08
200203,2.39,-2.26
200204,2.87,0.16
200205,1.08,-0.89
200206,0.45,-0.64
200207,0.12,-0.24
200208,0.01,-0.36
200209,0.18,-0.76
200210,0.05,-2.56
200211,5.04,-0.36
200212,17.16,10.81
200301,5.05,-1.69
200302,2.28,-3.34
200303,6.03,1.38
200304,6.95,4.24
200305,1.11,-0.86
200306,0.11,-0.98
200307,0.46,0.10
200308,0.77,0.40
200309,0.41,-0.53
200310,0.12,-2.49
200311,4.47,-0.93
200312,8.92,2.57
200401,4.99,-1.75
200402,8.67,3.05
200403,2.25,-2.40
200404,1.78,-0.93
200405,1.96,-0.01
200406,0.31,-0.78
200407,0.25,-0.11
200408,0.35,-0.02
200409,0.21,-0.73
200410,5.29,2.68
200411,2.26,-3.14
200412,8.56,2.21
200501,3.97,-2.77
200502,1.71,-3.91
200503,4.41,-0.24
200504,4.03,1.32
200505,5.65,3.68
200506,1.62,0.53
200507,0.13,-0.23
200508,0.01,-0.36
200509,0.24,-0.70
200510,1.31,-1.30
200511,8.55,3.15
200512,16.96,10.61
200601,10.23,3.49
200602,5.08,-0.54
200603,6.26,1.61
200604,4.09,1.38
200605,1.16,-0.81
200606,0.81,-0.28
200607,0.06,-0.30
200608,0.26,-0.11
200609,0.05,-0.89
200610,0.62,-1.99
200611,6.99,1.59
200612,8.42,2.07
200701,2.21,-4.53
200702,7.73,2.11
200703,1.60,-3.05
200704,1.97,-0.74
200705,0.92,-1.05
200706,0.56,-0.53
200707,0.83,0.47
200708,0.14,-0.23
200709,0.50,-0.44
200710,5.45,2.84
200711,2.23,-3.17
200712,6.10,-0.25
200801,10.02,3.28
200802,3.16,-2.46
200803,2.18,-2.47
200804,1.18,-1.53
200805,1.64,-0.33
200806,0.11,-0.98
200807,0.01,-0.35
200808,0.19,-0.18
200809,0.00,-0.94
200810,1.29,-1.32
200811,3.89,-1.51
200812,4.90,-1.45
200901,1.51,-5.23
200902,5.36,-0.26
200903,4.89,0.24
200904,0.88,-1.83
200905,2.50,0.53
200906,2.28,1.19
200907,0.06,-0.30
200908,0.28,-0.09
200909,0.11,-0.83
200910,2.67,0.06
200911,2.96,-2.44
200912,3.48,-2.87
201001,8.15,1.41
201002,3.78,-1.84
201003,4.69,0.04
201004,6.30,3.59
201005,2.06,0.09
201006,1.38,0.29
201007,0.19,-0.17
201008,0.16,-0.21
201009,0.65,-0.29
201010,5.07,2.46
201011,4.26,-1.14
201012,10.04,3.69
201101,1.90,-4.84
201102,3.61,-2.01
201103,10.72,6.07
201104,3.15,0.44
201105,2.66,0.69
201106,1.66,0.57
201107,0.52,0.16
201108,0.02,-0.35
201109,0.18,-0.76
201110,2.22,-0.39
201111,2.86,-2.54
201112,1.54,-4.81
201201,6.69,-0.05
201202,2.55,-3.07
201203,10.00,5.35
201204,3.90,1.19
201205,0.73,-1.24
201206,1.44,0.35
201207,0.31,-0.05
201208,0.06,-0.31
201209,0.00,-0.94
201210,1.87,-0.74
201211,7.36,1.96
201212,10.25,3.90
201301,2.34,-4.40
201302,0.99,-4.63
201303,2.64,-2.01
201304,1.69,-1.02
201305,2.11,0.14
201306,0.82,-0.27
201307,0.21,-0.15
201308,0.55,0.18
201309,2.67,1.73
201310,0.19,-2.42
201311,1.26,-4.14
201312,0.65,-5.70
201401,1.31,-5.43
201402,6.28,0.66
201403,6.99,2.34
201404,1.22,-1.49
201405,0.90,-1.07
201406,0.32,-0.77
201407,0.30,-0.06
201408,0.31,-0.06
201409,2.41,1.47
201410,4.54,1.93
201411,3.54,-1.86
201412,8.50,2.15
201501,1.67,-5.07
201502,7.72,2.10
201503,2.50,-2.15
201504,1.15,-1.56
201505,2.09,0.12
201506,0.52,-0.57
201507,1.03,0.67
201508,0.15,-0.22
201509,0.48,-0.46
201510,0.86,-1.75
201511,2.22,-3.18
201512,11.95,5.60
201601,10.96,4.22
201602,3.01,-2.61
201603,9.13,4.48
201604,2.06,-0.65
201605,1.56,-0.41
201606,1.15,0.06
201607,0.20,-0.16
201608,0.01,-0.36
201609,0.08,-0.86
201610,10.35,7.74
201611,3.98,-1.42
201612,6.44,0.09
201701,10.61,3.87
201702,11.90,6.28
201703,5.29,0.64
201704,4.81,2.10
201705,0.76,-1.21
201706,0.89,-0.20
201707,0.06,-0.30
201708,0.46,0.09
201709,0.45,-0.49
201710,1.07,-1.54
201711,6.23,0.83
201712,1.09,-5.26
201801,4.34,-2.40
201802,1.22,-4.40
201803,5.58,0.93
201804,3.66,0.95
201805,1.97,0.00
201806,0.34,-0.75
201807,0.29,-0.07
201808,0.00,-0.37
201809,0.21,-0.73
201810,0.97,-1.64
201811,3.36,-2.04
201812,4.29,-2.06
201901,6.39,-0.35
201902,11.59,5.97
201903,4.18,-0.47
201904,3.50,0.79
201905,3.27,1.30
201906,0.13,-0.96
201907,0.00,-0.36
201908,0.78,0.41
201909,1.95,1.01
201910,0.94,-1.67
201911,1.40,-4.00
201912,5.36,-0.99
202001,6.37,-0.37
202002,0.43,-5.19
202003,2.09,-2.56
202004,0.93,-1.78
202005,3.38,1.41
202006,0.71,-0.38
202007,0.36,0.00
202008,0.62,0.25
202009,0.08,-0.86
202010,0.23,-2.38
202011,3.88,-1.52
202012,4.14,-2.21
202101,5.55,-1.19
202102,3.83,-1.79
202103,2.61,-2.04
202104,0.59,-2.12
202105,0.25,-1.72
202106,0.48,-0.61
202107,0.17,-0.19
202108,0.03,-0.34
202109,1.52,0.58
202110,5.48,2.87
202111,2.44,-2.96
202112,6.28,-0.07
202201,1.74,-5.00
202202,0.41,-5.21
202203,1.72,-2.93
202204,3.95,1.24
202205,1.11,-0.86
202206,1.18,0.09
202207,0.48,0.12
202208,0.18,-0.19
202209,0.79,-0.15
202210,0.28,-2.33
202211,3.30,-2.10
202212,8.90,2.55
202301,7.50,0.76
202302,3.07,-2.55
202303,8.18,3.53
