San Benito County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.00,-0.02
191709,0.03,-0.17
191710,0.00,-0.66
191711,0.93,-0.74
191712,0.35,-2.46
191801,0.53,-2.92
191802,5.56,2.24
191803,5.13,2.32
191804,0.19,-1.07
191805,0.09,-0.36
191806,0.00,-0.07
191807,0.00,-0.01
191808,0.00,-0.02
191809,1.14,0.94
191810,0.43,-0.23
191811,2.79,1.12
191812,2.21,-0.60
191901,0.71,-2.74
191902,4.61,1.29
191903,2.60,-0.21
191904,0.08,-1.18
191905,0.10,-0.35
191906,0.00,-0.07
191907,0.00,-0.01
191908,0.00,-0.02
191909,0.33,0.13
191910,0.10,-0.56
191911,0.08,-1.59
191912,3.68,0.87
192001,0.53,-2.92
192002,1.86,-1.46
192003,3.82,1.01
192004,0.82,-0.44
192005,0.00,-0.45
192006,0.12,0.05
192007,0.02,0.01
192008,0.02,0.00
192009,0.02,-0.18
192010,1.61,0.95
192011,2.07,0.40
192012,2.99,0.18
192101,4.76,1.31
192102,1.18,-2.14
192103,1.60,-1.21
192104,0.68,-0.58
192105,1.16,0.71
192106,0.00,-0.07
192107,0.00,-0.01
192108,0.00,-0.02
192109,0.31,0.11
192110,0.23,-0.43
192111,0.89,-0.78
192112,8.34,5.53
192201,3.47,0.02
192202,5.58,2.26
192203,2.28,-0.53
192204,0.46,-0.80
192205,0.76,0.31
192206,0.18,0.11
192207,0.00,-0.01
192208,0.00,-0.02
192209,0.00,-0.20
192210,0.74,0.08
192211,3.43,1.76
192212,4.24,1.43
192301,2.86,-0.59
192302,0.91,-2.41
192303,0.37,-2.44
192304,2.41,1.15
192305,0.04,-0.41
192306,0.13,0.06
192307,0.00,-0.01
192308,0.00,-0.02
192309,0.56,0.36
192310,0.29,-0.37
192311,0.35,-1.32
192312,0.64,-2.17
192401,2.20,-1.25
192402,0.42,-2.90
192403,2.26,-0.55
192404,0.81,-0.45
