San Benito County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199301,8.21,4.76
199302,6.15,2.83
199303,3.43,0.62
199304,0.20,-1.06
199305,0.49,0.04
199306,0.27,0.20
199307,0.00,-0.01
199308,0.00,-0.02
199309,0.01,-0.19
199310,0.15,-0.51
199311,1.16,-0.51
199312,1.59,-1.22
199401,2.03,-1.42
199402,4.14,0.82
199403,0.58,-2.23
199404,1.21,-0.05
199405,1.50,1.05
199406,0.01,-0.06
199407,0.00,-0.01
199408,0.00,-0.02
199409,0.20,0.00
199410,0.69,0.03
199411,2.28,0.61
199412,1.23,-1.58
199501,10.53,7.08
199502,1.03,-2.29
199503,8.27,5.46
199504,1.24,-0.02
199505,1.04,0.59
199506,0.36,0.29
199507,0.11,0.10
199508,0.00,-0.02
199509,0.00,-0.20
199510,0.00,-0.66
199511,0.10,-1.57
199512,3.13,0.32
199601,4.63,1.18
199602,5.31,1.99
199603,2.51,-0.30
199604,1.04,-0.22
199605,1.12,0.67
199606,0.02,-0.05
199607,0.00,-0.01
199608,0.00,-0.02
199609,0.00,-0.20
199610,2.58,1.92
199611,2.64,0.97
199612,6.33,3.52
199701,7.08,3.63
199702,0.16,-3.16
199703,0.14,-2.67
199704,0.18,-1.08
199705,0.06,-0.39
199706,0.05,-0.02
199707,0.02,0.01
199708,0.04,0.02
199709,0.03,-0.17
199710,0.23,-0.43
199711,5.01,3.34
199712,3.84,1.03
199801,5.18,1.73
199802,13.36,10.04
199803,3.65,0.84
199804,2.43,1.17
199805,2.56,2.11
199806,0.21,0.14
199807,0.00,-0.01
199808,0.00,-0.02
199809,0.19,-0.01
199810,0.43,-0.23
199811,2.38,0.71
199812,1.12,-1.69
199901,2.56,-0.89
199902,2.75,-0.57
199903,2.52,-0.29
199904,1.59,0.33
199905,0.08,-0.37
199906,0.07,0.00
199907,0.00,-0.01
199908,0.00,-0.02
199909,0.10,-0.10
199910,0.03,-0.63
199911,1.11,-0.56
199912,0.10,-2.71
200001,4.66,1.21
200002,6.23,2.91
200003,1.40,-1.41
200004,1.15,-0.11
200005,0.27,-0.18
200006,0.25,0.18
200007,0.00,-0.01
200008,0.06,0.04
200009,0.04,-0.16
200010,2.65,1.99
200011,0.30,-1.37
200012,0.37,-2.44
200101,4.54,1.09
200102,3.92,0.60
200103,2.92,0.11
200104,1.50,0.24
200105,0.00,-0.45
200106,0.00,-0.07
200107,0.00,-0.01
200108,0.00,-0.02
200109,0.11,-0.09
200110,0.20,-0.46
200111,2.89,1.22
200112,4.09,1.28
200201,1.00,-2.45
200202,0.85,-2.47
200203,1.63,-1.18
200204,0.62,-0.64
200205,0.48,0.03
200206,0.00,-0.07
200207,0.00,-0.01
200208,0.00,-0.02
200209,0.00,-0.20
200210,0.00,-0.66
200211,3.09,1.42
200212,7.29,4.48
200301,0.79,-2.66
200302,1.99,-1.33
200303,1.51,-1.30
200304,2.29,1.03
200305,1.31,0.86
200306,0.00,-0.07
200307,0.01,0.00
200308,0.10,0.08
200309,0.00,-0.20
200310,0.11,-0.55
200311,0.77,-0.90
200312,4.79,1.98
200401,1.77,-1.68
200402,5.54,2.22
200403,0.48,-2.33
200404,0.05,-1.21
200405,0.03,-0.42
200406,0.00,-0.07
200407,0.00,-0.01
200408,0.00,-0.02
200409,0.03,-0.17
200410,3.97,3.31
200411,1.01,-0.66
200412,5.59,2.78
200501,5.00,1.55
200502,4.86,1.54
200503,3.66,0.85
200504,1.58,0.32
200505,0.78,0.33
200506,0.20,0.13
200507,0.02,0.01
200508,0.01,-0.01
200509,0.03,-0.17
200510,0.06,-0.60
200511,0.54,-1.13
200512,4.29,1.48
200601,4.18,0.73
200602,1.68,-1.64
200603,5.18,2.37
200604,3.03,1.77
200605,1.20,0.75
200606,0.00,-0.07
200607,0.06,0.05
200608,0.00,-0.02
200609,0.00,-0.20
200610,0.38,-0.28
200611,0.87,-0.80
200612,2.54,-0.27
200701,1.06,-2.39
200702,2.69,-0.63
200703,0.43,-2.38
200704,0.97,-0.29
200705,0.04,-0.41
200706,0.00,-0.07
200707,0.01,0.00
200708,0.03,0.01
200709,0.51,0.31
200710,0.78,0.12
200711,0.41,-1.26
200712,1.49,-1.32
200801,7.54,4.09
200802,2.57,-0.75
200803,0.24,-2.57
200804,0.15,-1.11
200805,0.17,-0.28
200806,0.00,-0.07
200807,0.00,-0.01
200808,0.00,-0.02
200809,0.00,-0.20
200810,0.16,-0.50
200811,1.30,-0.37
200812,2.04,-0.77
200901,2.30,-1.15
200902,4.08,0.76
200903,1.91,-0.90
200904,0.28,-0.98
200905,0.36,-0.09
200906,0.09,0.02
200907,0.00,-0.01
200908,0.02,0.00
200909,0.10,-0.10
200910,2.75,2.09
200911,0.17,-1.50
200912,2.71,-0.10
201001,6.51,3.06
201002,3.56,0.24
201003,1.50,-1.31
201004,4.01,2.75
201005,0.47,0.02
201006,0.00,-0.07
201007,0.01,0.00
201008,0.00,-0.02
201009,0.00,-0.20
201010,1.02,0.36
201011,2.27,0.60
201012,5.75,2.94
201101,2.44,-1.01
201102,4.02,0.70
201103,6.21,3.40
201104,0.40,-0.86
201105,0.82,0.37
201106,0.33,0.26
201107,0.00,-0.01
201108,0.00,-0.02
201109,0.01,-0.19
201110,1.08,0.42
201111,1.89,0.22
201112,0.21,-2.60
201201,1.89,-1.56
201202,0.88,-2.44
201203,3.98,1.17
201204,2.32,1.06
201205,0.03,-0.42
201206,0.09,0.02
201207,0.01,0.00
201208,0.00,-0.02
201209,0.00,-0.20
201210,0.28,-0.38
201211,2.67,1.00
201212,4.55,1.74
201301,1.19,-2.26
201302,0.56,-2.76
201303,0.52,-2.29
201304,0.24,-1.02
201305,0.03,-0.42
201306,0.01,-0.06
201307,0.00,-0.01
201308,0.00,-0.02
201309,0.03,-0.17
201310,0.08,-0.58
201311,0.57,-1.10
201312,0.30,-2.51
201401,0.22,-3.23
201402,3.53,0.21
201403,2.19,-0.62
201404,1.19,-0.07
201405,0.01,-0.44
201406,0.00,-0.07
201407,0.03,0.02
201408,0.00,-0.02
201409,0.10,-0.10
201410,0.25,-0.41
201411,1.86,0.19
201412,6.33,3.52
201501,0.04,-3.41
201502,1.54,-1.78
201503,0.33,-2.48
201504,0.95,-0.31
201505,0.68,0.23
201506,0.02,-0.05
201507,0.03,0.02
201508,0.06,0.04
201509,0.03,-0.17
201510,0.52,-0.14
201511,3.39,1.72
201512,2.53,-0.28
201601,5.78,2.33
201602,0.74,-2.58
201603,4.14,1.33
201604,1.29,0.03
201605,0.28,-0.17
201606,0.00,-0.07
201607,0.00,-0.01
201608,0.01,-0.01
201609,0.00,-0.20
201610,2.00,1.34
201611,1.52,-0.15
201612,1.89,-0.92
201701,9.17,5.72
201702,5.06,1.74
201703,1.68,-1.13
201704,1.22,-0.04
201705,0.11,-0.34
201706,0.03,-0.04
201707,0.02,0.01
201708,0.01,-0.01
201709,0.02,-0.18
201710,0.09,-0.57
201711,0.60,-1.07
201712,0.10,-2.71
201801,3.34,-0.11
201802,0.29,-3.03
201803,5.20,2.39
201804,1.04,-0.22
201805,0.02,-0.43
201806,0.00,-0.07
201807,0.01,0.00
201808,0.00,-0.02
201809,0.00,-0.20
201810,0.17,-0.49
201811,3.51,1.84
201812,2.20,-0.61
201901,3.51,0.06
201902,6.75,3.43
201903,2.40,-0.41
201904,0.37,-0.89
201905,1.44,0.99
201906,0.03,-0.04
201907,0.01,0.00
201908,0.00,-0.02
201909,0.03,-0.17
201910,0.00,-0.66
201911,1.85,0.18
201912,6.58,3.77
202001,1.16,-2.29
202002,0.02,-3.30
202003,3.65,0.84
202004,1.97,0.71
202005,0.30,-0.15
202006,0.00,-0.07
202007,0.01,0.00
202008,0.01,-0.01
202009,0.00,-0.20
202010,0.00,-0.66
202011,0.56,-1.11
202012,1.04,-1.77
202101,5.66,2.21
202102,0.26,-3.06
202103,1.41,-1.40
202104,0.04,-1.22
202105,0.00,-0.45
202106,0.00,-0.07
202107,0.02,0.01
202108,0.00,-0.02
202109,0.01,-0.19
202110,2.00,1.34
202111,0.40,-1.27
202112,6.27,3.46
202201,0.03,-3.42
202202,0.04,-3.28
202203,1.17,-1.64
202204,0.63,-0.63
202205,0.00,-0.45
202206,0.17,0.10
202207,0.00,-0.01
202208,0.02,0.00
202209,0.24,0.04
202210,0.00,-0.66
202211,2.04,0.37
202212,5.91,3.10
202301,7.60,4.15
202302,2.69,-0.63
202303,5.85,3.04
