Amador County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199311,2.45,-1.54
199312,3.54,-1.96
199401,2.87,-3.83
199402,5.98,-0.07
199403,0.74,-4.87
199404,3.13,0.17
199405,2.03,0.55
199406,0.01,-0.47
199407,0.00,-0.05
199408,0.00,-0.07
199409,0.49,-0.06
199410,1.53,-0.27
199411,7.54,3.55
199412,4.99,-0.51
199501,15.24,8.54
199502,0.94,-5.11
199503,15.79,10.18
199504,5.47,2.51
199505,4.57,3.09
199506,1.65,1.17
199507,0.04,-0.01
199508,0.01,-0.06
199509,0.00,-0.55
199510,0.00,-1.80
199511,0.32,-3.67
199512,8.33,2.83
199601,9.39,2.69
199602,8.73,2.68
199603,5.25,-0.36
199604,3.56,0.60
199605,5.25,3.77
199606,0.77,0.29
199607,0.04,-0.01
199608,0.03,-0.04
199609,0.17,-0.38
199610,1.79,-0.01
199611,6.12,2.13
199612,16.05,10.55
199701,15.02,8.32
199702,0.98,-5.07
199703,0.49,-5.12
199704,1.03,-1.93
199705,0.51,-0.97
199706,1.10,0.62
199707,0.03,-0.02
199708,0.15,0.08
199709,0.13,-0.42
199710,1.91,0.11
199711,5.22,1.23
199712,3.23,-2.27
199801,12.39,5.69
199802,14.78,8.73
199803,6.68,1.07
199804,4.17,1.21
199805,6.36,4.88
199806,1.10,0.62
199807,0.05,0.00
199808,0.02,-0.05
199809,1.14,0.59
199810,0.78,-1.02
199811,5.12,1.13
199812,2.92,-2.58
199901,7.90,1.20
199902,10.87,4.82
199903,3.05,-2.56
199904,2.87,-0.09
199905,0.96,-0.52
199906,0.35,-0.13
199907,0.01,-0.04
199908,0.16,0.09
199909,0.07,-0.48
199910,1.03,-0.77
199911,4.34,0.35
199912,0.78,-4.72
200001,11.28,4.58
200002,12.87,6.82
200003,2.04,-3.57
200004,2.42,-0.54
200005,3.50,2.02
200006,0.65,0.17
200007,0.00,-0.05
200008,0.09,0.02
200009,1.03,0.48
200010,4.53,2.73
200011,1.70,-2.29
200012,1.41,-4.09
200101,4.48,-2.22
200102,6.01,-0.04
200103,2.57,-3.04
200104,4.10,1.14
200105,0.08,-1.40
200106,0.07,-0.41
200107,0.04,-0.01
200108,0.00,-0.07
200109,0.40,-0.15
200110,0.97,-0.83
200111,5.04,1.05
200112,9.65,4.15
200201,3.39,-3.31
200202,3.19,-2.86
200203,5.59,-0.02
200204,1.45,-1.51
200205,1.78,0.30
200206,0.01,-0.47
200207,0.03,-0.02
200208,0.01,-0.06
200209,0.05,-0.50
200210,0.04,-1.76
200211,4.42,0.43
200212,10.55,5.05
200301,1.37,-5.33
200302,2.45,-3.60
200303,3.20,-2.41
200304,8.05,5.09
200305,1.39,-0.09
200306,0.03,-0.45
200307,0.06,0.01
200308,0.39,0.32
200309,0.07,-0.48
200310,0.10,-1.70
200311,3.19,-0.80
200312,10.33,4.83
200401,3.75,-2.95
200402,7.67,1.62
200403,1.41,-4.20
200404,0.41,-2.55
200405,0.44,-1.04
200406,0.03,-0.45
200407,0.01,-0.04
200408,0.02,-0.05
200409,0.42,-0.13
200410,5.88,4.08
200411,3.68,-0.31
200412,7.15,1.65
200501,9.35,2.65
200502,4.34,-1.71
200503,9.01,3.40
200504,2.41,-0.55
200505,4.15,2.67
200506,1.25,0.77
200507,0.02,-0.03
200508,0.05,-0.02
200509,0.64,0.09
200510,0.67,-1.13
200511,2.13,-1.86
200512,15.05,9.55
200601,7.02,0.32
200602,3.61,-2.44
200603,10.34,4.73
200604,9.94,6.98
200605,1.29,-0.19
200606,0.03,-0.45
200607,0.03,-0.02
200608,0.01,-0.06
200609,0.03,-0.52
200610,0.72,-1.08
200611,2.87,-1.12
200612,4.81,-0.69
200701,1.52,-5.18
200702,9.02,2.97
200703,1.40,-4.21
200704,2.74,-0.22
200705,0.69,-0.79
200706,0.08,-0.40
200707,0.05,0.00
200708,0.02,-0.05
200709,0.40,-0.15
200710,1.58,-0.22
200711,1.16,-2.83
200712,5.17,-0.33
200801,10.01,3.31
200802,4.45,-1.60
200803,0.66,-4.95
200804,0.25,-2.71
200805,0.81,-0.67
200806,0.00,-0.48
200807,0.01,-0.04
200808,0.00,-0.07
200809,0.00,-0.55
200810,1.12,-0.68
200811,3.20,-0.79
200812,4.52,-0.98
200901,3.80,-2.90
200902,6.86,0.81
200903,5.13,-0.48
200904,1.62,-1.34
200905,2.65,1.17
200906,0.32,-0.16
200907,0.01,-0.04
200908,0.03,-0.04
200909,0.14,-0.41
200910,3.04,1.24
200911,1.17,-2.82
200912,5.83,0.33
201001,7.61,0.91
201002,4.78,-1.27
201003,4.70,-0.91
201004,6.65,3.69
201005,3.02,1.54
201006,0.10,-0.38
201007,0.01,-0.04
201008,0.04,-0.03
201009,0.01,-0.54
201010,5.55,3.75
201011,7.27,3.28
201012,12.33,6.83
201101,2.89,-3.81
201102,6.73,0.68
201103,11.73,6.12
201104,1.72,-1.24
201105,2.85,1.37
201106,2.12,1.64
201107,0.07,0.02
201108,0.01,-0.06
201109,0.39,-0.16
201110,3.09,1.29
201111,1.42,-2.57
201112,0.11,-5.39
201201,4.88,-1.82
201202,1.92,-4.13
201203,8.89,3.28
201204,5.21,2.25
201205,0.24,-1.24
201206,0.56,0.08
201207,0.16,0.11
201208,0.05,-0.02
201209,0.16,-0.39
201210,1.55,-0.25
201211,6.45,2.46
201212,10.53,5.03
201301,1.34,-5.36
201302,0.71,-5.34
201303,2.89,-2.72
201304,1.56,-1.40
201305,1.00,-0.48
201306,0.74,0.26
201307,0.02,-0.03
201308,0.02,-0.05
201309,1.18,0.63
201310,0.28,-1.52
201311,1.70,-2.29
201312,0.81,-4.69
201401,1.45,-5.25
201402,8.87,2.82
201403,4.66,-0.95
201404,2.60,-0.36
201405,0.65,-0.83
201406,0.03,-0.45
201407,0.13,0.08
201408,0.07,0.00
201409,0.93,0.38
201410,0.72,-1.08
201411,3.20,-0.79
201412,7.98,2.48
201501,0.14,-6.56
201502,5.36,-0.69
201503,0.83,-4.78
201504,3.09,0.13
201505,1.39,-0.09
201506,0.27,-0.21
201507,0.18,0.13
201508,0.02,-0.05
201509,0.07,-0.48
201510,1.89,0.09
201511,5.26,1.27
201512,8.16,2.66
201601,9.96,3.26
201602,1.61,-4.44
201603,7.88,2.27
201604,3.38,0.42
201605,0.87,-0.61
201606,0.01,-0.47
201607,0.00,-0.05
201608,0.02,-0.05
201609,0.05,-0.50
201610,7.44,5.64
201611,3.49,-0.50
201612,6.30,0.80
201701,18.68,11.98
201702,16.23,10.18
201703,4.71,-0.90
201704,5.82,2.86
201705,0.74,-0.74
201706,0.69,0.21
201707,0.00,-0.05
201708,0.14,0.07
201709,0.41,-0.14
201710,0.53,-1.27
201711,7.35,3.36
201712,0.64,-4.86
201801,5.62,-1.08
201802,1.00,-5.05
201803,12.02,6.41
201804,4.16,1.20
201805,0.87,-0.61
201806,0.01,-0.47
201807,0.04,-0.01
201808,0.02,-0.05
201809,0.01,-0.54
201810,0.60,-1.20
201811,6.51,2.52
201812,3.18,-2.32
201901,8.17,1.47
201902,14.48,8.43
201903,7.18,1.57
201904,2.14,-0.82
201905,5.69,4.21
201906,0.08,-0.40
201907,0.03,-0.02
201908,0.00,-0.07
201909,1.13,0.58
201910,0.03,-1.77
201911,2.08,-1.91
201912,7.64,2.14
202001,2.40,-4.30
202002,0.06,-5.99
202003,7.10,1.49
202004,3.43,0.47
202005,2.24,0.76
202006,0.15,-0.33
202007,0.03,-0.02
202008,0.04,-0.03
202009,0.05,-0.50
202010,0.01,-1.79
202011,2.04,-1.95
202012,2.77,-2.73
202101,6.55,-0.15
202102,2.67,-3.38
202103,3.28,-2.33
202104,0.35,-2.61
202105,0.23,-1.25
202106,0.15,-0.33
202107,0.06,0.01
202108,0.01,-0.06
202109,0.27,-0.28
202110,8.82,7.02
202111,1.11,-2.88
202112,11.03,5.53
202201,0.28,-6.42
202202,0.37,-5.68
202203,1.42,-4.19
202204,3.74,0.78
202205,0.20,-1.28
202206,0.47,-0.01
202207,0.01,-0.04
202208,0.16,0.09
202209,1.12,0.57
202210,0.06,-1.74
202211,3.65,-0.34
202212,17.26,11.76
202301,14.10,7.40
202302,5.46,-0.59
202303,11.53,5.92
