Amador County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.01,-0.06
191709,0.23,-0.32
191710,0.01,-1.79
191711,1.24,-2.75
191712,1.88,-3.62
191801,1.10,-5.60
191802,10.43,4.38
191803,11.94,6.33
191804,1.17,-1.79
191805,0.54,-0.94
191806,0.07,-0.41
191807,0.03,-0.02
191808,0.05,-0.02
191809,2.85,2.30
191810,1.76,-0.04
191811,3.21,-0.78
191812,2.28,-3.22
191901,2.08,-4.62
191902,12.11,6.06
191903,4.45,-1.16
191904,0.56,-2.40
191905,0.28,-1.20
191906,0.00,-0.48
191907,0.01,-0.04
191908,0.00,-0.07
191909,1.26,0.71
191910,0.43,-1.37
191911,0.58,-3.41
191912,5.99,0.49
192001,0.83,-5.87
192002,2.44,-3.61
192003,10.47,4.86
192004,4.84,1.88
192005,0.03,-1.45
192006,1.16,0.68
192007,0.08,0.03
192008,0.24,0.17
192009,0.17,-0.38
192010,4.84,3.04
192011,6.08,2.09
192012,8.45,2.95
192101,8.63,1.93
192102,3.28,-2.77
192103,4.02,-1.59
192104,0.62,-2.34
192105,2.09,0.61
192106,0.37,-0.11
192107,0.00,-0.05
192108,0.00,-0.07
192109,0.22,-0.33
192110,0.78,-1.02
192111,1.44,-2.55
192112,9.00,3.50
192201,4.17,-2.53
192202,11.59,5.54
192203,6.05,0.44
192204,0.90,-2.06
192205,1.64,0.16
192206,0.37,-0.11
192207,0.16,0.11
192208,0.01,-0.06
192209,0.00,-0.55
192210,1.61,-0.19
192211,6.04,2.05
192212,12.17,6.67
192301,6.20,-0.50
192302,1.65,-4.40
192303,0.36,-5.25
192304,7.60,4.64
192305,0.96,-0.52
192306,0.45,-0.03
192307,0.04,-0.01
192308,0.04,-0.03
192309,2.26,1.71
192310,1.29,-0.51
192311,0.51,-3.48
192312,3.32,-2.18
192401,2.92,-3.78
192402,2.05,-4.00
192403,3.23,-2.38
192404,1.11,-1.85
192405,0.09,-1.39
192406,0.00,-0.48
192407,0.00,-0.05
192408,0.00,-0.07
192409,0.17,-0.38
192410,4.59,2.79
192411,2.76,-1.23
192412,6.80,1.30
192501,1.87,-4.83
192502,11.41,5.36
192503,4.26,-1.35
192504,5.63,2.67
192505,2.00,0.52
192506,0.58,0.10
192507,0.18,0.13
192508,0.05,-0.02
192509,0.65,0.10
192510,1.32,-0.48
192511,2.36,-1.63
192512,2.54,-2.96
192601,3.70,-3.00
192602,8.70,2.65
192603,0.33,-5.28
192604,5.26,2.30
192605,0.87,-0.61
192606,0.18,-0.30
192607,0.01,-0.04
192608,0.00,-0.07
192609,0.00,-0.55
192610,1.76,-0.04
192611,11.18,7.19
192612,2.38,-3.12
192701,5.42,-1.28
192702,9.17,3.12
192703,3.44,-2.17
192704,4.34,1.38
192705,0.95,-0.53
192706,0.68,0.20
192707,0.00,-0.05
192708,0.00,-0.07
192709,0.10,-0.45
192710,3.01,1.21
192711,4.73,0.74
192712,4.30,-1.20
192801,2.55,-4.15
192802,3.20,-2.85
192803,11.07,5.46
192804,2.91,-0.05
192805,0.20,-1.28
192806,0.21,-0.27
192807,0.01,-0.04
192808,0.00,-0.07
192809,0.00,-0.55
192810,0.10,-1.70
192811,4.46,0.47
192812,4.03,-1.47
192901,3.18,-3.52
192902,3.40,-2.65
192903,3.61,-2.00
192904,3.64,0.68
192905,0.24,-1.24
192906,2.28,1.80
192907,0.00,-0.05
192908,0.00,-0.07
192909,0.03,-0.52
192910,0.19,-1.61
192911,0.00,-3.99
192912,5.45,-0.05
193001,7.98,1.28
193002,4.69,-1.36
193003,5.01,-0.60
193004,2.59,-0.37
193005,1.48,0.00
193006,0.00,-0.48
193007,0.01,-0.04
193008,0.14,0.07
193009,0.51,-0.04
193010,0.55,-1.25
193011,4.34,0.35
193012,0.42,-5.08
193101,5.03,-1.67
193102,3.56,-2.49
193103,2.56,-3.05
193104,1.24,-1.72
193105,1.31,-0.17
193106,1.17,0.69
193107,0.00,-0.05
193108,0.06,-0.01
193109,0.03,-0.52
193110,1.26,-0.54
193111,4.69,0.70
193112,11.86,6.36
193201,4.93,-1.77
193202,5.70,-0.35
193203,1.32,-4.29
193204,2.41,-0.55
193205,2.01,0.53
193206,0.17,-0.31
193207,0.10,0.05
193208,0.00,-0.07
193209,0.03,-0.52
193210,0.02,-1.78
193211,1.05,-2.94
193212,3.50,-2.00
193301,7.59,0.89
193302,1.71,-4.34
193303,4.47,-1.14
193304,0.62,-2.34
193305,3.37,1.89
193306,0.15,-0.33
193307,0.01,-0.04
193308,0.03,-0.04
193309,0.29,-0.26
193310,3.35,1.55
193311,0.07,-3.92
193312,9.97,4.47
193401,2.50,-4.20
193402,6.07,0.02
193403,0.52,-5.09
193404,0.34,-2.62
193405,1.65,0.17
193406,0.83,0.35
193407,0.00,-0.05
193408,0.04,-0.03
193409,0.90,0.35
193410,2.28,0.48
