Fresno County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191708,0.05,-0.08
191709,0.01,-0.38
191710,0.00,-0.87
191711,0.72,-1.14
191712,0.35,-2.63
191801,0.39,-3.36
191802,6.20,2.64
191803,6.16,2.98
191804,0.14,-1.58
191805,0.58,-0.25
191806,0.09,-0.12
191807,0.17,0.06
191808,0.31,0.18
191809,1.49,1.10
191810,0.63,-0.24
191811,2.76,0.90
191812,2.06,-0.92
191901,0.83,-2.92
191902,4.81,1.25
191903,3.36,0.18
191904,0.14,-1.58
191905,0.47,-0.36
191906,0.00,-0.21
191907,0.01,-0.10
191908,0.00,-0.13
191909,1.35,0.96
191910,0.37,-0.50
191911,0.23,-1.63
191912,2.66,-0.32
192001,0.84,-2.91
192002,3.16,-0.40
192003,5.84,2.66
192004,2.08,0.36
192005,0.02,-0.81
192006,0.17,-0.04
192007,0.01,-0.10
192008,0.72,0.59
192009,0.04,-0.35
192010,1.91,1.04
192011,1.70,-0.16
192012,2.60,-0.38
192101,4.50,0.75
192102,1.99,-1.57
192103,2.02,-1.16
192104,0.39,-1.33
192105,1.72,0.89
192106,0.05,-0.16
192107,0.00,-0.11
192108,0.04,-0.09
192109,0.38,-0.01
192110,0.27,-0.60
192111,0.38,-1.48
192112,7.33,4.35
192201,3.91,0.16
192202,4.34,0.78
192203,3.04,-0.14
192204,0.48,-1.24
192205,1.12,0.29
192206,0.30,0.09
192207,0.23,0.12
192208,0.39,0.26
192209,0.00,-0.39
192210,0.68,-0.19
192211,2.72,0.86
192212,3.97,0.99
192301,3.42,-0.33
192302,0.67,-2.89
192303,0.43,-2.75
192304,4.83,3.11
192305,0.27,-0.56
192306,0.18,-0.03
192307,0.00,-0.11
192308,0.06,-0.07
192309,1.33,0.94
192310,0.59,-0.28
192311,0.39,-1.47
192312,0.61,-2.37
192401,1.40,-2.35
192402,0.60,-2.96
192403,3.19,0.01
192404,0.98,-0.74
192405,0.14,-0.69
192406,0.00,-0.21
192407,0.00,-0.11
192408,0.00,-0.13
192409,0.00,-0.39
192410,1.96,1.09
192411,2.10,0.24
192412,3.44,0.46
192501,1.05,-2.70
192502,3.45,-0.11
192503,2.56,-0.62
192504,2.39,0.67
192505,1.28,0.45
192506,0.35,0.14
192507,0.50,0.39
192508,0.45,0.32
192509,0.11,-0.28
192510,1.19,0.32
192511,0.84,-1.02
192512,1.27,-1.71
192601,2.29,-1.46
192602,4.23,0.67
192603,0.67,-2.51
192604,3.92,2.20
192605,0.33,-0.50
192606,0.25,0.04
192607,0.07,-0.04
192608,0.02,-0.11
192609,0.00,-0.39
192610,0.85,-0.02
192611,6.84,4.98
192612,1.61,-1.37
192701,2.25,-1.50
192702,6.44,2.88
192703,2.27,-0.91
192704,1.91,0.19
192705,0.38,-0.45
192706,0.23,0.02
192707,0.10,-0.01
192708,0.04,-0.09
192709,0.27,-0.12
192710,2.49,1.62
192711,2.87,1.01
192712,1.64,-1.34
192801,0.97,-2.78
192802,1.75,-1.81
192803,3.03,-0.15
192804,1.02,-0.70
192805,1.36,0.53
192806,0.02,-0.19
192807,0.01,-0.10
192808,0.00,-0.13
192809,0.00,-0.39
192810,0.13,-0.74
192811,2.14,0.28
192812,2.49,-0.49
192901,1.46,-2.29
192902,1.46,-2.10
192903,2.70,-0.48
192904,1.97,0.25
192905,0.24,-0.59
192906,1.00,0.79
192907,0.03,-0.08
192908,0.09,-0.04
192909,0.29,-0.10
192910,0.02,-0.85
192911,0.00,-1.86
192912,0.72,-2.26
193001,3.97,0.22
193002,2.94,-0.62
193003,2.46,-0.72
193004,1.08,-0.64
193005,1.60,0.77
193006,0.02,-0.19
193007,0.02,-0.09
193008,0.12,-0.01
193009,0.50,0.11
193010,0.26,-0.61
193011,1.86,0.00
193012,0.05,-2.93
193101,3.35,-0.40
193102,1.45,-2.11
193103,0.84,-2.34
193104,1.63,-0.09
193105,1.26,0.43
193106,0.78,0.57
193107,0.02,-0.09
193108,0.45,0.32
193109,0.19,-0.20
193110,0.34,-0.53
193111,2.83,0.97
193112,8.03,5.05
193201,3.45,-0.30
193202,4.95,1.39
193203,0.75,-2.43
193204,0.88,-0.84
193205,0.99,0.16
193206,0.19,-0.02
193207,0.00,-0.11
193208,0.02,-0.11
193209,0.27,-0.12
193210,0.12,-0.75
193211,0.43,-1.43
193212,1.76,-1.22
193301,6.23,2.48
193302,0.50,-3.06
193303,2.05,-1.13
193304,0.55,-1.17
193305,1.41,0.58
193306,0.29,0.08
193307,0.02,-0.09
193308,0.08,-0.05
193309,0.00,-0.39
193310,0.89,0.02
193311,0.18,-1.68
193312,4.38,1.40
193401,1.75,-2.00
193402,3.03,-0.53
193403,0.31,-2.87
193404,0.05,-1.67
193405,0.79,-0.04
193406,0.50,0.29
193407,0.11,0.00
193408,0.17,0.04
193409,0.18,-0.21
193410,1.34,0.47
193411,2.98,1.12
193412,2.61,-0.37
193501,4.96,1.21
193502,2.34,-1.22
193503,3.70,0.52
193504,5.43,3.71
193505,0.17,-0.66
193506,0.00,-0.21
193507,0.06,-0.05
193508,0.34,0.21
193509,0.10,-0.29
193510,0.96,0.09
193511,0.95,-0.91
193512,2.36,-0.62
193601,2.11,-1.64
193602,11.30,7.74
193603,1.84,-1.34
193604,1.40,-0.32
193605,0.23,-0.60
193606,0.33,0.12
193607,0.40,0.29
193608,0.18,0.05
193609,0.02,-0.37
193610,2.27,1.40
193611,0.02,-1.84
193612,6.63,3.65
193701,3.14,-0.61
193702,6.66,3.10
193703,4.08,0.90
193704,1.10,-0.62
193705,0.06,-0.77
193706,0.02,-0.19
193707,0.10,-0.01
193708,0.01,-0.12
193709,0.01,-0.38
