Stanislaus County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.00,-0.01
191709,0.09,-0.08
191710,0.00,-0.63
191711,0.39,-1.07
191712,0.48,-1.74
191801,0.61,-2.15
191802,4.16,1.63
191803,4.28,2.02
191804,0.37,-0.67
191805,0.16,-0.30
191806,0.00,-0.09
191807,0.00,-0.01
191808,0.00,-0.01
191809,1.08,0.91
191810,0.26,-0.37
191811,1.99,0.53
191812,1.94,-0.28
191901,0.76,-2.00
191902,3.60,1.07
191903,2.14,-0.12
191904,0.17,-0.87
191905,0.02,-0.44
191906,0.00,-0.09
191907,0.00,-0.01
191908,0.00,-0.01
191909,0.44,0.27
191910,0.10,-0.53
191911,0.09,-1.37
191912,2.39,0.17
192001,0.52,-2.24
192002,1.31,-1.22
192003,3.97,1.71
192004,0.90,-0.14
192005,0.00,-0.46
192006,0.23,0.14
192007,0.00,-0.01
192008,0.06,0.05
192009,0.03,-0.14
192010,2.31,1.68
192011,2.33,0.87
192012,3.64,1.42
192101,4.38,1.62
192102,1.02,-1.51
192103,1.33,-0.93
192104,0.28,-0.76
192105,1.08,0.62
192106,0.01,-0.08
192107,0.00,-0.01
192108,0.00,-0.01
192109,0.14,-0.03
192110,0.14,-0.49
192111,0.96,-0.50
192112,5.30,3.08
192201,2.48,-0.28
192202,4.57,2.04
192203,2.56,0.30
192204,0.35,-0.69
192205,0.61,0.15
192206,0.07,-0.02
192207,0.00,-0.01
192208,0.00,-0.01
192209,0.00,-0.17
192210,0.64,0.01
192211,2.54,1.08
192212,4.82,2.60
192301,2.29,-0.47
192302,0.82,-1.71
192303,0.15,-2.11
192304,2.72,1.68
192305,0.30,-0.16
192306,0.09,0.00
192307,0.00,-0.01
192308,0.00,-0.01
192309,0.64,0.47
192310,0.38,-0.25
192311,0.54,-0.92
192312,0.82,-1.40
192401,1.57,-1.19
192402,0.53,-2.00
192403,1.82,-0.44
192404,0.22,-0.82
192405,0.03,-0.43
192406,0.00,-0.09
192407,0.00,-0.01
192408,0.00,-0.01
192409,0.00,-0.17
192410,1.41,0.78
192411,1.28,-0.18
192412,2.95,0.73
192501,1.16,-1.60
192502,3.12,0.59
192503,1.54,-0.72
192504,2.03,0.99
192505,1.73,1.27
192506,0.02,-0.07
192507,0.01,0.00
192508,0.00,-0.01
192509,0.16,-0.01
192510,0.21,-0.42
192511,0.80,-0.66
192512,1.60,-0.62
192601,1.74,-1.02
192602,3.14,0.61
192603,0.38,-1.88
192604,2.72,1.68
192605,0.08,-0.38
192606,0.00,-0.09
192607,0.00,-0.01
192608,0.00,-0.01
192609,0.00,-0.17
192610,0.26,-0.37
192611,3.62,2.16
192612,1.00,-1.22
192701,2.01,-0.75
192702,4.73,2.20
192703,1.36,-0.90
192704,0.97,-0.07
192705,0.11,-0.35
192706,0.25,0.16
192707,0.00,-0.01
192708,0.00,-0.01
192709,0.01,-0.16
192710,1.79,1.16
192711,1.49,0.03
192712,1.93,-0.29
192801,0.54,-2.22
192802,2.27,-0.26
192803,3.14,0.88
192804,0.85,-0.19
192805,0.09,-0.37
192806,0.00,-0.09
192807,0.00,-0.01
192808,0.00,-0.01
192809,0.00,-0.17
192810,0.02,-0.61
192811,2.71,1.25
192812,2.01,-0.21
192901,1.40,-1.36
192902,1.16,-1.37
192903,1.22,-1.04
192904,0.77,-0.27
192905,0.06,-0.40
192906,0.50,0.41
192907,0.00,-0.01
192908,0.00,-0.01
192909,0.00,-0.17
192910,0.06,-0.57
192911,0.00,-1.46
192912,1.28,-0.94
193001,3.37,0.61
193002,1.98,-0.55
193003,2.20,-0.06
193004,0.99,-0.05
193005,0.38,-0.08
193006,0.00,-0.09
193007,0.00,-0.01
193008,0.05,0.04
193009,0.07,-0.10
193010,0.35,-0.28
193011,1.16,-0.30
193012,0.05,-2.17
193101,3.29,0.53
193102,1.51,-1.02
193103,0.72,-1.54
193104,0.39,-0.65
193105,0.92,0.46
193106,0.17,0.08
193107,0.00,-0.01
193108,0.02,0.01
193109,0.00,-0.17
193110,0.12,-0.51
193111,1.87,0.41
193112,5.65,3.43
193201,1.81,-0.95
193202,2.91,0.38
193203,0.37,-1.89
193204,0.47,-0.57
193205,0.89,0.43
193206,0.00,-0.09
193207,0.01,0.00
193208,0.00,-0.01
193209,0.00,-0.17
193210,0.00,-0.63
193211,0.16,-1.30
193212,1.70,-0.52
193301,3.65,0.89
193302,0.51,-2.02
193303,1.51,-0.75
193304,0.05,-0.99
193305,0.91,0.45
193306,0.01,-0.08
193307,0.00,-0.01
193308,0.00,-0.01
193309,0.01,-0.16
193310,0.58,-0.05
193311,0.01,-1.45
193312,3.81,1.59
193401,0.96,-1.80
193402,3.04,0.51
193403,0.01,-2.25
193404,0.03,-1.01
193405,0.57,0.11
193406,0.33,0.24
193407,0.00,-0.01
193408,0.00,-0.01
193409,0.11,-0.06
193410,0.66,0.03
193411,2.62,1.16
193412,2.41,0.19
193501,3.65,0.89
193502,0.81,-1.72
193503,3.40,1.14
193504,3.32,2.28
193505,0.00,-0.46
193506,0.00,-0.09
193507,0.00,-0.01
193508,0.07,0.06
193509,0.00,-0.17
193510,1.13,0.50
193511,1.02,-0.44
193512,1.69,-0.53
193601,2.49,-0.27
193602,6.34,3.81
193603,1.42,-0.84
193604,0.99,-0.05
193605,0.66,0.20
193606,0.30,0.21
193607,0.01,0.00
193608,0.00,-0.01
193609,0.06,-0.11
193610,0.95,0.32
193611,0.00,-1.46
193612,3.19,0.97
193701,2.76,0.00
193702,3.58,1.05
193703,4.84,2.58
193704,1.09,0.05
193705,0.01,-0.45
193706,0.03,-0.06
193707,0.00,-0.01
193708,0.00,-0.01
193709,0.00,-0.17
193710,0.36,-0.27
193711,0.92,-0.54
193712,3.35,1.13
193801,2.81,0.05
193802,5.96,3.43
193803,5.53,3.27
193804,1.50,0.46
193805,0.11,-0.35
193806,0.01,-0.08
193807,0.02,0.01
193808,0.00,-0.01
193809,0.17,0.00
193810,1.17,0.54
193811,0.49,-0.97
193812,1.47,-0.75
193901,2.22,-0.54
193902,1.59,-0.94
193903,2.02,-0.24
193904,0.27,-0.77
193905,0.50,0.04
193906,0.00,-0.09
193907,0.00,-0.01
