Kings County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.00,-0.01
191708,0.01,0.00
191709,0.00,-0.13
191710,0.01,-0.35
191711,0.31,-0.35
191712,0.12,-0.97
191801,0.30,-1.23
191802,3.44,1.94
191803,2.99,1.63
191804,0.03,-0.61
191805,0.10,-0.18
191806,0.00,-0.04
191807,0.00,-0.01
191808,0.00,-0.01
191809,0.63,0.50
191810,0.16,-0.20
191811,1.02,0.36
191812,1.14,0.05
191901,0.31,-1.22
191902,1.43,-0.07
191903,1.39,0.03
191904,0.12,-0.52
191905,0.33,0.05
191906,0.00,-0.04
191907,0.00,-0.01
191908,0.00,-0.01
191909,0.36,0.23
191910,0.15,-0.21
191911,0.09,-0.57
191912,0.65,-0.44
192001,0.69,-0.84
192002,2.00,0.50
192003,2.79,1.43
192004,0.37,-0.27
192005,0.00,-0.28
192006,0.02,-0.02
192007,0.00,-0.01
192008,0.03,0.02
192009,0.01,-0.12
192010,0.39,0.03
192011,0.52,-0.14
192012,0.86,-0.23
192101,1.66,0.13
192102,0.86,-0.64
192103,0.87,-0.49
192104,0.20,-0.44
192105,1.18,0.90
192106,0.00,-0.04
192107,0.00,-0.01
192108,0.00,-0.01
192109,0.22,0.09
192110,0.14,-0.22
192111,0.10,-0.56
192112,2.68,1.59
192201,2.19,0.66
192202,1.80,0.30
192203,1.73,0.37
192204,0.19,-0.45
192205,0.45,0.17
192206,0.13,0.09
192207,0.02,0.01
192208,0.03,0.02
192209,0.00,-0.13
192210,0.25,-0.11
192211,0.92,0.26
192212,1.74,0.65
192301,1.18,-0.35
192302,0.32,-1.18
192303,0.13,-1.23
192304,1.82,1.18
192305,0.05,-0.23
192306,0.05,0.01
192307,0.00,-0.01
192308,0.01,0.00
192309,0.13,0.00
192310,0.24,-0.12
192311,0.09,-0.57
192312,0.22,-0.87
192401,0.46,-1.07
192402,0.57,-0.93
192403,1.86,0.50
192404,0.52,-0.12
192405,0.03,-0.25
192406,0.00,-0.04
192407,0.00,-0.01
192408,0.00,-0.01
192409,0.00,-0.13
192410,0.51,0.15
192411,0.43,-0.23
192412,1.31,0.22
192501,0.51,-1.02
192502,0.95,-0.55
192503,1.49,0.13
192504,1.14,0.50
192505,0.65,0.37
192506,0.04,0.00
192507,0.01,0.00
192508,0.01,0.00
192509,0.02,-0.11
192510,0.40,0.04
192511,0.19,-0.47
192512,0.79,-0.30
192601,0.68,-0.85
192602,1.34,-0.16
192603,0.33,-1.03
192604,2.11,1.47
192605,0.01,-0.27
192606,0.04,0.00
192607,0.00,-0.01
192608,0.00,-0.01
192609,0.00,-0.13
192610,0.35,-0.01
192611,2.46,1.80
192612,0.91,-0.18
192701,1.08,-0.45
192702,2.26,0.76
192703,1.67,0.31
192704,0.25,-0.39
192705,0.07,-0.21
192706,0.00,-0.04
192707,0.00,-0.01
192708,0.02,0.01
192709,0.01,-0.12
192710,1.59,1.23
192711,0.78,0.12
192712,0.55,-0.54
192801,0.16,-1.37
192802,0.88,-0.62
192803,0.93,-0.43
192804,0.14,-0.50
192805,0.48,0.20
192806,0.00,-0.04
192807,0.00,-0.01
192808,0.00,-0.01
192809,0.00,-0.13
192810,0.01,-0.35
192811,1.12,0.46
192812,1.32,0.23
192901,0.73,-0.80
192902,0.64,-0.86
192903,0.91,-0.45
192904,0.48,-0.16
192905,0.00,-0.28
192906,0.19,0.15
192907,0.00,-0.01
192908,0.00,-0.01
192909,0.11,-0.02
192910,0.00,-0.36
192911,0.00,-0.66
192912,0.16,-0.93
193001,1.55,0.02
193002,0.90,-0.60
193003,1.39,0.03
193004,0.24,-0.40
193005,0.70,0.42
193006,0.00,-0.04
193007,0.00,-0.01
193008,0.01,0.00
193009,0.37,0.24
193010,0.08,-0.28
193011,0.95,0.29
193012,0.01,-1.08
193101,2.29,0.76
193102,0.92,-0.58
193103,0.11,-1.25
193104,0.74,0.10
193105,0.32,0.04
193106,0.30,0.26
193107,0.00,-0.01
193108,0.04,0.03
193109,0.05,-0.08
193110,0.00,-0.36
193111,1.32,0.66
193112,2.40,1.31
193201,1.59,0.06
193202,1.28,-0.22
193203,0.31,-1.05
193204,0.31,-0.33
193205,0.24,-0.04
193206,0.00,-0.04
193207,0.00,-0.01
193208,0.00,-0.01
193209,0.04,-0.09
193210,0.01,-0.35
193211,0.19,-0.47
193212,0.86,-0.23
193301,3.24,1.71
193302,0.12,-1.38
193303,0.42,-0.94
193304,0.19,-0.45
193305,0.43,0.15
193306,0.17,0.13
193307,0.00,-0.01
193308,0.00,-0.01
193309,0.00,-0.13
193310,0.14,-0.22
193311,0.00,-0.66
193312,0.79,-0.30
193401,0.54,-0.99
193402,1.63,0.13
193403,0.04,-1.32
193404,0.00,-0.64
193405,0.38,0.10
193406,0.19,0.15
193407,0.00,-0.01
193408,0.00,-0.01
193409,0.00,-0.13
193410,0.91,0.55
193411,1.66,1.00
193412,1.76,0.67
193501,2.43,0.90
193502,1.53,0.03
193503,1.76,0.40
193504,1.49,0.85
193505,0.00,-0.28
193506,0.00,-0.04
193507,0.01,0.00
193508,0.01,0.00
193509,0.04,-0.09
193510,0.37,0.01
193511,0.35,-0.31
193512,0.79,-0.30
193601,0.43,-1.10
193602,4.21,2.71
193603,0.84,-0.52
193604,0.47,-0.17
193605,0.05,-0.23
193606,0.03,-0.01
193607,0.05,0.04
193608,0.03,0.02
193609,0.00,-0.13
193610,1.56,1.20
193611,0.01,-0.65
193612,3.05,1.96
193701,1.43,-0.10
193702,1.97,0.47
193703,2.09,0.73
193704,0.24,-0.40
193705,0.00,-0.28
193706,0.00,-0.04
193707,0.00,-0.01
193708,0.00,-0.01
193709,0.00,-0.13
193710,0.06,-0.30
193711,0.20,-0.46
193712,1.72,0.63
193801,1.52,-0.01
193802,3.35,1.85
193803,3.72,2.36
193804,1.70,1.06
193805,0.11,-0.17
193806,0.12,0.08
193807,0.02,0.01
193808,0.00,-0.01
193809,0.17,0.04
193810,0.22,-0.14
193811,0.13,-0.53
193812,1.20,0.11
193901,1.35,-0.18
193902,0.72,-0.78
193903,1.42,0.06
193904,0.56,-0.08
193905,0.05,-0.23
193906,0.02,-0.02
193907,0.00,-0.01
193908,0.03,0.02
193909,0.39,0.26
193910,0.57,0.21
193911,0.04,-0.62
193912,0.24,-0.85
194001,3.08,1.55
194002,2.84,1.34
194003,0.70,-0.66
194004,0.39,-0.25
194005,0.00,-0.28
194006,0.00,-0.04
194007,0.00,-0.01
194008,0.00,-0.01
194009,0.00,-0.13
194010,0.76,0.40
194011,0.03,-0.63
194012,3.12,2.03
194101,1.75,0.22
194102,3.64,2.14
194103,2.41,1.05
194104,1.93,1.29
194105,0.02,-0.26
194106,0.09,0.05
194107,0.00,-0.01
194108,0.01,0.00
194109,0.00,-0.13
194110,0.89,0.53
194111,0.47,-0.19
194112,2.75,1.66
194201,0.95,-0.58
194202,0.49,-1.01
194203,0.87,-0.49
194204,1.06,0.42
194205,0.22,-0.06
194206,0.00,-0.04
194207,0.00,-0.01
194208,0.00,-0.01
194209,0.00,-0.13
194210,0.11,-0.25
194211,0.29,-0.37
194212,1.09,0.00
194301,2.34,0.81
194302,0.90,-0.60
194303,2.72,1.36
194304,0.73,0.09
194305,0.02,-0.26
194306,0.00,-0.04
194307,0.00,-0.01
194308,0.00,-0.01
194309,0.00,-0.13
194310,0.16,-0.20
194311,0.19,-0.47
194312,1.11,0.02
194401,0.86,-0.67
194402,2.93,1.43
194403,0.23,-1.13
194404,0.69,0.05
194405,0.38,0.10
194406,0.15,0.11
194407,0.00,-0.01
194408,0.00,-0.01
194409,0.01,-0.12
194410,0.15,-0.21
194411,1.43,0.77
194412,0.76,-0.33
194501,0.30,-1.23
194502,2.10,0.60
194503,1.28,-0.08
194504,0.13,-0.51
194505,0.24,-0.04
194506,0.13,0.09
194507,0.00,-0.01
194508,0.00,-0.01
194509,0.00,-0.13
194510,0.54,0.18
194511,0.64,-0.02
194512,1.26,0.17
194601,0.32,-1.21
194602,1.19,-0.31
194603,2.01,0.65
194604,0.12,-0.52
194605,0.31,0.03
194606,0.00,-0.04
194607,0.06,0.05
194608,0.00,-0.01
194609,0.01,-0.12
194610,0.71,0.35
194611,1.35,0.69
194612,1.92,0.83
194701,0.38,-1.15
194702,0.53,-0.97
194703,0.46,-0.90
194704,0.13,-0.51
194705,0.32,0.04
194706,0.00,-0.04
194707,0.00,-0.01
194708,0.00,-0.01
194709,0.00,-0.13
194710,0.24,-0.12
194711,0.23,-0.43
194712,0.45,-0.64
194801,0.00,-1.53
194802,0.70,-0.80
194803,1.43,0.07
194804,1.58,0.94
194805,0.30,0.02
194806,0.00,-0.04
194807,0.00,-0.01
194808,0.00,-0.01
194809,0.00,-0.13
194810,0.04,-0.32
194811,0.00,-0.66
194812,1.16,0.07
194901,0.39,-1.14
194902,0.83,-0.67
194903,2.05,0.69
194904,0.10,-0.54
194905,0.70,0.42
194906,0.00,-0.04
194907,0.00,-0.01
194908,0.02,0.01
194909,0.00,-0.13
194910,0.03,-0.33
194911,0.38,-0.28
194912,0.93,-0.16
195001,1.47,-0.06
195002,1.00,-0.50
195003,0.94,-0.42
195004,0.41,-0.23
195005,0.02,-0.26
195006,0.00,-0.04
195007,0.05,0.04
195008,0.00,-0.01
195009,0.12,-0.01
195010,0.37,0.01
195011,0.50,-0.16
195012,0.78,-0.31
195101,1.24,-0.29
195102,0.55,-0.95
195103,0.31,-1.05
195104,0.98,0.34
195105,0.04,-0.24
195106,0.00,-0.04
195107,0.00,-0.01
195108,0.00,-0.01
195109,0.01,-0.12
195110,0.15,-0.21
195111,0.83,0.17
195112,1.79,0.70
195201,2.93,1.40
195202,0.24,-1.26
195203,2.56,1.20
195204,1.05,0.41
195205,0.00,-0.28
195206,0.02,-0.02
195207,0.00,-0.01
195208,0.00,-0.01
195209,0.08,-0.05
195210,0.04,-0.32
195211,0.96,0.30
195212,2.36,1.27
195301,0.70,-0.83
195302,0.12,-1.38
195303,0.30,-1.06
195304,0.82,0.18
195305,0.40,0.12
195306,0.01,-0.03
195307,0.00,-0.01
195308,0.00,-0.01
195309,0.00,-0.13
195310,0.06,-0.30
195311,1.16,0.50
195312,0.07,-1.02
195401,2.14,0.61
195402,0.90,-0.60
195403,1.75,0.39
195404,0.48,-0.16
195405,0.14,-0.14
195406,0.08,0.04
195407,0.00,-0.01
195408,0.00,-0.01
195409,0.00,-0.13
195410,0.00,-0.36
195411,0.52,-0.14
195412,1.21,0.12
195501,2.58,1.05
195502,1.15,-0.35
195503,0.17,-1.19
195504,0.68,0.04
195505,0.81,0.53
195506,0.00,-0.04
195507,0.00,-0.01
195508,0.01,0.00
195509,0.00,-0.13
195510,0.01,-0.35
195511,0.62,-0.04
195512,3.73,2.64
195601,1.18,-0.35
195602,0.40,-1.10
195603,0.02,-1.34
195604,0.87,0.23
195605,0.94,0.66
195606,0.00,-0.04
195607,0.00,-0.01
195608,0.00,-0.01
195609,0.01,-0.12
195610,0.69,0.33
195611,0.00,-0.66
195612,0.08,-1.01
195701,1.74,0.21
195702,1.17,-0.33
195703,0.60,-0.76
195704,1.10,0.46
195705,0.41,0.13
195706,0.14,0.10
195707,0.00,-0.01
195708,0.00,-0.01
195709,0.01,-0.12
195710,0.31,-0.05
195711,0.93,0.27
195712,1.32,0.23
195801,1.65,0.12
195802,2.54,1.04
195803,3.68,2.32
195804,2.12,1.48
195805,0.81,0.53
195806,0.04,0.00
195807,0.02,0.01
195808,0.02,0.01
195809,0.72,0.59
195810,0.00,-0.36
195811,0.27,-0.39
195812,0.10,-0.99
195901,1.00,-0.53
195902,2.21,0.71
195903,0.09,-1.27
195904,0.44,-0.20
195905,0.11,-0.17
195906,0.00,-0.04
195907,0.00,-0.01
195908,0.00,-0.01
195909,0.08,-0.05
195910,0.00,-0.36
195911,0.00,-0.66
195912,0.16,-0.93
196001,1.11,-0.42
196002,1.55,0.05
196003,0.41,-0.95
196004,0.69,0.05
196005,0.00,-0.28
196006,0.00,-0.04
196007,0.02,0.01
196008,0.00,-0.01
196009,0.00,-0.13
196010,0.29,-0.07
196011,2.48,1.82
196012,0.12,-0.97
196101,1.12,-0.41
196102,0.35,-1.15
196103,0.68,-0.68
196104,0.17,-0.47
196105,0.24,-0.04
196106,0.02,-0.02
196107,0.00,-0.01
196108,0.00,-0.01
196109,0.01,-0.12
196110,0.00,-0.36
196111,1.03,0.37
196112,1.43,0.34
196201,0.97,-0.56
196202,4.55,3.05
196203,0.71,-0.65
