Sacramento County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191707,0.01,0.00
191708,0.00,-0.02
191709,0.33,0.11
191710,0.00,-0.91
191711,0.41,-1.70
191712,0.81,-2.14
191801,0.94,-2.96
191802,4.12,0.63
191803,4.22,1.41
191804,1.03,-0.39
191805,0.06,-0.62
191806,0.00,-0.17
191807,0.00,-0.01
191808,0.00,-0.02
191809,1.35,1.13
191810,0.40,-0.51
191811,2.07,-0.04
191812,1.65,-1.30
191901,1.73,-2.17
191902,7.15,3.66
191903,1.75,-1.06
191904,0.14,-1.28
191905,0.01,-0.67
191906,0.00,-0.17
191907,0.00,-0.01
191908,0.00,-0.02
191909,0.51,0.29
191910,0.08,-0.83
191911,0.30,-1.81
191912,2.54,-0.41
192001,0.38,-3.52
192002,0.91,-2.58
192003,4.21,1.40
192004,1.60,0.18
192005,0.00,-0.68
192006,0.13,-0.04
192007,0.01,0.00
192008,0.03,0.01
192009,0.03,-0.19
192010,1.59,0.68
192011,3.58,1.47
192012,4.56,1.61
192101,4.74,0.84
192102,0.97,-2.52
192103,1.73,-1.08
192104,0.44,-0.98
192105,1.07,0.39
192106,0.04,-0.13
192107,0.00,-0.01
192108,0.00,-0.02
192109,0.02,-0.20
192110,0.54,-0.37
192111,1.21,-0.90
192112,4.30,1.35
192201,2.41,-1.49
192202,5.20,1.71
192203,2.04,-0.77
192204,0.60,-0.82
192205,0.73,0.05
192206,0.02,-0.15
192207,0.01,0.00
192208,0.00,-0.02
192209,0.00,-0.22
192210,0.97,0.06
192211,3.30,1.19
192212,6.79,3.84
192301,2.64,-1.26
192302,0.69,-2.80
192303,0.21,-2.60
192304,3.97,2.55
192305,0.15,-0.53
192306,0.10,-0.07
192307,0.00,-0.01
192308,0.01,-0.01
192309,0.60,0.38
192310,0.59,-0.32
192311,0.48,-1.63
192312,1.12,-1.83
192401,2.04,-1.86
192402,2.18,-1.31
192403,1.66,-1.15
192404,0.33,-1.09
192405,0.05,-0.63
192406,0.00,-0.17
192407,0.00,-0.01
192408,0.00,-0.02
192409,0.00,-0.22
192410,2.52,1.61
192411,1.60,-0.51
192412,4.19,1.24
192501,1.18,-2.72
192502,5.77,2.28
192503,1.66,-1.15
192504,2.39,0.97
192505,2.37,1.69
192506,0.08,-0.09
192507,0.04,0.03
192508,0.02,0.00
192509,0.11,-0.11
192510,0.17,-0.74
192511,1.32,-0.79
192512,1.58,-1.37
192601,3.33,-0.57
192602,6.01,2.52
192603,0.10,-2.71
192604,4.94,3.52
192605,0.50,-0.18
192606,0.00,-0.17
192607,0.00,-0.01
192608,0.00,-0.02
192609,0.00,-0.22
192610,1.75,0.84
192611,5.34,3.23
192612,0.90,-2.05
192701,2.94,-0.96
192702,5.58,2.09
192703,1.66,-1.15
192704,1.94,0.52
192705,0.32,-0.36
192706,0.49,0.32
192707,0.00,-0.01
192708,0.00,-0.02
192709,0.01,-0.21
192710,1.64,0.73
192711,2.41,0.30
192712,2.39,-0.56
192801,1.39,-2.51
192802,1.74,-1.75
192803,4.51,1.70
192804,1.11,-0.31
192805,0.16,-0.52
192806,0.04,-0.13
192807,0.00,-0.01
192808,0.00,-0.02
192809,0.00,-0.22
192810,0.08,-0.83
192811,3.16,1.05
192812,2.60,-0.35
192901,1.32,-2.58
192902,1.69,-1.80
192903,1.56,-1.25
192904,0.76,-0.66
192905,0.02,-0.66
192906,0.93,0.76
192907,0.00,-0.01
192908,0.00,-0.02
192909,0.00,-0.22
192910,0.10,-0.81
192911,0.00,-2.11
192912,3.65,0.70
193001,4.62,0.72
193002,2.03,-1.46
193003,2.87,0.06
193004,1.33,-0.09
193005,0.29,-0.39
193006,0.00,-0.17
193007,0.00,-0.01
193008,0.05,0.03
193009,0.17,-0.05
193010,0.53,-0.38
193011,1.52,-0.59
193012,0.42,-2.53
193101,3.15,-0.75
193102,1.93,-1.56
193103,1.29,-1.52
193104,0.17,-1.25
193105,0.94,0.26
193106,0.52,0.35
193107,0.00,-0.01
193108,0.00,-0.02
193109,0.00,-0.22
193110,0.66,-0.25
193111,1.84,-0.27
193112,7.14,4.19
193201,1.54,-2.36
193202,2.87,-0.62
193203,0.58,-2.23
193204,0.91,-0.51
193205,0.68,0.00
193206,0.00,-0.17
193207,0.02,0.01
193208,0.00,-0.02
193209,0.00,-0.22
193210,0.00,-0.91
193211,0.49,-1.62
193212,2.18,-0.77
193301,4.01,0.11
193302,1.07,-2.42
193303,2.24,-0.57
193304,0.04,-1.38
193305,1.07,0.39
193306,0.06,-0.11
193307,0.00,-0.01
193308,0.00,-0.02
193309,0.06,-0.16
193310,1.46,0.55
193311,0.02,-2.09
193312,5.91,2.96
193401,1.47,-2.43
193402,3.75,0.26
193403,0.13,-2.68
193404,0.23,-1.19
193405,0.41,-0.27
193406,0.36,0.19
193407,0.00,-0.01
193408,0.00,-0.02
193409,0.13,-0.09
193410,0.72,-0.19
193411,2.89,0.78
193412,2.44,-0.51
193501,4.96,1.06
193502,1.53,-1.96
193503,3.45,0.64
193504,5.27,3.85
193505,0.07,-0.61
193506,0.00,-0.17
193507,0.00,-0.01
193508,0.00,-0.02
193509,0.00,-0.22
193510,1.28,0.37
193511,0.94,-1.17
193512,2.08,-0.87
193601,4.43,0.53
193602,8.91,5.42
193603,1.37,-1.44
193604,1.57,0.15
193605,0.77,0.09
193606,0.45,0.28
193607,0.01,0.00
193608,0.00,-0.02
193609,0.10,-0.12
193610,0.58,-0.33
193611,0.03,-2.08
193612,3.06,0.11
193701,3.42,-0.48
193702,5.96,2.47
193703,6.30,3.49
193704,1.13,-0.29
193705,0.05,-0.63
193706,0.25,0.08
193707,0.00,-0.01
193708,0.00,-0.02
193709,0.00,-0.22
193710,0.81,-0.10
193711,2.67,0.56
193712,3.69,0.74
193801,3.09,-0.81
193802,8.18,4.69
193803,4.55,1.74
193804,1.35,-0.07
193805,0.26,-0.42
193806,0.00,-0.17
193807,0.00,-0.01
193808,0.00,-0.02
193809,0.19,-0.03
193810,1.25,0.34
193811,0.70,-1.41
193812,0.88,-2.07
193901,2.05,-1.85
193902,1.51,-1.98
193903,2.65,-0.16
193904,0.23,-1.19
193905,1.06,0.38
193906,0.00,-0.17
193907,0.00,-0.01
193908,0.00,-0.02
193909,0.43,0.21
193910,0.65,-0.26
193911,0.12,-1.99
193912,1.09,-1.86
194001,8.40,4.50
194002,7.85,4.36
194003,4.15,1.34
194004,1.05,-0.37
194005,0.61,-0.07
194006,0.00,-0.17
194007,0.00,-0.01
194008,0.00,-0.02
194009,0.02,-0.20
194010,0.92,0.01
194011,1.12,-0.99
194012,7.89,4.94
194101,5.15,1.25
194102,5.22,1.73
194103,2.86,0.05
194104,4.15,2.73
194105,1.12,0.44
