Sacramento County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199310,0.48,-0.43
199311,2.57,0.46
199312,1.93,-1.02
199401,1.87,-2.03
199402,3.61,0.12
199403,0.21,-2.60
199404,1.09,-0.33
199405,1.57,0.89
199406,0.00,-0.17
199407,0.00,-0.01
199408,0.00,-0.02
199409,0.09,-0.13
199410,0.58,-0.33
199411,3.74,1.63
199412,2.56,-0.39
199501,10.81,6.91
199502,0.38,-3.11
199503,8.50,5.69
199504,1.90,0.48
199505,1.55,0.87
199506,0.59,0.42
199507,0.02,0.01
199508,0.00,-0.02
199509,0.00,-0.22
199510,0.00,-0.91
199511,0.03,-2.08
199512,5.32,2.37
199601,4.23,0.33
199602,5.59,2.10
199603,2.42,-0.39
199604,2.13,0.71
199605,2.45,1.77
199606,0.08,-0.09
199607,0.00,-0.01
199608,0.00,-0.02
199609,0.01,-0.21
199610,1.08,0.17
199611,2.45,0.34
199612,6.66,3.71
199701,8.46,4.56
199702,0.32,-3.17
199703,0.38,-2.43
199704,0.39,-1.03
199705,0.37,-0.31
199706,0.49,0.32
199707,0.00,-0.01
199708,0.19,0.17
199709,0.07,-0.15
199710,0.92,0.01
199711,4.47,2.36
199712,2.50,-0.45
199801,6.96,3.06
199802,10.59,7.10
199803,2.67,-0.14
199804,2.09,0.67
199805,3.78,3.10
199806,0.24,0.07
199807,0.00,-0.01
199808,0.00,-0.02
199809,0.23,0.01
199810,0.85,-0.06
199811,3.35,1.24
199812,0.89,-2.06
199901,3.21,-0.69
199902,4.93,1.44
199903,1.54,-1.27
199904,1.18,-0.24
199905,0.19,-0.49
199906,0.04,-0.13
199907,0.00,-0.01
199908,0.01,-0.01
199909,0.02,-0.20
199910,0.27,-0.64
199911,2.10,-0.01
199912,0.21,-2.74
200001,6.23,2.33
200002,8.62,5.13
200003,1.83,-0.98
200004,1.65,0.23
200005,1.48,0.80
200006,0.14,-0.03
200007,0.00,-0.01
200008,0.00,-0.02
200009,0.18,-0.04
200010,2.51,1.60
200011,0.76,-1.35
200012,0.58,-2.37
200101,3.69,-0.21
200102,4.58,1.09
200103,1.99,-0.82
200104,1.87,0.45
200105,0.00,-0.68
200106,0.10,-0.07
200107,0.00,-0.01
200108,0.00,-0.02
200109,0.29,0.07
200110,0.41,-0.50
200111,3.01,0.90
200112,6.15,3.20
200201,2.18,-1.72
200202,1.18,-2.31
200203,2.80,-0.01
200204,0.28,-1.14
200205,1.43,0.75
200206,0.00,-0.17
200207,0.00,-0.01
200208,0.00,-0.02
200209,0.00,-0.22
200210,0.00,-0.91
200211,2.39,0.28
200212,6.45,3.50
200301,1.52,-2.38
200302,1.42,-2.07
200303,2.11,-0.70
200304,3.58,2.16
200305,1.09,0.41
200306,0.00,-0.17
200307,0.00,-0.01
200308,0.21,0.19
200309,0.01,-0.21
200310,0.10,-0.81
200311,1.81,-0.30
200312,4.67,1.72
200401,2.26,-1.64
200402,5.18,1.69
200403,0.67,-2.14
200404,0.20,-1.22
200405,0.10,-0.58
200406,0.00,-0.17
200407,0.00,-0.01
200408,0.00,-0.02
200409,0.27,0.05
200410,2.90,1.99
200411,2.53,0.42
200412,4.00,1.05
200501,4.10,0.20
200502,2.71,-0.78
200503,3.61,0.80
200504,1.32,-0.10
200505,1.71,1.03
200506,0.61,0.44
200507,0.00,-0.01
200508,0.00,-0.02
200509,0.12,-0.10
200510,0.17,-0.74
200511,1.05,-1.06
200512,8.81,5.86
200601,3.18,-0.72
200602,1.90,-1.59
200603,5.35,2.54
200604,4.51,3.09
200605,0.54,-0.14
200606,0.00,-0.17
200607,0.00,-0.01
200608,0.00,-0.02
200609,0.00,-0.22
200610,0.21,-0.70
200611,1.25,-0.86
200612,2.73,-0.22
200701,0.30,-3.60
200702,4.74,1.25
200703,0.49,-2.32
200704,1.64,0.22
200705,0.37,-0.31
200706,0.00,-0.17
200707,0.04,0.03
200708,0.00,-0.02
200709,0.19,-0.03
200710,1.00,0.09
200711,0.89,-1.22
200712,2.86,-0.09
200801,8.01,4.11
200802,2.03,-1.46
200803,0.15,-2.66
200804,0.04,-1.38
200805,0.12,-0.56
200806,0.00,-0.17
200807,0.00,-0.01
200808,0.00,-0.02
200809,0.00,-0.22
200810,0.58,-0.33
200811,1.94,-0.17
200812,1.87,-1.08
200901,1.80,-2.10
200902,4.99,1.50
200903,2.16,-0.65
200904,0.98,-0.44
200905,1.10,0.42
200906,0.25,0.08
200907,0.00,-0.01
200908,0.00,-0.02
200909,0.11,-0.11
200910,2.47,1.56
200911,0.60,-1.51
200912,2.94,-0.01
201001,4.86,0.96
201002,2.97,-0.52
201003,2.25,-0.56
201004,3.13,1.71
201005,1.04,0.36
201006,0.02,-0.15
201007,0.00,-0.01
201008,0.00,-0.02
201009,0.02,-0.20
201010,1.73,0.82
201011,3.13,1.02
201012,5.47,2.52
201101,1.54,-2.36
201102,3.89,0.40
201103,6.74,3.93
201104,0.19,-1.23
201105,1.43,0.75
201106,0.94,0.77
201107,0.00,-0.01
201108,0.00,-0.02
201109,0.01,-0.21
201110,1.47,0.56
201111,1.02,-1.09
201112,0.16,-2.79
201201,2.60,-1.30
201202,1.00,-2.49
201203,4.45,1.64
201204,2.90,1.48
201205,0.02,-0.66
201206,0.06,-0.11
201207,0.05,0.04
201208,0.00,-0.02
201209,0.01,-0.21
201210,1.06,0.15
201211,4.37,2.26
201212,6.06,3.11
201301,1.10,-2.80
201302,0.35,-3.14
201303,1.45,-1.36
201304,0.80,-0.62
201305,0.38,-0.30
201306,0.27,0.10
201307,0.00,-0.01
201308,0.00,-0.02
201309,0.59,0.37
201310,0.02,-0.89
201311,1.06,-1.05
201312,0.39,-2.56
201401,0.22,-3.68
201402,4.39,0.90
201403,2.21,-0.60
201404,1.99,0.57
201405,0.06,-0.62
201406,0.00,-0.17
201407,0.04,0.03
201408,0.01,-0.01
201409,0.42,0.20
201410,0.43,-0.48
201411,1.51,-0.60
201412,7.61,4.66
201501,0.02,-3.88
201502,2.59,-0.90
201503,0.25,-2.56
201504,1.94,0.52
201505,0.17,-0.51
201506,0.10,-0.07
201507,0.01,0.00
201508,0.02,0.00
201509,0.02,-0.20
201510,0.30,-0.61
201511,1.92,-0.19
201512,2.22,-0.73
201601,5.86,1.96
201602,0.89,-2.60
201603,5.22,2.41
201604,1.51,0.09
201605,0.48,-0.20
201606,0.00,-0.17
201607,0.00,-0.01
201608,0.00,-0.02
201609,0.00,-0.22
201610,3.91,3.00
201611,1.57,-0.54
201612,3.23,0.28
201701,10.18,6.28
201702,8.19,4.70
201703,2.66,-0.15
201704,3.40,1.98
201705,0.12,-0.56
201706,0.19,0.02
201707,0.00,-0.01
201708,0.00,-0.02
201709,0.01,-0.21
201710,0.20,-0.71
201711,2.76,0.65
201712,0.16,-2.79
201801,4.47,0.57
201802,0.54,-2.95
201803,5.24,2.43
201804,2.67,1.25
201805,0.40,-0.28
201806,0.00,-0.17
201807,0.00,-0.01
201808,0.00,-0.02
201809,0.00,-0.22
201810,0.21,-0.70
201811,2.99,0.88
201812,2.43,-0.52
201901,4.53,0.63
201902,8.31,4.82
201903,3.77,0.96
201904,0.76,-0.66
201905,3.33,2.65
201906,0.01,-0.16
201907,0.00,-0.01
201908,0.00,-0.02
201909,0.24,0.02
201910,0.00,-0.91
201911,0.73,-1.38
201912,4.20,1.25
202001,1.28,-2.62
202002,0.00,-3.49
202003,2.03,-0.78
202004,1.90,0.48
202005,0.59,-0.09
202006,0.01,-0.16
202007,0.00,-0.01
202008,0.02,0.00
202009,0.00,-0.22
202010,0.00,-0.91
202011,0.73,-1.38
202012,1.50,-1.45
202101,2.85,-1.05
202102,1.17,-2.32
202103,1.31,-1.50
202104,0.03,-1.39
202105,0.01,-0.67
202106,0.00,-0.17
202107,0.00,-0.01
202108,0.00,-0.02
202109,0.03,-0.19
202110,5.04,4.13
202111,0.78,-1.33
202112,6.36,3.41
202201,0.08,-3.82
202202,0.02,-3.47
202203,1.00,-1.81
202204,1.13,-0.29
202205,0.04,-0.64
202206,0.16,-0.01
202207,0.00,-0.01
202208,0.00,-0.02
202209,0.46,0.24
202210,0.00,-0.91
202211,1.45,-0.66
202212,8.27,5.32
202301,7.91,4.01
202302,2.65,-0.84
202303,5.68,2.87
